MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nHow nostalgic it feels to speak with you again.\nIt has been some time.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMage Dragon stomachs are 10 times the normal\nsize you know. Really! OK, I was just hungry.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI want to bring honor to the Four Winds. How\ndoes one become a great commander like you?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06クロム\nThe Shepherds were full of wonderful allies to\ndepend on. There's nothing that great about me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06クロム\nOne knight went so far as to pick up stones in\nmy path. I may lead, but I am still just myself.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nRevealing your weakness is a sign of strength.\nThank you. I hope to become more like you.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nFighting with you doesn't leave me any time to\nbe afraid. We just keep rushing into crowds!\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06クロム\nWell, Robin is the tactician. And if battle makes\nyou stronger, it might also make you braver.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nToday we had quite the feast! Wait... Is this\nblood on my clothes? Am I dying?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06クロム\nCalm down, Gregory. That's not blood, that's\njust the tomato sauce from earlier.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI wish I could be as brave as you. Instead, I keep\nmaking a fool of myself by running away...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06クロム\nNo need to feel ashamed. It's natural to try and\nsave yourself, but at times it must be overcome.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06クロム\nI get afraid too. But I fear losing my friends,\nwhich inspires me to stand strong and fight.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nStanding strong out of fear, not bravery? I'll try\nthat next time. Just don't give up on me yet.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nA bee, here? Did it come for flower nectar or\nsomething? Ah, it went toward you, Madeline.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nB-b-b-bee?! I never saw one in my world... I am\nnot afraid, but...let us go somewhere else!\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nAre you scared of insects? I could have asked\nRobin to devise a plan to chase them away.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nAh, could there be such a plan?! N-no need. An\naspiring knight would not be afraid of an insect.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nYour parents would be proud that you inherited\ntheir drive. I know, because I am a father.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nYou're a father even though you look so young?\nWhat a surprise! You never told me!\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06クロム\nDidn't I? Well, I told you now. I'll be watching\nover you until the day you become a knight!\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nPlease stop treating me like a child! Though...\nThank you for the thought. I will count on you.\x0E\x04\x00\x00
