MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nDivine One, watch out! There's a wolf!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nThank you. It was all because of your guidance.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nOh! What am I doing?! I'm thanking the Divine\nDragon in such an informal manner! I should─\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nPlease, Alcryst, no more throwing yourself\nat my feet.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nHuh?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nDon't be upset. Your apologies are impressive,\nbut you could stand to, well, stand more often.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nIf you really want to thank me, that wolf did\nlook awfully friendly toward you...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nCould you help me win him over?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nThat should be easy. Just bring some jerky next\ntime. Then we can all play together.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nI'll do just that! Can't wait. Thank you, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nUh, excuse me...Divine One?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAlcryst? What is it?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nスタルーク\nUh... Well, you see...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nYou stopped yourself from bowing! Very nice\nrecovery, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nスタルーク\nYes. I must try to stand tall.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nスタルーク\nPlease, Divine One, have a look at this.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nOh! What a beautiful gemstone! It has such a\nmysterious color.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nスタルーク\nIt's a stone of Brodian origin. The coloring is\nquite rare, with red and blue mixed together...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nスタルーク\nMy father gave it to me when I was born.\nHe liked how it matched my features.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAh, I see! This is a match for your blue hair and\nred eyes, isn't it? This gem suits you perfectly.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nスタルーク\nB-but...your features are even more of a match,\nDivine One. The color distribution differs, but...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nスタルーク\nIt reminds me of you. I see someone I treasure\nwho encouraged me to do things my own way.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nWow. Someone you treasure, huh?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nスタルーク\nMy father told me to choose an important\nperson to give this to someday. So...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nスタルーク\nDivine One... Please accept this as a token of...\nwell, a token of my feelings toward you.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nThank you, Alcryst. I gladly accept your token.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nNow it's my turn. I'd like to give you this ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nスタルーク\nThis is the Pact Ring...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nIt is. And now it's yours.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPrince Alcryst... I, the Divine Dragon, grant you\nthis, a symbol of our special bond.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nLet's share our lives as fellow soldiers...and\npartners in peace.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nスタルーク\nC-coo...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nI'm sorry, did you just...coo?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nスタルーク\nCool! Astoundingly cool! Impossibly cool!\nI can't believe this!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nスタルーク\nI thought I stuck the landing for sure, but then\nyou outshined me with an even grander gesture!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nスタルーク\nAnd I don't even mind! This makes me so\nhappy. Th-thank you, Divine One...\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nOh, Alcryst, please don't cry!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nスタルーク\nI won't. I promise. I'll do my best to stand tall\nfor you─and for myself.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nスタルーク\nOr, uh...taller than before, at least.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nI suppose that's a start.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0C\nスタルーク\nAnd I will get stronger! Despite how I seem,\nI am a prince of Brodia...\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nスタルーク\nAs a son of the kingdom of warriors, I will\nbecome someone you can rely on...\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0C\nスタルーク\nAnd I pledge to always protect you,\nDivine Dragon \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nThoughtful as ever, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0C\nスタルーク\nI can say all of this with the utmost confidence.\nIn fact, I swear it upon this ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08リュール\nI believe you, Alcryst. Thank you.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nスタルーク\nI will stand beside you proudly and be the best\nprince I can be, to the very end.\x0E\x04\x00\x00
