MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nLook at this place! Oh my. It can't be...\nIt's impossible!\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0C\nエイリーク\nHeh. Well, raise your weapon or I'll have to\nembarrass you further.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nWell, Eirika, it's time to see which of us is more\ngraceful in battle.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm sorry if my skill proves to be too much\nfor you.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nNo apology necessary. Seeing you grow as a \nwarrior has been a pleasure.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x18\nエイリーク\nAngry\n\x0E\x03\x02\x0C\nエイリーク\nBut that doesn't mean I plan on losing!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nYou've gotten stronger. You might even be able\nto defeat Ephraim, my brother.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nThank you! I guess you've always relied on your\nbrother, haven't you?\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0C\nエイリーク\nI wouldn't... I mean... We're siblings. And we\nalways need one another's support.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nI guess I hadn't thought of it that way.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nYou should know that I rely on you, Eirika.\nI trust your opinions and your skills.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0C\nエイリーク\nThank you. I just want to be a help to your\ncause, the same as others helped me.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nエイリーク\nI'm so very happy to be part of this and to help\nall of you.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nYou've saved me so often. I'm starting to think\nI'd be lost on my own.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0C\nエイリーク\nHehe, you should have more confidence.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0C\nエイリーク\nAs long as we both trust in our own skills, we\ncan be there to support one another.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nThat sounds good to me. I hope you'll continue\nto be with us, Eirika.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0C\nエイリーク\nI hope so too, \x0E\x06\x03\x00. I'm sure you can\nsave this world.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
