MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHah! Hyah!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne! Thanks again for giving the nobles my\nanswer. It's been nice to have that off my back.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSorry if it was a hassle.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nThere is no need for royalty to apologize to a\nsimple retainer, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n"Prince" Diamant? You never call me that.\nIs everything OK?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nEverything is fine. Please excuse me, my prince.\nI have an errand I must attend to...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nHold it. Tell me what's going on.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nPlease, Diamant, I'm in a very awkward\nposition.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nWhat do you mean?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nIt's dangerous for me to be seen speaking so\ncasually with the heir to Brodia's throne.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nWe're cousins. We've known each other our\nwhole lives. Where is this coming from?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nThe nobles did not care for your response.\nI must be cautious in my exchanges with you.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nRumors are quickly spreading that my family\nhas been colluding with Brodia's future king.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAh...I see.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nI placed more of a burden on you than I ever\ncould have imagined, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nIt's quite all right, Prince Diamant. I─\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nI shouldn't have asked you to do my job for me.\nI'm going to clear this up. Right now.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nNo! You'll only complicate things further.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nI have no choice. I've been robbed of my cousin\nand have to get her back.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nOoh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nVery well. I surrender.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nI'll resume our usual, casual banter...like making\nyou promise not to kick down any doors.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's more like it. And don't worry.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\n"Don't worry" is not a promise, Diamant. I need\nto hear you say it. Do not make things worse!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nI promise. Trust your cousin, OK?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nWhat am I going to do...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nDoes Diamant even understand how a future\nking should behave?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nI heard my name. Did you need me for\nsomething, Citrinne?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh. No, I was just...talking to myself. Do you\nneed me for something?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nI just came by to let you know that I sent the\nnobles a letter.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nYou did what?! Why? You promised you\nwouldn't make things worse!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nDon't panic. I didn't mention you at all.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nI made it clear that I won't wage any wars, but\nwill prioritize a prosperous future for Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nThat should put a stop to the rumors, right?\nNo more whispers of collusion.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nYes, I believe that will do it...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nI'm sorry you had to resolve this, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNo, I should have sent a reply myself. I'm sorry\nthat I passed my duty on to you.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nAnd I should have been more direct. It was my\nattempted sweet-talking that led to the rumors.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nI hope things settle down soon.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nI miss dancing my cares away, and it's starting\nto feel like I'll never attend another formal ball...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nThat depends on how well I do my job.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nYou mean how well we do our jobs.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nYou're right. We'll need everyone to work\ntogether to bring peace to Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nI hope you'll keep pushing me forward, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nOf course I will. We are close cousins, after all.\nPractically siblings.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nYes, it has felt that way. I hope that never\nchanges.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, would you like to play a game of tag?\nJust like we used to?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAre you sure you wouldn't rather play princess?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nNo, I'm in a rare mood for tag─and this time,\nyou're it!\x0E\x04\x00\x00
