MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x021\n\x0E\x03\x00"\x1CS002_蛮族_モンク_中央\x022\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x023\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nNgh, you still haven't found her?!\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x03\x01\x08\x06アンナ\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWhat's a little girl doing here? This is a bandit\nfort. It's no place for children!\x0E\x04\x00\x00
MID_EV5_#002	\x0E\x03\x00\x0C\x06アンナ\x02b\n\x0E\x05\x01\x14\x06アンナ\nSmile\n\x0E\x03\x02\x08\x06アンナ\nBut you're not a bandit, right? So why don't\nyou keep me safe?\x0E\x04\x00\x00
MID_EV5_#003	\x0E\x03\x02\x0A\x08リュール\nWell... I mean, I could, but─\x0E\x04\x00\x00
MID_EV5_#004	\x0E\x05\x01\x14\x06アンナ\nRelax\n\x0E\x03\x02\x08\x06アンナ\nIt's a deal! Thanks a million.\x0E\x04\x00\x00
MID_EV5_#005	\x0E\x03\x02\x08\x06アンナ\nYou might not think so, but I'm pretty handy in\na fight. Let me help you help me!\x0E\x04\x00\x00
MID_EV5_INIT_#001	\x0E\x02\x01\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x14\x06アンナ\nSmile\n\x0E\x03\x02\x08\x06アンナ\nThe battle's over, huh? Good thing nobody\never found me in there.\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x02\x08\x06アンナ\nNow the treasure's mine for the taking!\x0E\x04\x00\x00
MID_EV6_#003	\x0E\x05\x01\x14\x06アンナ\nRelax\n\x0E\x03\x02\x08\x06アンナ\nAlthough...those others seem pretty strong.\nThey really wiped the floor with those bandits.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$S002_蛮族_アクスアーマー_中央\x02b\n\x0E\x03\x02&$S002_蛮族_アクスアーマー_中央\nThere's the thief! Get her!\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x14\x06アンナ\nRelax\n\x0E\x03\x02\x08\x06アンナ\nHahaha! If you think you're gonna catch me that\neasily, think again!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x02b\n\x0E\x05\x01&\x14S002_蛮族_お頭\x0EStandBy\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nDamn you for playing us for fools! You'll never\nget your hands on that treasure!\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x02b\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nWell, well, well. So the thief turned out to be\njust some brat.\x0E\x04\x00\x00
MID_BT4_#002	\x0E\x03\x02\x16\x14S002_蛮族_お頭\nWhat do you say, boys? I bet we could get a\npretty penny in ransom out of her parents.\x0E\x04\x00\x00
MID_BT4_#003	\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x10\x06アンナ\x06Shy\n\x0E\x03\x02\x08\x06アンナ\nMy parents have no idea where I am, so that's\na pretty weak threat if you ask me.\x0E\x04\x00\x00
MID_BT4_#004	\x0E\x05\x01&\x14S002_蛮族_お頭\x0EStandBy\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nYeah, well I didn't ask you! We'll figure that\nout later!\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14S002_蛮族_お頭\x02b\n\x0E\x05\x01 \x14S002_蛮族_お頭\x08Pain\n\x0E\x03\x02\x16\x14S002_蛮族_お頭\nI guess...today could get worse after all...\x0E\x04\x00\x00
MID_DIE_LOCAL_Anna_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02b\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nI guess...it's over for me. Too bad I'll never see\nmy sisters again...\x0E\x04\x00\x00
MID_DIE_CASUAL_LOCAL_Anna_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02b\n\x0E\x05\x01\x12\x06アンナ\x08Pain\n\x0E\x03\x02\x08\x06アンナ\nAh, I'd better retreat. Dying will put me out of\nbusiness for good...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x04\x03\x04
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nHere's hoping the local authorities will keep\nthese bandits from causing any more trouble.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x02\x08\x06アンナ\nYou guys are really strong, huh? Do you have\nroom on your team for me?\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nYou want to join us? I should warn you, our\nbattles will be much more grueling than that.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\nYou'd be placing yourself in danger.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x08\x06アンナ\nI know I'm small, but I pack a punch! I can take\ncare of myself, guaranteed.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06アンナ\nBesides, I've got nothing better to do. Not until\nI figure out where my family went.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nYou lost your family...\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06アンナ\nIt gets lonely on the road. Maybe if I travel with\nyou folks, our paths will cross someday.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x0A\x08リュール\nWell, if that's what you want, I have\nno objections.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08リュール\nI'm \x0E\x06\x03\x00, the Divine Dragon.\nLooking forward to working with you.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x08\x06アンナ\nHang on, what?! You're the Divine Dragon?!\nMy sales...they're gonna go through the roof!\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x08\x06アンナ\nOh, and the name's Anna. But you can call me\nLady Anna. Pleasure to be in business with you!\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nI just wish we could have protected the girl.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x0A\x08リュール\nWhat was a little girl doing in a bandit's fortress\nin the first place?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0A\x08リュール\nI suppose we'll never get the chance to ask.\x0E\x04\x00\x00
