MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nThere. Now all that remains is to pack these up\nand put them away.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nラファール\nThat is not what I... Ugh...\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Perhaps you have a point. This guilt I feel is a\nheavy burden.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nI am not the person you hurt, Lord Rafal, no\nmatter how much I may remind you of him.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Regardless of your feelings, I am in no position\nto accept an apology or to offer forgiveness.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nThat is true enough. To you, my account is\nno more than the tale of a complete stranger.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nPrecisely. Anything I might offer you would\nultimately ring hollow.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	You should focus your efforts elsewhere.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nWise words.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	No amends I make to you will counteract the\nevil I have done at all.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	My paltry overtures have been nothing but a\nchildish attempt to soothe my own ego.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nIf it is any consolation, I understand how you\nfeel all too well.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	I also have a great deal for which to atone.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nI hope that you are able to do so.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nNeither of us can alter the past. The best we\ncan do is improve the future.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	If we can make the world better than it was\nbefore we damaged it, that will be a start.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nYou set a fine example. Perhaps following it will\nease my burden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nIf that is the case, I will be glad for it.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Now, I have more crates to haul. Would you\nmind lending me a hand?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nCertainly.\x0E\x04\x00\x00
