MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nYou plot and scheme in service of one. Will you\nfight for their happiness?\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x16\x14E004_グレゴリー\nIt was too easy, if you ask me. Why were the\ncheckpoints empty? Feels...wrong.\x0E\x04\x02\x00
MID_OP3_#004	And kinda scary, if I'm being honest.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x10\x0EE004_イル\nIt is odd that we've run into so few guards.\nWhat are your thoughts, Nel?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\nAre you feeling all right? It seems like you\nhaven't been sleeping much.\x0E\x04\x02\x00
MID_OP3_#008	I heard you coming back to camp last night.\nIt was pretty late.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE004_エル\nIt will not affect my performance in battle.\nAnd that should be your only concern.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x0A\x08リュール\nShe's in a bad mood.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x10\x0EE004_イル\nJust grumpy from not getting enough sleep.\nLet's give her some space.\x0E\x04\x02\x00
MID_OP3_#012	I do wonder where she slipped off to last night.\nHopefully nowhere dangerous...\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x16\x14E004_グレゴリー\nMadeline's due to meet up with us soon.\nShe's been spying on Elusia.\x0E\x04\x02\x00
MID_OP3_#014	The plan was for Zelestia to bring her from the\nrendezvous point. Should be here any minute...\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE004_イル\nAh! There they are! Hello!\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x02\x16\x14E004_マデリーン\nHello, Lord Nil. Lady Nel. I hope your journey\nwasn't too arduous. Gregory, you look well.\x0E\x04\x02\x00
MID_OP3_#017	Zelestia was just filling me in on all that's\noccurred. I take it this is our esteemed guest.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE004_イル\nYes. Madeline, meet the Divine Dragon from\nanother world.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E004_マデリーン\nIncredible... Outward differences aside, it feels\nas if our leader was brought back to life.\x0E\x04\x02\x00
MID_OP3_#020	What to say? I'm at a loss for words...\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nI understand how you feel, Madeline. I was\nmoved to tears upon our first meeting.\x0E\x04\x02\x00
MID_OP3_#022	It's all right. Just let it out.\x0E\x04\x00\x00
MID_OP3_#023	\x0E\x03\x02\x16\x14E004_マデリーン\nZelestia, I am not going to cry. Would you\nplease stop treating me like a child?\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x18\x16E004_セレスティア\nOh, of course. Apologies, dear.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x16\x14E004_マデリーン\nDivine One, pleased to make your acquaintance.\nI am Madeline of the Four Winds.\x0E\x04\x02\x00
MID_OP3_#026	I may be the youngest of our group, but I assure\nyou, I'm no less capable than the others.\x0E\x04\x02\x00
MID_OP3_#027	And I swear to protect you, come what may.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x0A\x08リュール\nThank you, Madeline. I appreciate your help.\x0E\x04\x00\x00
MID_OP3_#029	\x0E\x03\x02\x16\x14E004_マデリーン\nGlad to be of service.\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x00\x1A\x14E004_グレゴリー\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nYou were such a snot-nosed little brat when we\nfirst met. But you've grown a lot, kid.\x0E\x04\x02\x00
MID_OP3_#031	I bet Mauvier is proud too. Especially since he's\nthe one who recruited you.\x0E\x04\x00\x00
MID_OP3_#032	\x0E\x03\x02\x16\x14E004_マデリーン\nI was never snot-nosed!\x0E\x04\x02\x00
MID_OP3_#033	But of course, I would be delighted to know\nI've made Mauvier proud.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\nMauvier? Is he...\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nYes─the other member of the Four Winds, and\nmy second-in-command. Quite a fighter too.\x0E\x04\x02\x00
MID_OP3_#036	Mauvier once served as a knight to Sombron's\narmy. When his superior died, he changed sides.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x0A\x08リュール\nHis superior... Nel, Nil, was that one of\nyour siblings?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE004_イル\nIt was indeed, though not a sibling we ever met.\x0E\x04\x02\x00
MID_OP3_#039	I recall being surprised to learn that Father\nallowed one of his children to retain a knight.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x02\x10\x0EE004_エル\nFor that very reason, I initially suspected\nMauvier of being a spy.\x0E\x04\x02\x00
MID_OP3_#041	I thought perhaps Sombron had tasked him\nwith tracking Nil and me down.\x0E\x04\x02\x00
MID_OP3_#042	But my suspicions proved unfounded. Mauvier\nearned the Divine Dragon's wholehearted trust.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x18\x16E004_セレスティア\nI can't wait to introduce you to him, Divine One.\nIt was Mauvier who founded the Four Winds.\x0E\x04\x02\x00
MID_OP3_#044	I would have considered him the top choice as\nleader, but that role fell to me for some reason.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x02\x16\x14E004_グレゴリー\nI bet it's because you're so old.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x18\x16E004_セレスティア\nExcuse me?!\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x10\x0EE004_エル\nEnough. Madeline, please give us your report.\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nAs of yesterday, Elusia Castle has been almost\ntotally vacated. Only a few soldiers remain.\x0E\x04\x02\x00
MID_OP3_#049	The queen and her royal guard are in Hasaude\nCathedral performing a ritual of some kind.\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x0A\x08リュール\nA ritual? You don't mean...\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE004_エル\nThey intend to revive Sombron.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x16\x14E004_マデリーン\nI'd consider that a safe guess.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nI anticipated this might happen. The Elusian\npeople are quite devoted to our father, after all.\x0E\x04\x02\x00
MID_OP3_#054	We went to great lengths to secure the aid of a\nDivine Dragon. This response is only logical.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x02\x10\x0EE004_エル\nI would not call it "logical" to resurrect a corpse.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x10\x0EE004_イル\nBut they lack our ability to summon help from\nrealms beyond.\x0E\x04\x02\x00
MID_OP3_#057	Ah... I must say I'm conflicted at the thought\nof seeing Father again...\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE004_エル\nNow that I think on it, we have not heard from\nour mysterious enemy since Lythos.\x0E\x04\x02\x00
MID_OP3_#059	Perhaps this ritual has kept them occupied.\x0E\x04\x00\x00
MID_OP3_#060	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nOn your guard, everyone! Someone on\nhorseback is coming this way.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x0A\x08リュール\nElusian cavalry?\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nNo. The rider is...\x0E\x04\x02\x00
MID_OP3_#063	Mauvier? Mauvier!\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, you are unharmed. What a relief.\nAnd it appears this area is still secure.\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x10\x0EE004_イル\nWhat a surprise, Mauvier. We were just talking\nabout you.\x0E\x04\x00\x00
MID_OP3_#066	\x0E\x03\x02\x12\x10M011_モーヴ\nGood to see you, Lord Nil. Lady Nel.\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x10\x0EE004_エル\nWhat are you doing in Elusia? Your orders were\nto stay in Solm gathering intelligence.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x12\x10M011_モーヴ\nI intended to, but the queen of Solm departed\nthe palace.\x0E\x04\x02\x00
MID_OP3_#069	I was following her and ended up in Elusia.\x0E\x04\x00\x00
MID_OP3_#070	\x0E\x03\x02\x10\x0EE004_エル\nSo the queen of Solm is here. Why?\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x12\x10M011_モーヴ\nPlease forgive my grievous failure in not\nanticipating this...\x0E\x04\x02\x00
MID_OP3_#072	But Queen Timerra has entered Elusia with\nbracelet in hand and troops by her side.\x0E\x04\x02\x00
MID_OP3_#073	It is, in effect, an invasion.\x0E\x04\x00\x00
MID_OP3_#074	\x0E\x03\x02\x10\x0EE004_エル\nI see...\x0E\x04\x02\x00
MID_OP3_#075	I wonder if this is related to Elusia's ritual\nin some way.\x0E\x04\x02\x00
MID_OP3_#076	Perhaps the Solmic army intends to storm the\nchurch to prevent the resurrection of Sombron.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x12\x10M011_モーヴ\nI do not know if Elusia has yet moved to defend\nitself, but it is only a matter of time.\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x10\x0EE004_エル\nA clash of armies will complicate the matter.\nWe should proceed with haste.\x0E\x04\x00\x00
MID_OP3_#079	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nYes. I can lead the way.\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x0A\x08リュール\nOh, I should probably introduce myself before\nwe head out.\x0E\x04\x00\x00
MID_OP3_#081	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nYou are the Divine Dragon from another world.\nAm I correct?\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x0A\x08リュール\nUh... Yes, actually.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x12\x10M011_モーヴ\nI am Mauvier, second of the Four Winds.\nPleased to meet you. Now, shall we?\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x02\x0A\x08リュール\nHm. I was kind of expecting another\nbig reaction...\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nThe armies are fighting in front of Hasaude\nCathedral. The battle has already begun.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nWe're too late.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE004_エル\nPerhaps this is to our benefit. We would be at a\ndisadvantage against either force alone.\x0E\x04\x02\x00
MID_OP4_#004	Let us get to their leaders and reclaim the\nbracelets while they are distracted.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nElusia is commanded by Queen Ivy, and Solm\nby Queen Timerra.\x0E\x04\x02\x00
MID_OP4_#006	They hold the Bracelets of the Strategist and\nof the Doting Sister, respectively.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x10\x0EE004_イル\nDefeating just those two should be achievable.\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE004_エル\nAre you prepared for this, Divine One?\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x0A\x08リュール\nI am.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x12\x10M011_モーヴ\nWith your permission, I will head to the\ncathedral and attempt to disrupt the ritual.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE004_エル\nAn excellent idea. Proceed, Mauvier.\x0E\x04\x00\x00
MID_OP4_#012	\x0E\x03\x02\x12\x10M011_モーヴ\nVery good.\x0E\x04\x00\x00
MID_OP4_#013	\x0E\x03\x02\x10\x0EE004_イル\nAll right, let's go!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE004_エル\x02t\n\x0E\x05\x01\x1C\x0EE004_エル\nAngry\n\x0E\x03\x02\x10\x0EE004_エル\nElusia and Solm are in the thick of battle. Let us\nslip in and surprise their commanders.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nI see we have some uninvited guests. No matter.\nMy reinforcements will annihilate them.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nLooks like Queen Ivy is making a move.\nIn that case, so will we!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nGo forth, my sweet Corrupted wyverns!\nDestroy them!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nRelax\n\x0E\x03\x02\x14\x12E004_Boss\nIf you've come to stop the ritual, don't worry.\nI'll ensure you find nothing but death here.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nYou monster... What have you done?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nAll we want is to stop them from reviving the\nFell Dragon. Why are you getting in our way?\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nNow Sombron will return... But that's what you\nwanted, isn't it?\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nWhat's this? We are much too far from the Solm\ndesert for a mirage, my dear.\x0E\x04\x02\x00
MID_BT5_#002	\x0E\x05\x01 \x12E004_Boss\nSmile\nAre you truly another Ivy? Marvelous. A bit shy\non confidence, perhaps, but we'll work on it.\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x16\x08アイビー\nAngry\n\x0E\x03\x02\x0A\x08アイビー\nPlease tell me I don't sound anything like you.\x0E\x04\x02\x00
MID_BT5_#004	And repeating all my father's mistakes as well?\nI'm going to have to set you straight.\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\n\x0E\x03\x02\x14\x12E004_Boss\nFather? Hahaha! You mean that old failure of\na king?\x0E\x04\x02\x00
MID_BT5_#006	He had the gall to try to stop the ritual. Even as\na sacrificial offering, he wasn't worth much.\x0E\x04\x00\x00
MID_BT5_#007	\x0E\x05\x01\x1C\x08アイビー\x10Surprise\n\x0E\x03\x02\x0A\x08アイビー\nYou slew him? Why? For what?!\x0E\x04\x02\x00
MID_BT5_#008	\x0E\x05\x01\x14\x08アイビー\x08Pain\nYou've destroyed Elusia. Is there even anyone\nleft to call you queen?\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01 \x12E004_Boss\nAngry\n\x0E\x03\x02\x14\x12E004_Boss\nWell, if it isn't the good-for-nothing second\nprincess. The sight of you makes me sick.\x0E\x04\x00\x00
MID_BT6_#002	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01 \x0Cオルテンシア\x10Surprise\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIvy? What's gotten into you?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x02\x14\x12E004_Boss\nDon't you "Ivy" me. You've no right to be so\nfamiliar. I've warned you countless times.\x0E\x04\x02\x00
MID_BT6_#004	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nIf your plan was to collude with Solm to get my\nattention, congratulations. You've succeeded.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x16\x0Cオルテンシア\x06Sad\n\x0E\x03\x02\x0E\x0Cオルテンシア\nThis is how you always talk to the Hortensia\nof this world, isn't it?\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\nThen I'm glad you said all that to me. Because\nfor once, at least, she won't have to hear it!\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nAre you...the Divine Dragon? Did the ritual to\nresurrect you in Lythos actually work?!\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIt's complicated. I'll explain when this battle's\nover and you're ready to listen to reason.\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nIt isn't fair! The Divine Dragon is returned to life\nwhile Lord Sombron languishes in death?!\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\nNo follower of the Fell Dragon will tolerate this.\nElusia will not stand for it!\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nThe ritual must be completed. The Fell Dragon's\npower and glory must be restored.\x0E\x04\x02\x00
MID_BT7_#006	I will see it done with my own hands!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nZelkov! Is that really you? I can hardly believe\nmy favorite retainer has finally returned to me.\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nWe'll simply have to catch up once this battle\nis done. I want to hear all about your travels.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08ゼルコバ\x02t\n\x0E\x05\x01\x1C\x08ゼルコバ\x10Surprise\n\x0E\x03\x02\x0A\x08ゼルコバ\nI do not think I have ever been quite so\n*bewildered* in all my life.\x0E\x04\x02\x00
MID_BT8_#004	\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x05\x01\x1A\x08ゼルコバ\x0EStandBy\nAs intriguing as this mystery is, my *allegiance*\nlies with a different Ivy. I must refuse.\x0E\x04\x00\x00
MID_BT8_#005	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\n\x0E\x03\x02\x14\x12E004_Boss\nSuch cruel words! No matter. If you have no\nfondness for me, then I have no need of you.\x0E\x04\x02\x00
MID_BT8_#006	You've already died for me once. You can\ndo so again.\x0E\x04\x00\x00
MID_BT8_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nThank you for *saying* so. You have just made\nthis a great deal easier for me.\x0E\x04\x02\x00
MID_BT8_#008	\x0E\x05\x01\x16\x08ゼルコバ\nAngry\nI will end you now. And I will *feel* nothing.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カゲツ\x02t\n\x0E\x05\x01\x14\x06カゲツ\nSmile\n\x0E\x03\x02\x08\x06カゲツ\nAh! Another Princess Ivy. It is very nice to meet\nyou. I hope we can be friends.\x0E\x04\x00\x00
MID_BT9_#002	\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nYou are as transparently fake as ever, Kagetsu.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x05\x01\x1A\x06カゲツ\x10Surprise\n\x0E\x03\x02\x08\x06カゲツ\nWhat do you mean by that? Am I truly so\ndifferent in this world?\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E004_Boss\nWhat a miserable wretch you are. Not a single\ngenuine smile for me, ever.\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01$\x12E004_Boss\x0ESerious\nNo matter how I might try to curry your favor,\nyou always despised me.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nSo tell me, impostor. Why would someone like\nthat sacrifice his life for his queen?\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x05\x01\x18\x06カゲツ\x0EStandBy\n\x0E\x03\x02\x08\x06カゲツ\nPerhaps you misunderstood his feelings. I do\nnot believe he despised you at all.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nLindon? No. This must be another one of\nSolm's tricks.\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\nPity. If you were actually with us, we would\nhave brought Lord Sombron back by now.\x0E\x04\x00\x00
MID_BT10_#003	\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x12\x08リンデン\x06Sad\n\x0E\x03\x02\x0A\x08リンデン\nPrincess Ivy. Sadly, I cannot speak for the\nLindon you knew in this world.\x0E\x04\x02\x00
MID_BT10_#004	\x0E\x05\x01\x16\x08リンデン\nAngry\nBut I cannot imagine he would support you in\ndoing this. Forgive me, but I must stop you.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x18\nミスティラ\nSmile\n\x0E\x03\x02\x0C\nミスティラ\nCiao! Nice to meet you, me!\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nAn illusion... What's the purpose of it?\nTo weaken my resolve?\x0E\x04\x02\x00
MID_BT11_#003	\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\nWell, it won't work. Convincing as this likeness\nmay be, I won't be fooled by Fell Dragon magic.\x0E\x04\x00\x00
MID_BT11_#004	\x0E\x05\x01\x1A\nミスティラ\x0CNormal\n\x0E\x03\x02\x0C\nミスティラ\nHey, I'm no phony! Though I get why you'd\nthink that. It's a real shock, meeting yourself.\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x14\nミスティラ\x06Shy\nI'm surprised too. Can't believe I'm so stuffy\nin this world, almost like...a normal ruler.\x0E\x04\x02\x00
