MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nGriss!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAre these all spicy things? You tailored these\nto my tastes again, didn't you?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	I appreciate the gesture, but if you can't eat\nthem with me...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nDon't you worry. I've been practicing.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nEven so...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nC'mon, let's eat.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Hmm, this bright-red cookie smells pretty good.\nOr should I try... No, I'll take this one.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTake it slow, OK? I've seen how you handle\nspicy foods.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nNo, I've got this. I can handle spice─really!\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Maybe I'll try this cake next... Though, whoa!\nIt definitely smells like it packs a punch.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nWhy are you putting yourself through this?\nI hope it's not just for my sake.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nWell, nobody likes being afraid, right?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nI don't follow...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nI know that you're scared of me. Just looking\nat me makes you shudder.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	I don't like being scared, so the last thing I want\nto do is make you feel that way.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	I know that other me hurt you, but I'm not your\nenemy, and I wouldn't ever scare or harm you.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	I thought that this could be a way to prove that\nto you.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nI...I see. I think.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nIf eating this food together makes you happy,\nthen it's worth it. I'll get used to the burning.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nI'm not scared of you anymore, Gregory. It's\npainfully clear that you're a kind person.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	But...it scares me when you push yourself like\nthat for my sake. I worry you'll faint again.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nReally?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nNext time, if you want to bring me a gift, it\nshould be something we both enjoy.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	I want us to be friends, but that doesn't mean\ndoing things that make us uncomfortable.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Unless you don't want to be friends...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nNo. I mean, yes! I want to be your friend, if you\nare comfortable with that.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nThank you!\x0E\x04\x02\x00
MID_RELIANCE_A_#030	On that note, what's a food you really like?\x0E\x04\x02\x00
MID_RELIANCE_A_#031	It's my turn to treat you, as a thanks for\neverything you've done.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nグレゴリー\nThank you, Lady Veyle. I'll be sure to pick\nsomething extra tasty...when I can taste again.\x0E\x04\x00\x00
