MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI've never seen a power like yours. The ability\nto manifest Emblems... I want to make it mine.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWe were just about to have a tea party. Would\nyou like to join?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIf I can sit and listen...then I would enjoy it. I'm\nnot against loud conversation.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIt must be nice, getting to spend so much time\nwith your brother.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nYour brother left on a journey, right? I'm sure\nthat wherever he is, he's thinking of you.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nIsn't that how siblings are, after all? I'm sure\nyou are constantly thinking of him too.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nYes, you're right. Thank you... I feel better\nafter talking with you.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nYou are truly a force to behold in battle.\nFighting beside you leaves me awestruck.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou are a strong knight yourself. I'd like to\nmake you mine.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nBrother... I miss you so much.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nOh, you have a brother? I'd like to meet\nhim someday.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nBack home, I often brewed a special black tea\nfor my family. Do you like black tea?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI do, yes. My brother and I would drink tea\nwhenever he was home.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nWell then, I'll start brewing a pot. I have some\ngreat tea leaves we can enjoy together.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nThat sounds nice. I look forward to hearing\nyour stories.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nHow marvelous! A princess from a magical\nbracelet! Please tell me all about your world.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nThere is nothing in Embla. Nothing at all. Firene\nis quite bountiful in comparison.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nPrincesses so rarely get the opportunity to try\nfolk food. I wish I could give you some.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI'm not really interested. I do enjoy black\ntea, however.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nYou said you liked black tea, right? I found a\ndelicious blend in town and just had to buy it.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAhh, that smells amazing. Would you steep\nsome for me?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nOf course. Even if you can't drink it, you can\nstill enjoy the scent. And we can have a chat!\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nSpeaking with you over tea sounds nice. I look\nforward to learning more about you.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIn the other world, my bracelet was in Brodia.\nMeeting you again feels like fate.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSo you have a special bond with my country.\nI'm all the more pleased we could meet.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI once fought a king who could command flame.\nI've hated fire ever since.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nI'm with you there. I tried to use fire magic\nonce, and it went awfully wrong.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVeronica, your magic is extraordinary. You must\nhave worked quite hard to gain so much power.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI did not. It came to me naturally.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nEven if that's true, you've learned how to use it\nresponsibly. Observing you has taught me a lot.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nI want to learn from you too. Perhaps you can\nteach me what makes a good ruler.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nAn Emblem appearing from a bracelet... What a\nromantic idea. Tell me about yourself!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIf you're that interested...I suppose I can talk to\nyou. But...what's so impressive?\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nVeronica, do you know much about alpacas?\nThey're wonderfully cute and fuzzy floofers!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI don't know of them. However, if they're cute\nand fluffy...I might be a little curious.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAmber, you are always laughing. How does one\nlaugh? Would you teach me?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nHow does one... Well, you laugh when you're\nhaving fun. I know, look at my face. Ready... Go!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nHeh-heh. Suddenly making a ridiculous face...\nVery sneaky.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nThat's it! You have a wonderful laugh. I'll help\nyou practice laughing anytime you like!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJade, you fulfill your duties faithfully. That's a\ngood quality. I want to make you mine.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIt's an honor to receive praise from you. I will\ngladly continue to be your "Iron Wall."\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI would like to model a character in a tale after\nyou. What would you say to that?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYes. I am curious about what you write.\nWhen you're done...could you show me?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI finished my story inspired by you. Would you\nmind giving me your honest opinion?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYes, I want to read it. Put it here, and we can\nread it together.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nI modeled a town girl after you. See, she\nappears for the first time on this page.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nHow strange... This is me... Does the story keep\ngoing? I'm very curious now.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIs there some reason you are hiding in the\nshadows? If you want something...come closer.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nSorry! I wanted to say hello, but what if you\ndon't want someone like me near you?\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYour archery is superb. You are quite skilled\ndespite your insistence otherwise.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nTh-there's nothing praiseworthy about me!\nI'm just doing everything I can to protect you!\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nYou are every bit the magnificent monarch.\nCompared to you, I'm just...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou take care of your subjects. That is what\nmatters most.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nI am not yet a good monarch. But you seem to\nto know how I can become one. Tell me...\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nI-I don't know what I could teach you. But...I'm\nhappy to speak with you whenever you want.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nAn imperial princess like you probably finds\nan average person like me unimpressive.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOn the contrary, I'm curious to learn more\nabout you. Tell me everything.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ラピス\nYams are great, right? They'll grow anywhere...\nAt least, that's what I read in a book!\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou know the most interesting things. So many\nthings I don't know. I want to hear more.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nLapis, I heard you have younger brothers and\nsisters. Do you all...get along?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nYeah! We all played in the fields. We'd go eat\nweeds... Uh, pick weeds. You know...kid stuff.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nThat sounds nice. My older brother was always\nleaving as soon as he came back. It was lonely.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nWell, as long as you're here, I won't let you be\nlonely. Let's go play in the hills and fields!\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHello, Veronica. I am a student of magic. I was\nwondering if you would consider teaching me?\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI've never taught anyone before. If you wanted\nto talk, we could do that for a while.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI'd love to see your smile more often. We should\nhave fun chatting again soon.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI was...smiling? Maybe I was really enjoying\nyour company.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nWhen I fight, it's to protect my homeland.\nBrodia is everything to me.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou sound like royalty. Are you a monarch?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nNo, I'm not. Isn't it natural for everyone to fight\nto protect what they hold dear?\x0E\x04\x00\x00
