MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI hear that you are as stout of heart as you are\nstrong. I look forward to working with you, Nel.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nSo you are a father. Worry not─doubtless your\nson follows dutifully in your storied footsteps.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIn this world and my own, I have seen siblings\non opposing sides in war. It truly is a tragedy.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nAre you hinting at something? Because I am in\nno mood to be lectured.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0A\x08シグルド\nNo. You made a mistake, and you corrected it.\nI believe that strength will guide us.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nI did not do it alone. There is something to be\nsaid for friendships such as ours, I must admit.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nFrom the look in your eyes, I can tell you are a\nwarrior with a strong, just heart.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nI'm honored to hear that from a knight like you,\nSigurd. I'll do my best not to disappoint you.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI failed to protect my friends in the past. I won't\nlose anyone that way ever again.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0A\x08シグルド\nAnd yet despite that pain, you continue on.\nI am sure they watch over you, even now.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nThe resolve of the Four Winds fighting for\npeace is inspiring. I could learn from you all.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier founded the Four Winds, and it became\na family. I treasure it with all my heart.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSuch bonds don't disappear. Even if we lose\nsomeone, we will always be the Four Winds.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0A\x08シグルド\nHaving bonded with you myself, I'm proud to\nfight beside you. I will give all to end this war.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nThe animal doll I saw you staring at earlier was\nrather charming. Is it a gift for someone?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNo, um, that's for me. I like cute things. Like\nyour horse, Sigurd! It's the cutest horse ever.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI think that sometimes...escaping is as important\nas fighting. It's better to live than to lose.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08シグルド\nA wise battle tactic, albeit...not always possible.\nYou have clearly seen the brutality of battle.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou must have had a charmed childhood, to be\ngifted with such a pure and honest heart.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nThat's...far from true. My childhood wasn't\nkind at all.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nI became who I am because of the Four Winds...\nand from meeting real heroes like you.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08シグルド\nI am honored to hear you say that, Gregory. May\nour paths remain intertwined.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI hear you single-handedly defended your town.\nIt's comforting to have such a knight with us.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nIt is a knight's duty to protect their people!\nI swear to prove myself worthy of your praise.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYour spirit befits a knight. It shows in your\nbehavior, and most of all, in your skill in battle.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nIt's an honor to receive such praise from you.\nI aspire to become a knight like my parents.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYour parents must have been fine knights. Was\nit always your goal to be a knight like them?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nYes. I admired them greatly, and I wanted to\nhonor that legacy by following in their path.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08シグルド\nYou are a splendid knight, whom I trust to have\nmy back. Let us end this fighting together.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nGladly! Let the strength of our bond pave a new\nroad for the future.\x0E\x04\x00\x00
