MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\nCongratulations, big guy! Anniversaries like this\ndon't come around every day.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nI never imagined I would feel this way\nwhen praying.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nYou don't pray much, huh?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nI was a follower of the Fell Dragon.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nI would pray every day...and feel nothing.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nOh. So you did pray, but it was just going\nthrough the motions.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nYes, exactly. My parents were devout believers\nin the Divine Dragon.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nBut our family was destroyed by an epidemic.\nPraying did no good.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nSo even though I prayed, I never understood\nwhat it was I truly believed.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nYou showed me praying is not only for worship.\nIt can be a means to think warmly of others.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nYeah, that's how I see it too. I'm glad someone\nelse gets it!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nThank you for teaching me this feeling.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nOh, quit being so stiff. Hey, what did you pray\nfor anyway?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nThere is someone I would give my life to\nprotect. I was praying for them.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nWow... That's real sweet of you. I wonder if\nanyone will ever pray like that for me.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nI prayed for you as well, Lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nWhat? Really?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nI prayed you would be always healthy and able\nto sell your wares with a smile.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nHahaha, nice!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nI've got just the thing to thank you with! You\nreally liked that fruit, right?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nYes... But do I not owe you some payment?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nNah. It's free today, on account of it being the\nanniversary of me being so touched.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nTake the gesture and get outta here,\nyou cheapskate!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06モーヴ\nWell, thank you.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06モーヴ\nSince it is a special day, we should share\nthis fruit.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nYes! These are pretty expensive, so I don't get\nmany excuses to eat them myself.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06モーヴ\nI suspected that might be the case. Let us eat,\nand perhaps discuss other prayers as well.\x0E\x04\x00\x00
