MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nYou'd do anything for your brother, wouldn't\nyou? I feel the same about my own family.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI held someone's hands to warm them, but they\nran away. I guess Mage Dragons are scary.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カミラ\nDon't be disheartened. You're gentle, not scary.\nHow about you try giving them a hug next time?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIt's surprisingly difficult to get someone to let\nme dote on them. Is there some trick to it?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カミラ\nJust go on being kind and affectionate like you\nare. These bonds have to develop naturally.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カミラ\nI think the way you care for everyone is very\ncute, Zelestia. Let's keep talking together, OK?\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nI feel like we can talk easily about many things.\nIf you ever need your hands warmed, I'm here.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nYour clothes never fail to inspire me. Dressing\nwild to intimidate the enemy... I'm a fan.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nThanks. Your armor is pretty intimidating too.\nWith you beside me, no one would dare face us!\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nYou aren't really suited for battle, are you? Why\nis it, then, that you still enter the battlefield?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nMauvier wasn't my brother by blood, but I want\nto do his memory proud in the role I inherited.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nI understand caring for a sibling with no blood\nties. But try not to overdo it. You need rest too.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nI won't push myself too far. I'm a coward at\nheart, not a warrior. I only excel at fleeing.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06カミラ\nBut you flee so you can face the next battle!\nThat makes you a splendid warrior.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nHearing that from a noble Emblem like you\nis reassuring. Thank you, Camilla.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIt's been a while since we've been able to talk\nlike this. You're as cute and strong as ever.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nLady Camilla, thank you. Um, but... I have to\nkeep on training if I'm going to get stronger.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI appreciate your kindness. However, I would\nrather not be treated as a child.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06カミラ\nOh dear, I'm sorry. You're just so irresistibly\ncharming, especially when you're being tough.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nI want to care for hard-working girls like you.\nMore so when they're courageous and heroic.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nFor a knight, working hard is a matter of course.\nMy role is to do well in battle for my master.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カミラ\nThat's true. You're a strong girl, Madeline. But\nsometimes it's OK to accept a little pampering.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nIt goes against my knightly spirit, although I do\nlike to be doted upon sometimes...just a little...\x0E\x04\x00\x00
