MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, Lapis! I wanted to thank you for all of your\nsupport in our recent battles.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nI have no intention of undoing it. I carved your\nname into it because I want you to have it.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nWhat do you say, Lapis? Will you wear the\nPact Ring?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ラピス\nYou know, there was a time when a situation\nlike this would've had me fleeing in shame...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06ラピス\nBut...I care about you, Divine One. And it\ndoesn't matter what anyone else thinks.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nDoes that mean...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ラピス\nOf course. I will accept this ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ラピス\nYou took such care in carving my name into it...\nHow could I possibly say no after that?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nThank you, Lapis. I'm so glad.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ラピス\nUm... I actually have something important to tell\nyou, Divine One. You see, I...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nYou're from a village of yam farmers, right?\nWay out in the Brodian countryside?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ラピス\nHuh? How did you know that?!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nI read up on Brodian yams. It's just a nickname.\nThe only people who call them that are...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ラピス\nYam farmers. Ugh. My secret is out...but I think\nI'm glad. That's a big part of who I am.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nIndeed. And I'm giving you the Pact Ring\nbecause of who you are, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ラピス\nThank you, Divine Dragon \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ラピス\nYou'll be safe with me. It turns out we're both\npretty crafty...so let's carve out a better world!\x0E\x04\x00\x00
