MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nGrilled and ready to go! This meat is so yummy\nit's gonna make your taste buds dance.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nWhen you invited me, you said we'd be eating\nmeat together.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nAnd I was telling the truth! You got a nice big\nhelping, right?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nYes, I was stuffed. I only wish you had said\nsomething like...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\n"I've found the bandits' camp, so let's barge in,\ntake them out, and then grill up some meat."\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nThat would have been more, you know,\naccurate.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHahaha! So wordy, though. My way was much\nmore concise.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nThat's one way to look at it.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nStill, you never cease to amaze. You take it\nupon yourself to help root out bandits...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nWhat, is that not normal?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nI'm just protecting my people. I thought that's\nwhat royalty was supposed to do.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nYou say something completely radical like it's\nthe most obvious thing in the world.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nHahaha! That's my charm!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHey, Divine One, it's meat o'clock! You in?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nThat depends. Will there be a surprise bandit-\nhunting trip this time?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nHehe! No, I promise it's just you, me, and some\nfresh-grilled hunks of meat.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nI got a nice haul from the latest hunting trip,\nand I wanna share the spoils!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nAll right. In that case, I'd be happy to partake.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x04\x03\x04
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nWoof... I'm so full I can hardly move...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nI must say, that was delicious. Good job at\nthe grill.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nUh-oh.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nWhat is it?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nOK, before you get mad...I really did intend for\nthis to be a plain old picnic.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nBut there are some thugs surrounding us, and\nit looks like they have other ideas.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nWhat?! I thought we cleared them out!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nI thought so too. There must have been a\nhideout I missed in my investigation.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAh... There are a lot of them...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nI'll create a breach, and you run through\nto safety.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nHm, good plan. But here's another to consider.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nLet's take them all out and eliminate the bandit\nthreat once and for all.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nIf we do that, everyone in this entire region will\nfeel much more safe.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nHehe! Hate to admit it, but I like that better.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nI guess you're rubbing off on me.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nミスティラ\nCome on! Let's make sure these jerks never\nruin a picnic again!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nRight behind you!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nDivine One, you know the people of Solm value\nfreedom above everything else, right?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nI do.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nミスティラ\nThat goes for me too. I love doing whatever\nI want to do, whenever I want to do it! It's just...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nミスティラ\nDo you ever feel chained down by your closest\nfriendships?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nWhat do you mean?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nミスティラ\nWhen we connect with people─you know, really\nbond with them─those bonds make us stronger.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nミスティラ\nI mean, our closest allies help us do things we\ncould never do all by ourselves.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nミスティラ\nThat's powerful stuff. But those bonds─those\nfriendships─can feel like obligations too.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nI see what you mean, and you're not wrong.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nSometimes, when you care about someone, you\nhave to put their desires before your own.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nThat happens in close relationships.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nミスティラ\nSo, you have to give up close relationships to\nreally be free? Is that what you think?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nI think you should take this.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nミスティラ\nIs that...the Pact Ring?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nYes, and I want you to have it, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nミスティラ\nMe?! But why?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nBecause this will bring us closer together but\nnever take your freedom from you.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nI care about you, Timerra, and I don't want you\nto lose the thing you hold most dear.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nミスティラ\nDo you really think you and I can have this\nkind of a bond and also have our freedom?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nYes. I really do.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nミスティラ\nThat's so...beautiful. I suppose I have my\nanswer, then.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nミスティラ\nI─ I'll accept the ring.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nI promise you, though our hearts will remain\nconnected, you will be free.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nミスティラ\nI like the sound of that very\nmuch, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nミスティラ\nThis will be our bond forever... No matter where\nwe are or where we go, we are always together.\x0E\x04\x00\x00
