MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nYou─ Ivy. I have something to say to you.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	I think learning your lesson, and applying it here\nin this world, is the most you could hope to do.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nYou are right. My sins are unforgivable, and I\nwill carry that burden for the rest of my life.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	But I have learned my lesson, thanks to your\nacademy. Institute of higher education, indeed.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nWell remembered.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	You know, Lord Rafal, you and I have studied\ntogether for quite a while by now.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	I don't think it would be inappropriate for us to\nthink of one another as schoolmates.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nIs that the term you use for an academy friend?\nI do not know if I have earned this distinction.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nCome now─we've spent all this time learning\ntogether. It could hardly be any more fitting.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	I daresay there's no better descriptor for our\nrelationship as it stands. Surely none I'd prefer.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nIf that is your desire, then it cannot be wrong.\nYour wish is what began this endeavor, after all.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Then let us consider one another schoolmates\nuntil the end of time. Even after graduation.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アイビー\nAnother treasured memory that I will happily\nadd to my collection.\x0E\x04\x00\x00
