MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nUgh... Yeah, of course I did. Stupid tiny loops\ncan't sit still for half a second...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nEasy, now. Slow down or you will find yourself\nwith a tangled mess.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nWe're way past that. It looks like an old fishnet\nthat washed ashore.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Yes, I see. You will need to rip out those\nlast few stitches and do them over.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nReally?! You think?! Ugh... I can't do this.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nFear not, this only practice. A clumsy mistake\nis but a learning experience.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nClumsy! Yeah, because I'm SO... Ugh. I'm sorry,\nVander. Knitting's not for me.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nI appreciate you taking the time, but I'm not cut\nout for this kind of thing.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nIs that so? I am surprised to see a knight of\nBrodia surrender at the first sign of trouble.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nThe warriors of Brodia are famed for their\nresolve. Perhaps that reputation is misleading.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nUh-huh.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nTrying to get a rise out of me? Doesn't suit you.\nStick to the delicate stuff.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nYou're right, though, about Brodian knights.\nWe never quit, and I'm not about to start.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nPerhaps I have been too hard on you. I will be\nmore gentle in my instruction from now on.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nNo, no. You've done more than enough.\nI'll handle the rest on my own.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nI'm gonna knit so hard it pops your pauldrons.\nYou just stand back and wait to be impressed.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nVery well. I eagerly await your results.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nVander! My knitting project's all done!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nFinally finished, have you?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nIt's just a little drawstring pouch, but...came out\npretty good, didn't it?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Stitches are straight, loops consistent...\nThis is well made.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nClearly the result of your hard work and\ndetermination. Fantastically done.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nI have to say, once I got into a rhythm with it,\nknitting was...really calming. Like meditation.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nI get what you meant now─about how you see\nthis like another kind of training.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nI'm grateful to you for teaching me, Vander.\nTo show my appreciation...I made you this.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nNothing too fancy. Just a little something extra\nI threw together.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAh, a scarf!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nThe pouch was excellent on its own, but to\nmake this too, and so quickly... I'm impressed.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nBrodian knights hate to quit, but we love to\nlearn. Gotta put in the work to be the best.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nI see. However, you should know that, good as\nyou are, you will not surpass my skill easily!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nI've got a long way to go for that, I know.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nIn all seriousness, perhaps you and I should\ntrain together.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nTrain?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nI will teach you more about knitting, and you\nwill show me some of your combat techniques.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nNow you're speakin' my language!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nYeah, I'd love that. I'm sure there's a lot we can\nlearn from each other!\x0E\x04\x00\x00
