MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI am thrilled to be your compatriot. I swore to\nLumera that I would defend you with my life.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIt might be pleasant to dredge up a memory or\ntwo with you. I accept your invitation, Louis.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クロエ\nI'm so excited to fight alongside you, Sir Sigurd.\nYou're like a knight right out of a fairy tale!\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI am no storybook hero. Only a man who fights\nfor the people. Something we both believe in.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クロエ\nSigurd, look! I found some extra-special folk\nfood made from dried and fermented fish.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08シグルド\nThe smell is...overwhelming. This is food, you\nsay? It must be an acquired taste indeed.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06クロエ\nYou're taking breaks now and then, right,\nSigurd? Even Emblems need rest...I think.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08シグルド\nHm. My yearlong stay in Silesse was the last\ntime I felt truly at peace.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nThat long, huh? Why don't you rest a minute?\nI'm told my shoulder is an excellent pillow.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0A\x08シグルド\nI must decline, due to my incorporeal nature.\nPerhaps I may tell you a story instead.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIt's an honor to fight alongside you, Sigurd. I've\nheard you're a hero who faced great hardships.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08シグルド\nThis is true─yet my friends helped me achieve\nmuch in my time. They were heroes as well.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSigurd... I struggle with magic. I'm held back by\na painful childhood memory that involved Fire.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08シグルド\nCurious. I carry a painful memory that involves\nfire as well... I will never forget that terrible day.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nWhen this war is over, Sigurd, I hope you'll join\nus in Brodia. I could learn so much from you.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08シグルド\nA high compliment from a man with your skills...\nStill, the Dragon Divine must approve.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0A\x08シグルド\nNo matter what, you and I now share a deep\nbond. Near or far, that bond will never break.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nWell said, Sigurd. With your help, I will see this\nbattle through to the end.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08アンバー\nYou're a holy knight, right, Sigurd? Man, that\nis so cool! I can't believe I get to talk to you!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI am touched by your enthusiasm, Amber.\nStill, we are friends now. You may relax. Please.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI hear you are the son of a farmer. You must\nhave worked hard to ascend to knighthood.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nKinda! I did a lot of horseback training. I wish it\nhad been alpacaback...but they're too small!\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI was slain in battle with my dreams unfulfilled...\nFortunately, my son finished what I began.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nWhoa... I hope I can fight as well as your son.\nI want to become a true alpaca-hamlet miracle!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08シグルド\nHaha... It must be wonderful to see one's child\ngrow into a hero. Pursue your passions, Amber!\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nI will! I have a lot to learn from you, Sigurd.\nI hope you'll stick around.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI swear to uphold my honor at your call, Sigurd.\nWhen you need an iron wall, I will be there.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08シグルド\nThank you, Jade. Let us join together to protect\nour allies in the fashion of true knights.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nWho placed this armor here, upright and alone...\nAh! Jade! I failed to see you in there somehow.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nSorry, Sigurd. I was just meditating. Heh, I will\nadmit, your reaction was very satisfying.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSigurd? Would you mind if I wrote a story about\nyour life? I'd like to capture your experiences.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08シグルド\nYou wish to put me in a novel? There are many\nfigures with tales much happier than mine...\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nThat may be true...but I'd still like to write\nyours in particular. If you'll allow it, that is.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08シグルド\nVery well. We must spend much time together\nso I can best tell you my story.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nスタルーク\nAah! Forgive me, Lord Sigurd! I wanted to say\nhello, but I'm not worthy of your time, and yet...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0A\x08シグルド\nNo need for concern, Alcryst. I am just another\nally of the Dragon Divine like you.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou may not have realized this, Alcryst, but you\nare loved. Your kindness invites such fondness.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nOh... I'm not worthy of your words. Th-thank\nyou so much, Lord Sigurd... It's an honor.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou have a natural talent for spotting the best\nqualities in others. I hope you recognize that.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nI wouldn't say I'm talented at it... It's just a\nsimple fact that everyone is better than I am.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0A\x08シグルド\nHaha, so certain! I hope you manage to turn\nthat keen eye toward yourself someday, Alcryst.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nThank you, Lord Sigurd. I can't promise that\nwill happen, but...I'll try.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ラピス\nYou're a prince and a knight, right, Sigurd? And\nI'm just a lowly commoner. Oh, I'm so nervous...\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0A\x08シグルド\nIt matters not from whence you hail, Lapis.\nWe are united by our cause. \x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ラピス\nMmm, nothing beats a potato from home... Ah!\nSigurd! Did you...catch all of that?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x0A\x08シグルド\nWhy such a panic, Lapis? By all means, feast!\nOne cannot win a battle on an empty stomach.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI lost my most important battle, and left my son\nSeliph behind. I had so much to teach him...\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nThat sounds so hard─for you and for your son.\nWar causes so much pain and suffering...\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x0A\x08シグルド\nAny battle might be your last. If you have words\nto share with someone, never hesitate to do so.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nYeah... You might not get another chance, huh?\nThank you, Sigurd. That's an important lesson.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nシトリニカ\nIt's wonderful to meet you, Sigurd. May I offer\nyou some cake? I just bought a whole bakery!\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI cannot possibly eat that much cake─or any\ncake at all, actually. Still, I appreciate the offer.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI love Brodia, and Brodia has loved me in return.\nIts people, its land... Its everything.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0A\x08シグルド\nHold on to that love, Citrinne. Let it guide you\nin protecting your kingdom...and your people.\x0E\x04\x00\x00
