MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nThanks for asking me to be your training\npartner today, Diamant. It means a lot.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nYou? Afraid?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's right. Now I work like this every day to\novercome that fear and conquer my weakness.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's why training with these mages is\nso important.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nI always thought you were flawless...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNo one is flawless. I have to train like this every\nsingle day.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst. You must not speak of this to anyone.\nDo you understand?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nI won't tell a soul.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nI should get back to it. I don't like to keep the\nmages waiting.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nDiamant, you don't need to push yourself so\nhard.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nWe're Brodia's protectors. It's our duty to grow\nstronger in every way we can.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nTalking with you has settled my nerves a bit.\nI'll be fine. Don't worry.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0C\nスタルーク\nBut, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nHe's afraid of something. My brother has\na weakness. I can't believe it...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nAh, bullseye. That's good! I'll do 50 more,\njust like that.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nYou really are skilled with a bow, you\nknow that?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nDiamant? How long have you been watching?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nLong enough to see that archery is definitely\none of your strengths.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nThank you...but there's still plenty of room\nfor improvement.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nI need to train more. I want to grow stronger.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nThere it is! That's the right attitude. I knew my\nlittle brother had it in him.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nDiamant, may I... May I challenge you to an\narchery contest? If you have the time?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! That sounds like my kind of fun.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nWhat's the challenge? Most bullseyes out of\n10 wins?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nThat sounds good to me. Let's begin!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x04\x03\x04
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... I'm shocked. I knew you were a\nskilled archer, but...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nWhat are you talking about? You scored nine\nover my miserable eight. I've been defeated...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nHeaping praise on your brother after soundly\ndefeating him at his own contest? What a bully.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nHa! I'm not going to let my baby brother win.\nIf you want to beat me, you have to beat me.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nHeh heh, I should have expected nothing less\nfrom the crown prince of Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nI wish you knew how reassuring it is to have\nan older brother like you, Diamant. I'm lucky.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nI'm lucky to have you as a brother, too, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNo other challenger has ever been as skilled and\npolite as you─archer or otherwise.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nI'll just have to train more and grow stronger.\nWhen I'm ready, I'll come looking for a rematch.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nYou're on. But be warned, my own training\nwon't slow down. I'll be stronger as well.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nI have no doubt that you will, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nI'm behind you for now, but I will catch up.\nNo. Better than that─I'll surpass you.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nAnd whatever else happens...I will always\nprotect you.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nHm? What was that last bit, Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nJust talking to myself. Don't worry.\x0E\x04\x00\x00
