MID_TUT_CATEGORY_TITLE_Battle	Battle
MID_TUT_BMAP_TERRAIN_0	Terrain provides various effects in battle.\nFor example, it is harder to land a hit on a\nunit positioned in a thicket.
MID_TUT_BMAP_TERRAIN_1	Thickets also cost more movement for ground\nunits to pass through.
MID_TUT_BMAP_TERRAIN_2	You can see terrain effects in the information\nsection at the top-left corner of the screen.\nUse terrain to your advantage in battle.
MID_TUT_BMAP_RECOVERY_TITLE	Healing
MID_TUT_BMAP_RECOVERY_0	A unit with 0 hit points (HP) can no longer fight.\nUse items like vulneraries to restore HP.
MID_TUT_BMAP_RECOVERY_1	To use a vulnerary, select the Items command.
MID_TUT_BMAP_SYNCHRO_TITLE	Syncing with Emblems
MID_TUT_BMAP_SYNCHRO_0	A unit can fight alongside an Emblem.\nThis is called being synced.
MID_TUT_BMAP_SYNCHRO_1	While synced, the unit has increased power\nand access to sync skills.
MID_TUT_BMAP_KIZUNA_LV_TITLE	Bond Level
MID_TUT_BMAP_KIZUNA_LV_0	Allies who fight alongside Emblems gain bond\nEXP, increasing their bond level.
MID_TUT_BMAP_KIZUNA_LV_1	As their bond levels increase, units gain stats\nand access to new effects.
MID_TUT_BMAP_RANGE_TITLE	Attack Range
MID_TUT_BMAP_RANGE_0	Each weapon has a set range. \nA bow with a range of two can\nattack enemies two spaces away.
MID_TUT_BMAP_RANGE_1	Weapons with a range of one cannot counter\ndistant attacks. Weapons with a range of two\ncannot counter adjacent attacks.
MID_TUT_BMAP_BREAK_TITLE	Breaking Enemies
MID_TUT_BMAP_BREAK_0	Inflict the break status on an enemy by landing\nan attack with a weapon that has advantage.
MID_TUT_BMAP_BREAK_1	Broken units cannot counterattack until after\ntheir next combat. This is your chance to attack!
MID_TUT_BMAP_BREAK_2	Swords have advantage over axes, axes over\nlances, and lances over swords. Arts have\nadvantage over bows, tomes, and knives.
MID_TUT_BMAP_WAND_TITLE	Staves
MID_TUT_BMAP_WAND_0	Staves are items with which your units can help\nallies or hinder enemies. Only certain classes,\nlike martial monks, can use them.
MID_TUT_BMAP_WAND_1	A Heal staff, for example, restores an ally's\nhit points (HP).
MID_TUT_BMAP_WAND_2	Staves are useful, but they break\nafter a certain number of uses.
MID_TUT_STYLE_PRANA_TITLE	Qi Adept Units
MID_TUT_STYLE_PRANA_0	Qi adept units can use Chain Guard\nto protect adjacent allies from attack.
MID_TUT_STYLE_PRANA_1	With Chain Guard, the ally does not take\ndamage. Instead, the qi adept takes damage\nequal to 20% of their own max HP.
MID_TUT_STYLE_PRANA_2	Chain Guard is only available\nif the qi adept unit's HP is full.
MID_TUT_BMAP_MAGIC_TITLE	Magic
MID_TUT_BMAP_MAGIC_0	Magic can attack both distant\nand adjacent enemies.
MID_TUT_BMAP_MAGIC_1	Magic is often effective against enemies\nwith high physical defense.
MID_TUT_STYLE_MAGIC_TITLE	Mystical Units
MID_TUT_STYLE_MAGIC_0	Mystical units ignore terrain bonuses to a foe's\navoid rate (Avo) when attacking with magic.
MID_TUT_STYLE_MAGIC_1	Mystical units can land attacks from a distance\neven when an enemy should be hard to hit.
MID_TUT_BMAP_GOD_ENERGY_TITLE	Emblem Energy
MID_TUT_BMAP_GOD_ENERGY_0	Sometimes an Emblem's energy\nlingers in a space.
MID_TUT_BMAP_GOD_ENERGY_1	If a synced unit finishes their action or waits\non a space containing Emblem energy, their\nengage meter will fill completely.
MID_TUT_OVERALLINFORMATION_TITLE	Danger Radius
MID_TUT_OVERALLINFORMATION_0	When you place the cursor on an enemy, you\nwill see the radius that foe can reach. You can\npress \x0E\x08\x02\x04\x02A to keep that radius displayed.
MID_TUT_OVERALLINFORMATION_1	You can press \x0E\x08\x02\x06\x04ZL to see the danger radius\nof all your enemies at once.
MID_TUT_BMAP_SPECIALATTACK_TITLE	Effectiveness
MID_TUT_BMAP_SPECIALATTACK_0	Some weapons have icons to indicate that they\nare effective against certain types of foes.
MID_TUT_BMAP_SPECIALATTACK_1	Such weapons inflict bonus damage to foes\nof the indicated types.
MID_TUT_STYLE_COOP_TITLE	Backup Units
MID_TUT_STYLE_COOP_0	Backup units can add a chain attack\nto an ally's assault.
MID_TUT_STYLE_COOP_1	They will join an ally's attack if they are\nin range.
MID_TUT_STYLE_HORSE_TITLE	Cavalry Units
MID_TUT_STYLE_HORSE_0	Cavalry units have the highest movement.
MID_TUT_STYLE_HORSE_1	Their high mobility allows them to cross the\nmap quickly to land a first blow or aid an ally.
MID_TUT_STYLE_COVERT_TITLE	Covert Units
MID_TUT_STYLE_COVERT_0	Covert units gain twice the usual bonuses to\navoid rate (Avo) from terrain effects.
MID_TUT_STYLE_COVERT_1	They thrive in areas with lots of thickets\nor other terrain with beneficial effects.
MID_TUT_STYLE_HEAVY_TITLE	Armored Units
MID_TUT_STYLE_HEAVY_0	Armored units do not break when attacked with\na weapon that has advantage.
MID_TUT_STYLE_HEAVY_1	Their high HP and defense make them reliable\nfrontline units, but low resistance can leave\nthem vulnerable to magic.
MID_TUT_STYLE_FLY_TITLE	Flying Units
MID_TUT_STYLE_FLY_0	Flying units ignore terrain effects and can pass\nthrough squares inaccessible to units on\nthe ground.
MID_TUT_STYLE_FLY_1	While these units can navigate the battlefield\nwith ease, they are vulnerable to bows.
MID_TUT_STYLE_DRAGON_TITLE	Dragon Units
MID_TUT_STYLE_DRAGON_0	Dragon units often gain additional effects from\nengage skills and engage attacks.
MID_TUT_STYLE_DRAGON_1	Increase their bond levels to take full advantage\nof the Emblems' abilities.
MID_TUT_STYLE_BATTLE_TITLE	Unit Types
MID_TUT_STYLE_BATTLE_0	Units have various types, such as cavalry,\nqi adept, and mystical. Each type has\ndifferent advantages.
MID_TUT_STYLE_BATTLE_1	Check a unit's type on the stats screen.
MID_TUT_BMAP_ITEMDROP_TITLE	Enemy Item Drops
MID_TUT_BMAP_ITEMDROP_0	Item icons on enemies indicate that you can get\nsomething for defeating them.
MID_TUT_BMAP_ITEMDROP_1	Items you can obtain will be highlighted in\ngreen in the enemy's inventory.
MID_TUT_BMAP_XHELP_TITLE	Details
MID_TUT_BMAP_XHELP_0	Review information about a unit by\nselecting them with \x0E\x08\x02\x04\x02X.
MID_TUT_BMAP_XHELP_1	Check the Details screen for information\nabout weapons and skills.
MID_TUT_BMAP_XHELP_2	Return to battle by pressing \x0E\x08\x02\x04\x02B or \x0E\x08\x02\x04\x02X.
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	Bonds
MID_TUT_BMAP_BONDSSUPPORTTALK_0	As you raise the bond level between Emblems\nand units, you will unlock bond conversations.
MID_TUT_BMAP_BONDSSUPPORTTALK_1	Watch available bond conversations while\non the Somniel or exploring the world map.
MID_TUT_BMAP_BONDSSUPPORTTALK_2	Once you view a bond conversation, you will be\nable to increase the bond level even further.
MID_TUT_BMAP_SUPPORT_TITLE	Support
MID_TUT_BMAP_SUPPORT_0	As allies fight next to each other or heal each\nother, they gain support points and eventually\nunlock support conversations.
MID_TUT_BMAP_SUPPORT_1	You can view support conversations on the\nSomniel or world map to increase the support\nlevel between characters.
MID_TUT_BMAP_SUPPORT_2	Units with support levels gain stat bonuses\nwhen standing adjacent to one another.
MID_TUT_BMAP_VISIT_TITLE	Visiting
MID_TUT_BMAP_VISIT_0	If you visit houses to warn them of danger,\nyou may receive items or gold as a reward.
MID_TUT_BMAP_VISIT_1	To visit, move an ally to the lit space in front of\na house and select Visit.
MID_TUT_BMAP_VISIT_2	Watch out! Foes may try to reach houses before\nyou and destroy them.
MID_TUT_BMAP_TIMECRYSTAL_TITLE	Draconic Time Crystal
MID_TUT_BMAP_TIMECRYSTAL_0	You can use the Draconic Time Crystal to\nrewind and retry actions you take in battle.
MID_TUT_BMAP_TIMECRYSTAL_1	Select Time Crystal from the menu.\nUse \x0E\x08\x02\x06\x04Up and \x0E\x08\x02\x0A\x08Down to select how far back you\nwould like to go, and confirm with \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_REINFORCEMENT_TITLE	Reinforcements
MID_TUT_BMAP_REINFORCEMENT_0	Enemies sometimes call in reinforcements\nduring battle.
MID_TUT_BMAP_REINFORCEMENT_1	Reinforcements often arrive from forts or\nthe edges of the map, so be on your guard.
MID_TUT_BMAP_TRANSPORTER_TITLE	Convoy
MID_TUT_BMAP_TRANSPORTER_0	Use the convoy to store and retrieve items.
MID_TUT_BMAP_TRANSPORTER_1	Only \x0E\x06\x03\x00 or allies in adjacent spaces\ncan use the convoy during battle.
MID_TUT_BMAP_DEADSOUL_TITLE	Spirits of the Fallen
MID_TUT_BMAP_DEADSOUL_0	If you head into battle while connected to the\nnetwork, spirits representing other players' past\nbattles may appear on the map.
MID_TUT_BMAP_DEADSOUL_1	Yellow spirits appear where many allied units\nhave fallen. Earn EXP and bond EXP by waiting\nin these spaces.
MID_TUT_BMAP_DEADSOUL_2	Purple spirits appear where many foes have\nfallen. Wait in these spaces to pick up the\nitems they left behind.
MID_TUT_BMAP_DOOR_TITLE	Doors
MID_TUT_BMAP_DOOR_0	You can destroy doors by attacking them.
MID_TUT_BMAP_DOOR_1	A thief can use the Door command to unlock\na door instead of destroying it.
MID_TUT_BMAP_TREASUREBOX_TITLE	Treasure Chests
MID_TUT_BMAP_TREASUREBOX_0	Stand next to treasure chests and select Chest\nto collect the items inside.
MID_TUT_BMAP_TREASUREBOX_1	If an enemy takes the treasure first, you can\nrecover it by defeating that enemy.
MID_TUT_BMAP_BREAKINGWALL_TITLE	Destroy Terrain
MID_TUT_BMAP_BREAKINGWALL_0	If a terrain's information says Destructible,\nthen it can be attacked and destroyed.
MID_TUT_BMAP_BREAKINGWALL_1	Once the terrain is destroyed, you can pass\nthrough the area freely.
MID_TUT_BMAP_HPSTOCK_TITLE	Revival Stones
MID_TUT_BMAP_HPSTOCK_0	Some powerful enemies have revival stones.
MID_TUT_BMAP_HPSTOCK_1	If their HP falls to 0, they will consume\nthe stones to recover.
MID_TUT_BMAP_HPSTOCK_2	Keep attacking these enemies until they\nuse up all of their revival stones.
MID_TUT_BMAP_INTERFERINGCANE_TITLE	Status Staves
MID_TUT_BMAP_INTERFERINGCANE_0	Some staves hinder enemies\nby stopping their movement or\nplacing obstacles in their path.
MID_TUT_BMAP_SEARCH_TITLE	Darkness
MID_TUT_BMAP_SEARCH_0	In dark places, only the areas around allies,\nbeacons, and torches are visible.
MID_TUT_BMAP_SEARCH_1	Proceed with caution! Enemies may\nbe lurking in the darkness.
MID_TUT_BMAP_POISON_TITLE	Status Effect: Poison
MID_TUT_BMAP_POISON_0	Some classes, like thieves, use knives that\ninflict poison on foes they hit.
MID_TUT_BMAP_POISON_1	Poisoned enemies take extra damage.
MID_TUT_BMAP_POISON_2	Repeated knife attacks will increase the potency\nof the poison.
MID_TUT_BMAP_POISON_3	Units remain poisoned until the end of a battle\nor until cured with an antitoxin or Restore staff.
MID_TUT_BMAP_TORCH_TITLE	Beacons
MID_TUT_BMAP_TORCH_0	To light a beacon, move next to it\nand select Light.
MID_TUT_BMAP_TORCH_1	Uncover hidden enemies by\nilluminating darkened areas.
MID_TUT_BMAP_SMASH_TITLE	Smash Weapons
MID_TUT_BMAP_SMASH_0	Powerful weapons like blades and greatlances\nsmash on hit, driving foes back one space.
MID_TUT_BMAP_SMASH_1	You can break foes by smashing them into units\nor other obstacles like walls.
MID_TUT_BMAP_SMASH_2	These weapons are heavy, however. They can't\nfollow up, and your foe will get to attack first\nwhen you initiate combat with them.
MID_TUT_BMAP_DARKSYNCHRO_TITLE	Dark Sync
MID_TUT_BMAP_DARKSYNCHRO_0	Some foes can also use Emblems in combat.
MID_TUT_BMAP_DARKSYNCHRO_1	These Dark Emblems cannot engage, but they\ncan still use engage attacks.
MID_TUT_BMAP_DARKSYNCHRO_2	A light indicates when foes have engage attacks\nready. Keep an eye out!
MID_TUT_BMAP_BOWTURRET_TITLE	Ballistae
MID_TUT_BMAP_BOWTURRET_0	You can use a ballista by placing a unit\nequipped with a bow on it and selecting Fire.
MID_TUT_BMAP_BOWTURRET_1	Ballistae have great range and power, so you can\ndeal serious damage before enemies get close.
MID_TUT_BMAP_BOWTURRET_2	Ballistae have a limited number of\nuses, however, so plan carefully.
MID_TUT_BMAP_CONVERSATION_TITLE	Talking
MID_TUT_BMAP_CONVERSATION_0	If you see a conversation icon on a unit, move\nto an adjacent position and select Talk.
MID_TUT_BMAP_CONVERSATION_1	Proactively speaking with such units is a great\nway to recruit more allies.
MID_TUT_BMAP_CONVERSATION_2	Sometimes these units will only speak to\nspecific people.
MID_TUT_BMAP_MAGICTURRET_TITLE	Magic Artillery
MID_TUT_BMAP_MAGICTURRET_0	You can use magic artillery by placing a unit\nequipped with a tome on it and selecting Fire.
MID_TUT_BMAP_MAGICTURRET_1	Magic artillery is powerful and has a long range.\nIt is ideal for attacking at a distance.
MID_TUT_BMAP_MAGICTURRET_2	Like ballistae, magic artillery has a limited\nnumber of uses. Plan carefully.
MID_TUT_BMAP_QUICKSAND_TITLE	Quicksand
MID_TUT_BMAP_QUICKSAND_0	Quicksand is a terrain type that greatly reduces\nmovement when a unit leaves the space.
MID_TUT_BMAP_QUICKSAND_1	Avoid quicksand when possible\nto maintain your mobility.
MID_TUT_BMAP_RECKLESS_TITLE	Rampage
MID_TUT_BMAP_RECKLESS_0	Foes synced with Dark Emblems may enter\na rampage state when they use revival stones.
MID_TUT_BMAP_RECKLESS_1	Be careful! Their additional strength comes from\nforcing the Emblem's powers out of control.
MID_TUT_BMAP_DANCE_TITLE	Dancing
MID_TUT_BMAP_DANCE_0	If a dancer is adjacent to a unit that has already\nacted that turn, you can select Dance.
MID_TUT_BMAP_DANCE_1	The target of your Dance will be able to move\nand act again in the same turn.
MID_TUT_BMAP_FLAMETURRET_TITLE	Flame Cannons
MID_TUT_BMAP_FLAMETURRET_0	You can use a flame cannon by placing a unit\non it and selecting Fire.
MID_TUT_BMAP_FLAMETURRET_1	Flame cannons blast a wide area around the\nimpact point and set the terrain on fire.
MID_TUT_BMAP_FLAMETURRET_2	Be aware that the blast cannot reduce foes' HP\nbelow 1. It can hit your allies too, so be careful!
MID_TUT_BMAP_PICKUPARING_TITLE	Collecting Rings
MID_TUT_BMAP_PICKUPARING_0	Summon Emblems by placing\n\x0E\x06\x03\x00 near fallen rings.
MID_TUT_BMAP_LINKINGUP_TITLE	Syncing in Battle
MID_TUT_BMAP_LINKINGUP_0	Allies without rings\x0E\x01\x0B\x00 can move next to\na summoned Emblem and select Talk to sync.
MID_TUT_BMAP_DRAGONCREST_TITLE	Fell Dragon Shard
MID_TUT_BMAP_DRAGONCREST_0	To destroy the Fell Dragon Shard, you must\ndefeat its attendants: Zephia and Griss.
MID_TUT_BMAP_DRAGONCREST_1	Zephia and Griss will use the shard's power\nto unleash devastating volcanic bombs.
MID_TUT_BMAP_VOLCANICBOMB_TITLE	Volcanic Bombs
MID_TUT_BMAP_VOLCANICBOMB_0	Volcanic bombs will strike every few turns.
MID_TUT_BMAP_VOLCANICBOMB_1	The bombs destroy boulders and deal\nheavy damage to allies hit by them.
MID_TUT_BMAP_VOLCANICBOMB_2	A warning will indicate where the bombs will\nfall, so take care to move out of the way.
MID_TUT_BMAP_AVALANCHE_TITLE	Avalanches
MID_TUT_BMAP_AVALANCHE_0	Past \x0E\x06\x03\x00 will use the Fell Dragon\nShard to cause avalanches that will push your\nallies away.
MID_TUT_BMAP_AVALANCHE_1	A warning will indicate where the avalanches\nwill strike. Pay attention and move carefully!
MID_TUT_BMAP_AVALANCHE_2	Boulders and enemies will stop a unit's\nbackward slide.
MID_TUT_BMAP_TURNLIMIT_TITLE	Limited Turns
MID_TUT_BMAP_TURNLIMIT_0	Certain battles must be won in a limited\nnumber of turns.
MID_TUT_BMAP_TURNLIMIT_1	Meet the victory conditions before the turns\nrun out, or the battle will end in defeat.
MID_TUT_BMAP_DRAGONBEAM_TITLE	Fell Dragon Shard Beam
MID_TUT_BMAP_DRAGONBEAM_0	Corrupted Lumera will use the power of the\nFell Dragon Shard to unleash a potent attack.
MID_TUT_BMAP_DRAGONBEAM_1	A warning will indicate the beam's blast zone.\nMove away to avoid significant damage.
MID_TUT_BMAP_DARKHERALDIC_TITLE	Dark Emblems
MID_TUT_BMAP_DARKHERALDIC_0	Dark Emblems are powerful foes, but they are\nsusceptible to attacks from units synced or\nengaged with an Emblem from their world.
MID_TUT_BMAP_BARRIER_TITLE	Dark Barrier
MID_TUT_BMAP_BARRIER_0	A barrier made by the Dark Emblems that\nreduces damage to Fell Sombron.
MID_TUT_BMAP_BARRIER_1	Defeat Dark Emblems to weaken the barrier.
MID_TUT_BMAP_ENGAGERING_TITLE	The Pact Ring
MID_TUT_BMAP_ENGAGERING_0	If you've reached support level A with an ally,\nyou can give that ally the Pact Ring to\nstrengthen your bond even further.
MID_TUT_BMAP_ENGAGERING_1	You can find the ring in the memento drawer\nin your room.
MID_TUT_BMAP_ENGAGERING_2	If you cannot find your chosen ally on\nthe Somniel, try resting in bed awhile.
MID_TUT_GOD_MARTH_TITLE	Emblem Marth
MID_TUT_GOD_MARTH_0	Emblem Marth strikes quickly and repeatedly,\ndominating foes with his nimble grace.
MID_TUT_GOD_MARTH_1	The sync skill Perceptive makes it easier\nto avoid enemy counterattacks.
MID_TUT_GOD_MARTH_2	The engage weapon Rapier deals bonus damage\nagainst cavalry and armored enemies.
MID_TUT_GOD_MARTH_3	The engage skill Divine Speed adds an\nadditional, less powerful attack.
MID_TUT_GOD_MARTH_4	The engage attack Lodestar Rush is a powerful\nand blindingly fast flurry of blows.
MID_TUT_GOD_SIGLUD_TITLE	Emblem Sigurd
MID_TUT_GOD_SIGLUD_0	Emblem Sigurd's exceptional mobility allows\nhim to move around the battlefield with ease.
MID_TUT_GOD_SIGLUD_1	The sync skill Canter allows the unit to\nmove one more time after attacking.
MID_TUT_GOD_SIGLUD_2	The engage weapon Ridersbane can deal bonus\ndamage to cavalry.
MID_TUT_GOD_SIGLUD_3	The engage skill Gallop increases\nmovement (Mov) by 5.
MID_TUT_GOD_SIGLUD_4	The engage attack Override charges\nthrough foes in a line, damaging any\nenemies in the way.
MID_TUT_GOD_CELICA_TITLE	Emblem Celica
MID_TUT_GOD_CELICA_0	Emblem Celica wields powerful magic attacks.\nShe is a valuable asset against Corrupted foes.
MID_TUT_GOD_CELICA_1	The sync skill Holy Stance reflects some\nof the damage received from Corrupted\nfoes against the attacker.
MID_TUT_GOD_CELICA_2	The engage weapon Seraphim deals bonus\ndamage to Corrupted foes.
MID_TUT_GOD_CELICA_3	The engage skill Echo allows a unit to initiate\ncombat twice using a tome at a cost of\n50% damage.
MID_TUT_GOD_CELICA_4	The engage attack Warp Ragnarok teleports\nthe user to a space near a distant enemy and\nattacks with powerful magic.
MID_TUT_GOD_MICAIAH_TITLE	Emblem Micaiah
MID_TUT_GOD_MICAIAH_0	Emblem Micaiah specializes in healing magic.
MID_TUT_GOD_MICAIAH_1	With the sync skill Cleric, a unit can use staves\nregardless of class.
MID_TUT_GOD_MICAIAH_2	The engage weapon Shine attacks and\nilluminates the area when used.
MID_TUT_GOD_MICAIAH_3	The engage skill Augment increases\nstaff range and area of effect.
MID_TUT_GOD_MICAIAH_4	The engage attack Great Sacrifice fully\nrestores the HP of all allies at a cost of\nreducing the user's HP to 1.
MID_TUT_GOD_ROY_TITLE	Emblem Roy
MID_TUT_GOD_ROY_0	Emblem Roy's excellent offense and defense\nmake him well-suited to the front lines.
MID_TUT_GOD_ROY_1	The sync skill Hold Out allows a unit to survive\nmost combat with 1 HP.
MID_TUT_GOD_ROY_2	The engage weapon Lancereaver, unlike most\nswords, is strong against lances and weak\nagainst axes.
MID_TUT_GOD_ROY_3	The engage skill Rise Above temporarily\nraises a unit's level and stats.
MID_TUT_GOD_ROY_4	The engage attack Blazing Lion strikes several\nspaces in front of the user and ignites the\nterrain in flames.
MID_TUT_GOD_LEAF_TITLE	Emblem Leif
MID_TUT_GOD_LEAF_0	Emblem Leif's skill with a variety of weapons\nallows him to adapt to any combat situation.
MID_TUT_GOD_LEAF_1	The sync skill Arms Shield reduces incoming\ndamage when the user has weapon advantage.
MID_TUT_GOD_LEAF_2	The engage weapon Killer Axe lands\ncritical hits frequently.
MID_TUT_GOD_LEAF_3	The engage skill Adaptable automatically\nequips the most effective weapon when\nthe user is attacked.
MID_TUT_GOD_LEAF_4	The engage attack Quadruple Hit strikes with\na sword, lance, axe, and bow, increasing the\nchance of breaking an enemy.
MID_TUT_GOD_LIN_TITLE	Emblem Lyn
MID_TUT_GOD_LIN_0	Emblem Lyn excels at fighting without giving\nher opponents the chance to counterattack.
MID_TUT_GOD_LIN_1	The sync skill Alacrity enables a unit much\nfaster than a foe to follow up before the\nfoe's counterattack.
MID_TUT_GOD_LIN_2	The engage weapon Killer Bow lands\ncritical hits frequently.
MID_TUT_GOD_LIN_3	The engage skill Call Doubles creates illusory\ndecoys of the user that can participate in\nchain attacks.
MID_TUT_GOD_LIN_4	The engage attack Astra Storm unleashes five\nbow attacks on a foe from extreme range.
MID_TUT_GOD_LUCINA_TITLE	Emblem Lucina
MID_TUT_GOD_LUCINA_0	Emblem Lucina's power is collaborative.\nShe thrives when fighting near her allies.
MID_TUT_GOD_LUCINA_1	The sync skill Dual Strike empowers the user\nto take part in chain attacks regardless of\nunit type.
MID_TUT_GOD_LUCINA_2	The engage weapon Noble Rapier deals bonus\ndamage to cavalry and armored foes.
MID_TUT_GOD_LUCINA_3	The engage skill Bonded Shield creates\na high chance of nullifying attacks against\nadjacent allies.
MID_TUT_GOD_LUCINA_4	The engage attack All for One inspires\nall allies within 2 spaces to take part in\na chain attack, regardless of unit type.
MID_TUT_GOD_IKE_TITLE	Emblem Ike
MID_TUT_GOD_IKE_0	Emblem Ike's robust offense and endurance\nincrease as he takes damage.
MID_TUT_GOD_IKE_1	The sync skill Resolve increases defense\nand resistance as HP decreases.
MID_TUT_GOD_IKE_2	The engage weapon Hammer can smash foes\nand deal bonus damage to armored ones.
MID_TUT_GOD_IKE_3	The engage skill Laguz Friend halves incoming\ndamage but reduces avoid rate (Avo) to 0.
MID_TUT_GOD_IKE_4	The engage attack Great Aether hardens the\nunit's defenses for one turn, then attacks an\narea and recovers HP.
MID_TUT_GOD_KAMUI_TITLE	Emblem Corrin
MID_TUT_GOD_KAMUI_0	Emblem Corrin can restrict foes' movement\nand create terrain to control the flow of battle.
MID_TUT_GOD_KAMUI_1	The sync skill Dragon Vein adds terrain effects\nbased on the user's unit type while clearing\nthe same area of any flames or miasma.
MID_TUT_GOD_KAMUI_2	The engage weapon Dual Katana, unlike most\nswords, is strong against lances and weak\nagainst axes.
MID_TUT_GOD_KAMUI_3	The engage skill Dreadful Aura prevents a target\nand foes adjacent to it from moving for 1 turn\nafter the user initiates combat.
MID_TUT_GOD_KAMUI_4	The engage attack Torrential Roar blasts foes\nin front of the unit for 3 spaces, flooding the\nterrain and clearing it of flames and miasma.
MID_TUT_GOD_BYLETH_TITLE	Emblem Byleth
MID_TUT_GOD_BYLETH_0	Emblem Byleth's talent for instruction boosts\nallies' stats and guides them to victory.
MID_TUT_GOD_BYLETH_1	The sync skill Divine Pulse will sometimes\nturn missed attacks into hits.
MID_TUT_GOD_BYLETH_2	Emblem Byleth's first engage weapon is a\nHero's Relic─an item that is different for\neach unit type.
MID_TUT_GOD_BYLETH_3	The engage skill Instruct grants a\nstat bonus to surrounding allies.
MID_TUT_GOD_BYLETH_4	The engage attack Goddess Dance grants a stat\nboost to adjacent allies and empowers those\nwho have already acted that turn to act again.
MID_TUT_GOD_EIRIK_TITLE	Emblem Eirika
MID_TUT_GOD_EIRIK_0	Emblem Eirika switches with her twin brother,\nEphraim, to adapt to different situations.
MID_TUT_GOD_EIRIK_1	The sync skill Lunar Brace increases damage\ndealt in proportion to the foe's defense.
MID_TUT_GOD_EIRIK_2	The engage weapon Rapier deals bonus damage\nagainst cavalry and armored foes.
MID_TUT_GOD_EIRIK_3	The engage skill Sacred Twins enables\nthe unit to invoke Eirika and Ephraim's\nskills simultaneously.
MID_TUT_GOD_EIRIK_4	The engage attack Twin Strike hits with both\nsword and lance, making it easier to break foes,\nand deals bonus damage against the Corrupted.
MID_TUT_GOD_LUEUR_TITLE	Emblem \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	Emblem \x0E\x06\x03\x00 can use Engage+ on\nany ally, putting both units in an engaged state\nwithout the need to sync.
MID_TUT_GOD_LUEUR_1	The sync skill Bond Forger increases the\nhit rate (Hit) and avoid rate (Avo) of the\nuser and nearby synced or engaged allies.
MID_TUT_GOD_LUEUR_2	The engage weapon Lyrátion increases all\nadjacent allies' engage meters by 1 when the\nwielder initiates combat and defeats a foe.
MID_TUT_GOD_LUEUR_3	The engage skill Attuned greatly increases\nengage partners' stats when they initiate\ncombat and defeat a foe.
MID_TUT_GOD_LUEUR_4	The engage attack Dragon Blast launches both\na sword and magic attack, dealing heavy\ndamage even to foes with high Def and Res.
MID_TUT_GOD_LUEUR_KL_TITLE	Emblem \x0E\x06\x03\x00's Bond
MID_TUT_GOD_LUEUR_KL_0	Unlike other Emblems, Emblem \x0E\x06\x03\x00's\nbond level is tied to the ally's support\nlevel instead of bond EXP.
MID_TUT_GOD_LUEUR_KL_1	No support level translates to bond level 1.\nSupport level C translates to bond level 5, B\nto bond level 10, and A to bond level 20.
MID_TUT_ENGAGE_PLUS_TITLE	Engage+
