MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nInteresting. It's a deal, then.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x04\x03\x04
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nYou actually beat me...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nI knew you were strong, but...I clearly\nunderestimated you.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAll right. A deal is a deal. What did you want to\ntalk about?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nRight... OK.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nWhen I was a child...Elusia attacked and\ndestroyed my home village.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nI survived basically by luck. My parents, my\nfriends...they were all killed.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nThere was nothing I could do. I was powerless.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nThat feeling haunts me to this day. It makes me\nwant to scream and tear my heart out.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nI've felt a similar kind of pain myself.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nThat pain is why I train the way I do. Only\nstrength can free me from it.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nIt's royals like me who declare wars...but the\ncitizens and soldiers are the ones who suffer.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nYour training may keep innocent Brodians safe\nsomeday. That's the greater meaning behind it.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nThank you, Prince Diamant. It does feel good to\nget that off my chest.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nザフィーア\nI'm going to overcome this weakness, no matter\nwhat it takes.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPrince Diamant. Did you need something\nfrom me?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nI noticed some hesitation in your last few\ntraining sessions.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nI know more strength is what I need, but at the\nsame time...I'm starting to scare myself.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nI'm worried about becoming someone who\nonly exists to hurt people.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nWars leave scars that last forever. They hurt\neveryone involved, on all sides of any conflict.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nI often feel lost, just like you...but I always come\nback to two things. One─I can't run away.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nTwo─I don't fight to win. I fight to end the\nfighting. As soldiers, that's all we can do.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nI don't know if I have that in me.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nI'm so sorry...but we have to. That's the only\nway to change a world driven by conflict.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nI'll...do my best.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nWith your help, Prince Diamant...maybe I can\nfind a way to do as you ask.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's precisely why we train together─to grow\nstronger in our bodies and our bonds.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAfter all this talk of fighting...do you feel up to\nanother sparring match?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nThat's all we can do, isn't it?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's exactly right.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nOK, but no holding back this time.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nYou think I was holding back? I never hold back!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nWhatever you say. In that case, though, you\nbetter dig deep.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nHaha, now I'm fired up. Bring it on, soldier!\x0E\x04\x00\x00
