MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, Claude. I've heard you're called the\n"Master Tactician." I'd love to get some pointers.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\nOh, that? I'm focusing on my poses. A Steward\nof the Divine Dragon needs to look cool.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06フラン\nI'm so frustrated. I should have fought better in\nthat last battle, but I just...\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08クロード\nDon't be so hard on yourself. Just keep on\ntrying your best, and next time you'll do better.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06フラン\nYou always seem to be having fun. Does life\never get you down?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08クロード\nHey, we Emblems are people too. Of course\nI've been sad before. More than once, even.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nYou have? That's reassuring. Would you mind\ntelling me more about it?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08クロード\nSometimes I'm on a great long lead-up to a joke,\nand Dimitri ruins it right before the punchline.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, Claude! We should have a little strength\ncompetition. Best way to become fast friends!\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0A\x08クロード\nI'm all for making friends, but a contest like that\nwouldn't be fair. How about a board game?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWhat do you think of the gains I've made lately,\nClaude? Not bad, right?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08クロード\nYeah, I'm impressed! Who knew you were\nhiding so much muscle all this time?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nI've heard you were researching the medicinal\nplants of this world. You're very studious.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08クロード\nIt's important to keep medicine on hand. You\nnever know when someone might get poisoned.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, are you making antidotes? Do you need a\ntest subject? My body can take it!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08クロード\nYou really aren't afraid of anything, are you?\nI hope that confidence leads to a long life.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nブシュロン\nI've heard you're royalty, too, Dimitri, but\nyou're not at all like Prince Alfred.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nディミトリ\nThat's not surprising. The culture of Faerghus\nemphasizes simplicity and austerity.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMy sense of direction is terrible. I spend more\ntime finding my fishing spot than I do fishing.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nディミトリ\nNext time, let me know when you're going.\nI'll accompany you.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nWhat's the matter, Boucheron? You eyes look\nkind of swollen...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOh... Sorry. I didn't mean to worry you...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nディミトリ\nI'm here to listen if there's something troubling\nyou. But no pressure, of course...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nNo, it's... The book I was reading is really good.\nSo good, I get teary just thinking about it...\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nYou're an energetic sort, Etie. Seems like you're\nalways out for a jog.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nRunning invigorates me. Want to join me for\nthe next one?\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nSomething's unusual about your tea set, but I\ncan't put my finger on it.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nGood eye, Claude. The cups are weighted.\nI use them for training!\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nエーティエ\nYou're in such magnificent shape. Got any\nworkout secrets you can share?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08クロード\nYou remind me of an old friend of mine. He\nwas always refining his workout routine.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0A\x08クロード\nI remember him getting really excited after\na chat with Dimitri...\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nDimitri? Excellent! OK, I need to talk to him\nright away. Can you call him here, please?\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWhat would you say to a tea party? This year's\nleaves are the best I've ever sampled.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nI would love that. I may not be able to taste, but\nI'm sure I would enjoy the fragrance.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nMy brother was once so sickly, he was confined\nto his room. But his training built him back up.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nOne of my classmates confined herself as well,\nalbeit for different reasons. She hated training.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nHaving future leaders learn together at the\nOfficers Academy seems almost miraculous.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nStrong allies lead to peaceful solutions. And\nwith your acquaintances, the future is bright!\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nI hope that is the case. Everyone used to say it\nwas a magnificent group.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nAnd at least for now, we have no desire to fight\neach other. We all wish to save this world.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ルイ\nYou always seem to be pushing yourself. I just\nhope you are getting enough rest.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nI feel calmer when I'm moving for some reason.\nMust just be part of my personality.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ルイ\nAre Dimitri and Claude good friends? They\nalways seem to be around each other.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nHmm, well, I don't think they're enemies or\nanything. Why do you ask?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ルイ\nWhat do you mean, why do I make myself\nunobtrusive? Did I do something?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nWell, the last time I was talking with the Divine\nDragon, I looked around and you were there.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nI wasn't trying to hide. I just didn't want to\ninterrupt, so I became one with the wall.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nOne with the wall? I don't think I understand,\nbut you could've just joined in.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クロエ\nI brought you some folk food made of fish eyes,\nbut...I'm sorry. You can't actually eat, can you?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0C\nディミトリ\nNo need to apologize. Watching you enjoy a\nmeal is gratifying in itself. Please, dig in!\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06クロエ\nWhat's your favorite food? I'm so curious about\nthe delicacies of other worlds.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nディミトリ\nLet's see... I remember really liking a dish of\nbaked spiced cheese...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nIt looks like today's teatime snack is baked\nsweets infused with black tea?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nYes! They're also filled with mountain sheep's\ncheese, which gives them their unique smell.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0C\nディミトリ\nI've noticed that you've begun describing your\ndishes in much more detail.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nHm-hm! Well, I thought that if you could really\nimagine it, you would be able to enjoy it more.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nThey say a throne is solitary, but a nation\ncannot rest on one individual. Do you agree?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0C\nディミトリ\nI do. That's why you need friends and allies\nyou can trust. And wise people to guide you.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nI know it's a trite question, but... How do you\nthink a king should act, Dimitri?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0C\nディミトリ\nI believe what matters most is for monarchs to\nlead their people to a brighter future.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nBallroom dancing is common in my homeland.\nIt's not my strong suit, but it can't be avoided.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nYou seem like you'd fit right in at one of our\ngalas, Dimitri. Are you a dancer at all?\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0C\nディミトリ\nEnough of one to keep up appearances, at least.\nSocial gatherings don't suit me very well.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0C\nディミトリ\nThere was a ball at the Officers Academy, but I\nslipped away to get some time to myself.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08アンバー\nWhen the fighting's all done, I wanna go learn\nabout the legends in every region.\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08クロード\nNice plan! That's just the kind of ambition\neveryone should have.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08アンバー\nClaude, you come from a noble family, right?\nDid you spend all your time in a mansion?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08クロード\nI'm a bit of an outsider. Before joining the\nOfficers Academy, I was often away from home.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08アンバー\nI like that you're easygoing, but don't you ever\nworry about people not taking you seriously?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08クロード\nI'd rather downplay my strengths. Enemies are\neasier to deal with if they don't see you coming.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08クロード\nBesides, it's easier to make friends with people\nwho don't consider you a threat.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nThat's true! You're so smart. I hope you'll teach\nme your ways someday!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nYou've been observing me quite a bit, Lady\nEdelgard. Is there something amiss?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nApologies. Your careful and meticulous fighting\nstyle just reminded me of a sniper I once knew.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nI came upon a certain booklet earlier. It was a\nstory starring Amber in the leading role.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nIt's an honor to know an Emblem is reading it...\nI'd love to hear your opinion.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nThank you for your feedback. I didn't expect\nyou to find that passage funny.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nIt was quite amusing. I think it is great that you\ncan freely exercise your imagination that way.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nWhat a relief. I thought you might scorn the\nhumorous writing, given how little I smile.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nNo one should criticize you. Everyone knows\nyou cannot judge a person by their appearance.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nPardon me, Prince Alcryst. If you have business\nwith me, I would prefer that you simply state it.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nAh! I only wanted to thank you for lending\nyour aid to such an unworthy person as me!\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nスタルーク\nI'm sorry if you worry about me. If not for the\nwar, I could vanish and avoid being a nuisance.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nYou...are a prince, aren't you? Sometimes, it's\nlike I'm talking with my old classmate again...\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nスタルーク\nYou're just like my brother, Lady Edelgard.\nSo much stronger and more regal than me...\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nPrince Alcryst. Denying belief in yourself is the\nsame as denying the ones who believe in you.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nIt does not have to be today, but please try to\nsee what I and so many others see in you.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nI...don't know if I can do that, but thank you for\nthe kind words all the same.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06ラピス\nBetween you and me, Dimitri... Do you water\ndown your milk before you drink it?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0C\nディミトリ\nI can't say that I do, but if that is how you enjoy\nit, you should feel free to do so.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06ラピス\nDimitri, have you got a moment? This patched\nspot here...does it stand out?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x0C\nディミトリ\nNo, not at all. It is very well done. I only wish I\ncould be that dexterous.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06ラピス\nYou praised my needlework, but as royalty, you\nmust find sewing to be a foreign concept.\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x0C\nディミトリ\nNot so. I had a classmate who taught me,\nthough I was still very much a novice.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x0C\nディミトリ\nI did break some needles and scissors. I found it\ndifficult to moderate my strength when sewing.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nThat's so true! Needles and scissors are quite\nbrittle. No one's ever understood that before...\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI'm here mostly thanks to family connections.\nI must work harder to prove my strength.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0A\x08クロード\nIt's already outstanding. With your ambition,\nyou'll reach your goals in no time.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI have two older brothers. They spoil me rotten.\nYou would honestly be shocked, Claude.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0A\x08クロード\nOlder brothers who dote on their little sisters,\nhuh... I guess that kind exists in any world.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nI overheard that you bought out all the pastries\nin a bakery? What was that about? \x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh, the Divine Dragon looked sad. Wouldn't\nthat make anyone want to do anything to help?\x0E\x04\x00\x00
