MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nThat should be enough training for one day.\nI've worked up quite a sweat.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nWhat are you looking at? You seem so excited.\nIs this some sort of new training?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\nAH!\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Oh! Gregory... Practicing your stealth approach,\nI take it. Good technique.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nHahaha, thanks. So, uh...what is that? A pile\nof dust?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\nExcuse me?\x0E\x04\x02\x00
MID_RELIANCE_A_#007	It's a sheep plushie! I've never made a toy\nbefore, so I suppose it's not much good.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOh, a stuffed toy! I-I think I see it now. Yeah!\nIt looks great. So, um...is it a gift for someone?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nマデリーン\nWell, I heard you like things that are soft\nand cuddly.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nWait... It's for me?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nThat was the idea, yes. But perhaps I'll keep this\nlittle one for myself.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	A dust bunny isn't a very becoming gift from\na knight... I'll just give it a home on my bed.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nグレゴリー\nGimme! It's perfect, Madeline. I'd love to have\nit! Please?\x0E\x04\x02\x00
MID_RELIANCE_A_#014	I'm sorry I insulted it at first. This sheep is truly\nall I ever wanted!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nマデリーン\nAll right, all right! Goodness... Here, take it.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nAh, thank you!\x0E\x04\x02\x00
MID_RELIANCE_A_#017	This is amazing! It's so soft and fluffy. I've\nnever been this happy before!\x0E\x04\x02\x00
MID_RELIANCE_A_#018	But...why did you make it for me? I didn't do\nanything to deserve it.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nマデリーン\nBecause you said you always wanted stuffed\nanimals when you were little.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\nHuh?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nマデリーン\nObviously, I can't go back in time and give this\ngift to little Gregory.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	But I can at least show some love to the\nGregory standing in front of me.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Your companions in the Four Winds? We love\nyou. As do your friends here.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	You are loved. Even if that love came a little\nlater than it should have.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	I wanted to express that somehow, so I made\nyou a gift.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nグレゴリー\nI... I don't know what to say.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	I had thought I was jealous of everyone else for\ngrowing up with loving families.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	But even if my parents didn't love me, I have\nfriends who do...and who show that love.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nExactly. And that dust bunny you've got\nproves it.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nThis is no mere dust bunny. This is the cutest\nfluffy sheep to ever floof.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	I appreciate this so much. I can feel my younger\nself smiling.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Thank you, Madeline. I'll always treasure this.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	I'd love to know what you like, as well. I want\nto repay this heartfelt gift with my own.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nHehe, I can't wait.\x0E\x04\x00\x00
