MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHello, Zelkov! I'm Anna, but you can call me\nLady Anna for short. Nice meeting you!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06アンナ\nExcuse me?!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nA product must bear the indelible *mark* of its\ncreator's passion. It has no value otherwise.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06アンナ\nWhat's the difference even between a product\nwith passion and one without?! Show me!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nVery well. I possess *many* such wonders.\nI would be happy to show them to you.\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06アンナ\nThis oughta be good...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nThis is your stash of good stuff, huh?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nIndeed. Behold my various *creations.*\nPaintings, sculptures, candles... I *have* it all.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nEach piece has been lovingly *crafted* by yours\ntruly. Help yourself to anything you like.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nCertainly any item contained on these shelves\nwould fetch you a *tidy* profit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nEhh...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nYeah... Uh, sad to say, but I don't think any of\nthis is salable.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nI *beg* your pardon? Why ever not?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06アンナ\nAll of this is good stuff, don't get me wrong.\nBut I can tell right off that they're too fiddly.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nA good piece of merchandise has to be simple\nif you wanna sell it.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\n*Balderdash.*\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nA creator's *passion* is the literal source of the\ncreation's value. It is what a customer pays for.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nAfraid not. I get why you'd think that, but that\nmindset's a little old-fashioned nowadays.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\nMy generation has its own tastes.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nUgh... Such *humiliation*...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nVery well. Soon I will *fashion* a work which is\ncertain to delight you.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nYou will be left entirely *speechless.*\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\nHaha, if you think you can pull that off, go\nahead and try. I'm eager to see it.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nSteel yourself. You are about to witness a\n*simple* design honed by artistic prowess.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nWell? What is your opinion of this sculpture?\nIs it up to your *standards* of quality?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\nEhh...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nI was hoping for better.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat brings you to say this *hurtful* thing?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nI know I said it has to be much simpler if you\nwant it to sell.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nBut you're an artist! I wasn't expecting you to\ncave so easily.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\nAfter you went on and on about passion, I kinda\nhoped you'd refuse to budge on that.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nHeh-heh. You are quite *mistaken.* In fact,\nyou could not be more wrong.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nHuh? But...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nThe *appearance* of simplicity in this sculpture\nis but a carefully crafted facade.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIts design is *actually* beautifully intricate.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nRun that by me again?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nI began by crafting a sculpture which contained\nevery layer of *intricacy* I could ever desire.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nThat done, I added atop these yet another\nlayer...to *obscure* how intricate it was.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nThe result is my most *complex* work to date.\nOne that, at a glance, appears utterly simple.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nYou may now stand in *awe* of its glory.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nI had no idea. That's amazing...almost too\namazing, if you ask me. It makes no sense!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06アンナ\nBut─and I hate to say so─this won't sell either.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat? Why not?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06アンナ\nYou can't guess? It's way too intricate. I'd go\nbroke trying to manufacture them!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nPlus, high production costs mean high prices,\nand customers tend not to like those.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nUgh, I *suppose* you have a point.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\nBut I'll buy it from you anyway.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nYou will?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\nI was really impressed by the way you think.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nI never thought much about passion, but it's\nincredibly important for a merchant.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06アンナ\nWithout it, how could I hope to make it as an\nindependent entrepreneur?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nSo I want to buy this from you and keep it close\nat hand. That way I won't forget this feeling.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ゼルコバ\nAnna...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06アンナ\nLady Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nLady Anna...\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\nHaha, that's better. Mind you, I can't pay much\nfor it. One gold's my best offer.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nSo *little*...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nBut I *suppose* it is not a matter of gold.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nIf this transaction will benefit you, Lady Anna,\nthen it is a *meaningful* one to me.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ゼルコバ\nBest of luck to you, young merchant. I earnestly\n*hope* for your great success.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x08\x06アンナ\nAww, thanks! You know, you're a much nicer\nguy than you came off to be at first.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x08\x06アンナ\nDo you want to share some sweets? I've got\na private stock of some really great ones.\x0E\x04\x00\x00
MID_RELIANCE_A_#040	\x0E\x03\x02\x0A\x08ゼルコバ\nI will happily partake.\x0E\x04\x00\x00
