MID_WU_C_1_IN_#001	Here I am!
MID_WU_B_1_HELLO_#005	I'm afraid I ate it all while you were sleeping.
MID_WU_B_2_IN_#001	Waking the Divine Dragon...
MID_WU_B_2_IN_#002	is my favorite duty.
MID_WU_B_2_SOON_#001	Oh, it seems you didn't need me to come today.
MID_WU_B_2_SOON_#002	I enjoy waking you.
MID_WU_B_2_SOON_#003	Could you pretend to still be asleep next time?
MID_WU_B_2_WAKEUP_#001	All right. It's my responsibility to wake you.
MID_WU_B_2_WAKEUP_#002	I'll try to give you a peaceful awakening.
MID_WU_B_2_WAKEUP_#003	Divine One? Oh, Divine One? Time to wake up.
MID_WU_B_2_HELLO_#001	Good morning.
MID_WU_B_2_HELLO_#002	I was going to try some gentle humming if you\nhad taken longer to wake.
MID_WU_B_2_HELLO_#003	Oh? Would you have preferred that?
MID_WU_A_1_IN_#001	I'm very sorry...
MID_WU_A_1_IN_#002	I forgot to make time for a sit-down meal again.
MID_WU_A_1_SOON_#001	I came to tell you, but...
MID_WU_A_1_SOON_#002	I didn't realize you were resting.
MID_WU_A_1_SOON_#003	I'll go have a proper meal and come back!
MID_WU_A_1_WAKEUP_#001	I thought we could eat together since I haven't\ndone so yet.
MID_WU_A_1_WAKEUP_#002	But this is fine as well.
MID_WU_A_1_WAKEUP_#003	Seeing you sleeping so peacefully there\nmakes me...
MID_WU_A_1_WAKEUP_#004	*yawn*
MID_WU_A_1_HELLO_#001	Zzz... Zzz...
MID_WU_A_1_HELLO_#002	Ah... Oh! I fell asleep!
MID_WU_A_1_HELLO_#003	What would you say to a refreshing walk?\nAlthough...
MID_WU_A_1_HELLO_#004	I feel like I'm forgetting something.
MID_WU_A_1_HELLO_#005	Ah! It must be my imagination!
MID_WU_A_2_IN_#001	It's always delightful to get to wake up the\nDivine Dragon.
MID_WU_A_2_IN_#002	Just like in my old world.
MID_WU_A_2_SOON_#001	Morning!
MID_WU_A_2_SOON_#002	Watching you wake up...
MID_WU_A_2_SOON_#003	brings back fond memories...
MID_WU_A_2_SOON_#004	of the Divine Dragon from my world.
MID_WU_A_2_WAKEUP_#001	In that world, when Queen Lumera was alive...
MID_WU_A_2_WAKEUP_#002	I often woke you up.
MID_WU_A_2_WAKEUP_#003	After you ascended the throne, I rarely had\nthat chance.
MID_WU_A_2_HELLO_#001	You're awake.
MID_WU_A_2_HELLO_#002	It's wonderful that you sleep so soundly.
MID_WU_A_2_HELLO_#003	If you didn't need someone to wake you...
MID_WU_A_2_HELLO_#004	what would I look forward to in the mornings?
MID_WU_S_1_IN_#001	My dear...
MID_WU_S_1_IN_#002	I'm here to wake you!
MID_WU_S_1_SOON_#001	You woke right up.
MID_WU_S_1_SOON_#002	Hahaha!
MID_WU_S_1_SOON_#003	That makes me happy.
MID_WU_S_1_SOON_#004	Isn't family wonderful?
MID_WU_S_1_SOON_#005	I hope we'll always be together this way.
MID_WU_S_1_WAKEUP_#001	Hmph! No reaction, even for your most\nbeloved companion?
MID_WU_S_1_WAKEUP_#002	I'm lonely.
MID_WU_S_1_WAKEUP_#003	If you don't wake up...
MID_WU_S_1_WAKEUP_#004	I'll find another dragon to spend time with.
MID_WU_S_1_WAKEUP_#005	No, I won't really do that.
MID_WU_S_1_WAKEUP_#006	I can't imagine finding someone else.
MID_WU_S_1_WAKEUP_#007	Not when I cherish our time together this much.
MID_WU_S_1_HELLO_#001	Was that nice to wake up to?
MID_WU_S_1_HELLO_#002	What was that? You're feeling happy?
MID_WU_S_1_HELLO_#003	Ah, wonderful!
MID_WU_S_1_HELLO_#004	It brings me joy...
MID_WU_S_1_HELLO_#005	knowing I made you smile.
MID_WU_S_2_IN_#001	Good morning, sleepyhead.
MID_WU_S_2_IN_#002	Looks like you require my aid again today.
MID_WU_S_2_SOON_#001	How kind of you to wake up so easily.
MID_WU_S_2_SOON_#002	But...
MID_WU_S_2_SOON_#003	I hope you realize you can let me dote on you.
MID_WU_S_2_SOON_#004	I want you to know...
MID_WU_S_2_SOON_#005	I'll always be here for you.
MID_WU_S_2_WAKEUP_#001	You look so relaxed when you sleep.
MID_WU_S_2_WAKEUP_#002	I'm sure that going forward...
MID_WU_S_2_WAKEUP_#003	I may require your aid sometimes, and...
MID_WU_S_2_WAKEUP_#004	I hope you won't mind. We are family, after all.
MID_WU_S_2_WAKEUP_#005	Imagine, a bond this strong...
MID_WU_S_2_WAKEUP_#006	forged between a Divine Dragon and a\nMage Dragon.
MID_WU_S_2_WAKEUP_#007	Thank you for becoming my true family.
MID_WU_S_2_WAKEUP_#008	I'm so happy...
MID_WU_S_2_WAKEUP_#009	you gave me the Pact Ring.
MID_WU_S_2_HELLO_#001	Ah...
MID_WU_S_2_HELLO_#002	You are very dear to me.
MID_WU_S_2_HELLO_#003	Please don't get embarrassed.
MID_WU_S_2_HELLO_#004	I want to tell you I care about you every\nday, but...
MID_WU_S_2_HELLO_#005	I never want to make you feel uncomfortable.
