MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nThat's it. Come on, little buddy. You can do it!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nIt wasn't just me. You've been coming to visit\ntoo. I'm sure that helped it grow stronger.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nOh, I only checked on it from time to time.\nYou put in the real effort.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nThat reminds me... I've been saving something\nfor when this flower had fully healed.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nHere, Clanne. This is a reward for all your hard\nwork reviving that wildflower. You earned it!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nOh my gosh. It's...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nIt's a flower brooch. Isn't it perfect?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クラン\nThis looks...expensive. Uh, I don't think I can\naccept this.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nOh, but it didn't cost that much. Besides, you\nshould be compensated for your efforts.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nI'm sorry, Citrinne. I didn't help this little\nwildflower just to get some kind of reward.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nI hope it's not rude of me to turn it down.\nIt's just... Oh, I'm really sorry.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nIt's all right, Clanne. I promise I'm not upset.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nI apologize for how I approached this situation.\nIt seems I've crossed the line again.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nWhat do you mean?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nAll of my own goodwill gestures usually end up\nrevealing how privileged my life has been.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nI know it's something I need to address, and\nI do try, but...I just can't seem to get it right.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nCitrinne? Are you OK?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nPlease, don't worry about me. I should go.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nI am very happy to see the wildflower looking\nso healthy. Job well done, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nAw, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x04\x03\x04
MID_RELIANCE_A_#002	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne! Fancy meeting you here.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nHi, Citrinne! It's been a while.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nI've been meaning to ask you about that one\nwildflower. Is it still in good health?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nOh. I'm afraid not. It started to wither again,\nand I can't seem to help it this time.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh no... That's awful.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nNo, it's OK. I think it was just time for the\nflower to go. Nature's doing its job.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nDon't give up, Clanne. We'll come up with a\nway to fix it. Just let me think...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nPerhaps I could import some nutrient-rich\nfertilizer. That may be enough to...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nRight. Of course. This isn't something that can\nbe fixed through a show of wealth.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nBut I must do something. All of your hard work\nis fading away. You must be heartbroken...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nActually, I'm mostly just thankful.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nWhy is that?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nCaring for that flower together ended up making\nus better friends. So, yeah...I'm thankful.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nOh, Clanne... How sweet.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nHere, I have something to give to you this time.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nThese are seeds from the wildflower. I picked\nthem before it wilted again.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nSo the flower can live on. Wonderful!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nシトリニカ\nThis is worth more than any number of jewels\nor gemstones. I love it.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nWould you be willing to help me plant these?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nSure! We can plant them all over the Somniel.\nWe'll fill this whole place with wildflowers.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nYes, let's. And...Clanne? I hope you'll accept\na gift in kind.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nThe brooch again? But I thought...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nIt's not a reward for hard work this time. I just\nwant you to have it.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nHeh heh, OK. If you put it that way, I accept.\nThank you, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nAnd thank you for accepting it, Clanne.\x0E\x04\x00\x00
