MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMorning, Divine One!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nYou know...you were the first friend I made\nafter I awoke.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nIt would pain me if my first friend didn't spend\ntime around me anymore.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nYour first friend, huh?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nThat's got a real ring to it! Thank you.\nI'd be honored.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nI did feel close to you, y'know, even before\nyou woke up.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nSo when you finally did wake up, I was so\nexcited that I went completely overboard.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nBut I'm through with all that. From now on, let's\nbe plain ol' friends!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nI'd like that very much.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nGood. Oh! I have a great idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nAs my totally regular friend, what do you say\nwe do laps around the atrium together?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nLaps? As in, running? Right now?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo time like the present! Off we go!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nNow wait just a moment! I haven't even agreed!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nAlfred! Alfreeeeed!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGood morning, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nGood morning, Alfred. Is something troubling\nyou? You look a little upset.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nYou could tell, huh? I'm dealing with a lot of\nemotions right now.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nYou know me─I act, then maybe I think. Not the\nother way around.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nYes, I've noticed that in you. Once you have an\nidea, you run with it.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nBut for the first time in maybe ever, I'm\ndragging my heels getting something done.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nThis time, if I act without thinking, I might end\nup destroying a perfectly good friendship.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nPlus, I'd be going back on my word.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nWhat do you mean?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nRemember when I said I wanted us to be plain\nol' friends?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nDon't tell me you're back to feeling unworthy\nof my friendship again.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nI'm the crown prince of Firene. I can't be a\ncoward when it comes to this of all things.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nPlain ol' friends isn't going to cut it with me\nanymore, sorry to say.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nDivine One? I want us to be closer than that.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nI said I'd stop going overboard when it comes\nto you, but I can't help myself.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nI even brought you this. See what I mean?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nThe embroidery on this is exquisite.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nIt's an old Firenese tradition to pass down\nembroidered clothes through the generations.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nThis royal piece has been re-sewn so many\ntimes, it's taken on a completely new form.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nStill, I have it, and I'm supposed to give it to\nsomeone important to me to show I care.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nWow...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nThank you so much. I will happily accept\nyour gesture.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh! Gosh. You're sure? It's not too much?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nNo, it's perfect. I feel the same way about you.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nThinking back, I've felt that way almost as soon\nas we met in Lythos Castle.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nNow I have something for you. Please, may I\nsee your hand, Alfred?\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\nThe Pact Ring?\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nWe're going to be inseparable. I look forward\nto the journey ahead with you.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nThank you, \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0E\x0Cアルフレッド\nI'm done holding back my feelings. I love you.\nYou've made me the happiest man in the world.\x0E\x04\x00\x00
