MID_WU_C_1_IN_#001	Pardon me.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	I can't believe something so funny happened\nall the way up here.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Divine One, listen...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Moments ago, I slipped on a stray fruit peel...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Promise you'll stay alert out there, OK?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Like a scene from my own novels...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	I can't get it out of my head.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	This is bad... Heh, I shouldn't laugh in here,\nbut... Heh.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Sorry for waking you with my laughter.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	I slipped on a fruit peel earlier...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	and hit the ground like a sack of hammers! Hah!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Area secure. I've been guarding the door.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	You're awake?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	I can leave if you'd prefer...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Oh, you wish to speak with me?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	No, no─I'm honored.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Sorry for the concern earlier.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	It made me happy...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	You know, when you offered to help me\nconfront my past.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Good morning.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Count on me for anything you need, OK?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	My "Iron Wall" is at your disposal.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	"The knight stepped inside her dearest\nally's chambers..."\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	"Red and blue eyes opened to greet her..."\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Heh, could you tell it was me by my footsteps?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	If so, then...I'm glad. Good morning to you.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	"Her partner was there, at rest atop the altar..."\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Heh, what a lovely scene.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	I may never tire of this.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	If only I could find the right words...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	But this is fine─just being together, always.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	I'll weave the words eventually.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Heh, I'm sorry.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Don't mind me. I just felt like smiling.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	After all, I am very happy...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	It's an honor to be your partner.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Whenever I come here, it feels like my face may\nfall off from smiling too much...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Aah... Whenever I look at you...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	I can't help but lower my guard.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	I'm used to good humor...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	but now I feel unbridled joy.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	It's so strange...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	I'm used to this happening when I think up an\nidea for a novel.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	But when I look at the Pact Ring, I break into\na smile.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	I try to meditate, but I can't focus.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	When I think of you...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	I feel like the happiest person in the world.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Morning. Heh, were you listening to me?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	That's a bit embarrassing...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	But I don't regret a thing.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Hehe.\x0E\x04\x00\x00
