MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08リュール\nThere's something...unnatural about this place.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nWhen I lost her, I was sad...and angry. I thought\nI could never forgive the one who took her life.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nBut you asked me if I'd want revenge...and...\nI don't know anymore.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08シグルド\nI lost many friends, even family, in battle.\nAnd yet I find I bear no grudges.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08シグルド\nI know well the meaning of grief. As well, I know\nthere is no single truth.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08シグルド\nI entrusted this knowledge to my son, Seliph.\nI hoped that it might guide his future.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nYour son? You and Deirdre's, you mean?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08シグルド\nIndeed. Now listen well. You carry a proud\nand noble conviction in your heart.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08シグルド\nKnowing grief, justice, and truth are subjective,\nare you still able to fight with conviction?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nOf course. This war will end, and then I will see\nto it that the world remains at peace.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08シグルド\nA perfect answer, my friend...and the one I was\nhoping to hear.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08シグルド\nSo, until the fighting is done and gone, I shall be\nby your side, watching over you.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
