MSID_Hp_5	HP +5
MSID_H_SwordArts_Soft_2	Grants Avo+15 at a cost of Crit-10\nwhen using a sword.
MSID_SwordArts_Soft_3	Sword Agility 3
MSID_H_SwordArts_Soft_3	Grants Avo+20 at a cost of Crit-10\nwhen using a sword.
MSID_SwordArts_Soft_4	Sword Agility 4
MSID_H_SwordArts_Soft_4	Grants Avo+25 at a cost of Crit-10\nwhen using a sword.
MSID_SwordArts_Soft_5	Sword Agility 5
MSID_H_SwordArts_Soft_5	Grants Avo+30 at a cost of Crit-10\nwhen using a sword.
MSID_SwordArts_Hard_1	Sword Power 1
MSID_H_SwordArts_Hard_1	Grants Atk+2 at a cost of Avo-10\nwhen using a sword.
MSID_SwordArts_Hard_2	Sword Power 2
MSID_H_SwordArts_Hard_2	Grants Atk+4 at a cost of Avo-10\nwhen using a sword.
MSID_SwordArts_Hard_3	Sword Power 3
MSID_H_SwordArts_Hard_3	Grants Atk+6 at a cost of Avo-10\nwhen using a sword.
MSID_SwordArts_Hard_4	Sword Power 4
MSID_H_SwordArts_Hard_4	Grants Atk+8 at a cost of Avo-10\nwhen using a sword.
MSID_SwordArts_Hard_5	Sword Power 5
MSID_H_SwordArts_Hard_5	Grants Atk+10 at a cost of Avo-10\nwhen using a sword.
MSID_SwordArts_Mind_1	Sword Focus 1
MSID_H_SwordArts_Mind_1	Grants Hit+10 at a cost of Ddg-10\nwhen using a sword.
MSID_SwordArts_Mind_2	Sword Focus 2
MSID_H_SwordArts_Mind_2	Grants Hit+15 at a cost of Ddg-10\nwhen using a sword.
MSID_SwordArts_Mind_3	Sword Focus 3
MSID_H_SwordArts_Mind_3	Grants Hit+20 at a cost of Ddg-10\nwhen using a sword.
MSID_SwordArts_Mind_4	Sword Focus 4
MSID_H_SwordArts_Mind_4	Grants Hit+25 at a cost of Ddg-10\nwhen using a sword.
MSID_SwordArts_Mind_5	Sword Focus 5
MSID_H_SwordArts_Mind_5	Grants Hit+30 at a cost of Ddg-10\nwhen using a sword.
MSID_LanceArts_Soft_1	Lance Agility 1
MSID_H_LanceArts_Soft_1	Grants Avo+10 at a cost of Crit-10\nwhen using a lance.
MSID_LanceArts_Soft_2	Lance Agility 2
MSID_H_LanceArts_Soft_2	Grants Avo+15 at a cost of Crit-10\nwhen using a lance.
MSID_LanceArts_Soft_3	Lance Agility 3
MSID_H_LanceArts_Soft_3	Grants Avo+20 at a cost of Crit-10\nwhen using a lance.
MSID_LanceArts_Soft_4	Lance Agility 4
MSID_H_LanceArts_Soft_4	Grants Avo+25 at a cost of Crit-10\nwhen using a lance.
MSID_LanceArts_Soft_5	Lance Agility 5
MSID_H_LanceArts_Soft_5	Grants Avo+30 at a cost of Crit-10\nwhen using a lance.
MSID_LanceArts_Hard_1	Lance Power 1
MSID_H_LanceArts_Hard_1	Grants Atk+2 at a cost of Avo-10\nwhen using a lance.
MSID_LanceArts_Hard_2	Lance Power 2
MSID_H_LanceArts_Hard_2	Grants Atk+4 at a cost of Avo-10\nwhen using a lance.
MSID_LanceArts_Hard_3	Lance Power 3
MSID_H_LanceArts_Hard_3	Grants Atk+6 at a cost of Avo-10\nwhen using a lance.
MSID_LanceArts_Hard_4	Lance Power 4
MSID_H_LanceArts_Hard_4	Grants Atk+8 at a cost of Avo-10\nwhen using a lance.
MSID_LanceArts_Hard_5	Lance Power 5
MSID_H_LanceArts_Hard_5	Grants Atk+10 at a cost of Avo-10\nwhen using a lance.
MSID_AxeArts_Hard_1	Axe Power 1
MSID_H_AxeArts_Hard_1	Grants Atk+2 at a cost of Avo-10\nwhen using an axe.
MSID_AxeArts_Hard_2	Axe Power 2
MSID_H_AxeArts_Hard_2	Grants Atk+4 at a cost of Avo-10\nwhen using an axe.
MSID_AxeArts_Hard_3	Axe Power 3
MSID_H_AxeArts_Hard_3	Grants Atk+6 at a cost of Avo-10\nwhen using an axe.
MSID_AxeArts_Hard_4	Axe Power 4
MSID_H_AxeArts_Hard_4	Grants Atk+8 at a cost of Avo-10\nwhen using an axe.
MSID_AxeArts_Hard_5	Axe Power 5
MSID_H_AxeArts_Hard_5	Grants Atk+10 at a cost of Avo-10\nwhen using an axe.
MSID_BowArts_Soft_1	Bow Agility 1
MSID_H_BowArts_Soft_1	Grants Avo+10 at a cost of Crit-10\nwhen using a bow.
MSID_BowArts_Soft_2	Bow Agility 2
MSID_H_BowArts_Soft_2	Grants Avo+15 at a cost of Crit-10\nwhen using a bow.
MSID_BowArts_Soft_3	Bow Agility 3
MSID_H_BowArts_Soft_3	Grants Avo+20 at a cost of Crit-10\nwhen using a bow.
MSID_BowArts_Soft_4	Bow Agility 4
MSID_H_BowArts_Soft_4	Grants Avo+25 at a cost of Crit-10\nwhen using a bow.
MSID_BowArts_Soft_5	Bow Agility 5
MSID_H_BowArts_Soft_5	Grants Avo+30 at a cost of Crit-10\nwhen using a bow.
MSID_BowArts_Mind_1	Bow Focus 1
MSID_H_BowArts_Mind_1	Grants Hit+10 at a cost of Ddg-10\nwhen using a bow.
MSID_BowArts_Mind_2	Bow Focus 2
MSID_H_BowArts_Mind_2	Grants Hit+15 at a cost of Ddg-10\nwhen using a bow.
MSID_BowArts_Mind_3	Bow Focus 3
MSID_H_BowArts_Mind_3	Grants Hit+20 at a cost of Ddg-10\nwhen using a bow.
MSID_BowArts_Mind_4	Bow Focus 4
MSID_H_BowArts_Mind_4	Grants Hit+25 at a cost of Ddg-10\nwhen using a bow.
MSID_BowArts_Mind_5	Bow Focus 5
MSID_H_BowArts_Mind_5	Grants Hit+30 at a cost of Ddg-10\nwhen using a bow.
MSID_MartialArts_Mind_1	Art Focus 1
MSID_H_MartialArts_Mind_1	Grants Hit+10 at a cost of Ddg-10\nwhen using an art.
MSID_MartialArts_Mind_2	Art Focus 2
MSID_H_MartialArts_Mind_2	Grants Hit+15 at a cost of Ddg-10\nwhen using an art.
MSID_MartialArts_Mind_3	Art Focus 3
MSID_H_MartialArts_Mind_3	Grants Hit+20 at a cost of Ddg-10\nwhen using an art.
MSID_MartialArts_Mind_4	Art Focus 4
MSID_H_MartialArts_Mind_4	Grants Hit+25 at a cost of Ddg-10\nwhen using an art.
MSID_MartialArts_Mind_5	Art Focus 5
MSID_H_MartialArts_Mind_5	Grants Hit+30 at a cost of Ddg-10\nwhen using an art.
MSID_KnifeArts_1	Knife Precision 1
MSID_H_KnifeArts_1	Grants Hit/Avo+3 when using\na knife.
MSID_KnifeArts_2	Knife Precision 2
MSID_H_KnifeArts_2	Grants Hit/Avo+5 when using\na knife.
MSID_KnifeArts_3	Knife Precision 3
MSID_H_KnifeArts_3	Grants Hit/Avo+7 when using\na knife.
MSID_KnifeArts_4	Knife Precision 4
MSID_H_KnifeArts_4	Grants Hit/Avo+10 when using\na knife.
MSID_KnifeArts_5	Knife Precision 5
MSID_H_KnifeArts_5	Grants Hit/Avo+15 when using\na knife.
MSID_MagicArts_1	Tome Precision 1
MSID_H_MagicArts_1	Grants Hit/Avo+3 when using\na tome.
MSID_MagicArts_2	Tome Precision 2
MSID_H_MagicArts_2	Grants Hit/Avo+5 when using\na tome.
MSID_MagicArts_3	Tome Precision 3
MSID_H_MagicArts_3	Grants Hit/Avo+7 when using\na tome.
MSID_MagicArts_4	Tome Precision 4
MSID_H_MagicArts_4	Grants Hit/Avo+10 when using\na tome.
MSID_MagicArts_5	Tome Precision 5
MSID_H_MagicArts_5	Grants Hit/Avo+15 when using\na tome.
MSID_RodArts_1	Staff Mastery 1
MSID_H_RodArts_1	Grants Hit+10 when using a staff.\nStaves also heal an additional 3 HP.
MSID_RodArts_2	Staff Mastery 2
MSID_H_RodArts_2	Grants Hit+15 when using a staff.\nStaves also heal an additional 5 HP.
MSID_RodArts_3	Staff Mastery 3
MSID_H_RodArts_3	Grants Hit+20 when using a staff.\nStaves also heal an additional 7 HP.
MSID_RodArts_4	Staff Mastery 4
MSID_H_RodArts_4	Grants Hit+25 when using a staff.\nStaves also heal an additional 10 HP.
MSID_RodArts_5	Staff Mastery 5
MSID_H_RodArts_5	Grants Hit+30 when using a staff.\nStaves also heal an additional 15 HP.
MSID_Outclass_1	Perceptive
MSID_H_Outclass_1	If the unit initiates combat, grants\nAvo+15 during combat. Avo\nincreases with high Spd.
MSID_Outclass_2	Perceptive+
MSID_H_Outclass_2	If the unit initiates combat, grants\nAvo+30 during combat. Avo\nincreases with high Spd.
MSID_Fortitude_1	Unyielding
MSID_H_Fortitude_1	At start of player phase, if HP is\n20% or less, restores 20% of unit's\nmax HP.
MSID_Fortitude_2	Unyielding+
MSID_H_Fortitude_2	At start of player phase, if HP is\n30% or less, restores 30% of unit's\nmax HP.
MSID_Fortitude_3	Unyielding++
MSID_H_Fortitude_3	At start of player phase, if HP is\n40% or less, restores 40% of unit's\nmax HP.
MSID_MarthEngage	Divine Speed
MSID_H_MarthEngage	Unit performs an extra attack\nat 50% damage in combat.
MSID_H_MarthEngage_Covert	Unit performs an extra attack\nat 50% damage in combat.\n[Covert] If extra attack hits,\npoisons foe.
MSID_H_MarthEngage_Dragon	Unit performs an extra attack\nat 50% damage in combat.\n[Dragon] Unit recovers HP equal to\ndamage dealt by extra attack.
MSID_BreakPursuit	Break Defenses
MSID_H_BreakPursuit	If unit's attack breaks foe, unit\nmakes an extra attack at 50%\ndamage.
MSID_MarthEngageAtk	Lodestar Rush
MSID_H_MarthEngageAtk	Use to launch 7 consecutive sword\nattacks at 30% damage. Adjacent\nfoe only.
MSID_H_MarthEngageAtk_Dragon	Use to launch 7 consecutive sword\nattacks at 30% damage. Adjacent foe\nonly.\n[Dragon] +2 attacks.
MSID_H_MarthEngageAtk_Coop	Use to launch 7 consecutive sword\nattacks at 30% damage. Adjacent foe\nonly.\n[Backup] +1 attack.
MSID_H_MarthEngageAtk_Magic	Use to launch 7 consecutive sword\nattacks at 30% damage. Adjacent foe\nonly.\n[Mystical] Damage based on Mag.
MSID_H_MarthEngageAtk_CMD	Attack in a flurry of blows.
MSID_Remove_1	Canter
MSID_H_Remove_1	Unit can move 2 spaces after acting.
MSID_Remove_2	Canter+
MSID_H_Remove_2	Unit can move 3 spaces after acting.
MSID_Approach_1	Momentum
MSID_H_Approach_1	Grants Atk+1 to first attack during\ncombat for each space unit moved\nbefore attacking. (Max +10)
MSID_Approach_2	Momentum+
MSID_H_Approach_2	Grants Atk+1 to first attack during\ncombat for each space unit moved\nbefore attacking.
MSID_Rush	Headlong Rush
MSID_H_Rush	Grants immunity to freeze.
MSID_SigludEngage	Gallop
MSID_H_SigludEngage	Grants Mov+5.
MSID_H_SigludEngage_Dragon	Grants Mov+5.\n[Dragon] Grants another Mov+1.
MSID_H_SigludEngage_Horse	Grants Mov+5.\n[Cavalry] Grants another Mov+2.
MSID_H_SigludEngage_Covert	Grants Mov+5.\n[Covert] Unit does not pay extra\nmovement cost on any terrain.
MSID_SigludEngageAtk	Override
MSID_H_SigludEngageAtk	Use to attack and move through a\nline of adjacent foes. Sword/lance\nonly.
MSID_H_SigludEngageAtk_Dragon	Use to attack and move through a\nline of adjacent foes. Sword/lance\nonly.\n[Dragon] +20% damage.
MSID_H_SigludEngageAtk_Heavy	Use to attack and move through a\nline of adjacent foes. Sword/lance\nonly.\n[Armored] 10% chance of\nbreaking target.
MSID_H_SigludEngageAtk_Magic	Use to attack and move through a\nline of adjacent foes. Sword/lance\nonly.\n[Mystical] Deals extra\ndamage=25% of Mag.
MSID_H_SigludEngageAtk_Prana	Use to attack and move through a\nline of adjacent foes. Sword/lance\nonly.\n[Qi Adept] 20% chance of\nbreaking target.
MSID_H_SigludEngageAtk_CMD	Attack and move through foes.
MSID_M011_SigludEngage_DarkSide	Dark Gallop
MSID_H_M011_SigludEngage_DarkSide	Grants Mov+3.
MSID_EvilCounter_1	Holy Stance
MSID_H_EvilCounter_1	If a Corrupted attacks unit, deals\n10% of damage taken back to foe.
MSID_EvilCounter_2	Holy Stance+
MSID_H_EvilCounter_2	If a Corrupted attacks unit, deals\n30% of damage taken back to foe.
MSID_EvilCounter_3	Holy Stance++
MSID_H_EvilCounter_3	If a Corrupted attacks unit, deals\n50% of damage taken back to foe.
MSID_BlackMagic_1	Resonance
MSID_H_BlackMagic_1	When equipped with a tome, if unit's\nHP is 2 or more, unit loses 1 HP at\nstart of combat and deals +2\ndamage during combat.
MSID_BlackMagic_2	Resonance+
MSID_H_BlackMagic_2	When equipped with a tome, if unit's\nHP is 2 or more, unit loses 1 HP at\nstart of combat and deals +3\ndamage during combat.
MSID_FavoriteFood	Favorite Food
MSID_H_FavoriteFood	When unit eats a packed meal, its\nengage meter is maxed out.
MSID_CelicaEngage	Echo
MSID_H_CelicaEngage	Use to attack with magic at 50%\ndamage. Use a second time to\nlaunch another 50% attack.
MSID_H_CelicaEngage_Dragon	Use to attack with magic at 50%\ndamage. Use a second time to\nlaunch another 50% attack.\n[Dragon] Range +1.
MSID_H_CelicaEngage_Magic	Use to attack with magic at 50%\ndamage. Use a second time to\nlaunch another 50% attack.\n[Mystical] +10% damage.
MSID_H_CelicaEngage_CMD	Attack two separate times.
MSID_CelicaEngageAtk	Warp Ragnarok
MSID_H_CelicaEngageAtk	Use to warp up to 10 spaces and\nmake a powerful magic attack.
MSID_H_CelicaEngageAtk_Dragon	Use to warp up to 10 spaces and \nmake a powerful magic attack.\n[Dragon] Attack range +1.
MSID_H_CelicaEngageAtk_Horse	Use to warp up to 10 spaces and \nmake a powerful magic attack.\n[Cavalry] Warp distance +2.
MSID_H_CelicaEngageAtk_Fly	Use to warp up to 10 spaces and \nmake a powerful magic attack.\n[Flying] Warp distance +5.
MSID_H_CelicaEngageAtk_Magic	Use to warp up to 10 spaces and\nmake a powerful magic attack.\n[Mystical] +20% damage.
MSID_H_CelicaEngageAtk_CMD	Warp far away and attack.
MSID_M011_CelicaEngageAtk_DarkSide	Dark Warp
MSID_CelicaEngageAtk_DarkSide	Ragnarok Warp
MSID_H_CelicaEngageAtk_DarkSide	Use to make a powerful magic\nattack, then warp somewhere else\non the map.
MSID_H_CelicaEngageAtk_DarkSide_CMD	Attack, then warp away.
MSID_H_M011_CelicaEngageAtk_DarkSide	Use to warp up to 5 spaces and\nmake a powerful magic attack.
MSID_EvilCounter_3_DarkSide	Unholy Stance
MSID_H_EvilCounter_3_DarkSide	If a non-Corrupted foe attacks unit,\ndeals 50% of damage taken back\nto foe.
MSID_EquipRod_1	Cleric
MSID_H_EquipRod_1	Unit can equip staves up to level C.
MSID_EquipRod_2	Cleric+
MSID_H_EquipRod_2	Unit can equip staves up to level B.
MSID_EquipRod_3	Cleric++
MSID_H_EquipRod_3	Unit can equip staves up to level A.
MSID_Silenceproof	Silence Ward
MSID_H_Silenceproof	Grants immunity to silence.
MSID_HealingResonance	Healing Light
MSID_H_HealingResonance	When unit heals an ally with a staff,\nunit also recovers HP=50% of the\namount healed.
MSID_MicaiahEngage	Augment
MSID_H_MicaiahEngage	Grants staff range +5 and area of\neffect +1.
MSID_H_MicaiahEngage_Dragon	Grants staff range +5 and area of\neffect +1.\n[Dragon] Additional staff range +1.
MSID_H_MicaiahEngage_Prana	Grants staff range +5 and area of\neffect +1.\n[Qi Adept] +20% to HP healed\nby staves.
MSID_MicaiahEngageAtk	Great Sacrifice
MSID_H_MicaiahEngageAtk	Use to restore full HP to all allies,\neven those not under the player's\ncontrol. After use, unit's HP=1.
MSID_H_MicaiahEngageAtk_Dragon	Use to restore full HP to all allies,\neven those not under the player's\ncontrol. After use, unit's HP=1.\n[Dragon] Unit's HP=30% current.
MSID_H_MicaiahEngageAtk_Heavy	Use to restore full HP to all allies,\neven those not under the player's\ncontrol. After use, unit's HP=1.\n[Armored] Grants Def+1 to all\nhealed during their next combat.
MSID_H_MicaiahEngageAtk_Prana	Use to restore full HP to all allies,\neven those not under the player's\ncontrol. After use, unit's HP=1.\n[Qi Adept] Also cures status.
MSID_H_MicaiahEngageAtk_CMD	Expend HP to heal all allies.
MSID_M011_MicaiahEngage_DarkSide	Dark Augment
MSID_H_M011_MicaiahEngage_DarkSide	Grants staff range +3 and\narea of effect +1.
MSID_HoldOut_1	Hold Out
MSID_H_HoldOut_1	If unit had 30% HP or more at start\nof combat, unit always survives\ncombat with at least 1 HP.
MSID_HoldOut_2	Hold Out+
MSID_H_HoldOut_2	If unit had 20% HP or more at start\nof combat, unit always survives\ncombat with at least 1 HP.
MSID_HoldOut_3	Hold Out++
MSID_H_HoldOut_3	If unit had 10% HP or more at start\nof combat, unit always survives\ncombat with at least 1 HP.
MSID_HoldOut_4	Hold Out+++
MSID_H_HoldOut_4	If unit had 2 HP or more at start\nof combat, unit always survives\ncombat with at least 1 HP.
MSID_ClosingAttack	Advance
MSID_H_ClosingAttack	Use to move 1 space toward a foe\nthat is 2 spaces away and attack.
MSID_H_ClosingAttack_CMD	Move 1 space and attack.
MSID_RoyEngage	Rise Above
MSID_H_RoyEngage	Grants Lvl+5.
MSID_H_RoyEngage_Dragon	Grants Lvl+5.\n[Dragon] Additional Lvl+1.
MSID_H_RoyEngage_Horse	Grants Lvl+5.\n[Cavalry] Mov+1.
MSID_H_RoyEngage_Heavy	Grants Lvl+5.\n[Armored] Max HP+5.
MSID_RoyEngageAtk	Blazing Lion
MSID_H_RoyEngageAtk	Use to attack adjacent foe and an\narea 3 spaces wide. Target area and\nthe 2 rows beyond it are set on fire.\nSword only.
MSID_H_RoyEngageAtk_Dragon	Use to attack adjacent foe and an\narea 3 spaces wide. Target area and\nthe 2 rows beyond it are set on fire.\nSword only.\n[Dragon] Expands attack area.
MSID_H_RoyEngageAtk_Magic	Use to attack adjacent foe and an\narea 3 spaces wide. Target area and\nthe 2 rows beyond it are set on fire.\nSword only.\n[Mystical] Expands flame area.
MSID_H_RoyEngageAtk_CMD	Attack area and set it ablaze.
MSID_M011_RoyEngage_DarkSide	Sink Below
MSID_H_M011_RoyEngage_DarkSide	Grants Lvl+3.
MSID_AugmentDamage_1	Arms Shield
MSID_H_AugmentDamage_1	When unit has weapon advantage,\nunit takes 3 less damage.
MSID_AugmentDamage_2	Arms Shield+
MSID_H_AugmentDamage_2	When unit has weapon advantage,\nunit takes 5 less damage.
MSID_AugmentDamage_3	Arms Shield++
MSID_H_AugmentDamage_3	When unit has weapon advantage,\nunit takes 7 less damage.
MSID_Ambush_1	Vantage
MSID_H_Ambush_1	If unit's HP is 25% or less and foe\ninitiates combat, unit can counter\nbefore foe's first attack.
MSID_Ambush_2	Vantage+
MSID_H_Ambush_2	If unit's HP is 50% or less and foe\ninitiates combat, unit can counter\nbefore foe's first attack.
MSID_Ambush_3	Vantage++
MSID_H_Ambush_3	If unit's HP is 75% or less and foe\ninitiates combat, unit can counter\nbefore foe's first attack.
MSID_LeafEngage	Adaptable
MSID_H_LeafEngage	If foe initiates combat, unit counters\nwith the best weapon available (in\nterms of range, weapon advantage,\neffective bonus, etc.).
MSID_H_LeafEngage_Dragon	If foe initiates combat, unit counters\nwith the best weapon available (in\nterms of range, weapon advantage,\neffective bonus, etc.).\n[Dragon] Hit+30 during combat.
MSID_H_LeafEngage_Coop	If foe initiates combat, unit counters\nwith the best weapon available (in\nterms of range, weapon advantage,\neffective bonus, etc.).\n[Backup] Crit+10 during combat.
MSID_H_LeafEngage_Covert	If foe initiates combat, unit counters\nwith the best weapon available (in\nterms of range, weapon advantage,\neffective bonus, etc.).\n[Covert] Avo+20 during combat.
MSID_H_LeafEngage_Heavy	If foe initiates combat, unit counters\nwith the best weapon available (in\nterms of range, weapon advantage,\neffective bonus, etc.).\n[Armored] Def+5 during combat.
MSID_H_LeafEngage_Fly	If foe initiates combat, unit counters\nwith the best weapon available (in\nterms of range, weapon advantage,\neffective bonus, etc.).\n[Flying] Res+5 during combat.
MSID_LeafEngageAtk	Quadruple Hit
MSID_H_LeafEngageAtk	Use to attack once each with sword,\nlance, axe, and bow.
MSID_H_LeafEngageAtk_Dragon	Use to attack once each with sword,\nlance, axe, and bow.\n[Dragon] +20% damage.
MSID_H_LeafEngageAtk_Covert	Use to attack once each with sword,\nlance, axe, and bow.\n[Covert] Foes may drop 1,000G.\nTrigger %=Lck.
MSID_H_LeafEngageAtk_Prana	Use to attack once each with sword,\nlance, axe, and bow.\n[Qi Adept] Breaks foe.
MSID_H_LeafEngageAtk_CMD	Attack with four weapons.
MSID_BondPower	Dual Strike
MSID_H_BondPower	Unit participates in chain attacks as\nif it were a backup unit.
MSID_DualAssist_1	Dual Assist
MSID_H_DualAssist_1	If unit is able to chain attack, unit\nwill do so when allies attack foes\nunit could reach by moving.\nTrigger %=35.
MSID_DualAssist_2	Dual Assist+
MSID_H_DualAssist_2	If unit is able to chain attack, unit\nwill do so when allies attack foes\nunit could reach by moving.\nTrigger %=70.
MSID_DualSupport	Dual Support
MSID_H_DualSupport	Grants a bonus to Avo that increases\nwith unit's support level with\nadjacent allies. (Max +90)
MSID_LucinaEngage	Bonded Shield
MSID_H_LucinaEngage_CMD	May prevent first attacks on\nadjacent allies. Trigger %=80.
MSID_H_LucinaEngage_CMD_Dragon	May prevent first attacks on\nadjacent allies. Trigger %=90.
MSID_H_LucinaEngage_CMD_Prana	Prevents first attacks on\nadjacent allies.
MSID_H_LucinaEngage	Use to prevent first attacks on\nadjacent allies until your next turn.\nTrigger %=80.
MSID_H_LucinaEngage_Dragon	Use to prevent first attacks on\nadjacent allies until your next turn.\nTrigger %=80.\n[Dragon] +10% to trigger rate.
MSID_H_LucinaEngage_Horse	Use to prevent first attacks on\nadjacent allies until your next turn.\nTrigger %=80.\n[Cavalry] Trigger %=100 for\ncavalry allies.
MSID_H_LucinaEngage_Heavy	Use to prevent first attacks on\nadjacent allies until your next turn.\nTrigger %=80.\n[Armored] Trigger %=100 for\narmored allies.
MSID_H_LucinaEngage_Fly	Use to prevent first attacks on\nadjacent allies until your next turn.\nTrigger %=80.\n[Flying] Trigger %=100 for\nflying allies.
MSID_H_LucinaEngage_Prana	Use to prevent first attacks on\nadjacent allies until your next turn.\nTrigger %=80.\n[Qi Adept] Trigger %=100.
MSID_LucinaEngageAtk	All for One
MSID_H_LucinaEngageAtk	Use to make a sword attack against\nan adjacent foe. All allies within 2\nspaces chain attack.
MSID_H_LucinaEngageAtk_Dragon	Use to make a sword attack against\nan adjacent foe. All allies within 2\nspaces chain attack.\n[Dragon] Ally chain attacks are\nguaranteed to hit.
MSID_H_LucinaEngageAtk_Coop	Use to make a sword attack against\nan adjacent foe. All allies within 2\nspaces chain attack.\n[Backup] Range +1.
MSID_H_LucinaEngageAtk_CMD	All nearby allies chain attack.
MSID_Pursuit_1	Alacrity
MSID_H_Pursuit_1	If unit initiates combat with a Spd\nadvantage of 9 or more, unit's\nfollow-up (if possible) occurs before\nfoe can counterattack.
MSID_Pursuit_2	Alacrity+
MSID_H_Pursuit_2	If unit initiates combat with a Spd\nadvantage of 7 or more, unit's\nfollow-up (if possible) occurs before\nfoe can counterattack.
MSID_Pursuit_3	Alacrity++
MSID_H_Pursuit_3	If unit initiates combat with a Spd\nadvantage of 5 or more, unit's\nfollow-up (if possible) occurs before\nfoe can counterattack.
MSID_SpeedAbsorption	Speedtaker
