MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nFaced one way, a thousand years' separation.\nThe other way, a hundred years' regret.\x0E\x04\x02\x00
MID_OP3_#006	You...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE001_イル\nIs that...\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08リュール\nWhere am I?\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE001_エル\nYou are in Lythos Castle. We have long awaited\nyour arrival.\x0E\x04\x02\x00
MID_OP3_#010	Thank you for answering our prayers.\x0E\x04\x02\x00
MID_OP3_#011	\x0E\x06\x00 \x0EE001_エル\x0EMPID_El\nI am Nel, one of the dragons who resides here.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x06\x00 \x0EE001_イル\x0EMPID_Il\n\x0E\x03\x02\x10\x0EE001_イル\nAnd I am Nil, her twin brother.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08リュール\nIt's nice to meet you, Nel. And you, Nil.\x0E\x04\x02\x00
MID_OP3_#014	I'm the Divine Dragon \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE001_エル\n\x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x10\x0EE001_イル\nSo you are the Divine Dragon!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE001_エル\nFate has made a cruel and mysterious choice.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE001_イル\nIt is such a joy to see you reborn.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08リュール\n"Reborn"? What does that...\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE001_エル\nThe Divine Dragon is deceased.\x0E\x04\x02\x00
MID_OP3_#021	You fell in the last war. Our world has been\nconsumed by darkness in the time since.\x0E\x04\x02\x00
MID_OP3_#022	We have long prayed for a savior to aid us. And\nyour appearance seems to be our answer.\x0E\x04\x02\x00
MID_OP3_#023	It is unfortunate. I would have preferred never\nto see you again.\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE001_イル\nNel!\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x10\x0EE001_エル\nBut we are in desperate need of aid. And we do\nnot have the luxury of choice.\x0E\x04\x02\x00
MID_OP3_#026	I will speak no more of it. Please follow me.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x10\x0EE001_イル\nI'm so sorry, Divine One. She is rather more\nupset by this than I would have expected.\x0E\x04\x02\x00
MID_OP3_#028	She and the Divine Dragon have a somewhat\ncomplicated history.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_エル\nThis is the Bracelet Vault. Here, our Emblem\nBracelets are kept secure.\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nI see.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x10\x0EE001_エル\nUpon that pedestal lies the Bracelet of the\nShepherd Exalt.\x0E\x04\x02\x00
MID_OP4_#004	It is the sole bracelet in our possession. The\nEmblems within it are safely in slumber.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x10\x0EE001_イル\nThere are seven bracelets in total.\x0E\x04\x02\x00
MID_OP4_#006	We lost the other six in the war with Sombron.\x0E\x04\x00\x00
MID_OP4_#007	\x0E\x03\x02\x0A\x08リュール\nSo he exists in your world as well...\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x10\x0EE001_エル\nI will explain from the beginning.\x0E\x04\x02\x00
MID_OP4_#009	The first dragons were born millennia ago, and\nfrom them came the Divine and Fell Dragons.\x0E\x04\x02\x00
MID_OP4_#010	For a time, there was peace─until the Fell\nDragons turned to conquest and destruction.\x0E\x04\x02\x00
MID_OP4_#011	With the world under threat, the Divine Dragons\nand the people prayed for salvation.\x0E\x04\x02\x00
MID_OP4_#012	And that salvation came in the form of beings\nfrom other worlds known as Emblems.\x0E\x04\x02\x00
MID_OP4_#013	The Emblems were manifestations of those\nardent prayers for peace.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x10\x0EE001_イル\nMy sister and I were performing that ancient rite\nwhen you arrived.\x0E\x04\x02\x00
MID_OP4_#015	We thought a new Emblem would appear\nto save us.\x0E\x04\x00\x00
MID_OP4_#016	\x0E\x03\x02\x0A\x08リュール\nAnd you got me.\x0E\x04\x00\x00
MID_OP4_#017	\x0E\x03\x02\x10\x0EE001_イル\nYes, it was quite the shock! I'm still a bit\nbeside myself.\x0E\x04\x00\x00
MID_OP4_#018	\x0E\x03\x02\x10\x0EE001_エル\nThe Emblems brought an end to the fighting,\nbut only temporarily.\x0E\x04\x02\x00
MID_OP4_#019	A thousand years ago, Sombron sought to\nexploit the Emblems for his own ambitions.\x0E\x04\x00\x00
MID_OP4_#020	\x0E\x03\x02\x10\x0EE001_イル\nWe experienced that war firsthand. It was awful.\nThe entire continent became a battlefield.\x0E\x04\x02\x00
MID_OP4_#021	The dragons and the royal families fought over\nthe Emblems until all sides were exhausted.\x0E\x04\x00\x00
MID_OP4_#022	\x0E\x03\x02\x10\x0EE001_エル\nBut as we stood upon the brink of annihilation,\nthe Divine Dragons won a key victory.\x0E\x04\x02\x00
MID_OP4_#023	Lumera, the Divine Dragon Monarch, imprisoned\nFell Dragon Sombron─at the cost of her life.\x0E\x04\x00\x00
MID_OP4_#024	\x0E\x03\x02\x0A\x08リュール\nMy mother died a thousand years ago?\x0E\x04\x00\x00
MID_OP4_#025	\x0E\x03\x02\x10\x0EE001_エル\nHer sacrifice bestowed peace upon the people\neven as they mourned her passing.\x0E\x04\x02\x00
MID_OP4_#026	But it was her successor who healed the\nwounded land and returned it to prosperity.\x0E\x04\x00\x00
MID_OP4_#027	\x0E\x03\x02\x0A\x08リュール\nHer successor... You mean the next Divine\nDragon Monarch?\x0E\x04\x00\x00
MID_OP4_#028	\x0E\x03\x02\x10\x0EE001_エル\nYes. You.\x0E\x04\x00\x00
MID_OP4_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP4_#030	\x0E\x03\x02\x10\x0EE001_イル\nThe Divine Dragon Monarch after Lumera was\nher own begotten child, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP4_#031	\x0E\x03\x02\x0A\x08リュール\nSo I took the throne after she died... This is so\ndifferent from the history of my world.\x0E\x04\x00\x00
MID_OP4_#032	\x0E\x03\x02\x10\x0EE001_イル\nYou were a wonderful ruler.\x0E\x04\x02\x00
MID_OP4_#033	Under your reign, it seemed like the world\nwould be at peace for the rest of time.\x0E\x04\x02\x00
MID_OP4_#034	But it was not to be. Sombron eventually\nreturned, and another war began.\x0E\x04\x00\x00
MID_OP4_#035	\x0E\x03\x02\x10\x0EE001_エル\nWhosoever gathers all seven of the awakened\nEmblems will be granted immense power.\x0E\x04\x02\x00
MID_OP4_#036	Sombron intended to use that power to exact\nrevenge and restore the Fell Dragons' honor.\x0E\x04\x02\x00
MID_OP4_#037	To achieve that end, he was willing to set the\nwhole world ablaze.\x0E\x04\x00\x00
MID_OP4_#038	\x0E\x03\x02\x0A\x08リュール\nAnd I take it I lost this war.\x0E\x04\x00\x00
MID_OP4_#039	\x0E\x03\x02\x10\x0EE001_エル\nNo... Not exactly. You and Sombron...each\nslew the other.\x0E\x04\x02\x00
MID_OP4_#040	On the night of the decisive clash, you and he\nperished at the same moment.\x0E\x04\x00\x00
MID_OP4_#041	\x0E\x03\x02\x0A\x08リュール\nSo the Fell Dragon is already gone?\x0E\x04\x02\x00
MID_OP4_#042	Then who is it that's putting your world in\ndanger now?\x0E\x04\x00\x00
MID_OP4_#043	\x0E\x03\x02\x10\x0EE001_エル\nAn unknown malefactor is attempting to fulfill\nthe late Sombron's ambitions.\x0E\x04\x00\x00
MID_OP4_#044	\x0E\x03\x02\x10\x0EE001_イル\nThey come and go without a trace. We know\nnothing of their whereabouts or appearance.\x0E\x04\x02\x00
MID_OP4_#045	All we know for sure is that, like Sombron, this\nindividual wants to collect the seven bracelets.\x0E\x04\x02\x00
MID_OP4_#046	In fact, we believe they already have two.\x0E\x04\x00\x00
MID_OP4_#047	\x0E\x03\x02\x0A\x08リュール\nOne in Lythos Castle, two in enemy hands...\nWhere are the other four?\x0E\x04\x00\x00
MID_OP4_#048	\x0E\x03\x02\x10\x0EE001_エル\nEach of the four nations of Elyos possesses one.\x0E\x04\x02\x00
MID_OP4_#049	They once fought under a single banner, but\nthat changed drastically after your death.\x0E\x04\x02\x00
MID_OP4_#050	Now, with nothing to unite them, the little\nones─the humans─bicker among themselves.\x0E\x04\x02\x00
MID_OP4_#051	Thus far they have kept one another in check.\nBut war could break out at any moment.\x0E\x04\x00\x00
MID_OP4_#052	\x0E\x03\x02\x10\x0EE001_イル\nI don't know if the Divine Dragon's army was\never truly united.\x0E\x04\x02\x00
MID_OP4_#053	I saw them argue in this very castle about which\nnation was to blame for your death.\x0E\x04\x02\x00
MID_OP4_#054	Which is absurd, of course. It was no\none's fault.\x0E\x04\x00\x00
MID_OP4_#055	\x0E\x03\x02\x10\x0EE001_エル\nNow that our savior has arrived, it is imperative\nwe reclaim the bracelets.\x0E\x04\x02\x00
MID_OP4_#056	The conflict we have avoided for years will\nsoon be inevitable.\x0E\x04\x02\x00
MID_OP4_#057	You may need to cross blades with people who\nresemble your own friends and allies.\x0E\x04\x00\x00
MID_OP4_#058	\x0E\x03\x02\x0A\x08リュール\nI understand. I'll brace myself for that\npossibility.\x0E\x04\x02\x00
MID_OP4_#059	So...you're both Divine Dragons like me?\x0E\x04\x00\x00
MID_OP4_#060	\x0E\x03\x02\x10\x0EE001_エル\nWhat gave you that impression?\x0E\x04\x00\x00
MID_OP4_#061	\x0E\x03\x02\x0A\x08リュール\nYou said you were dragons, and you live in\nLythos Castle, so I just assumed.\x0E\x04\x00\x00
MID_OP4_#062	\x0E\x03\x02\x10\x0EE001_エル\nYour assumption is incorrect.\x0E\x04\x00\x00
MID_OP4_#063	\x0E\x03\x02\x10\x0EE001_イル\nUh, what she means, Divine One, is that we─\x0E\x04\x00\x00
MID_OP4_#064	\x0E\x03\x02\x10\x0EE001_エル\nWatch out! Assassins!\x0E\x04\x00\x00
MID_OP4_#065	\x0E\x03\x02\x10\x0EE001_イル\nNel!\x0E\x04\x00\x00
MID_OP4_#066	\x0E\x03\x02\x0A\x08リュール\nShe's a Fell Dragon!\x0E\x04\x00\x00
MID_OP4_#067	\x0E\x03\x02\x10\x0EE001_エル\nMy brother and I both. In this world, Fell\nDragons are born as twins.\x0E\x04\x02\x00
MID_OP4_#068	We severed ties with our father during the last\nwar. We now fight against our misguided kin.\x0E\x04\x00\x00
MID_OP4_#069	\x0E\x03\x02\x10\x0EE001_イル\nI cannot transform, but that does not stop me\nfrom fighting at Nel's side.\x0E\x04\x00\x00
MID_OP4_#070	\x0E\x03\x02\x0A\x08リュール\nFell Dragon twins...\x0E\x04\x00\x00
MID_OP4_#071	\x0E\x03\x02\x10\x0EE001_エル\nI suppose I simply assumed that you would\nalready know what we were.\x0E\x04\x02\x00
MID_OP4_#072	It seems I was mistaken.\x0E\x04\x02\x00
MID_OP4_#073	If you will not aid us, you may leave. We will\ndefend this world ourselves.\x0E\x04\x00\x00
MID_OP4_#074	\x0E\x03\x02\x0A\x08リュール\nNo... I'll fight with you.\x0E\x04\x02\x00
MID_OP4_#075	I don't care about your heritage. If you truly\nwant to protect this world, I'll be your ally.\x0E\x04\x00\x00
MID_OP4_#076	\x0E\x03\x02\x10\x0EE001_イル\nAh, that's a relief. Now, let us march into battle\ntogether, just like the good old days!\x0E\x04\x00\x00
MID_OP4_#077	\x0E\x03\x02\x10\x0EE001_エル\nShow us your mettle, Divine One. We shall see\nif you are truly the answer to our prayers.\x0E\x04\x00\x00
MID_EV0_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_エル\x02t\n\x0E\x05\x01\x1C\x0EE001_エル\nAngry\n\x0E\x03\x02\x10\x0EE001_エル\nThe enemy has most likely come for the\nBracelet of the Shepherd Exalt.\x0E\x04\x02\x00
MID_EV0_#002	We must stop them here, before they can reach\nits location.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nRelax\n\x0E\x03\x02\x14\x12E001_Boss\nOoo, hehehe...\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nCute, right? But watch out. Those fangs will\nreally leave a mark.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE001_イル\x02t\n\x0E\x05\x01\x1C\x0EE001_イル\nAngry\n\x0E\x03\x02\x10\x0EE001_イル\nYou can lift the fangs' curse with my Restore\nstaff. Give it to someone who can use it!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nSmile\n\x0E\x03\x02\x14\x12E001_Boss\nIt won't be easy beating that one. Not with my\nEmblem's power protecting it. Haha...\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01 \x12E001_Boss\nAngry\n\x0E\x03\x02\x14\x12E001_Boss\nHand over the bracelet.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01&\x12E001_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E001_Boss\nAre you...the Divine Dragon?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nYes. And I'll be taking back that bracelet now.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E001_Boss\x02b\n\x0E\x05\x01\x1E\x12E001_Boss\x08Pain\n\x0E\x03\x02\x14\x12E001_Boss\nYou've won...this time.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x10\x0EE001_イル\nUgh... They got away! I was hoping we would\nfinally learn their identity.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nAt least we got back the bracelet they\nwere carrying.\x0E\x04\x02\x00
MID_ED1_#003	That's...\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x10\x0EE001_エル\nThe Bracelet of the Ancestor. It seems...\ndifferent since we last laid eyes on it.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nHm... Maybe this Emblem can tell us about\ntheir time in enemy hands.\x0E\x04\x02\x00
MID_ED1_#006	I'll summon them again so we can talk.\x0E\x04\x02\x00
MID_ED1_#007	Huh? That's strange...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE001_エル\nWhat?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08リュール\nThe invocation isn't coming to me. Perhaps it's\nbecause I'm in a new world.\x0E\x04\x02\x00
MID_ED1_#010	But that's no good. Summoning Emblems is\nwhat a Divine Dragon...does.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nDivine...Dragon?\x0E\x04\x02\x00
MID_ED1_#012	\x0E\x03\x00\x16\x10E001_敵チキ\x024\n\x0E\x06\x00&\x10E001_敵チキ\x12MPID_Tiki\n\x0E\x03\x02\x12\x10E001_敵チキ\nI'm Tiki. Are you a Divine Dragon like me?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nWell...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x10\x0EE001_イル\nImpossible. Emblems in this state shouldn't be\nable to speak.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nHello, Emblem Tiki.\x0E\x04\x02\x00
MID_ED1_#016	I might be able to summon you again, but your\ninvocation isn't coming to me. Do you know it?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x12\x10E001_敵チキ\nI don't know anything about an invocation...\x0E\x04\x02\x00
MID_ED1_#018	Ugh... My head feels fuzzy. It hurts.\x0E\x04\x02\x00
MID_ED1_#019	Please...don't make me fight anymore. I don't\nlike hurting people.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE001_エル\nYou need not act against your will. Allow me to\nreturn you to peaceful slumber.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\nYou can do that?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x10\x0EE001_エル\nI can indeed. But I am unfamiliar with this\nsummoning power of which you speak.\x0E\x04\x02\x00
MID_ED1_#023	The Divine Dragon of this world was able to\ncleanse Fallen Emblems.\x0E\x04\x02\x00
MID_ED1_#024	It would seem that you cannot do the same,\nso I will send Emblem Tiki to rest.\x0E\x04\x02\x00
MID_ED1_#025	In slumber, she will be safe from those who\nwould exploit her power.\x0E\x04\x02\x00
MID_ED1_#026	No longer will she be compelled to fight.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE001_イル\nYou might say we are containing her power in\nthe bracelet.\x0E\x04\x02\x00
MID_ED1_#028	Sadly, since we lack the ability to awaken\nEmblems, she cannot aid us any further.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nIt sounds like our only option right now.\nPlease, go ahead.\x0E\x04\x02\x00
MID_ED1_#030	Whatever benefits there might be to keeping\nher awake, I won't force her to fight.\x0E\x04\x02\x00
MID_ED1_#031	Tiki... I hope we'll meet again someday.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x12\x10E001_敵チキ\nI'd like that.\x0E\x04\x02\x00
MID_ED1_#033	When we do, let's play together lots, OK?\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x0A\x08リュール\nAbsolutely.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x10\x0EE001_エル\nFarewell, Emblem Tiki. Sweet dreams.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x12\x10E001_敵チキ\nNight night...\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x10\x0EE001_エル\nNow, so long as we keep her away from the\nenemy, she will be able to rest.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x0A\x08リュール\nThank you, Nel.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE001_エル\nWe place our Emblems into slumber as a matter\nof course, to prevent their exploitation.\x0E\x04\x02\x00
MID_ED1_#040	Emblem Tiki was thus asleep when she was\ntaken. But she returned to us awake.\x0E\x04\x02\x00
MID_ED1_#041	Our foe must therefore possess the power to\nawaken Emblems.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE001_イル\nOnly Divine and Fell Dragons can control\nthem in that way.\x0E\x04\x02\x00
MID_ED1_#043	There are no Divine Dragons left in this world,\nso that means our enemy is a Fell Dragon.\x0E\x04\x02\x00
MID_ED1_#044	One of our siblings, in other words.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x0A\x08リュール\nIf it's a sibling of yours, then do you have any\nidea who it could be?\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE001_イル\nWe have many brothers and sisters, but we're\nnot acquainted with all of them.\x0E\x04\x02\x00
MID_ED1_#047	Many died in the most recent war. There is no\ntelling which of them survived.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE001_エル\nThe power to control Emblems is rare. If we\nknew the culprit, we would surely recall.\x0E\x04\x02\x00
MID_ED1_#049	Perhaps this child was born after we left\nSombron. Or developed this power late.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE001_イル\nDragon powers are unpredictable. I cannot\ntransform myself or control Emblems at all.\x0E\x04\x02\x00
MID_ED1_#051	Sombron deemed me a failure. If I had stayed\nwith him, I would probably be dead by now.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x0A\x08リュール\nHow awful.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x02\x10\x0EE001_イル\nI managed to survive only because Nel took me\nwith her when she left.\x0E\x04\x02\x00
MID_ED1_#054	Agh! It angers me to think that our siblings\ncould be behind this.\x0E\x04\x02\x00
MID_ED1_#055	To be given that kind of power, only to use it\nfor evil... What a waste.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x02\x0A\x08リュール\nNil...\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE001_イル\nHaha! Ah, sorry. It's not my intention to poison\nthe mood.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE001_エル\nSo, Divine One. Our objective is to put an end\nto the ambitions of Sombron's mysterious heir.\x0E\x04\x02\x00
MID_ED1_#059	Since we are fighting to return the Emblems to\nslumber, they will not be able to help us.\x0E\x04\x02\x00
MID_ED1_#060	Knowing this, it is your choice whether or not\nto join our cause. What say you?\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x02\x0A\x08リュール\nYes. I'll help.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE001_イル\nSplendid! It is such a comfort to have you on\nour side. Isn't it, Nel?\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x10\x0EE001_エル\nAfter what I saw in that battle, I must agree.\x0E\x04\x02\x00
MID_ED1_#064	But I will remain unsettled by the necessity of\nfighting alongside this dead dragon.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x0A\x08リュール\nOh, I unsettle you, do I?\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x10\x0EE001_イル\nPlease, there is no need to quarrel!\x0E\x04\x02\x00
