MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nIt is an honor to know you, Emblem Dimitri.\nThank you for lending us your aid.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nディミトリ\nGiven the...rumble I just heard, could it be\nthat you're just hungry?\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nYou and the other members of the Four Winds\nseem to be quite close, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nYes, it's because I care deeply about everyone\nhere. Your trio also appears to be very close.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI heard you lived with many other students in\nthe Officers Academy. It sounds like a family.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nディミトリ\nFamily? Not really. We were all born to different\nhouseholds and grew up in different places.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nThat doesn't matter. Everyone here comes from\ndifferent backgrounds, but we're still family.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0C\nディミトリ\nRegardless of your origin or race, huh... It would\nbe grand if everyone thought that way.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nグレゴリー\nProper planning and information are more\nimportant than anything else, don't you think?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08クロード\nI agree. Without sufficient information, it would\nbe impossible to snare the enemy in a trap.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nI try to remove as many enemy units as I can,\nno matter the cost. If all else fails, we flee.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nYou really enjoy battle, huh? I guess we don't\nhave as much in common as I thought.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nEven among these bloodthirsty folk, your skill\nfor fleeing would be useful with my strategy.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nWhich strategy?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08クロード\nYou sneak into the middle of the enemy and\ncause a disturbance. Then I rush in and flank.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nI see, I see... Wait, no. Doesn't that mean I'd be\nthe only one in danger?\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nI am still learning, but my mother and father\nwere splendid knights.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nI could have guessed from watching you. I'm\ncertain your parents think of you with pride.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nマデリーン\nI'd like to know more about you, Lady Edelgard.\nWhat kind of people were your parents?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nMother passed away when I was very young.\nFather was kind... Too kind for an emperor.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nMadeline, why are you smiling like that?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nWhen I'm with you, I often wonder if this is\nwhat it would feel like to have an older sister.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nI am aware of the difference in our stations, of\ncourse, but I never had any siblings, so...\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nThank you. You are very cute. Speaking with\nyou this way always makes me happy too.\x0E\x04\x00\x00
