MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nHere we are...the islands south of Firene.\nI definitely feel the presence of an Emblem.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nMar-Mar! I am so glad to see you! I've been\ndoing so, so well!\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x02\x08\x06マルス\nIf we win this battle, I hope we can fight side by\nside again. I'd feel better having you as my ally.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x03\x02\x06\x04チキ\nOf course! I would love to travel with you once\nmore, and then we can chat forever and ever!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x14\x04チキ\x0CNormal\n\x0E\x03\x02\x06\x04チキ\nI was wondering... Do you enjoy being a\nDivine Dragon?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nI didn't always, but now, yes, I think I do. It\ntaught me what I'm truly capable of.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nI see. I'm very curious to learn all about you.\nWill you tell me more about yourself?\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0A\x08リュール\nOf course. I will tell you all that I can.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nWow, that was incredible! I tried my very best,\nbut you still won!\x0E\x04\x02\x00
MID_ED1_#002	You showed me your true essence as well. Even\nin battle, you were warm and kind.\x0E\x04\x02\x00
MID_ED1_#003	I would be ever so glad to help you. I quite look\nforward to working together, \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nThank you, Tiki. It's very reassuring to have you\non our side.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x06\x04チキ\nHm-hm! I'm flattered to hear you say so.\nOh! And it's not just me!\x0E\x04\x02\x00
MID_ED1_#006	My bracelet friends are here as well. I'm sure\nthey would be happy to help.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nYou mean there are even more bracelet\nEmblems here in Elyos?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x06\x04チキ\nYes! We just arrived recently. I'll tell you where\nthey are, so you can go and meet them!\x0E\x04\x02\x00
MID_ED1_#009	I do believe they are all sleeping. I only hope\nthey're having good dreams.\x0E\x04\x02\x00
MID_ED1_#010	I used to have terrible nightmares about turning\ninto a beast and hurting people.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nThat must have been awful. I'm so sorry.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04チキ\nIt was... But it's better now. I don't have those\nscary dreams anymore.\x0E\x04\x02\x00
MID_ED1_#013	And now that I'm with you, I think my dreams\nwill only be happy ones.\x0E\x04\x02\x00
MID_ED1_#014	That's why I'm so grateful not to be alone.\nI want to become friends with all your friends!\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nThat won't be a problem. You're bound to get\nalong well with everyone.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x06\x04チキ\nHm-hm! I cannot wait to meet them! Let's be on\nour way!\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMar-Mar! I'm so delighted to see you again.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06マルス\nIt's a relief to see you as well. Now I can fulfill\nthe promise I made to protect you.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x06\x04チキ\nHaha! I'm glad you remember! I never forgot.\x0E\x04\x02\x00
MID_ED2_#004	Now that we're reunited, I know I have nothing\nto fear. This will be so much fun!\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06マルス\nWith you by my side, Tiki, I'm sure I can take on\nany battle.\x0E\x04\x02\x00
MID_ED2_#006	Together, we will protect Elyos.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x06\x04チキ\nI promise to give it my all. I can't wait to travel\nwith you again!\x0E\x04\x02\x00
MID_ED2_#008	There is so much for us to talk about, and so\nmany adventures to be had!\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x08\x06マルス\nIndeed. We have a lot to catch up on, and just\nas much to look forward to.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x06\x04チキ\nOh, Mar-Mar! I missed you so much!\x0E\x04\x00\x00
