MID_WU_C_1_IN_#001	신룡 님, 셀린이에요. 실례할게요.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	이 솔라넬에도 전설이 있을까?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	나무 그늘과 연못가에 요정이 있어도 이상하지 않을 것 같아…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	일어나시는 모습도 아름다워…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	맞다, 신룡 님이야말로 이 땅의 전설 그 자체였네요.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	후후, 또 조금…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	행복한 기분이 들었어요.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	신룡 님, 오늘 아침에 근사한 꽃이 피었어요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	어머나, 신룡 님께서도 꽃을 좋아하시나요?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	그럼 다음에 연못 근처 정자로 오세요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	저, 거기서 피는 꽃을 돌보고 있거든요.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	사실은 한 송이 가져오고 싶었지만\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	바로 꺾자니 아쉬워서…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	꽃은 지니까 아름다운 거지만 말이죠.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	아침 식사 전에 둘이서 산책하지 않으실래요?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	오늘 아침에 핀 꽃이 있는 곳까지 안내해 드리고 싶어서요.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	저번에는 이야기를 들어 주셔서 감사했어요.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	신룡 님께서는 세계를 위해 싸우고 계시니…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	그 중압감은 분명 저와는 비교도 안 되겠죠.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	괴로우실 때는 말씀해 주세요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	찻잎을 노리는 도적이라…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	마음이 괴로울 때는 신룡 님의 말씀에 구원받고 있어요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	이건 약점이 아니라 상냥함이라고…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	언젠가 그런 식으로 생각하고 싶어요.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	좋은 아침이에요. 오늘도 싸우러 가시죠.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	피레네의 평화를 위해, 그리고 당신을 위해서라면…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	전 손을 더럽힐 각오가 됐어요.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	파트너를 깨우러 오는 건 정말 행복한 일이야.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	좋은 아침. 오늘 아침도 홍차를 우려 봤어.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	매번 같이 마시다 보니…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	이 향기가 나면 당신 생각부터 떠오르더라고.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	『약속의 반지』… 정말 고마워.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	오라버니에게 보고하니까 깜짝 놀랐던 거 같았지만\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	그래도 우리를 축복해 줬어.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	그날부터 나…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	너무 행복해서 무서워.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	당신이 사라지면 분명 난 견딜 수 없을 거야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	싸움이 끝날 때까지 제발 무사해야 해…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침이야. 당신이 일어나는 모습은\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	마치 아침에 피는 꽃 같아.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	앞으로도 떨어지지 않도록…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	또 내일도 필 수 있도록 내가 지켜 줄게.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	난 이곳이 마음에 들어.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	당신하고 둘이서 있을 수 있잖아.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	괴로운 일이 있더라도…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	이곳에 오면 생각이 바뀌어.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	아아, 오늘도 분명 행복한 하루가 될 거고…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	당신과 있으면 어떤 전장도 무섭지 않다는 생각으로.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	전장에서 목숨을 거둘 때\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	죄책감은 사라지지 않지만…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	당신은 내가 어떤 결단을 내리더라도\n곁에 있겠다고 말해 줬었지?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	나는 그 말이 무엇보다 기쁘고 든든해서…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	얼마든지 강해질 수 있을 거 같아.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	당신은… 내게 부적 같은 말을 줬어.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	전장에 갈 때는 『약속의 반지』는 두고 갈게.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	이것만큼은 언제나 아름답게…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	당신과 나의 인연 같았으면 하니까.\x0E\x04\x00\x00
