MID_WU_C_1_IN_#001	야호~! 아침입니다요, 신룡 나리~!!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	다음엔 한 곡 들려드리고 싶구만요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	하아… 자꾸 거짓말하게 되는 버릇을\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	좀 고치고 싶습니다요…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	! 제 목소리가 컸습니까요?!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	정각이 되기 전에 신룡 나리를 깨우다니 실수했습니다요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	혹시 그래도 된다면 목덜미를 톡 쳐서\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	주무시는 걸 도와드릴 수도…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	동료에게 강아지파라고 거짓말을 해 버렸습니다만\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	저는 사실 고양이파…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	남 말에 맞춰 자기를 속이는 버릇은 훗날 절 괴롭히겠구만요…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	신룡 나리, 저 결심했습니다.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	더 이상 자신의 모습을 속이지 않겠습니다.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	일단은 불필요하고 사소한 거짓말을 그만두는 것부터…!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	오늘도 새근새근 잘 주무시는구만요…\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	살짝 만지는 정도론 안 일어나실 것 같습니다요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	아아앗?! 숙면을 가장하면서\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	사실은 제 기척에 민감하게 반응하고 계셨다니 역시!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	만에 하나 자객이 습격해도 걱정 없겠구만요!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	신룡 나리… 아니, 신룡 님…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	이렇게 마음 놓고 자고 있으면 종종 걱정돼.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	지금 같은 때 누가 목숨을 노릴까 봐.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	과거의 나와 같은… 암살자가…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	아, 안녕하십니까요! 신룡 나리!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	…모르는 여자 목소리가 들리셨다굽쇼?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	이 방에는 저희 말고 아무도 없습죠.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	착각하신 거 아니겠습니까요?\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	신룡 나리~ 오늘도 이야기를…\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	나누려고 했는데 쉬고 계셨구만요…!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	아, 아뇨, 아뇨!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	신경 쓰지 마시고 그대로 주무셔도 괜찮습니다요!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	…어, 저와 이야기를 하고 싶으시다굽쇼…?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	신룡 나리… 정말 기쁩니다요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	최근에 산 이 단검에 관한 이야기를 하고 싶었습니다요…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	아아, 이 칼끝, 날의 광택,\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	손잡이에 있는 장식은 세월이 느껴져서 정말 멋지구만요…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	게다가 이 칼집의 묵직한 중량감은\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	주인의 소유욕을 충족시키는 훌륭한 물건인지라…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	어라? 신룡 나리, 언제부터 일어나 계셨습니까요?\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	야호. 대단치는 않지만 제가\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	파트너로서 마중 나왔습니다요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	후하, 바로 일어나 주시다니 정말 기쁘구만요!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	설레발을 치는 걸지도 모르지만,\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	제가 와서 일어나 주신 것처럼 느꼈습니다요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	후후… 전장에서는 그렇게 강하면서 잘 때는 이런 얼굴이라니.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	…신기합니다요. 당신 앞에서는\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	버려 버렸던 과거의 내가 얼굴을 들이밀게 되니까…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	당신이라면 어떤 모습이든 받아들여 줄 거라고 믿을 수 있어.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	이게, 마음이 이어졌다는 걸까?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	당신이 나한테 진정한 인연을 가르쳐 줬구나…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	음? 평소하고 분위기가 다르다굽쇼?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	그럴지도 모르겠구만요. 하지만…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	쾌활한 유나카든 과거의 내 모습이든\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	둘 다 당신의 파트너야. 그렇지?\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	우후후. 전 여기 오는 게 정말 좋습니다요!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	좋은 아침입니다요. 솔직하게 말하고 산다는 건\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	정말 기분 좋구만요.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…당신 덕분에 이 새로운 제가\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	진짜가 된 거예요. 고마워요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	그리고 자는 얼굴을 이렇게 바라보는 것도 좋고…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	전장에서 당신을 지키는 것도, 등을 마주 대고 싸우는 것도.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	지금 같은 시간까지 모두 좋습니다요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	저는 지울 수 없는 과거를 가졌죠. 하지만…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	둘이서라면,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	지금과 미래를 보며 살아갈 수 있으리라 믿어요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	새로운 비밀을 고백하겠습니다요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	지금 좋아하는 것은 잔뜩 있지만…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	가장 좋아하는 건 당신이 일어났을 때의\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	그 귀여운 얼굴입니다요.\x0E\x04\x00\x00
