MID_BGM_Evt_Amb_Lithos_ST_Play	빛의 정원
MID_BGM_Evt_Advent_Marth_ST_Play	빛나라, 시작의 엠블렘
MID_BGM_Evt_Veyre_Truth_CS19_ST_Play	조종이 울리며
MID_BGM_Evt_26ED2_ST_Play	따뜻한 이별
MID_BGM_Mov_GOP_ST_Play	Emblem Engage!
MID_BGM_Mov_S02_ST_Play	용이 꾼 꿈
MID_BGM_Mov_Eleos_ST_Play	엘레오스 대륙사
MID_BGM_Mov_Red_ST_Play	붉은 기억
MID_BGM_Mov_Appear_Alfred_ST_Play	풍요의 왕자
MID_BGM_Mov_Appear_Sombre_ST_Play	사룡 솜브르
MID_BGM_Mov_Lueur_Die_ST_Play	신룡의 죽음
MID_BGM_Mov_S18_ST_Play	6번째 대륙
MID_BGM_Field_P00_ST_Play	미수의 결전
MID_BGM_Field_P00_Heavy_ST_Play	미수의 결전~황혼
MID_BGM_Field_P01_Map_ST_Play	아득한 성지
MID_BGM_Field_P01_Combat_ST_Play	아득한 성지~섬광
MID_BGM_Field_P01_Heavy_Map_ST_Play	아득히 오래된 성지
MID_BGM_Field_P01_Heavy_Combat_ST_Play	아득히 오래된 성지~섬광
MID_BGM_Field_P02_Map_ST_Play	바람이 피어나는 여로
MID_BGM_Field_P02_Combat_ST_Play	바람이 피어나는 여로~현란
MID_BGM_Field_P02_Heavy_Map_ST_Play	바람이 흐드러진 여로
MID_BGM_Field_P02_Heavy_Combat_ST_Play	바람이 흐드러진 여로~현란
MID_BGM_Field_P03_Map_ST_Play	왕가의 긍지
MID_BGM_Field_P03_Combat_ST_Play	왕가의 긍지~강철
MID_BGM_Field_P03_Heavy_Map_ST_Play	왕가에 이어져 내려온 긍지
MID_BGM_Field_P03_Heavy_Combat_ST_Play	왕가에 이어져 내려온 긍지~강철
MID_BGM_Field_P04_ST_Play	눈물 자국~빙결
MID_BGM_Field_P05_ST_Play	해방된 인연
MID_BGM_Field_P06_Map_ST_Play	모래 먼지와 빛
MID_BGM_Field_P06_Combat_ST_Play	모래 먼지와 빛~열사
MID_BGM_Field_P06_Heavy_Map_ST_Play	모래 먼지 춤추는 빛
MID_BGM_Field_P06_Heavy_Combat_ST_Play	모래 먼지 춤추는 빛~열사
MID_BGM_Field_P08_ST_Play	전별의 꽃은 화려하게 진다
MID_BGM_Field_P09_Map_ST_Play	맹세의 땅으로
MID_BGM_Field_P09_Combat_ST_Play	맹세의 땅으로~섬광
MID_BGM_Field_P12_ST_Play	라스트 인게이지~기도의 주문
MID_BGM_Field_P13_Map_ST_Play	내지르는 검극
MID_BGM_Field_P13_Combat_ST_Play	내지르는 검극~투쟁
MID_BGM_Field_E01_ST_Play	이형병
MID_BGM_Field_E02_ST_Play	신과 만들어진 자
MID_BGM_Field_E03_ST_Play	꿈틀거리는 고드름
MID_BGM_Field_E04_ST_Play	다가오는 어둠 소리
MID_BGM_Field_E05_ST_Play	일그러진 불빛
MID_BGM_Field_S03_Map_ST_Play	각성의 시련
MID_BGM_Field_S03_Combat_ST_Play	각성의 시련~발화
MID_BGM_Field_S04_Map_ST_Play	열화의 시련
MID_BGM_Field_S04_Combat_ST_Play	열화의 시련~녹풍
MID_BGM_Field_S05_Map_ST_Play	창염의 시련
MID_BGM_Field_S05_Combat_ST_Play	창염의 시련~용투
MID_BGM_Field_S06_Map_ST_Play	풍화의 시련
MID_BGM_Field_S06_Combat_ST_Play	풍화의 시련~지도
MID_BGM_Field_S07_Map_ST_Play	선택의 시련
MID_BGM_Field_S07_Combat_ST_Play	선택의 시련~용아
MID_BGM_Field_S08_Map_ST_Play	성마의 시련
MID_BGM_Field_S08_Combat_ST_Play	성마의 시련~청명
MID_BGM_Field_S09_Map_ST_Play	성전의 시련
MID_BGM_Field_S09_Combat_ST_Play	성전의 시련~계승
MID_BGM_Field_S10_Map_ST_Play	계보의 시련
MID_BGM_Field_S10_Combat_ST_Play	계보의 시련~해방
MID_BGM_Field_S11_Map_ST_Play	새벽의 시련
MID_BGM_Field_S11_Combat_ST_Play	새벽의 시련~치유
MID_BGM_Field_S12_Map_ST_Play	봉인의 시련
MID_BGM_Field_S12_Combat_ST_Play	봉인의 시련~염열
MID_BGM_Field_S13_Map_ST_Play	울림의 시련
MID_BGM_Field_S13_Combat_ST_Play	울림의 시련~수호
MID_BGM_Field_S14_Map_ST_Play	문장의 시련
MID_BGM_Field_S14_Combat_ST_Play	문장의 시련~성염
MID_BGM_Field_S15_Map_ST_Play	약속의 시련
MID_BGM_Field_S15_Combat_ST_Play	약속의 시련~연결
MID_BGM_Boss_01_Pre_ST_Play	질서를 어지럽히는 자
MID_BGM_Boss_01_Start_ST_Play	질서를 어지럽히는 자~맹렬
MID_BGM_Boss_02_Pre_ST_Play	지혜의 폭군
MID_BGM_Boss_02_Start_ST_Play	지혜의 폭군~맹렬
MID_BGM_Boss_03_Pre_ST_Play	일화를 지닌 자
MID_BGM_Boss_03_Start_ST_Play	일화를 지닌 자~맹렬
MID_BGM_Boss_04_Pre_ST_Play	사구
MID_BGM_Boss_04_Start_ST_Play	사구~맹렬
MID_BGM_Boss_05_Pre_ST_Play	불량품
MID_BGM_Boss_05_Start_ST_Play	불량품~맹렬
MID_BGM_Boss_06_Pre_ST_Play	빛을 잃은 신
MID_BGM_Boss_06_Start_ST_Play	빛을 잃은 신~맹렬
MID_BGM_Sys_Title_ST_Play	나와 인게이지를
MID_BGM_Sys_Gmap_ST_Play	너의 여로
MID_BGM_Sys_Prepare1_ST_Play	임전
MID_BGM_Sys_Prepare2_ST_Play	계속되는 임전
MID_BGM_Sys_Base1_ST_Play	좋은 아침입니다, 신룡 님
MID_BGM_Sys_Base2_ST_Play	점심 순찰이십니까, 신룡 님?
MID_BGM_Sys_Base3_ST_Play	저녁놀이 아름답군요, 신룡 님
MID_BGM_Sys_Base4_ST_Play	좋은 밤입니다, 신룡 님
MID_BGM_Sys_Mini1_ST_Play	드래곤 슈터에 도전할 거지…?
MID_BGM_Sys_Mini2_ST_Play	오늘도 열심히 단련해 볼까!
MID_BGM_Sys_Mini3_ST_Play	브로디아는 어업이 발전했거든
MID_BGM_Sys_Base_Jukebox1_ST_Play	피레네의 다과회
MID_BGM_Sys_Base_Jukebox2_ST_Play	브로디아의 친목
MID_BGM_Sys_Base_Jukebox3_ST_Play	이르시온의 만찬
MID_BGM_Sys_Base_Jukebox4_ST_Play	솔룸의 야영
MID_BGM_Sys_Base_Jukebox5_ST_Play	식탁에 문장을
MID_BGM_Sys_ED1_ST_Play	인연의 불꽃
MID_BGM_Sys_ED2_Result_ST_Play	파이어 엠블렘의 테마~파이어 엠블렘
MID_BGM_Sys_ED2_Sequel_ST_Play	그 여행은 이윽고
MID_BGM_Sys_Introduction_ST_Play	파이어 엠블렘의 테마
MID_BGM_Sys_ClassChange_ST_Play	인광
MID_BGM_Sys_Die_ST_Play	영결
MID_FF_GameOver_ST_Play	깨지 않는 잠
MID_FF_StageClear_ST_Play	승리
MID_FF_LevelUp_ST_Play	성장
MID_FF_Bad_ST_Play	아쉬움 1
MID_FF_Sorry_ST_Play	아쉬움 2
MID_FF_Good1_ST_Play	기쁨 1
MID_FF_Good2_ST_Play	기쁨 2
MID_FF_ItemGet1_ST_Play	획득 1
MID_FF_ItemGet2_ST_Play	획득 2
MID_BGM_Amiibo_03_ST_Play	숙명~화염
MID_BGM_Amiibo_04_ST_Play	초원의 바람
MID_BGM_Amiibo_05_ST_Play	충의를 다하리라
MID_BGM_Amiibo_06_ST_Play	포드라의 새벽바람
MID_BGM_Amiibo_07_ST_Play	모든 길의 끝에서~하
MID_BGM_Amiibo_08_ST_Play	최후의 전투
MID_BGM_Amiibo_09_ST_Play	종장(최후의 성전)
MID_BGM_Amiibo_10_ST_Play	장 마무리: 가라 가라 리프
MID_BGM_Amiibo_11_ST_Play	새벽종이 울리면
MID_BGM_Amiibo_12_ST_Play	새로운 빛 아래로~로이의 용기
MID_BGM_Amiibo_13_ST_Play	전투 맵 3: 전투 MAP 2_1(세리카 1)
MID_BGM_Amiibo_14_ST_Play	스토리 2: 각 맵의 시작
