MID_FORTUNE_TROUBLE_Lueur	머리의 푸른 부분만\n잘 뻗친다.
MID_FORTUNE_TROUBLE_Shere_21	잠꼬대가 이상했다는 말을\n3명 정도한테 들었다.
MID_FORTUNE_TROUBLE_Shere_22	전장에서 발견한 야생동물이\n무사한지 너무 걱정된다.
MID_FORTUNE_TROUBLE_Shere_23	최근 5일간 연속해서\n늦잠 자는 꿈을 꾸고 있다.
MID_FORTUNE_TROUBLE_Shere_24	아무것도 없는 곳에서 넘어진 걸\n누군가 본 것만 같다.
MID_FORTUNE_TROUBLE_Shere_25	곶에 가서 하늘에다 소리쳤는데\n누군가 대답을 해서 무서워졌다.
MID_FORTUNE_TROUBLE_Shere_26	매일 아침과 밤에 맹렬하게\n단련하는 사람이 있어 걱정된다.
MID_FORTUNE_TROUBLE_Shere_27	평소에 말을 섞지 않던 사람이\n옆을 지나가다 어깨를 툭 쳤다.
MID_FORTUNE_TROUBLE_Shere_28	한밤에 쓴 시가 적힌 종이를\n어딘가에 떨어뜨렸다.
MID_FORTUNE_TROUBLE_Shere_29	점심에 먹은 식사 일부가\n볼에 붙은 채로 하루를 보냈다.
MID_FORTUNE_TROUBLE_Shere_30	새한테 모이를 주려고 했는데\n무시당했다.
MID_FORTUNE_TROUBLE_Shere_31	단련의 방의 공간이 너무 넓어서\n두려울 때가 있다.
MID_FORTUNE_TROUBLE_Shere_32	얼마 전에 과수원의 과일을\n몰래 먹어 버렸다.
MID_FORTUNE_TROUBLE_Shere_33	아침부터 모닥불을 피우려다\n한바탕 소동을 일으켰다.
MID_FORTUNE_TROUBLE_Shere_34	꽃목걸이를 만들었는데\n아무한테도 못 주고 있다.
MID_FORTUNE_TROUBLE_Shere_35	소중한 편지를\n비룡이 먹어 버렸다.
MID_FORTUNE_TROUBLE_Shere_36	신나서 껑충껑충 뛰는 모습을\n문장사가 웃으며 보고 있었다.
MID_FORTUNE_GOOD_01	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『영광』의 카드야. 수많은 사람들의 칭송을 받겠는걸.\n관심 가는 사람이 머리를 쓱쓱 쓰다듬어 줄지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_01_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『영광』의 카드네. 칭송과 원하는 물건을 얻을 징조…\n관심 가는 사람 앞에서 춤추면 과자라도 받을 수 있으려나?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_02	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『명예』의 카드야. 올바른 행동을 하면 다 잘 풀릴 거야.\n관심 가는 사람에게 굉장한 호평을 들을 수도 있대.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_02_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『명예』의 카드네. 올바른 길로 가면 보답이 있을 징조…\n관심 가는 사람 앞에서 바닥 청소라도 할까…\x0E\x04\x00\x00
MID_FORTUNE_GOOD_03	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『풍요』의 카드야. 생각지도 못한 좋은 일이 일어나려나?\n관심 가는 사람이 맛있는 음식을 대접해 줄지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_03_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『풍요』의 카드네. 좋은 환경에서 결실을 맺을 징조…\n관심 가는 사람하고 과일이라도 따러 가 볼까?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_04	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『예지』의 카드야. 예기치 못한 사태에 대비할 수 있겠네.\n관심 가는 사람이 조언을 해 줄지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_04_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『예지』의 카드네. 돌발 사태에도 대처할 수 있을 징조…\n관심 가는 사람이 갑자기 넘어지지 않을지 보러 가야겠네.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_05	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『우호』의 카드야. 누구하고든 친해질 수 있을 거야.\n관심 가는 사람이 콧노래에 맞춰 손뼉을 쳐 줄지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_05_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『우호』의 카드네. 다툼 없이 우호적인 관계를 맺을 징조…\n관심 가는 사람의 간식을 노려도 괜찮을 듯한 예감이 드네.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_06	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『불굴』의 카드야. 고민되더라도 버티다 보면 잘 될 거야.\n관심 가는 사람에게도 비슷한 고민이 있으니 상담해 봐.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_06_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『불굴』의 카드네. 역경에 굴하지 않으면 행복이 올 징조…\n관심 가는 사람하고 폭포라도 맞고 올까…\x0E\x04\x00\x00
MID_FORTUNE_GOOD_07	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『희망』의 카드야. 불쾌한 일이 있어도 오늘은 괜찮아.\n관심 가는 사람이 너의 반쪽이 되어 격려해 줄지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_07_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『희망』의 카드네. 운명의 흐름을 호전시킬 징조…\n관심 가는 사람한테 특이한 옷을 권하면서 기분 전환할까?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_08	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『만남』의 카드야. 둘도 없는 사람이나 물건을 만날지도.\n관심 가는 사람에게 큰맘 먹고 말을 걸어 보는 건 어때?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_08_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『만남』의 카드네. 믿을 만한 동료나 물건을 얻을 징조…\n관심 가는 사람하고 같이 어필을 하며 다녀 볼까?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_09	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『건장』의 카드야. 놀랄 만큼 건강해지겠는걸.\n관심 가는 사람과 달리기 같은 걸 하는 건 어때?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_09_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『건장』의 카드네. 몸과 마음이 건강해질 징조…\n관심 가는 사람한테 건강 유지 비결이나 물어볼까?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_10	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『연구』의 카드야. 공부와 단련을 하면 성과가 있을 거야.\n관심 가는 사람을 불러서 독서나 대련을 해 보는 건 어때?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_10_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『연구』의 카드네. 자신을 갈고닦으면 매력이 생길 징조…\n관심 가는 사람을 관찰하며 좋은 점을 배워 봐야겠다.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_11	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『결단』의 카드야. 고민의 답이 팍하고 튀어나오겠는걸.\n관심 가는 사람의 저녁 메뉴를 정해 주는 건 어때?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_11_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『결단』의 카드네. 강한 마음이 해답을 찾아낼 징조…\n관심 가는 사람과 있으면 식욕도 이길 수 있겠는걸.\x0E\x04\x00\x00
MID_FORTUNE_GOOD_12	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『친애』의 카드야. 애정을 쏟으면 행운이 뒤따를 거야.\n우선 관심 가는 사람을 애지중지 아껴 보는 건 어때?\x0E\x04\x00\x00
MID_FORTUNE_GOOD_12_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\n『친애』의 카드네. 대가 없이 잘해 주면 행복이 올 징조…\n관심 가는 사람한테 잘해 줘야겠네. 과하지 않을 정도로만.\x0E\x04\x00\x00
MID_FORTUNE_BAD_01	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『고립』의 카드네… 오늘은 혼자 있지 않아야 할 거야.\n관심 가는 사람과 함께 풀장에 뛰어들면 좋아.\x0E\x04\x00\x00
MID_FORTUNE_BAD_01_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『고립』의 카드잖아… 혼자서 조용히 있으면 안 되겠다.\n관심 가는 사람하고 노래하면서 솔라넬을 돌아다녀야겠어.\x0E\x04\x00\x00
MID_FORTUNE_BAD_02	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『악평』의 카드네… 묘한 소문이 붙을지도 몰라.\n관심 가는 사람한테 잘하는 모습을 주변에 보여 주면 좋아.\x0E\x04\x00\x00
MID_FORTUNE_BAD_02_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『악평』의 카드잖아… 지난번에 몰래 먹은 게 들키려나…\n관심 가는 사람에게 요즘 입맛이 없다고 어필해야지.\x0E\x04\x00\x00
MID_FORTUNE_BAD_03	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『흉작』의 카드네… 오늘 뭔가 심으면 바로 시들 거야.\n관심 가는 사람과 함께 밭을 갈면서 때를 기다리자.\x0E\x04\x00\x00
MID_FORTUNE_BAD_03_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『흉작』의 카드잖아… 오늘은 식물과 얽히지 말아야겠어.\n식사에 나오는 야채는 전부 관심 가는 사람한테 줘야겠네.\x0E\x04\x00\x00
MID_FORTUNE_BAD_04	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Shy\n\x0E\x03\x02\x0A\x08セアダス\n『암운』의 카드네… 갑자기 비나 화살이 빗발칠지도.\n관심 가는 사람과 같이 우산을 쓰면 막을 수 있을 거야.\x0E\x04\x00\x00
MID_FORTUNE_BAD_04_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『암운』의 카드잖아… 이걸 뽑으면 매번 물에 빠지던데.\n관심 가는 사람한테 당장 수영복을 가져와 달라고 하자.\x0E\x04\x00\x00
MID_FORTUNE_BAD_05	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nAngry\n\x0E\x03\x02\x0A\x08セアダス\n『불화』의 카드네… 누군가와 심하게 다투게 될지도 몰라.\n관심 가는 사람만큼은 내 편으로 만들어 놔. 자, 서둘러!\x0E\x04\x00\x00
MID_FORTUNE_BAD_05_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『불화』의 카드잖아… 관심 가는 사람하고 다투게 되면\n아껴 뒀던 벌꿀을 꺼내고 그 틈에 자리를 피해야겠는걸.\x0E\x04\x00\x00
MID_FORTUNE_BAD_06	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『좌절』의 카드네… 전부 확 포기해 버리고 싶을지도 몰라.\n관심 가는 사람과 이인삼각으로 솔라넬을 한 바퀴 돌아 봐.\x0E\x04\x00\x00
MID_FORTUNE_BAD_06_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『좌절』의 카드잖아… 못 참고 폭식할 예감이 드는걸.\n관심 가는 사람에게 미리 혼나면서 각오를 다져야겠다.\x0E\x04\x00\x00
MID_FORTUNE_BAD_07	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『절망』의 카드네… 고민이 많을 테니 기분 전환 좀 해.\n관심 가는 사람과 함께 벽에 구멍이라도 뚫는 건 어때?\x0E\x04\x00\x00
MID_FORTUNE_BAD_07_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『절망』의 카드잖아… 오늘은 우울해지면 안 돼.\n관심 가는 사람하고 촛불을 켜고 하루를 보낼까?\x0E\x04\x00\x00
MID_FORTUNE_BAD_08	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x1C\x08セアダス\x10Surprise\n\x0E\x03\x02\x0A\x08セアダス\n『배신』의 카드네… 뭐? 배신할 만한 사람은 없다고?\n관심 가는 사람이 네가 아껴둔 과자를 먹었을지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_BAD_08_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『배신』의 카드잖아… 그렇다는 건 누가 내 간식을 먹었군.\n관심 가는 사람이 수상한데, 바로 확인해 봐야겠어.\x0E\x04\x00\x00
MID_FORTUNE_BAD_09	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『부상』의 카드네… 걸으려 하자마자 넘어지는 거 아냐?\n관심 가는 사람이 보살펴 주면 금방 나을지도 몰라.\x0E\x04\x00\x00
MID_FORTUNE_BAD_09_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『부상』의 카드잖아… 이런 게 나오면 외출 못 하지.\n관심 가는 사람을 초대해서 오늘은 틀어박혀 있어야겠다.\x0E\x04\x00\x00
MID_FORTUNE_BAD_10	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『나태』의 카드네… 점 결과 듣는 것도 귀찮지?\n관심 가는 사람이 등이라도 한 대 쳐 주면 후련해질 거야.\x0E\x04\x00\x00
MID_FORTUNE_BAD_10_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『나태』의 카드잖아… 뭐가 됐든 일단 실행해야겠다.\n관심 가는 사람하고 솔라넬 청소 여행이라도 한 바퀴 돌까?\x0E\x04\x00\x00
MID_FORTUNE_BAD_11	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『방황』의 카드네… 괜한 짓 하는 데 시간 쓰지 말고\n관심 가는 사람과 풀이라도 뽑고 있는 게 나을걸.\x0E\x04\x00\x00
MID_FORTUNE_BAD_11_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『방황』의 카드잖아… 내 점술이 방황하고 있다고?!\n관심 가는 사람하고 새로운 카드라도 사러 가야겠는걸.\x0E\x04\x00\x00
MID_FORTUNE_BAD_12	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CNormal\n\x0E\x03\x02\x0A\x08セアダス\n『비정』의 카드네… 요즘 차갑다는 말 들은 적 없어?\n관심 가는 사람이 곤란해할 정도로 친절함을 발휘해 봐.\x0E\x04\x00\x00
MID_FORTUNE_BAD_12_S	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x12\x08セアダス\x06Sad\n\x0E\x03\x02\x0A\x08セアダス\n『비정』의 카드잖아… 내가 냉정한 사람으로 보이나?\n오늘은 관심 가는 사람 앞에서 계속 웃고 있어야겠다.\x0E\x04\x00\x00
