MID_WU_C_1_IN_#001	후우… 조용한 장소는 긴장되네.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	모두에게 말해 놓을 테니\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	부디 좀 더 쉬십시오.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	저녁 식사는 도망가지 않지만\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	쉬는 시간은 금방 도망갈 겁니다.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	단련을 제안하러 왔습니다.\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	몸을 움직여서 개운해집시다.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	잘 주무셨군요.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	자, 열심히 단련해서 강해집시다.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	저도 지지 않을 겁니다. 신룡 님을 위해, 그리고\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	…잃은 친구를 위해.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	복수심은 아직 사라지지 않았지만…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	신룡 님 덕분에 조금 중압감을 내려놓을 수 있었습니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	저를 친구라고 불러 주신 것도 기뻤습니다.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	오, 드디어 깨셨군요.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	의욕이 넘치는 것 같다고요?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	당연하죠.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	저는 죽은 친구에게 행복한 얼굴을 보여 주기 위해서라도\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#005	노력해야 하는걸요.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	깨우러 왔습니다. 제 파트너.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	잘 주무셨군요.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	자, 오늘도 싸워야 합니다!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…안심하십시오.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	이 『약속의 반지』에 맹세했듯이 당신의 등은 제가 지킵니다.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	수면 습관이 나쁘신 건 이해하지만, 정신 차리십시오!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	잔소리 같으시겠지만\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	이런 절 선택한 건 당신이십니다.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	일개 병사에게 이런 영광스러운 역할을 주시다니…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	그래도 늘 감사하고 있습니다.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	덕분에 당신의 중압감과 고뇌를 나눌 수 있으니까요.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	자, 오늘도 거침없이 싸워서 무사히 돌아옵시다!\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	내일도, 그다음 날에도\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	제가 할머니가 되더라도\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	이렇게 아침 인사를 말하기 위해서 말이죠.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	단련할 시간입니다.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	신룡 님께서 상대여도 봐드리지 않을 겁니다!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	후후, 늦잠 잤다… 그런 표정이시군요.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	설마요, 왜 화를 내겠습니까.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	이리 보여도 저…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	단련과 싸움만 아니면 정말 부드러운 사람이거든요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	여전히 기분 좋게 주무시는군…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	아, 입을 절반 정도 벌리셨어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	후후후… 이 입에서 나를 지켜 준다는 말이 나왔다니\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	지금도 믿기지 않아. 그 말은 내 보물이야.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	예를 들자면 전장에서 마음이 약해질 때…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	틀림없이 저 말이 날 지켜 줄 거야.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	단련 시간이 조금 지났지만…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	뭐, 괜찮겠죠.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	여기서 당신과 함께할 수 있어 행복했으니\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	오늘만큼은 예외로 하겠습니다.\x0E\x04\x00\x00
