MID_Movie_S02	과거의 결전
MID_H_Movie_S13	브로디아군과 이르시온군 양군이 격돌.\n모리온 왕에 의해 궁지에 몰린 하이아신스 왕이\n어둠의 문장사를 소환해 형세를 역전시킨다.
MID_Movie_S14	사룡 솜브르
MID_H_Movie_S14	의식으로 힘을 되찾은 사룡 솜브르.\n하지만 완전한 부활을 이루지 못했고,\n왕의 피를 얻으려 하이아신스 왕마저 처분한다.
MID_Movie_S15	미스티라
MID_H_Movie_S15	솔룸 왕국 제1왕녀 미스티라.\n『창염의 용사의 반지』를 지닌 채,\n신하와 함께 솔룸을 방랑하고 있었다.
MID_Movie_S16	베일의 마음
MID_H_Movie_S16	이르시온으로 출항하는 베일과 사구.\n남몰래 정신을 되찾은 베일은\n『성기사의 반지』를 들고 어떤 결심을 한다.
MID_Movie_S17	신룡의 죽음
MID_H_Movie_S17	신룡과 함께하는 베일에게 실망해\n처분하려 드는 솜브르.\n그 순간 신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가 베일을 감싼다.
MID_Movie_S18	그라드론 부활
MID_H_Movie_S18	모든 반지를 손에 넣은 솜브르.\n반지의 힘을 이용해 대사룡으로 변신한 후\n그라드론의 땅을 부활시킨다.
MID_Movie_S19	1000년 전의 기억
MID_H_Movie_S19	천 년 전의 회상. 불타는 성안에서\n아버지 솜브르를 뒤쫓는 \x0E\x06\x03\x00.\n결정타를 가한 순간, 뤼미에르가 달려온다.
MID_Movie_S20	새로운 문장사
MID_H_Movie_S20	죽어서도 싸우길 원하는 신룡 \x0E\x06\x03\x00.\n12문장사들이 그 소원에 답해\n『문장의 기적』이라는 힘을 부여한다.
MID_Movie_S21	악몽
MID_H_Movie_S21	최종 결전에서 쓰러진 후, 다시 눈을 뜨니\n눈앞에는 사룡 솜브르와 베일이 있었다.\n거울에 비치는 신룡 \x0E\x06\x03\x00의 모습은…
MID_Movie_S22	재회의 예감
MID_H_Movie_S22	싸움이 끝나고 신룡왕성에서 대관식이 열린다.\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는 반지의 방에서\n자신의 즉위를 문장사들에게 알리고 있었다.
MID_Movie_C01	각성
MID_H_Movie_C01	신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가 눈을 뜬다.\n곁에 있던 클랜과 프랑은 놀라면서도 기뻐하며\n보고하기 위해 제단을 뛰쳐나간다.
MID_Movie_C02	이형병
MID_H_Movie_C02	리토스의 초원에서 괴물의 습격을 받은 일행.\n정체 모를 적에게 당황하는 와중에\n달려 나간 클랜과 프랑이 궁지에 몰린다.
MID_Movie_C03	문장사
MID_H_Movie_C03	반지에서 들려오는 누군가의 목소리.\n목소리의 주인을 떠올린 신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는\n주문을 외쳐 한 명의 문장사를 현현시킨다.
MID_Movie_C04	공투
MID_H_Movie_C04	현현한 문장사 마르스와 함께 싸우는\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는 이형병을 격파하고\n클랜과 프랑의 구출에 성공한다.
MID_Movie_C05	습격자
MID_H_Movie_C05	폭발음을 듣고 반지의 방으로 서둘러 이동하는\n신룡 \x0E\x06\x03\x00. 반드레 일행과 합류해\n누군가가 습격했다는 사실을 알게 된다.
MID_Movie_C06	용의 시간석
MID_H_Movie_C06	적장을 몰아붙이는 신룡 \x0E\x06\x03\x00.\n하지만 신비한 힘에 의해 뒤를 잡히며\n형세가 역전되고 만다.
MID_Movie_C07	뤼미에르의 죽음
MID_H_Movie_C07	적의 공격으로 빈사 상태가 된 뤼미에르.\n신룡 \x0E\x06\x03\x00에게 『성기사의 반지』와\n세계를 구하라는 사명을 맡기고 눈을 감는다.
MID_Movie_C08	셀린
MID_H_Movie_C08	이형병의 습격을 받은 피레네 왕녀 셀린.\n신하인 루이와 클로에는 길을 막고\n셀린을 알프레드가 있는 곳으로 보낸다.
MID_Movie_C09	이브 여왕
MID_H_Movie_C09	이르시온군에게 점거당한 피레네왕성.\n적장 네르케가 이브 여왕을 심문하던 중에\n네르케의 상관 세피아가 나타난다.
MID_Movie_C10	뒤처리
MID_H_Movie_C10	피레네왕성의 전투에서 패배해 도망치는 네르케.\n세피아에게 발각되자, 임무에 실패한 이유를\n변명하지만 비정하게 처분당한다.
MID_Movie_C11	스타루크
MID_H_Movie_C11	국경 경비 중인 브로디아 왕자 스타루크.\n신룡 \x0E\x06\x03\x00 일행을 도적으로\n착각했지만 정체를 깨닫고 무례에 대해 사죄한다.
MID_Movie_C12	오르텐시아
MID_H_Movie_C12	반지를 노리는 이르시온 왕녀 오르텐시아.\n병사들을 이끌고 그랑수르 대교를 점거한 채\n신룡 \x0E\x06\x03\x00 일행을 기다리고 있었다.
MID_Movie_C13	어둠의 문장사
MID_H_Movie_C13	오르텐시아에게 복종하는 어둠의 문장사.\n오르텐시아는 문장사를 현현시키는 힘이\n신룡뿐 아니라 사룡에게도 있다는 사실을 알린다.
MID_Movie_C14	베일의 싸움
MID_H_Movie_C14	남몰래 이형병을 퇴치하는 베일.\n하지만 이 정도 힘으로는 부족하다며\n생이별한 형제에 대한 생각에 잠긴다.
MID_Movie_C15	결착
MID_H_Movie_C15	하이아신스 왕에게 패해 이르시온 왕국으로\n끌려가는 모리온 왕. 신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는\n구출을 시도하지만 아이비가 그 길을 막아선다.
MID_Movie_C16	이형의 모리온 왕
MID_H_Movie_C16	데스탄 대교회에서 하이아신스 왕과 대치하는\n신룡 \x0E\x06\x03\x00. 그곳에는 이형병으로\n변해 버린 모리온 왕도 있었다.
MID_Movie_C17	퇴각
MID_H_Movie_C17	문장사의 반지를 빼앗긴 신룡 \x0E\x06\x03\x00.\n사룡 솜브르의 힘으로 현현된 문장사들은\n암흑의 힘을 두른 채 적으로 다가온다.
MID_Movie_C18	포가토
MID_H_Movie_C18	툴라 사막에서 길을 잃어 갈팡질팡하던\n신룡 \x0E\x06\x03\x00 일행의 앞에\n자경단장을 자칭하는 청년 포가토가 나타난다.
MID_Movie_C19	폐허의 댄서
MID_H_Movie_C19	북쪽 성채에서 춤추는 댄서, 세아다스.\n이형병이 나타나 죽음을 각오한 순간\n도주로를 알려 주는 누군가의 목소리를 듣는다.
MID_Movie_C20	불타는 풍차 마을
MID_H_Movie_C20	평화로웠던 플뢰르 풍차 마을이 습격을 받아\n불바다가 되어 버린다. 항구에는 수많은\n이르시온의 군함이 정박해 있었다.
MID_Movie_C21	또 다른 베일
MID_H_Movie_C21	세피아의 주술로 암흑의 인격이 깨어난 베일.\n베일은 사구와 어둠의 문장사를 거느리고\n신룡 \x0E\x06\x03\x00에게 싸움을 건다.
MID_Movie_C22	사룡의 아이
MID_H_Movie_C22	문장사가 주문의 힘으로 현현된 것을\n목격한 그리. 만족스럽게 웃던 그리가\n신룡 \x0E\x06\x03\x00에게 어떤 사실을 전한다.
MID_Movie_C23	마론의 반항
MID_H_Movie_C23	암흑에 물든 베일을 불쌍하게 여긴 마론.\n세뇌의 핵심인 마법 도구를 파괴하려 하지만\n실패로 끝나고 세피아에게 처단당하고 만다.
MID_Movie_C24	부서진 용석
MID_H_Movie_C24	베일을 감싸고 죽은 신룡 \x0E\x06\x03\x00.\n베일이 지니고 있던 용석이 부서지며\n그동안 찾아다닌 형제의 정체가 밝혀진다.
MID_Movie_C25	베일의 각성
MID_H_Movie_C25	또 다른 자신과 싸우는 베일.\n스스로 마법 도구를 파괴해 정신을 차린 베일은\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 이형병으로 되살렸다.
MID_Movie_C26	사구
MID_H_Movie_C26	전투에서 패배한 세피아와 그리.\n죽기 전, 얼마 남지 않은 시간 속에서\n두 사람은 서로의 본심을 털어놓는다.
MID_Movie_C27	뤼미에르와의 재회
MID_H_Movie_C27	마지막 용문을 지키고 있던 것은\n솜브르에 의해 이형병이 된 뤼미에르였다.\n베일은 뤼미에르와 혼자서 싸우기로 결의한다.
MID_Movie_C28	뤼미에르와의 이별
MID_H_Movie_C28	뤼미에르는 사라지는 순간 기억을 되찾으며\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02과\x02와 대화를 나눴다.\n뤼미에르는 약속을 나누고 빛이 되어 사라진다.
MID_Movie_C29	사라진 문장사
MID_H_Movie_C29	사룡 솜브르가 이계의 문을 서서히 닫는다.\n차원의 왜곡으로 인해 문장사들이 사라진 가운데,\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02과\x02와 동료들이 일어섰다.
MID_Movie_C30	13개의 인연
MID_H_Movie_C30	신룡 \x0E\x06\x03\x00에 의해 다시 현현된\n12문장사. 13번째 문장사도 그들과 나란히 서며\n솜브르와의 최종 결전이 마침내 시작된다.
MID_Movie_C31	대사룡 솜브르
MID_H_Movie_C31	솜브르를 쓰러뜨린 줄 알았으나,\n돌연 불길한 웃음을 띠더니\n거대한 사룡으로 변모하였다.
MID_Movie_K01	문장사 시구르드
MID_H_Movie_K01	『성기사의 반지』에서 현현하는\n문장사 시구르드.
MID_Movie_K02	문장사 세리카
MID_H_Movie_K02	『자애의 왕녀의 반지』에서 현현하는\n문장사 세리카.
MID_Movie_K03	문장사 미카야
MID_H_Movie_K03	『새벽의 무녀의 반지』에서 현현하는\n문장사 미카야.
MID_Movie_K04	문장사 로이
MID_H_Movie_K04	『젊은 사자의 반지』에서 현현하는\n문장사 로이.
MID_Movie_K05	문장사 리프
MID_H_Movie_K05	『현왕의 반지』에서 현현하는\n문장사 리프.
MID_Movie_K06	문장사 린
MID_H_Movie_K06	『초원의 공녀의 반지』에서 현현하는\n문장사 린.
MID_Movie_K07	문장사 루키나
MID_H_Movie_K07	『성왕녀의 반지』에서 현현하는\n문장사 루키나.
MID_Movie_K08	문장사 아이크
MID_H_Movie_K08	『창염의 용사의 반지』에서 현현하는\n문장사 아이크.
MID_Movie_K09	문장사 벨레트
MID_H_Movie_K09	『인도자의 반지』에서 현현하는\n문장사 벨레트.
MID_Movie_K10	문장사 카무이
MID_H_Movie_K10	『미래를 선택하는 자의 반지』에서 현현하는\n문장사 카무이.
MID_Movie_K11	문장사 에이리카
MID_H_Movie_K11	『푸른 풍공의 반지』에서 현현하는\n문장사 에이리카.
