MID_WU_C_1_IN_#001	실례할게요!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	지금의 제게는 잡념 따윈 일절 없답니다.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	자고 일어났는데도 개운치 않으시다면\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	지금부터 같이 운동하러 가시는 건 어떠세요?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	…살금, 살금.\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	오늘은 조용히 깨워 드릴 거예요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	아앗, 벌써 일어나시다니?!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	제 우렁찬 발소리가\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	이번만큼은 방해가 되었네요.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	제 고향은 광대한 화원의 땅.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	그곳의 꽃으로 만든 향수의 향기는\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	우아한 아침을 연출해 준답니다.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	제 고향의 향기는 어떠세요?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	언젠가 진짜 꽃도 신룡 님께 드리고 싶어요.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	신룡 님, 오늘은 맛있는 조식을 가져왔어요!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	오, 음식이 연관되어 있으면 바로 일어나시네요…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	보세요, 에티에 특제·아침용 근육 증강제예요!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	저번에 소개해 드렸던 근육 증강제는\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	다양한 맛이 있답니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	복숭아 맛, 홍차 맛, 과자 맛, 고기 맛, 생선 맛, 그리고…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	가장 추천해 드리는 건\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	아침에 알맞은 하바네로 맛이죠.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	마음에 드는 걸 맛보시고\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	오늘 하루도 힘내 봐요.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	당신의 파트너가 깨워 드리러 왔답니다.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	벌써 일어나셨군요, 아쉬워라.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	오늘은 상냥하게 깨워 드리려고 했는데.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…정말이랍니다?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	오늘은 힘들게 고향에서 꽃을 가져왔어요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	실은 방을 가득 채우고 싶었지만…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	전쟁 중이니 어쩔 수 없죠.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	…그래도 언젠가 온통 꽃밭인 곳에서\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	둘만의 시간을 보내요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	약속이에요.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	일어나셨으니 제가 가장 좋아하는 꽃을 드릴게요.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	당신에게는 꽃이 정말 잘 어울리네요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	일과인 달리기 시간이에요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	마중 나왔어요.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	우후후, 과연 수면 습관이 좋으시군요.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	그래야 제 파트너죠.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	또다시 반했답니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	실은 여기 오기 전에 잠깐 혼자서 달리고 있었거든요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	제게 고백하기 전에 당신이 그랬던 것처럼요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	소중한 사람을 생각하며 달리니까 경치가 반짝거리더라고요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	이렇게나 가슴 뛰는 기분, 지금까지 겪어 본 적 없었어요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침이에요. 자, 가시죠.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	당신이 제 곁에 있어 준 덕에\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	제 주변 풍경이 빛난답니다.\x0E\x04\x00\x00
