MID_SYS_EnchantEffect	인챈트 효과
MIID_HE_SpdTonic	자신 및 자신과 인접한 아군은 1턴 동안\n프리즈 효과를 받지 않게 된다.\n또한, 레벨에 따라 속도가 상승한다.
MIID_HE_LckTonic	자신 및 자신과 인접한 아군이\n1턴 동안 30% 확률로\n적의 공격을 무효화시킬 수 있게 된다.
MIID_HE_DefTonic	자신 및 자신과 인접한 아군이\n1턴 동안 적에게 물리 공격을 받았을 때\n받은 대미지를 상대에게도 입히게 된다.
MIID_HE_MagTonic	자신 및 자신과 인접한 아군은 1턴 동안\n사일런스 효과를 받지 않게 된다.\n또한, 레벨에 따라 마력이 상승한다.
MIID_HE_MdefTonic	자신 및 자신과 인접한 아군이\n1턴 동안 적에게 마법 공격을 받았을 때\n받은 대미지를 상대에게도 입히게 된다.
MIID_HE_Bento	인접한 아군 1명에게 전투 개시 시에\nHP가 2 이상일 경우 그 전투에서는\n반드시 HP를 1 남긴 채로 버티는 효과 부여.\n(효과는 발동하면 사라진다)
MIID_HE_WeaponAvo	전투 맵 종료 시점까지\n동명의 무기의 회피를 20 상승시킨다.
MIID_HE_WeaponDef	전투 맵 종료 시점까지\n동명의 무기의 수비와 마방을 5 상승시킨다.
MIID_HE_WeaponCrit	전투 맵 종료 시점까지\n동명의 무기의 필살을 20 상승시킨다.
MIID_HE_WeaponAtk	전투 맵 종료 시점까지\n동명의 무기의 위력을 5 상승시킨다.
MIID_HE_WeaponHit	전투 맵 종료 시점까지\n동명의 무기의 명중을 20 상승시킨다.
MIID_HE_WeaponAvo_Short	인챈트 효과: 회피+20.
MIID_HE_WeaponDef_Short	인챈트 효과: 수비+5, 마방+5.
MIID_HE_WeaponCrit_Short	인챈트 효과: 필살+20.
MIID_HE_WeaponAtk_Short	인챈트 효과: 위력+5.
MIID_HE_WeaponHit_Short	인챈트 효과: 명중+20.
MSID_QuickResponse	받아치기
MSID_H_QuickResponse	적에게 공격받았을 때, 자신의 HP가\n80% 이상이라면 추격이 발생한다.
MSID_QuickResponse+	받아치기+
MSID_H_QuickResponse+	적에게 공격받았을 때, 자신의 HP가\n60% 이상이라면 추격이 발생한다.
MSID_HeavyAttack	중격
MSID_H_HeavyAttack	물리 공격을 했을 때\n장비한 무기의 무게가 체격보다 클 경우\n초과되는 수치만큼 대미지에 추가한다.\n(최대+5)
MSID_GazeDiagonally	모퉁이 견제
MSID_H_GazeDiagonally	HP가 최대치일 때, 최대 HP의 20%를 소비해\n1턴 동안 자신의 대각선 4칸에\n적이 진입할 수 없게 막는\n｢모퉁이 견제｣ 커맨드 사용 가능.
MSID_H_GazeDiagonally_CMD	자신의 대각선 4칸에\n적이 진입할 수 없게 막는다
MSID_WARNING_GazeDiagonally_CMD	HP가 100%일 때만 사용할 수 있습니다
MSID_Adaptability	적응 능력
MSID_H_Adaptability	적에게 공격받았을 때\n물리 공격일 경우, 전투 후에 수비+2.\n마법 공격일 경우, 전투 후에 마방+2.
MSID_Adaptability+	적응 능력+
MSID_H_Adaptability+	적에게 공격받았을 때\n물리 공격일 경우, 전투 후에 수비+3.\n마법 공격일 경우, 전투 후에 마방+3.
MSID_HectorEngage	철벽
MSID_H_HectorEngage	적에게 공격받았을 때, 수비·마방 130％.
MSID_H_HectorEngage_Dragon	적에게 공격받았을 때, 수비·마방 130％.\n[용족]필살 회피 150%.
MSID_H_HectorEngage_Horse	적에게 공격받았을 때, 수비·마방 130％.\n[기마]프리즈 상태를 무효화한다.
MSID_H_HectorEngage_Heavy	적에게 공격받았을 때, 수비·마방 130％.\n[중갑]수비 상승률이 150%가 된다.
MSID_H_HectorEngage_Fly	적에게 공격받았을 때, 수비·마방 130％.\n[비행]마방 상승률이 150%가 된다.
MSID_HectorEngageAtk	지수뇌굉의 자세
MSID_H_HectorEngageAtk	1턴 동안 적의 브레이크와 추격이\n발생하지 않게 되며 자신이 반격할 때\n추격이 발생하게 된다/검·도끼 한정.
MSID_H_HectorEngageAtk_Dragon	1턴 동안 적의 브레이크와 추격이\n발생하지 않게 되며 자신이 반격할 때\n추격이 발생하게 된다/검·도끼 한정.\n[용족]적의 필살의 일격이 발생하지 않는다.
MSID_H_HectorEngageAtk_Coop	1턴 동안 적의 브레이크와 추격이\n발생하지 않게 되며 자신이 반격할 때\n추격이 발생하게 된다/검·도끼 한정.\n[연계]필살+20.
MSID_H_HectorEngageAtk_Covert	1턴 동안 적의 브레이크와 추격이\n발생하지 않게 되며 자신이 반격할 때\n추격이 발생하게 된다/검·도끼 한정.\n[은밀]회피+30.
MSID_H_HectorEngageAtk_CMD	자신은 추격하며\n상대는 추격 불가
MSID_HectorEngageAtk+	지수뇌굉의 자세+
MSID_H_HectorEngageAtk+	1턴 동안 전투 시 반드시 선제공격하며\n적의 브레이크와 추격이 발생하지 않게 되고\n자신이 반격할 때 추격이 발생하게 된다.\n검·도끼 한정.
MSID_H_HectorEngageAtk+_Dragon	1턴 동안 전투 시 반드시 선제공격하며\n적의 브레이크와 추격이 발생하지 않게 되고\n자신이 반격할 때 추격이 발생하게 된다.\n검·도끼 한정.\n[용족]적의 필살의 일격이 발생하지 않는다.
MSID_H_HectorEngageAtk+_Coop	1턴 동안 전투 시 반드시 선제공격하며\n적의 브레이크와 추격이 발생하지 않게 되고\n자신이 반격할 때 추격이 발생하게 된다.\n검·도끼 한정.\n[연계]필살+20.
MSID_H_HectorEngageAtk+_Covert	1턴 동안 전투 시 반드시 선제공격하며\n적의 브레이크와 추격이 발생하지 않게 되고\n자신이 반격할 때 추격이 발생하게 된다.\n검·도끼 한정.\n[은밀]회피+30.
MSID_H_HectorEngageAtk+_CMD	자신은 선제공격 및 추격하며\n상대는 추격 불가
MSID_MagicOfLaw+	이론의 진수
MSID_H_MagicOfLaw+	마도서로 공격했을 때 화염 마법은 수비-3,\n번개 마법은 명중-20, 바람 마법은 이동-2\n효과를 1턴 동안 부여한다.
MSID_KeenInsight	혜안
MSID_H_KeenInsight	특효 대미지를 입혔을 때\n대미지+5.
MSID_KeenInsight+	혜안+
MSID_H_KeenInsight+	특효 대미지를 입혔을 때\n대미지+7.
MSID_NominateDecoy	미끼 지명
MSID_H_NominateDecoy	1턴 동안 임의의 아군이\n적의 표적이 될 확률을 상승시키는\n｢미끼 지명｣ 커맨드 사용 가능.\n최대 1명/적에게 3번 공격받으면 해제.
MSID_H_NominateDecoy_CMD	아군이 적의 표적이 될 확률을 상승시킨다
MSID_PreventionReturn	복귀 저지
MSID_H_PreventionReturn	브레이크 상태인 적을 마도서로 공격했을 때\n일정 확률로 브레이크를 해제하지 않는다.\n(상대보다 속도가 높을수록 확률이 상승한다)
MSID_SenerioEngage	양광
MSID_H_SenerioEngage	마법으로 공격했을 때 상대의 마방을\n20% 감소시키고, 입힌 대미지의 50%만큼\n자신의 HP를 회복한다.
MSID_H_SenerioEngage_Dragon	마법으로 공격했을 때 상대의 마방을\n20% 감소시키고, 입힌 대미지의 50%만큼\n자신의 HP를 회복한다.\n[용족]필살이 2배가 된다.
MSID_H_SenerioEngage_Magic	마법으로 공격했을 때 상대의 마방을\n20% 감소시키고, 입힌 대미지의 50%만큼\n자신의 HP를 회복한다.\n[마도]추가로 상대의 마방-10%.
MSID_H_SenerioEngage_Prana	마법으로 공격했을 때 상대의 마방을\n20% 감소시키고, 입힌 대미지의 50%만큼\n자신의 HP를 회복한다.\n[기공]HP 회복량이 100%가 된다.
MSID_SenerioEngageAtk	디재스터
MSID_H_SenerioEngageAtk	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.
MSID_H_SenerioEngageAtk_Dragon	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.\n[용족]공격 범위를 ｢화염｣ 상태로 만든다.
MSID_H_SenerioEngageAtk_Magic	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.\n[마도]대미지+10%.
MSID_H_SenerioEngageAtk_Prana	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.\n[기공]20% 확률로 상대를 브레이크시킨다.
MSID_H_SenerioEngageAtk_CMD	범위 내에 화염, 번개, 바람 마법으로 3연격
MSID_H_SenerioEngageAtk_G004	범위 내의 적에게 대미지 30%의\n화염, 번개, 바람(비행 특효) 마법 3연격.
MSID_SenerioEngageAtk+	디재스터+
MSID_H_SenerioEngageAtk+	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.
MSID_H_SenerioEngageAtk+_Dragon	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.\n[용족]공격 범위를 ｢화염｣ 상태로 만든다.
MSID_H_SenerioEngageAtk+_Magic	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.\n[마도]대미지+10%.
MSID_H_SenerioEngageAtk+_Prana	범위 내의 적에게 대미지 40%의\n화염, 번개, 바람(비행 특효) 마법 3연격.\n[기공]20% 확률로 상대를 브레이크시킨다.
MSID_H_SenerioEngageAtk+_CMD	범위 내에 화염, 번개, 바람 마법으로 3연격
MSID_DragonPulse_other	용맥·암
MSID_H_DragonPulse_other	지정된 칸에 특수 효과를 부여하는\n｢용맥·암｣ 커맨드 사용 가능.
MSID_H_DragonPulse_other_CMD	대상 칸에 특수 효과를 부여한다
MSID_H_DragonPulse_other_Dragon	지정된 칸에 특수 효과를 부여하는\n｢용맥·암｣ 커맨드 사용 가능.\n[용족]모든 용맥 사용 가능.
MSID_DragonPulse_other_Coop	용맥·암<호>
MSID_H_DragonPulse_other_Coop_CMD	수비·마방을 상승시키는\n흙기둥을 발생시킨다
MSID_H_DragonPulse_other_Coop	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<호>｣ 커맨드 사용 가능.\n[연계]수비·마방 상승 효과가 있는\n흙기둥을 발생시킨다.
MSID_DragonPulse_other_Horse	용맥·암<수>
MSID_H_DragonPulse_other_Horse_CMD	회피 감소 효과가 있는\n웅덩이를 발생시킨다
MSID_H_DragonPulse_other_Horse	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<수>｣ 커맨드 사용 가능.\n[기마]회피 감소 효과가 있는 웅덩이를\n발생시킨다.
MSID_DragonPulse_other_Covert	용맥·암<연>
MSID_H_DragonPulse_other_Covert_CMD	방어와 회피 감소 효과가 있는\n검은 연기를 발생시킨다
MSID_H_DragonPulse_other_Covert	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<연>｣ 커맨드 사용 가능.\n[은밀]방어와 회피 감소 효과가 있는\n검은 연기를 발생시킨다.
MSID_DragonPulse_other_Heavy	용맥·암<녹>
MSID_H_DragonPulse_other_Heavy_CMD	브레이크를 무효화하는\n덩굴을 발생시킨다
MSID_H_DragonPulse_other_Heavy	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<녹>｣ 커맨드 사용 가능.\n[중갑]브레이크를 무효화하는 덩굴을\n발생시킨다.
MSID_DragonPulse_other_Fly	용맥·암<유>
MSID_H_DragonPulse_other_Fly_CMD	HP 회복 효과가 있는\n치유의 안개를 발생시킨다
MSID_H_DragonPulse_other_Fly	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<유>｣ 커맨드 사용 가능.\n[비행]HP 회복 효과가 있는 치유의 안개를\n발생시킨다.
MSID_DragonPulse_other_Magic	용맥·암<염>
MSID_H_DragonPulse_other_Magic_CMD	대미지를 입히는\n화염을 발생시킨다
MSID_H_DragonPulse_other_Magic	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<염>｣ 커맨드 사용 가능.\n[마도]대미지를 입히는 화염을 발생시킨다.
MSID_DragonPulse_other_Prana	용맥·암<신>
MSID_H_DragonPulse_other_Prana_CMD	이동 상승 효과가 있는\n결빙을 발생시킨다
MSID_H_DragonPulse_other_Prana	지정된 칸에 특수 효과를 부여하는\n｢용맥·암<신>｣ 커맨드 사용 가능.\n[기공]이동 상승 효과가 있는\n결빙을 발생시킨다.
MSID_EarthVeinAbsorption	지맥 흡수
MSID_H_EarthVeinAbsorption	대기한 칸의 효과(｢화염｣, ｢독기｣ 등)를\n제거하고 HP를 10 회복한다.
MSID_Detox	디톡스
MSID_H_Detox	아군 페이즈 개시와 동시에\n독 상태를 회복한다.
MSID_CleanUp	마무리
MSID_H_CleanUp	직접 공격해서 필살의 일격이 발생했을 경우\n전투 후에 상대에게 5 대미지를 입힌다.
MSID_CleanUp+	마무리+
MSID_H_CleanUp+	직접 공격해서 필살의 일격이 발생했을 경우\n전투 후에 상대에게 10 대미지를 입힌다.
MSID_CamillaEngage	천구
MSID_H_CamillaEngage	이동+2/비행 스타일이 아니어도\n보행 불가 지형에 진입할 수 있게 되고\n지형 효과를 받지 않게 된다.
MSID_H_CamillaEngage_Dragon	이동+2/비행 스타일이 아니어도\n보행 불가 지형에 진입할 수 있게 되고\n지형 효과를 받지 않게 된다.\n[용족]직접 공격 시, 주위 2칸 이내에 있는\n적에게 최대 HP의 10%만큼 대미지를 입힌다.
MSID_H_CamillaEngage_Horse	이동+2/비행 스타일이 아니어도\n보행 불가 지형에 진입할 수 있게 되고\n지형 효과를 받지 않게 된다.\n[기마]추가로 이동+2.
MSID_H_CamillaEngage_Fly	이동+2/비행 스타일이 아니어도\n보행 불가 지형에 진입할 수 있게 되고\n지형 효과를 받지 않게 된다.\n[비행]추가로 이동+1.
MSID_CamillaEngageAtk	암야폭쇄진
MSID_H_CamillaEngageAtk	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.
MSID_H_CamillaEngageAtk_Dragon	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.\n[용족]효과 범위 확대.
MSID_H_CamillaEngageAtk_Magic	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.\n[마도]대미지 120%.
MSID_H_CamillaEngageAtk_Prana	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.\n[기공]자신의 주위 1칸 지형을\n｢아로마｣ 상태로 만든다.
MSID_H_CamillaEngageAtk_CMD	특정 칸을 공격 후 불태운다
MSID_CamillaEngageAtk+	암야폭쇄진+
MSID_H_CamillaEngageAtk+	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.
MSID_H_CamillaEngageAtk+_Dragon	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.\n[용족]효과 범위 확대.
MSID_H_CamillaEngageAtk+_Magic	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.\n[마도]대미지 120%.
MSID_H_CamillaEngageAtk+_Prana	자신의 주위에 있는 특정 칸의 적에게\n대미지를 입히고 칸을 화염 상태로 만든다.\n[기공]자신의 주위 1칸 지형을\n｢아로마｣ 상태로 만든다.
MSID_H_CamillaEngageAtk+_CMD	특정 칸을 공격 후 불태운다
MSID_Str_Def_1	힘·수비+1
MSID_H_Str_Def_1	항상 힘과 수비가 1 상승한다.
MSID_Str_Def_2	힘·수비+2
MSID_H_Str_Def_2	항상 힘과 수비가 2 상승한다.
MSID_Str_Def_3	힘·수비+3
MSID_H_Str_Def_3	항상 힘과 수비가 3 상승한다.
MSID_Str_Def_4	힘·수비+4
MSID_H_Str_Def_4	항상 힘과 수비가 4 상승한다.
MSID_Str_Def_5	힘·수비+5
MSID_H_Str_Def_5	항상 힘과 수비가 5 상승한다.
MSID_Mag_Res_1	마력·마방+1
MSID_H_Mag_Res_1	항상 마력과 마방이 1 상승한다.
MSID_Mag_Res_2	마력·마방+2
MSID_H_Mag_Res_2	항상 마력과 마방이 2 상승한다.
MSID_Mag_Res_3	마력·마방+3
MSID_H_Mag_Res_3	항상 마력과 마방이 3 상승한다.
MSID_Mag_Res_4	마력·마방+4
MSID_H_Mag_Res_4	항상 마력과 마방이 4 상승한다.
MSID_Mag_Res_5	마력·마방+5
MSID_H_Mag_Res_5	항상 마력과 마방이 5 상승한다.
MSID_Spd_Res_1	속도·마방+1
MSID_H_Spd_Res_1	항상 속도와 마방이 1 상승한다.
MSID_Spd_Res_2	속도·마방+2
MSID_H_Spd_Res_2	항상 속도와 마방이 2 상승한다.
MSID_Spd_Res_3	속도·마방+3
MSID_H_Spd_Res_3	항상 속도와 마방이 3 상승한다.
MSID_Spd_Res_4	속도·마방+4
MSID_H_Spd_Res_4	항상 속도와 마방이 4 상승한다.
MSID_Spd_Res_5	속도·마방+5
MSID_H_Spd_Res_5	항상 속도와 마방이 5 상승한다.
MSID_AntiAxeArts_1	도끼술 대처 Lv.1
MSID_H_AntiAxeArts_1	도끼를 장비한 적과 전투했을 때\n받는 대미지-1.
MSID_AntiAxeArts_2	도끼술 대처 Lv.2
MSID_H_AntiAxeArts_2	도끼를 장비한 적과 전투했을 때\n받는 대미지-2.
MSID_AntiAxeArts_3	도끼술 대처 Lv.3
MSID_H_AntiAxeArts_3	도끼를 장비한 적과 전투했을 때\n받는 대미지-3.
MSID_AntiAxeArts_4	도끼술 대처 Lv.4
MSID_H_AntiAxeArts_4	도끼를 장비한 적과 전투했을 때\n받는 대미지-4.
MSID_AntiAxeArts_5	도끼술 대처 Lv.5
MSID_H_AntiAxeArts_5	도끼를 장비한 적과 전투했을 때\n받는 대미지-5.
MSID_AntiMagicArts_1	마도 대처 Lv.1
MSID_H_AntiMagicArts_1	마도서를 장비한 적과 전투했을 때\n받는 대미지-1.
MSID_AntiMagicArts_2	마도 대처 Lv.2
MSID_H_AntiMagicArts_2	마도서를 장비한 적과 전투했을 때\n받는 대미지-2.
MSID_AntiMagicArts_3	마도 대처 Lv.3
MSID_H_AntiMagicArts_3	마도서를 장비한 적과 전투했을 때\n받는 대미지-3.
MSID_AntiMagicArts_4	마도 대처 Lv.4
MSID_H_AntiMagicArts_4	마도서를 장비한 적과 전투했을 때\n받는 대미지-4.
MSID_AntiMagicArts_5	마도 대처 Lv.5
MSID_H_AntiMagicArts_5	마도서를 장비한 적과 전투했을 때\n받는 대미지-5.
MSID_AntiLanceArts_1	창술 대처 Lv.1
MSID_H_AntiLanceArts_1	창을 장비한 적과 전투했을 때\n받는 대미지-1.
MSID_AntiLanceArts_2	창술 대처 Lv.2
MSID_H_AntiLanceArts_2	창을 장비한 적과 전투했을 때\n받는 대미지-2.
MSID_AntiLanceArts_3	창술 대처 Lv.3
MSID_H_AntiLanceArts_3	창을 장비한 적과 전투했을 때\n받는 대미지-3.
MSID_AntiLanceArts_4	창술 대처 Lv.4
MSID_H_AntiLanceArts_4	창을 장비한 적과 전투했을 때\n받는 대미지-4.
MSID_AntiLanceArts_5	창술 대처 Lv.5
MSID_H_AntiLanceArts_5	창을 장비한 적과 전투했을 때\n받는 대미지-5.
MSID_JobSkill_Enchant1	인챈트
MSID_JobSkill_Enchant1_CMD1	극한 활용
MSID_H_JobSkill_Enchant1_CMD1	아이템을 소비해 유닛을 강화
MSID_JobSkill_Enchant1_CMD2	무기 공명
MSID_H_JobSkill_Enchant1_CMD2	무기를 지정해 동명의 무기를 강화
MSID_JobSkill_Enchant2	수송대
MSID_H_JobSkill_Enchant2	무기와 도구를 맡기거나\n가져가는 등의 행동이 가능한\n｢수송대｣ 커맨드 사용 가능.
MSID_H_Ent_AntiMorph_Short	1턴 동안 이형 특효.
MSID_H_Ent_ResistChain_Short	1턴 동안 적 체인 어택 무효, 최대 HP+\x0E\x01\x00\x00.
MSID_H_Ent_WeightZero_Short	1턴 동안 무기의 무게 반감, 힘+\x0E\x01\x00\x00.
MSID_H_Ent_ResistBreak_Short	1턴 동안 적의 브레이크 무효, 기술+\x0E\x01\x00\x00.
MSID_H_Ent_ResistFreeze_Short	1턴 동안 프리즈 무효, 속도+\x0E\x01\x00\x00.
MSID_H_Ent_MayNoDamage_Short	1턴 동안 30% 확률로 적의 대미지 무효.
MSID_H_Ent_ReflectPhysic_Short	1턴 동안 받은 물리 공격 대미지 반사.
MSID_H_Ent_ResistSilence_Short	1턴 동안 사일런스 무효, 마력+\x0E\x01\x00\x00.
MSID_H_Ent_ReflectMagic_Short	1턴 동안 받은 마법 공격 대미지 반사.
MSID_H_Ent_HoldOutOnce_Short	전투 개시 시에 HP가 2 이상이라면 버틴다(1회).
MSID_Ent_AntiMorph	이형 특효
MSID_Ent_ResistChain	체인 어택 무효
MSID_Ent_WeightZero	무기의 무게 반감
MSID_Ent_ResistBreak	브레이크 무효
MSID_Ent_ResistFreeze	프리즈 무효
MSID_Ent_MayNoDamage	대미지 무효
MSID_Ent_ReflectPhysic	물리 반사
MSID_Ent_ResistSilence	사일런스 무효
MSID_Ent_ReflectMagic	마법 반사
MSID_Ent_HoldOutOnce	버티기
MAID_Mascot	수호신 페어 세트
MAID_MascotM	수호신 인형 옷
MAID_H_MascotM	전승으로 전해지는 솔라넬의 수호신을 본뜬 인형 옷.\n말랑말랑한 발바닥과 푹신푹신한 꼬리 등 세부적인 곳까지 치유력이 담긴 의상.
MAID_MascotF	수호신 인형 옷
MAID_H_MascotF	전승으로 전해지는 솔라넬의 수호신을 본뜬 인형 옷.\n말랑말랑한 발바닥과 푹신푹신한 꼬리 등 세부적인 곳까지 치유력이 담긴 의상.
MAID_SolaHead	수호신 인형 탈
MAID_H_SolaHead	전승으로 전해지는 솔라넬의 수호신을 본뜬 탈. 말로 표현하기 어려운 표정을\n훌륭하게 재현한 작품. 완벽한 수호신이 되고 싶은 사람에게 추천한다.
MAID_CatEar	수호신 귀 장식
