MID_WU_C_1_IN_#001	신룡 님, 좋은 아침입니다예요.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	여차하면 주먹 한 방으로 쓰러뜨릴 정도가 돼야 해…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	난 공주님과 신룡 님을 지켜야 하니까!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	이렇게 말이지! 이얏! 이얍!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	…앗. 신룡 님.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	언제부터 일어나 계셨습니까인가요?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	어머나, 처음부터…?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	호호호, 정말이지 실례가 많았네요…\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	신룡 님, 쉬고 계시는데 실례하겠습니다예요.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	오오, 오늘은 반응이 재빠르시군요.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	통찰력도 키우시다니 훌륭하세요.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	다시 불시에 찾아뵐게요, 그럼 갑니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	밀정에게서 또 서한이 왔거든요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	혹시 모르니 여기서 개봉하려고요…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	흠. 아아.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	역시 부모님의 소식은 여전히 알 수 없나 보군요…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	죄송합니다.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	저번에 찾는 걸 도와주신다고 말씀하셨기에 보고 차.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	신룡 님의 말씀 정말 기뻤습니다.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	아침 인사드리러 왔습니다예요, 파트너.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	뭐, 뭐죠?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	그렇게 긴장하지 않아도 된다고 말씀하셔도…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	소중한 사람 앞에서는 좋은 모습만 보여 드리고 싶은 게\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	사람 마음이라는 겁니다예요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	흠… 신룡 님께 반지를 받은 이상\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	그에 걸맞은 품위를 갖춰야겠군요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	하지만 아침 이 시간에는 둘뿐이니까\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	가끔은 응석 부려도 괜찮겠죠?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	신룡 님께서는 어떤 저라도 받아들여 주시는\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	그릇이 큰 분이시잖아요. …그렇죠?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	오늘 아침은 조금만 이렇게 하겠습니다예요.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	비밀이지만… 전\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	행복함을 느끼면 강해진답니다예요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	좋은 아침입니다예요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	그럼, 오늘 아침의 순발력은 어떠실까요?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	일찍 일어나셨네요.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	이 정도는 돼야 제 파트너시죠. 그렇지만…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	때론 자는 척을 하시면\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	느긋하게 곁에 있을 수 있는데…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	그러고 보니 파트너가 될 때…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	혹시 싸우더라도 공격은 전부 피하신다고 하셨지만\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	결국, 한 번도 싸우지 않았습니다예요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	이대로 계속 둘이 사이좋게 지내요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	제가 가진 이 힘은 당신에게 향한 게 아니라…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	당신을 지키기 위해 있는 거니까요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	후후, 일어나 계신 건 알고 있답니다.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	제 통찰력을 얕보지 말아 주시길…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	좋아하는 사람에 대한 건\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	뭐든 알고 있습니다예요.\x0E\x04\x00\x00
