MID_WU_C_1_IN_#001	이곳에서 식사를 하면 맛있겠는걸…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	저희 또한 시간이 흘러도 감미로운 관계로 있을 수 있기를…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	맛있는 것은 많은 사람이 맛봐야 한다는 게 제 신조지만…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	당신과 함께하는 이 시간의 맛만큼은…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	언제까지나 둘만의 비밀로 하고 싶군요…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	자, 많이 먹고 싸움에서 이깁시다.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	저도 노력해야겠죠…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	내일도, 그다음 날에도\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	당신이 맛있다고 말하며 미소 짓는 모습을\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	곁에서 보고 싶으니까요…\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	오늘은 요리가 아닌\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	신룡 님께 어울리는 꽃들을 준비했습니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	사실 저는\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	꽃과 허브를 키우는 게 취미라서요…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	괜찮으시다면 다음은\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	당신에 대해 좀 더 알려 주시길…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	보다 깊은 달콤한 부분까지…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	파트너가 됐을 때\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	당신께선 본인에 대해서도 알아 달라고 말씀하셨죠…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	저도, 좀 더 저에 대해 당신께서 알아 주셨으면 좋겠군요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	이 꽃은 취미로 키우고 있는 건데…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	좋아하는 품종입니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	이 미숙함이 남아 있는 빨간 꽃잎에 파란 꽃봉오리…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	달콤한 향이 마치 당신을 떠올리게 합니다…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	신룡 님께는 꽃보다 요리가 좋았을까요…?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	그럼 바로 제가\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	당신의 그 공복을 채워 드리죠…\x0E\x04\x00\x00
