MID_BONDSRING_H_CommonTytle	<캐릭터 등장 타이틀>
MID_BONDSRING_H_Celice00	이계의 영웅이자\n｢빛의 공자｣라 불린 소년.
MID_BONDSRING_H_Celice01	시구르드와 디아도라의 아들로\n성전사 발드의 피를 이었다.
MID_BONDSRING_H_Celice02	반란군을 이끌고 그란벨 제국과 싸워\n유그드랄 대륙의 구세주가 되었다.
MID_BONDSRING_H_Celice03	｢Genealogy of the Holy War｣ 등
MID_BONDSRING_Levn	레빈
MID_BONDSRING_H_Levn00	이계의 대륙 유그드랄에 있는\n실레지아 왕국의 왕자.
MID_BONDSRING_H_Levn01	바람 술사 세티의 피를 이은 성전사의 후예로\n｢바람 마법 포르세티｣를 계승했다.
MID_BONDSRING_H_Levn02	시구르드와 함께 싸웠고 그가 죽은 후에는\n그의 아들인 세리스의 싸움을 지켜봤다.
MID_BONDSRING_H_Levn03	｢Genealogy of the Holy War｣ 등
MID_BONDSRING_Rackesis	라케시스
MID_BONDSRING_H_Rackesis00	이계의 대륙 유그드랄에 있는\n노디온 왕국의 왕녀.
MID_BONDSRING_H_Rackesis01	사자왕 엘트샨의 여동생으로\n아름답고 고결한 마음을 지닌 공주.
MID_BONDSRING_H_Rackesis02	오빠가 이상적인 남성상을 갖췄다고 여기며\n백성들이 다 알 정도로 서로 사이가 좋다.
MID_BONDSRING_H_Rackesis03	｢Genealogy of the Holy War｣
MID_BONDSRING_Cuan	큐안
MID_BONDSRING_H_Cuan00	이계의 대륙 유그드랄에 있는\n렌스터 왕국의 왕자.
MID_BONDSRING_H_Cuan01	창 기사 노바의 피를 이은 성전사의 후예로\n｢지창 게이볼그｣를 계승했다.
MID_BONDSRING_H_Cuan02	시구르드와는 사관학교 시절부터 친구로 돈독한\n우정을 맺었으며, 정의로운 마음을 지닌 인물.
MID_BONDSRING_H_Cuan03	｢Genealogy of the Holy War｣
MID_BONDSRING_Diadora	디아도라
MID_BONDSRING_H_Diadora00	이계의 영웅이자 정령의 숲의 무녀.
MID_BONDSRING_H_Diadora01	사람과 어울리는 것이 금지되어 있었으나\n시구르드 공자와 만나 그의 아내가 되었다.
MID_BONDSRING_H_Diadora02	세리스를 낳고 행복하게 살고 있었지만\n암흑 교단의 표적이 돼 비극적인 운명을 맞았다.
MID_BONDSRING_H_Diadora03	｢Genealogy of the Holy War｣
MID_BONDSRING_Ethlin	에슬린
MID_BONDSRING_H_Ethlin00	이계의 대륙 유그드랄에 있는\n그란벨 왕국 시알피 공작가의 공녀.
MID_BONDSRING_H_Ethlin01	시구르드의 여동생으로\n남을 잘 챙기는 꼼꼼한 여성.
MID_BONDSRING_H_Ethlin02	오빠의 친구 큐안 왕자와 결혼해\n아르테나와 리프라는 두 아이의 어머니가 됐다.
MID_BONDSRING_H_Ethlin03	｢Genealogy of the Holy War｣
MID_BONDSRING_Ferry	퓨리
MID_BONDSRING_H_Ferry00	이계의 영웅이자\n실레지아 왕국을 섬기는 천마 기사.
MID_BONDSRING_H_Ferry01	｢사천마 기사｣라 불리는 정예 중 한 사람으로\n레빈 왕자를 찾아 각지를 돌아다녔다.
MID_BONDSRING_H_Ferry02	뛰어난 실력을 지녔으나 매사에 진지해서\n남에게 잘 속는 일면도 지녔다.
MID_BONDSRING_H_Ferry03	｢Genealogy of the Holy War｣
MID_BONDSRING_Azel	아젤
MID_BONDSRING_H_Azel00	이계의 대륙 유그드랄에 있는\n그란벨 왕국 벨트머 공작가의 공자.
MID_BONDSRING_H_Azel01	마법 전사 파라의 피를 이은 성전사의 후예로\n화염 마법에 능숙한 다정한 청년.
MID_BONDSRING_H_Azel02	마음을 준 여성인 에딘이 납치당해\n그녀를 구하기 위해 분투한다.
MID_BONDSRING_H_Azel03	｢Genealogy of the Holy War｣
MID_BONDSRING_Celica00	이계의 대륙 발렌시아에 있는\n소피아 왕국 왕족의 생존자.
MID_BONDSRING_Celica01	세계에 일어난 이변의 원인을 찾아 여행을\n떠났고 아름과 함께 사신 도마와 싸웠다.
MID_BONDSRING_Alm	아름
MID_BONDSRING_H_Alm00	이계의 대륙 발렌시아를 구한 영웅.
MID_BONDSRING_H_Alm01	정의감 넘치는 소년으로\n왼손에 성흔을 지닌 예언의 용사.
MID_BONDSRING_H_Alm02	세리카와는 소꿉친구 사이이며 여행 중에\n다시 만나 힘을 합쳐 사신 도마와 싸웠다.
MID_BONDSRING_H_Alm03	｢Echoes｣ 등
MID_BONDSRING_Deute	듀테
MID_BONDSRING_H_Deute00	이계의 영웅이자 밝은 성격을 지닌 마도사.
MID_BONDSRING_H_Deute01	적의 요술사에게 조종당하고 있었으나\n아름이 구출하면서 동료가 되었다.
MID_BONDSRING_H_Deute02	한적한 마을에서 태어났지만 시골이 싫다며\n멋진 도시 사람과 사랑을 나누기를 꿈꾸고 있다.
MID_BONDSRING_H_Deute03	｢Echoes｣ 등
MID_BONDSRING_Effie	에피
MID_BONDSRING_H_Effie00	이계의 영웅이자\n오로지 아름만을 생각하는 소녀.
MID_BONDSRING_H_Effie01	아름이 자란 람 마을 출신 소녀로\n아름과는 소꿉친구 사이.
MID_BONDSRING_H_Effie02	어렸을 때부터 아름을 좋아했으며\n언젠가 함께 살기를 바라고 있다.
MID_BONDSRING_H_Effie03	｢Echoes｣
MID_BONDSRING_Genny	제니
MID_BONDSRING_H_Genny00	이계의 영웅이자 차분한 수도녀.
MID_BONDSRING_H_Genny01	노바 섬에 있는 수도원에 있었지만\n세리카와 동행해 함께 여행했다.
MID_BONDSRING_H_Genny02	느긋한 성격이라서 집에서 독서하거나\n이야기를 쓰는 것을 좋아한다.
MID_BONDSRING_H_Genny03	｢Echoes｣ 등
MID_BONDSRING_Lukas	루카
MID_BONDSRING_H_Lukas00	이계의 영웅이자 소피아 해방군의 병사.
MID_BONDSRING_H_Lukas01	조용하고 온화한 청년으로\n아름을 해방군으로 이끌었다.
MID_BONDSRING_H_Lukas02	귀족 출신이지만 신분에 관계없이\n누구에게나 예의 바르게 대한다.
MID_BONDSRING_H_Lukas03	｢Echoes｣ 등
MID_BONDSRING_Conrad	콘라트
MID_BONDSRING_H_Conrad00	이계의 영웅이자\n정체를 알 수 없는 가면의 기사.
MID_BONDSRING_H_Conrad01	세리카가 위기에 빠졌을 때\n여러 차례 나타나서 그녀를 도왔다.
MID_BONDSRING_H_Conrad02	흰 가면으로 얼굴을 덮고 있어\n어떤 인물인지는 수수께끼에 싸여 있다.
MID_BONDSRING_H_Conrad03	｢Echoes｣
MID_BONDSRING_Saber	세이버
MID_BONDSRING_H_Saber00	이계의 영웅이자 실력 있는 용병.
MID_BONDSRING_H_Saber01	해적이 출몰하는 위험한 바다를 건너기 위해\n호위로 세리카에게 고용되었다.
MID_BONDSRING_H_Saber02	돈을 밝히긴 하지만 좋은 구석도 있어서\n어린 세리카에게 충고하며 여행을 지켜봤다.
MID_BONDSRING_H_Saber03	｢Echoes｣ 등
MID_BONDSRING_Silque	실크
MID_BONDSRING_H_Silque00	이계의 영웅이자\n여신 미라를 섬기는 경건한 시스터.
MID_BONDSRING_H_Silque01	도적에게 붙잡혀 있던 것을 구출해 준\n아름의 동료가 되었다.
MID_BONDSRING_H_Silque02	굉장히 신앙심이 깊어 어려운 사람들을\n미라의 가르침으로 구원하고자 한다.
MID_BONDSRING_H_Silque03	｢Echoes｣ 등
MID_BONDSRING_Mae	메이
MID_BONDSRING_H_Mae00	이계의 영웅이자 활기찬 마도사 소녀.
MID_BONDSRING_H_Mae01	노바 섬의 수도원에 있었으며\n미라의 신전을 향한 세리카의 여행에 동행했다.
MID_BONDSRING_H_Mae02	세리카를 존경하고 있으며 때로는 종자처럼,\n때로는 친구처럼 그녀를 보좌했다.
MID_BONDSRING_H_Mae03	｢Echoes｣ 등
MID_BONDSRING_Valbar	발보
MID_BONDSRING_H_Valbar00	이계의 영웅이자 강한 힘을 지닌 중갑 전사.
MID_BONDSRING_H_Valbar01	해적에게 가족이 살해당한 슬픈 과거가 있으며\n복수를 위해 싸웠다.
MID_BONDSRING_H_Valbar02	호탕한 성격이며 남을 잘 돌봐\n동료들이 잘 따른다.
MID_BONDSRING_H_Valbar03	｢Echoes｣ 등
MID_BONDSRING_Micaiah00	이계의 대륙 테리우스에 있는\n데인 왕국의 의적 집단 ｢새벽단｣의 일원.
MID_BONDSRING_Micaiah01	조국의 구원을 바라며\n인류를 심판하는 여신 아스타르테와 싸웠다.
MID_BONDSRING_Nephenee	네페니
MID_BONDSRING_H_Nephenee00	이계의 영웅이자 크리미아 왕국의 여성 병사.
MID_BONDSRING_H_Nephenee01	지방 농촌 출신으로 조국을 구하기 위해\n의용병으로 전쟁에 참전했다.
MID_BONDSRING_H_Nephenee02	말수가 적고 소극적인 성격이지만\n그 안에는 뜨거운 애국심이 숨어 있다.
MID_BONDSRING_H_Nephenee03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_BlackKnight	칠흑의 기사
MID_BONDSRING_H_BlackKnight00	이계의 영웅이자 데인 왕국 최강의 장군.
MID_BONDSRING_H_BlackKnight01	｢사준｣이라 불린 정예 중 하나로 전신을\n검은 갑주로 덮고 무적의 강함을 자랑한다.
MID_BONDSRING_H_BlackKnight02	용병단장 그레일을 죽인 인물이며\n그의 아들인 아이크와 사투를 벌였다.
MID_BONDSRING_H_BlackKnight03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Sothe	소더
MID_BONDSRING_H_Sothe00	이계의 영웅이자 미카야의 의동생.
MID_BONDSRING_H_Sothe01	의적 집단 ｢새벽단｣의 일원으로\n제국으로부터 사람들을 구하기 위해 활약했다.
MID_BONDSRING_H_Sothe02	미카야와 혈연 관계는 아니지만 함께 자란\n의남매로서 그녀를 누구보다도 아낀다.
MID_BONDSRING_H_Sothe03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Erincia	엘린시아
MID_BONDSRING_H_Erincia00	이계의 대륙 테리우스에 있는\n크리미아 왕국의 여왕.
MID_BONDSRING_H_Erincia01	깨끗한 마음을 지닌 여성으로\n조국을 사랑하고 백성들의 존경을 받았다.
MID_BONDSRING_H_Erincia02	전장에서 무기를 버리고 정전을 호소하는 등\n싸움을 싫어하는 강한 신념을 가진 인물.
MID_BONDSRING_H_Erincia03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Tibarn	티반
MID_BONDSRING_H_Tibarn00	이계의 대륙 테리우스에 있는\n페니키스 왕국의 왕.
MID_BONDSRING_H_Tibarn01	모습을 바꿔 싸우는 ｢라구즈｣ 중 한 명으로\n매로 모습을 바꾸는 조익족의 지도자.
MID_BONDSRING_H_Tibarn02	그 힘과 인망으로 동료들을 통솔해\n｢응왕｣이라 불렸다.
MID_BONDSRING_H_Tibarn03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Sanaki	사나키
MID_BONDSRING_H_Sanaki00	이계의 대륙 테리우스에 있는\n베그니온 제국의 지도자.
MID_BONDSRING_H_Sanaki01	제37대 황제로서\n여신의 목소리를 듣는 ｢신사｣를 맡고 있다.
MID_BONDSRING_H_Sanaki02	어리지만 강한 의지와 고결한 마음을 지녀\n대국을 훌륭하게 통치하는 인물.
MID_BONDSRING_H_Sanaki03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Nike	니케
MID_BONDSRING_H_Nike00	이계의 대륙 테리우스에 있는\n하타리 왕국의 여왕.
MID_BONDSRING_H_Nike01	거대한 늑대로 모습을 바꾸는 ｢라구즈｣이며\n목격자를 돌로 만드는 ｢사안｣의 소유자.
MID_BONDSRING_H_Nike02	사막에 쓰러져 있던 셀리노스 왕국의 왕자\n라피엘과 만나 그의 반려자가 되었다.
MID_BONDSRING_H_Nike03	｢Radiant Dawn｣
MID_BONDSRING_Naesala	네사라
MID_BONDSRING_H_Naesala00	이계의 대륙 테리우스에 있는\n키르바스 왕국의 왕.
MID_BONDSRING_H_Naesala01	모습을 바꿔 싸우는 ｢라구즈｣ 중 한 명으로\n까마귀로 모습을 바꾸는 조익족의 지도자.
MID_BONDSRING_H_Naesala02	계산이 빠르고 교활한 인물로\n자국의 이익을 최우선으로 생각하고 행동한다.
MID_BONDSRING_H_Naesala03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Caineghis	카이네기스
MID_BONDSRING_H_Caineghis00	이계의 대륙 테리우스에 있는\n갈리아 왕국의 왕.
MID_BONDSRING_H_Caineghis01	모습을 바꿔 싸우는 ｢라구즈｣ 중 한 명으로\n호랑이 등으로 모습을 바꾸는 수아족의 지도자.
MID_BONDSRING_H_Caineghis02	무용이 뛰어난 동시에 사려 깊은 인물로\n베오크와 라구즈의 우호를 바라며 그에 힘썼다.
MID_BONDSRING_H_Caineghis03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Learne	리아네
MID_BONDSRING_H_Learne00	이계의 대륙 테리우스에 있는\n셀리노스 왕국의 왕녀.
MID_BONDSRING_H_Learne01	조국은 폭도의 습격으로 멸망당했지만\n기적적으로 그 난을 피한 생존자 중 한 사람.
MID_BONDSRING_H_Learne02	맑고 순진무구한 마음의 소유자이며\n갈드로 동료의 피로를 회복시킬 수 있다.
MID_BONDSRING_H_Learne03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Roy00	이계의 대륙 엘레브에 있는\n리키아 지방 펠레 후작가의 공자.
MID_BONDSRING_Roy01	타국을 침략하는 베른 왕국에 맞섰으며\n그들이 부활시킨 마룡 이둔과 싸웠다.
MID_BONDSRING_Lilina	리리나
MID_BONDSRING_H_Lilina00	이계의 대륙 엘레브에 있는\n리키아 지방 오스티아 후작가의 공녀.
MID_BONDSRING_H_Lilina01	뛰어난 마도의 재능을 지닌 소녀이며\n로이와는 소꿉친구 사이.
MID_BONDSRING_H_Lilina02	용맹함으로 유명한 헥터의 딸로\n사랑스럽지만 강한 마음을 가지고 있다.
MID_BONDSRING_H_Lilina03	｢The Binding Blade｣, ｢The Blazing Blade｣
MID_BONDSRING_Sofiya	소피야
MID_BONDSRING_H_Sofiya00	이계의 영웅이자\n신비로운 분위기를 지닌 샤먼.
MID_BONDSRING_H_Sofiya01	미래에 일어날 일을 예언하는 등\n보통 사람들에게는 없는 신비한 힘을 지녔다.
MID_BONDSRING_H_Sofiya02	용과 사람이 함께 사는 ｢나바타 마을｣ 주민으로\n숨겨져 있던 그 땅으로 로이를 이끌었다.
MID_BONDSRING_H_Sofiya03	｢The Binding Blade｣, ｢The Blazing Blade｣
MID_BONDSRING_Rutger	루토가
MID_BONDSRING_H_Rutger00	이계의 영웅이자 과묵하고 고고한 검사.
MID_BONDSRING_H_Rutger01	자신의 부족이 베른 왕국에게 멸망해\n그 원수를 갚기 위해 싸운 청년.
MID_BONDSRING_H_Rutger02	처음에는 로이의 적에게 고용되어 있었으나\n로이가 베른과 싸운다는 것을 알고 돌아섰다.
MID_BONDSRING_H_Rutger03	｢The Binding Blade｣
MID_BONDSRING_Fir	필
MID_BONDSRING_H_Fir00	이계의 영웅이자 검의 길을 추구하는 소녀.
MID_BONDSRING_H_Fir01	｢검희｣라 불린 여성 검사 카아라의 딸로\n어머니를 동경해 무사 수행을 계속하고 있었다.
MID_BONDSRING_H_Fir02	성실하고 노력가지만 남을 잘 믿다 보니\n속아서 해적의 부하가 된 적도 있다.
MID_BONDSRING_H_Fir03	｢The Binding Blade｣
MID_BONDSRING_Fa	파
MID_BONDSRING_H_Fa00	이계의 영웅이자 신룡족의 생존자.
MID_BONDSRING_H_Fa01	｢맘쿠트｣ 중 한 사람으로 사람들을 피해\n나바타의 숨겨진 마을에 살고 있었다.
MID_BONDSRING_H_Fa02	겉으로 보기에는 천진난만한 어린아이지만\n실제 나이는 수백 살이 넘었다.
MID_BONDSRING_H_Fa03	｢The Binding Blade｣, ｢The Blazing Blade｣
MID_BONDSRING_Dieck	디크
MID_BONDSRING_H_Dieck00	이계의 영웅이자 펠레 후작가에 고용된 용병.
MID_BONDSRING_H_Dieck01	용병단장을 맡고 있으며\n동료들로부터 두터운 신뢰를 받는 인물.
MID_BONDSRING_H_Dieck02	예전에는 검투사를 했으며\n투기장에서 그 용맹을 떨쳤다.
MID_BONDSRING_H_Dieck03	｢The Binding Blade｣
MID_BONDSRING_Lugh	루
MID_BONDSRING_H_Lugh00	이계의 영웅이자 곧은 마음을 지닌 소년.
MID_BONDSRING_H_Lugh01	고아원에서 자란 쌍둥이 형제 중 형으로\n이론 마법이 특기인 마도사.
MID_BONDSRING_H_Lugh02	상냥한 성격이지만 소중한 사람을\n지키기 위해 싸울 것을 결의했다.
MID_BONDSRING_H_Lugh03	｢The Binding Blade｣
MID_BONDSRING_Wolt	울트
MID_BONDSRING_H_Wolt00	이계의 영웅이자 로이를 보좌하는 궁병.
MID_BONDSRING_H_Wolt01	명랑하고 노력가인 소년으로 로이의 가신에\n더 어울리는 사람이 되기 위해 힘썼다.
MID_BONDSRING_H_Wolt02	어머니가 로이의 유모여서\n로이와는 유형제 관계이다.
MID_BONDSRING_H_Wolt03	｢The Binding Blade｣
MID_BONDSRING_Lleu	레이
MID_BONDSRING_H_Lleu00	이계의 영웅이자 어른스러운 성격의 소년.
MID_BONDSRING_H_Lleu01	고아원에서 자란 쌍둥이 형제 중 동생으로\n암흑마법이 특기인 샤먼.
MID_BONDSRING_H_Lleu02	매일 싫은 소리만 하지만 사실 가족을 아끼며\n원장 선생님의 원수를 갚기 위해 싸웠다.
MID_BONDSRING_H_Lleu03	｢The Binding Blade｣
MID_BONDSRING_Cecilia	세실리아
MID_BONDSRING_H_Cecilia00	이계의 영웅이자 에토르리아 왕국의 장군.
MID_BONDSRING_H_Cecilia01	｢삼군장｣이라 불리는 뛰어난 장군 중 하나로\n마도사들을 통솔하는 ｢마도군장｣.
MID_BONDSRING_H_Cecilia02	뛰어난 지혜를 가진 총명한 여성으로\n로이에게 싸우는 법을 가르친 스승이다.
MID_BONDSRING_H_Cecilia03	｢The Binding Blade｣
MID_BONDSRING_Leaf00	이계의 대륙 유그드랄에 있는\n트라키아 반도 렌스터 왕국의 왕자.
MID_BONDSRING_Leaf01	트라키아 반도를 지배하는 제국에 맞서\n그들의 흑막인 암흑 사제 벨드와 싸웠다.
MID_BONDSRING_Fin	핀
MID_BONDSRING_H_Fin00	이계의 영웅이자 리프를 보좌하는 기사.
MID_BONDSRING_H_Fin01	큐안과 리프, 두 왕자를 모신\n렌스터 왕국의 충신.
MID_BONDSRING_H_Fin02	렌스터성이 함락될 당시 리프를\n데리고 탈출해 소중하게 기른 인물.
MID_BONDSRING_H_Fin03	｢Genealogy of the Holy War｣ 등
MID_BONDSRING_Olwen	올웬
MID_BONDSRING_H_Olwen00	이계의 영웅이자 성실한 마법 기사.
MID_BONDSRING_H_Olwen01	프리지가를 섬기는 군인이며\n명장 라인하르트를 오빠로 두고 있다.
MID_BONDSRING_H_Olwen02	아군이 비인도적인 행위를 저지른 것을 깨닫고\n갈라서기로 결심하는 등, 성실하고 올곧은 인물.
MID_BONDSRING_H_Olwen03	｢Thracia 776｣
MID_BONDSRING_Mareeta	마리타
MID_BONDSRING_H_Mareeta00	이계의 영웅이자 피아나 의용군의 검사.
MID_BONDSRING_H_Mareeta01	의용군의 리더인 에벨의 양녀로\n검 실력이 뛰어나며 승부욕이 강한 소녀.
MID_BONDSRING_H_Mareeta02	검성 오드의 피를 이었으며 필살의 오의\n｢월광검｣과 ｢유성검｣을 사용한다.
MID_BONDSRING_H_Mareeta03	｢Thracia 776｣
MID_BONDSRING_Nanna	난나
MID_BONDSRING_H_Nanna00	이계의 영웅이자 라케시스 왕녀의 딸.
MID_BONDSRING_H_Nanna01	렌스터의 기사 핀의 밑에서\n리프와 함께 자랐다.
MID_BONDSRING_H_Nanna02	어머니에게 물려받은 미모와 기품을 지녔으며\n동료와 함께 트라키아 해방을 위해 싸웠다.
MID_BONDSRING_H_Nanna03	｢Genealogy of the Holy War｣ 등
MID_BONDSRING_Sety	세티
MID_BONDSRING_H_Sety00	이계의 대륙 유그드랄에 있는\n실레지아 왕국의 왕자.
MID_BONDSRING_H_Sety01	레빈의 아들로 성전사의 피를 이었으며\n｢바람 마법 포르세티｣를 계승했다.
MID_BONDSRING_H_Sety02	사람들을 구하기 위해 반제국 조직 ｢마기단｣을\n결성해 사람들로부터 ｢용사｣라 불렸다.
MID_BONDSRING_H_Sety03	｢Genealogy of the Holy War｣ 등
MID_BONDSRING_Sara	사라
MID_BONDSRING_H_Sara00	이계의 영웅이자\n신비한 힘을 지닌 시스터.
MID_BONDSRING_H_Sara01	리프의 부름을 감지해\n그를 돕기 위해 동료가 되었다.
MID_BONDSRING_H_Sara02	로프토 교단의 대사교 만프로이의 손녀지만\n할아버지를 싫어한다.
MID_BONDSRING_H_Sara03	｢Thracia 776｣
MID_BONDSRING_Asvel	아스벨
MID_BONDSRING_H_Asvel00	이계의 영웅이자\n바람 마법이 특기인 마도사.
MID_BONDSRING_H_Asvel01	마기단의 리더인 세티의 제자로\n그에게 다양한 것을 배웠다.
MID_BONDSRING_H_Asvel02	리프 왕자와는 어렸을 때 만나\n｢트라키아를 되찾자｣고 맹세를 나눈 사이.
MID_BONDSRING_H_Asvel03	｢Thracia 776｣
MID_BONDSRING_Othin	오신
MID_BONDSRING_H_Othin00	이계의 영웅이자 피아나 의용군의 도끼 전사.
