MID_WU_C_1_IN_#001	살금, 살금,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	죽은 아내 곁으로 가기까지 얼마 남지 않은 목숨…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	신룡 님께 바쳐야겠어.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	일어나셨습니까?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	준비를 도와드리죠…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	음? 신경 쓰는 건 당연합니다.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	늙었다고 해도 전 당신께 선택을 받은\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	파트너지 않습니까.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	후후… 잘 주무시는구먼. 그럼 이 방에서 실험을 하나…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	허허, 역시.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	이리 말하면 바로 일어나실 것 같았습니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…어떠십니까? 저도 파트너에 대해\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	점차 알아 가고 있지 않습니까?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	이 금속에 선더와 파이어를 번갈아 쏘면\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	곧장 형태가 잡히지! 합!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	…이러면, 호오. 형태는 찌그러졌지만, 팔찌는 완성됐구먼.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	『약속의 반지』에 대한 보답은 안 되겠지만…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	내 선물인 셈 치도록 할까.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…이게 있으면 내가 없어진 후에도\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	조금은 쓸쓸하지 않겠지.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	자, 오늘도 신룡 님을 위해 힘내겠습니다.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	제 능력을 필요로 해 주셔서\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	늘 감사히 생각하고 있습니다.\x0E\x04\x00\x00
