MSID_Hp_5	HP+5
MSID_H_LanceArts_Soft_2	창 장비 시 회피+15, 필살-10.
MSID_LanceArts_Soft_3	창술·유 Lv.3
MSID_H_LanceArts_Soft_3	창 장비 시 회피+20, 필살-10.
MSID_LanceArts_Soft_4	창술·유 Lv.4
MSID_H_LanceArts_Soft_4	창 장비 시 회피+25, 필살-10.
MSID_LanceArts_Soft_5	창술·유 Lv.5
MSID_H_LanceArts_Soft_5	창 장비 시 회피+30, 필살-10.
MSID_LanceArts_Hard_1	창술·강 Lv.1
MSID_H_LanceArts_Hard_1	창 장비 시 공격력+2, 회피-10.
MSID_LanceArts_Hard_2	창술·강 Lv.2
MSID_H_LanceArts_Hard_2	창 장비 시 공격력+4, 회피-10.
MSID_LanceArts_Hard_3	창술·강 Lv.3
MSID_H_LanceArts_Hard_3	창 장비 시 공격력+6, 회피-10.
MSID_LanceArts_Hard_4	창술·강 Lv.4
MSID_H_LanceArts_Hard_4	창 장비 시 공격력+8, 회피-10.
MSID_LanceArts_Hard_5	창술·강 Lv.5
MSID_H_LanceArts_Hard_5	창 장비 시 공격력+10, 회피-10.
MSID_AxeArts_Hard_1	도끼술·강 Lv.1
MSID_H_AxeArts_Hard_1	도끼 장비 시 공격력+2, 회피-10.
MSID_AxeArts_Hard_2	도끼술·강 Lv.2
MSID_H_AxeArts_Hard_2	도끼 장비 시 공격력+4, 회피-10.
MSID_AxeArts_Hard_3	도끼술·강 Lv.3
MSID_H_AxeArts_Hard_3	도끼 장비 시 공격력+6, 회피-10.
MSID_AxeArts_Hard_4	도끼술·강 Lv.4
MSID_H_AxeArts_Hard_4	도끼 장비 시 공격력+8, 회피-10.
MSID_AxeArts_Hard_5	도끼술·강 Lv.5
MSID_H_AxeArts_Hard_5	도끼 장비 시 공격력+10, 회피-10.
MSID_BowArts_Soft_1	궁술·유 Lv.1
MSID_H_BowArts_Soft_1	활 장비 시 회피+10, 필살-10.
MSID_BowArts_Soft_2	궁술·유 Lv.2
MSID_H_BowArts_Soft_2	활 장비 시 회피+15, 필살-10.
MSID_BowArts_Soft_3	궁술·유 Lv.3
MSID_H_BowArts_Soft_3	활 장비 시 회피+20, 필살-10.
MSID_BowArts_Soft_4	궁술·유 Lv.4
MSID_H_BowArts_Soft_4	활 장비 시 회피+25, 필살-10.
MSID_BowArts_Soft_5	궁술·유 Lv.5
MSID_H_BowArts_Soft_5	활 장비 시 회피+30, 필살-10.
MSID_BowArts_Mind_1	궁술·심 Lv.1
MSID_H_BowArts_Mind_1	활 장비 시 명중+10, 필살 회피-10.
MSID_BowArts_Mind_2	궁술·심 Lv.2
MSID_H_BowArts_Mind_2	활 장비 시 명중+15, 필살 회피-10.
MSID_BowArts_Mind_3	궁술·심 Lv.3
MSID_H_BowArts_Mind_3	활 장비 시 명중+20, 필살 회피-10.
MSID_BowArts_Mind_4	궁술·심 Lv.4
MSID_H_BowArts_Mind_4	활 장비 시 명중+25, 필살 회피-10.
MSID_BowArts_Mind_5	궁술·심 Lv.5
MSID_H_BowArts_Mind_5	활 장비 시 명중+30, 필살 회피-10.
MSID_MartialArts_Mind_1	체술·심 Lv.1
MSID_H_MartialArts_Mind_1	체술 장비 시 명중+10, 필살 회피-10.
MSID_MartialArts_Mind_2	체술·심 Lv.2
MSID_H_MartialArts_Mind_2	체술 장비 시 명중+15, 필살 회피-10.
MSID_MartialArts_Mind_3	체술·심 Lv.3
MSID_H_MartialArts_Mind_3	체술 장비 시 명중+20, 필살 회피-10.
MSID_MartialArts_Mind_4	체술·심 Lv.4
MSID_H_MartialArts_Mind_4	체술 장비 시 명중+25, 필살 회피-10.
MSID_MartialArts_Mind_5	체술·심 Lv.5
MSID_H_MartialArts_Mind_5	체술 장비 시 명중+30, 필살 회피-10.
MSID_KnifeArts_1	단검술 Lv.1
MSID_H_KnifeArts_1	단검 장비 시 명중+3, 회피+3.
MSID_KnifeArts_2	단검술 Lv.2
MSID_H_KnifeArts_2	단검 장비 시 명중+5, 회피+5.
MSID_KnifeArts_3	단검술 Lv.3
MSID_H_KnifeArts_3	단검 장비 시 명중+7, 회피+7.
MSID_KnifeArts_4	단검술 Lv.4
MSID_H_KnifeArts_4	단검 장비 시 명중+10, 회피+10.
MSID_KnifeArts_5	단검술 Lv.5
MSID_H_KnifeArts_5	단검 장비 시 명중+15, 회피+15.
MSID_MagicArts_1	마도 Lv.1
MSID_H_MagicArts_1	마도서 장비 시 명중+3, 회피+3.
MSID_MagicArts_2	마도 Lv.2
MSID_H_MagicArts_2	마도서 장비 시 명중+5, 회피+5.
MSID_MagicArts_3	마도 Lv.3
MSID_H_MagicArts_3	마도서 장비 시 명중+7, 회피+7.
MSID_MagicArts_4	마도 Lv.4
MSID_H_MagicArts_4	마도서 장비 시 명중+10, 회피+10.
MSID_MagicArts_5	마도 Lv.5
MSID_H_MagicArts_5	마도서 장비 시 명중+15, 회피+15.
MSID_RodArts_1	신앙 Lv.1
MSID_H_RodArts_1	HP 회복량+3, 지팡이 명중+10.
MSID_RodArts_2	신앙 Lv.2
MSID_H_RodArts_2	HP 회복량+5, 지팡이 명중+15.
MSID_RodArts_3	신앙 Lv.3
MSID_H_RodArts_3	HP 회복량+7, 지팡이 명중+20.
MSID_RodArts_4	신앙 Lv.4
MSID_H_RodArts_4	HP 회복량+10, 지팡이 명중+25.
MSID_RodArts_5	신앙 Lv.5
MSID_H_RodArts_5	HP 회복량+15, 지팡이 명중+30.
MSID_Outclass_1	간파
MSID_H_Outclass_1	직접 공격 시, 회피+15.\n속도가 높으면 추가로 회피가 상승한다.
MSID_Outclass_2	간파+
MSID_H_Outclass_2	직접 공격 시, 회피+30.\n속도가 높으면 추가로 회피가 상승한다.
MSID_Fortitude_1	불굴
MSID_H_Fortitude_1	아군 페이즈 개시와 동시에\nHP가 20% 이하일 경우\nHP를 최대치의 20%만큼 회복한다.
MSID_Fortitude_2	불굴+
MSID_H_Fortitude_2	아군 페이즈 개시와 동시에\nHP가 30% 이하일 경우\nHP를 최대치의 30%만큼 회복한다.
MSID_Fortitude_3	불굴++
MSID_H_Fortitude_3	아군 페이즈 개시와 동시에\nHP가 40% 이하일 경우\nHP를 최대치의 40%만큼 회복한다.
MSID_MarthEngage	신속
MSID_H_MarthEngage	공격 시에 대미지 50%의 추격이 발생한다.\n(다른 추격을 발생시키는 스킬과\n동시에 발동 가능)
MSID_H_MarthEngage_Covert	공격 시에 대미지 50%의 추격이 발생한다.\n(다른 추격을 발생시키는 스킬과\n동시에 발동 가능)\n[은밀]이 스킬로 발생한 추격이 명중했을 때\n상대에게 독을 부여한다.
MSID_H_MarthEngage_Dragon	공격 시에 대미지 50%의 추격이 발생한다.\n(다른 추격을 발생시키는 스킬과\n동시에 발동 가능)\n[용족]이 스킬로 발생한 추격이\n입힌 대미지만큼 자신의 HP를 회복한다.
MSID_BreakPursuit	몰아붙이기
MSID_H_BreakPursuit	상대를 브레이크시켰을 때\n대미지 50%의 추격이 발생한다.
MSID_MarthEngageAtk	스타 러시
MSID_H_MarthEngageAtk	대미지 30%의 7연속 공격.\n검·인접 시 한정.
MSID_H_MarthEngageAtk_Dragon	대미지 30%의 7연속 공격.\n검·인접 시 한정.\n[용족]공격 횟수+2.
MSID_H_MarthEngageAtk_Coop	대미지 30%의 7연속 공격.\n검·인접 시 한정.\n[연계]공격 횟수+1.
MSID_H_MarthEngageAtk_Magic	대미지 30%의 7연속 공격.\n검·인접 시 한정.\n[마도]대미지 계산에 마력을 반영한다.
MSID_H_MarthEngageAtk_CMD	강력한 연속 공격을 퍼붓는다
MSID_Remove_1	재이동
MSID_H_Remove_1	행동 후, 2칸 이동할 수 있다.
MSID_Remove_2	재이동+
MSID_H_Remove_2	행동 후, 3칸 이동할 수 있다.
MSID_Approach_1	도움닫기
MSID_H_Approach_1	이동 후 공격 시\n이동한 거리 1칸마다\n공격력이 1 상승한다(최대+10).
MSID_Approach_2	도움닫기+
MSID_H_Approach_2	이동 후 공격 시\n이동한 거리 1칸마다\n공격력이 1 상승한다.
MSID_Rush	맹진
MSID_H_Rush	프리즈 상태에 걸리지 않는다.
MSID_SigludEngage	질주
MSID_H_SigludEngage	이동이 5 상승한다.
MSID_H_SigludEngage_Dragon	이동이 5 상승한다.\n[용족]추가로 이동이 1 상승.
MSID_H_SigludEngage_Horse	이동이 5 상승한다.\n[기마]추가로 이동이 2 상승.
MSID_H_SigludEngage_Covert	이동이 5 상승한다.\n[은밀]모든 지형의 이동 코스트를\n1로 취급한다.
MSID_SigludEngageAtk	오버드라이브
MSID_H_SigludEngageAtk	적을 공격하면서 그 뒤쪽 칸까지 이동한다.\n검·창·인접 시 한정.
MSID_H_SigludEngageAtk_Dragon	적을 공격하면서 그 뒤쪽 칸까지 이동한다.\n검·창·인접 시 한정.\n[용족]대미지 120％.
MSID_H_SigludEngageAtk_Heavy	적을 공격하면서 그 뒤쪽 칸까지 이동한다.\n검·창·인접 시 한정.\n[중갑]10％ 확률로 브레이크시킨다.
MSID_H_SigludEngageAtk_Magic	적을 공격하면서 그 뒤쪽 칸까지 이동한다.\n검·창·인접 시 한정.\n[마도]대미지에 마력의 25％를 추가.
MSID_H_SigludEngageAtk_Prana	적을 공격하면서 그 뒤쪽 칸까지 이동한다.\n검·창·인접 시 한정.\n[기공]20％ 확률로 브레이크시킨다.
MSID_H_SigludEngageAtk_CMD	적을 공격하면서 이동한다
MSID_M011_SigludEngage_DarkSide	질주(어둠)
MSID_H_M011_SigludEngage_DarkSide	이동이 3 상승한다.
MSID_EvilCounter_1	이형 리벤지
MSID_H_EvilCounter_1	이형병에게 공격받았을 때\n받은 대미지의 10%를 상대에게 입힌다.
MSID_EvilCounter_2	이형 리벤지+
MSID_H_EvilCounter_2	이형병에게 공격받았을 때\n받은 대미지의 30%를 상대에게 입힌다.
MSID_EvilCounter_3	이형 리벤지++
MSID_H_EvilCounter_3	이형병에게 공격받았을 때\n받은 대미지의 50%를 상대에게 입힌다.
MSID_BlackMagic_1	공명의 흑마법
MSID_H_BlackMagic_1	마도서로 공격 시\n자신의 HP가 2 이상이라면\nHP를 1 소비해 대미지+2.
MSID_BlackMagic_2	공명의 흑마법+
MSID_H_BlackMagic_2	마도서로 공격 시\n자신의 HP가 2 이상이라면\nHP를 1 소비해 대미지+3.
MSID_FavoriteFood	가장 좋아하는 음식
MSID_H_FavoriteFood	싱크로 중에 도시락을 먹으면\n인게이지 카운트가 최대치가 된다.
MSID_CelicaEngage	중창
MSID_H_CelicaEngage	대미지 50%의 마법 공격을 통한 전투를\n2회 할 수 있는 ｢중창｣ 커맨드 사용 가능.
MSID_H_CelicaEngage_Dragon	대미지 50%의 마법 공격을 통한 전투를\n2회 할 수 있는 ｢중창｣ 커맨드 사용 가능.\n[용족]사정거리+1.
MSID_H_CelicaEngage_Magic	대미지 50%의 마법 공격을 통한 전투를\n2회 할 수 있는 ｢중창｣ 커맨드 사용 가능.\n[마도]대미지+10％.
MSID_H_CelicaEngage_CMD	대미지 50%의 마법을 통한 2회 전투
MSID_CelicaEngageAtk	워프라이나
MSID_H_CelicaEngageAtk	적에게 공격 가능한 10칸 이내의 위치로\n워프해 강력한 마법으로 공격한다.
MSID_H_CelicaEngageAtk_Dragon	적에게 공격 가능한 10칸 이내의 위치로\n워프해 강력한 마법으로 공격한다.\n[용족]사정거리+1.
MSID_H_CelicaEngageAtk_Horse	적에게 공격 가능한 10칸 이내의 위치로\n워프해 강력한 마법으로 공격한다.\n[기마]워프할 수 있는 거리+2.
MSID_H_CelicaEngageAtk_Fly	적에게 공격 가능한 10칸 이내의 위치로\n워프해 강력한 마법으로 공격한다.\n[비행]워프할 수 있는 거리+5.
MSID_H_CelicaEngageAtk_Magic	적에게 공격 가능한 10칸 이내의 위치로\n워프해 강력한 마법으로 공격한다.\n[마도]대미지 120%.
MSID_H_CelicaEngageAtk_CMD	공격 가능한 위치로 워프해 마법 공격
MSID_M011_CelicaEngageAtk_DarkSide	워프라이나(어둠)
MSID_CelicaEngageAtk_DarkSide	라이나워프
MSID_H_CelicaEngageAtk_DarkSide	강력한 마법 공격을 한 뒤 워프한다.
MSID_H_CelicaEngageAtk_DarkSide_CMD	강력한 마법 공격을 한 뒤 워프한다
MSID_H_M011_CelicaEngageAtk_DarkSide	적에게 공격 가능한 5칸 이내의 위치로\n워프해 강력한 마법으로 공격한다.
MSID_EvilCounter_3_DarkSide	리벤지
MSID_H_EvilCounter_3_DarkSide	이형병이 아닌 상대에게 공격받았을 때\n받은 대미지의 50%를 상대에게 입힌다.
MSID_EquipRod_1	지팡이 숙련
MSID_H_EquipRod_1	레벨 C 지팡이까지 사용할 수 있게 된다.
MSID_EquipRod_2	지팡이 숙련+
MSID_H_EquipRod_2	레벨 B 지팡이까지 사용할 수 있게 된다.
MSID_EquipRod_3	지팡이 숙련++
MSID_H_EquipRod_3	레벨 A 지팡이까지 사용할 수 있게 된다.
MSID_Silenceproof	사일런스 가드
MSID_H_Silenceproof	사일런스 상태를 무효화한다.
MSID_HealingResonance	치유의 울림
MSID_H_HealingResonance	아군 1명을 회복시켰을 때\n회복량의 50%만큼 자신의 HP도 회복한다.
MSID_MicaiahEngage	증폭
MSID_H_MicaiahEngage	지팡이의 사정거리·전이 등의 거리+5,\n지팡이의 효과 범위+1.
MSID_H_MicaiahEngage_Dragon	지팡이의 사정거리·전이 등의 거리+5,\n지팡이의 효과 범위+1.\n[용족]추가로 지팡이의 사정거리+1.
MSID_H_MicaiahEngage_Prana	지팡이의 사정거리·전이 등의 거리+5,\n지팡이의 효과 범위+1.\n[기공]HP 회복 지팡이일 경우, 회복량 120%.
MSID_MicaiahEngageAtk	위대한 치유의 손
MSID_H_MicaiahEngageAtk	아군·우군 전원의 HP를 전부 회복.\n사용 후, 자신의 HP는 1이 된다.
MSID_H_MicaiahEngageAtk_Dragon	아군·우군 전원의 HP를 전부 회복.\n사용 후, 자신의 HP는 1이 된다.\n[용족]사용 후, HP는 30%가 된다.
MSID_H_MicaiahEngageAtk_Heavy	아군·우군 전원의 HP를 전부 회복.\n사용 후, 자신의 HP는 1이 된다.\n[중갑]아군 전원의 다음 전투 수비+1.
MSID_H_MicaiahEngageAtk_Prana	아군·우군 전원의 HP를 전부 회복.\n사용 후, 자신의 HP는 1이 된다.\n[기공]상태 이상을 회복한다.
MSID_H_MicaiahEngageAtk_CMD	HP를 소비해\n아군 전원의 HP 전부 회복
MSID_M011_MicaiahEngage_DarkSide	증폭(어둠)
MSID_H_M011_MicaiahEngage_DarkSide	지팡이의 사정거리·전이 등의 거리+3,\n지팡이의 효과 범위+1.
MSID_HoldOut_1	분발
MSID_H_HoldOut_1	전투 개시 시에 HP가 30% 이상일 경우\n그 전투에서 아무리 대미지를 받아도\nHP가 1 남는다.
MSID_HoldOut_2	분발+
MSID_H_HoldOut_2	전투 개시 시에 HP가 20% 이상일 경우\n그 전투에서 아무리 대미지를 받아도\nHP가 1 남는다.
MSID_HoldOut_3	분발++
MSID_H_HoldOut_3	전투 개시 시에 HP가 10% 이상일 경우\n그 전투에서 아무리 대미지를 받아도\nHP가 1 남는다.
MSID_HoldOut_4	분발+++
MSID_H_HoldOut_4	전투 개시 시에 HP가 2 이상일 경우\n그 전투에서 아무리 대미지를 받아도\nHP가 1 남는다.
MSID_ClosingAttack	진입
MSID_H_ClosingAttack	2칸 앞에 있는 적에게 1칸 다가가서\n공격하는 ｢진입｣ 커맨드 사용 가능.
MSID_H_ClosingAttack_CMD	2칸 앞에 있는 적에게 다가가서 공격
MSID_RoyEngage	초월
MSID_H_RoyEngage	유닛 레벨+5.
MSID_H_RoyEngage_Dragon	유닛 레벨+5.\n[용족]추가로 레벨+1.
MSID_H_RoyEngage_Horse	유닛 레벨+5.\n[기마]이동+1.
MSID_H_RoyEngage_Heavy	유닛 레벨+5.\n[중갑]최대 HP+5.
MSID_RoyEngageAtk	사자 홍련 염무
MSID_H_RoyEngageAtk	화염의 검으로 대상과 양옆 칸을 공격.\n공격 범위 2칸 뒤까지 화염 상태로 만든다.\n검·인접 시 한정.
MSID_H_RoyEngageAtk_Dragon	화염의 검으로 대상과 양옆 칸을 공격.\n공격 범위 2칸 뒤까지 화염 상태로 만든다.\n검·인접 시 한정/[용족]공격 범위 확대.
MSID_H_RoyEngageAtk_Magic	화염의 검으로 대상과 양옆 칸을 공격.\n공격 범위 2칸 뒤까지 화염 상태로 만든다.\n검·인접 시 한정/[마도]화염 범위 확대.
MSID_H_RoyEngageAtk_CMD	전방 여러 칸을 공격, 주위에 화염
MSID_M011_RoyEngage_DarkSide	초월(어둠)
MSID_H_M011_RoyEngage_DarkSide	유닛 레벨+3.
MSID_AugmentDamage_1	급소 회피
MSID_H_AugmentDamage_1	무기 상성이 유리할 경우, 받는 대미지-3.
MSID_AugmentDamage_2	급소 회피+
MSID_H_AugmentDamage_2	무기 상성이 유리할 경우, 받는 대미지-5.
MSID_AugmentDamage_3	급소 회피++
MSID_H_AugmentDamage_3	무기 상성이 유리할 경우, 받는 대미지-7.
MSID_Ambush_1	매복
MSID_H_Ambush_1	적에게 공격받았을 때\n자신의 HP가 25% 이하라면 선제공격한다.
MSID_Ambush_2	매복+
MSID_H_Ambush_2	적에게 공격받았을 때\n자신의 HP가 50% 이하라면 선제공격한다.
MSID_Ambush_3	매복++
MSID_H_Ambush_3	적에게 공격받았을 때\n자신의 HP가 75% 이하라면 선제공격한다.
MSID_LeafEngage	즉응
MSID_H_LeafEngage	적에게 공격받았을 때\n사정거리, 상성, 특효 유무 등 더 유효한\n무기를 소지 중일 경우, 교체한다.
MSID_H_LeafEngage_Dragon	적에게 공격받았을 때\n더 유효한 무기를 소지 중일 경우, 교체한다.\n[용족]그 전투 중 명중+30.
MSID_H_LeafEngage_Coop	적에게 공격받았을 때\n더 유효한 무기를 소지 중일 경우, 교체한다.\n[연계]그 전투 중 필살+10.
MSID_H_LeafEngage_Covert	적에게 공격받았을 때\n더 유효한 무기를 소지 중일 경우, 교체한다.\n[은밀]그 전투 중 회피+20.
MSID_H_LeafEngage_Heavy	적에게 공격받았을 때\n더 유효한 무기를 소지 중일 경우, 교체한다.\n[중갑]그 전투 중 수비+5.
MSID_H_LeafEngage_Fly	적에게 공격받았을 때\n더 유효한 무기를 소지 중일 경우, 교체한다.\n[비행]그 전투 중 마방+5.
MSID_LeafEngageAtk	테트라트릭
MSID_H_LeafEngageAtk	검·창·도끼·활로 연속 공격.
MSID_H_LeafEngageAtk_Dragon	검·창·도끼·활로 연속 공격.\n[용족]대미지 120％.
MSID_H_LeafEngageAtk_Covert	검·창·도끼·활로 연속 공격.\n[은밀]적 격파 시, 행운%로 1000G 획득.
MSID_H_LeafEngageAtk_Prana	검·창·도끼·활로 연속 공격.\n[기공]브레이크 확정.
MSID_H_LeafEngageAtk_CMD	검·창·도끼·활로 연속 공격
MSID_BondPower	듀얼 어택
MSID_H_BondPower	자신의 전투 스타일이 ｢연계｣가 아니어도\n체인 어택에 참가할 수 있게 된다.
MSID_DualAssist_1	듀얼 어시스트
MSID_H_DualAssist_1	자신이 공격 가능한 범위(이동+사정거리)\n안에 있는 적을 아군이 공격했을 때\n자신의 전투 스타일이 ｢연계｣거나\n스킬 ｢듀얼 어택｣을 사용할 수 있다면\n35% 확률로 체인 어택에 참가한다.
MSID_DualAssist_2	듀얼 어시스트+
MSID_H_DualAssist_2	자신이 공격 가능한 범위(이동+사정거리)\n안에 있는 적을 아군이 공격했을 때\n자신의 전투 스타일이 ｢연계｣거나\n스킬 ｢듀얼 어택｣을 사용할 수 있다면\n70% 확률로 체인 어택에 참가한다.
MSID_DualSupport	듀얼 서포트
MSID_H_DualSupport	인접한 아군과의 지원 레벨이 높을수록\n회피가 상승한다(최대+90).
MSID_LucinaEngage	인연 방패
MSID_H_LucinaEngage_CMD	인접한 아군이 받는 공격을\n80% 확률로 무효화
MSID_H_LucinaEngage_CMD_Dragon	인접한 아군이 받는 공격을\n90% 확률로 무효화
MSID_H_LucinaEngage_CMD_Prana	인접한 아군이 받는 공격을 1회 무효화
MSID_H_LucinaEngage	인접 아군에 대한 적의 첫 공격을\n80% 확률로 무효화하는\n｢인연 방패｣ 커맨드 사용 가능.
MSID_H_LucinaEngage_Dragon	인접 아군에 대한 적의 첫 공격을\n80% 확률로 무효화하는\n｢인연 방패｣ 커맨드 사용 가능.\n[용족]발동 확률+10%.
MSID_H_LucinaEngage_Horse	인접 아군에 대한 적의 첫 공격을\n80% 확률로 무효화하는\n｢인연 방패｣ 커맨드 사용 가능.\n[기마]아군이 기마 스타일이라면 확정 발동.
