MJID_DragonLord	신룡의 아이
MJID_H_Archer	활로 싸우는 경보병.\n조금 떨어진 거리에서 적을 공격할 수 있다.
MJID_Sniper	스나이퍼
MJID_H_Sniper	궁술의 정점에 다다른 저격수.\n강력한 일격으로 상대의 급소를 꿰뚫는다.
MJID_BowKnight	보우 나이트
MJID_H_BowKnight	마상에서 화살을 쏘는 활 기사.\n뛰어난 이동력과 궁술로 적을 추적한다.
MJID_SwordArmor	소드 아머
MJID_H_SwordArmor	견고한 갑옷을 입은 중갑 검 보병.\n수비는 높지만 마법에 약하다.
MJID_LanceArmor	랜스 아머
MJID_H_LanceArmor	견고한 갑옷을 입은 중갑 창 보병.\n수비는 높지만 마법에 약하다.
MJID_AxArmor	액스 아머
MJID_H_AxArmor	견고한 갑옷을 입은 중갑 도끼 보병.\n수비는 높지만 마법에 약하다.
MJID_General	제너럴
MJID_H_General	철벽 수비를 자랑하는 중갑 보병.\n공격력과 수비력이 매우 높다.
MJID_GreatKnight	그레이트 나이트
MJID_H_GreatKnight	두꺼운 중갑을 몸에 두른 기사.\n다양한 무기를 잘 다루며 아군을 보호한다.
MJID_SwordKnight	소드 나이트
MJID_H_SwordKnight	말을 몰며 이동력이 뛰어난 검 기사.\n균형 잡힌 능력을 지녔다.
MJID_LanceKnight	랜스 나이트
MJID_H_LanceKnight	말을 몰며 이동력이 뛰어난 창 기사.\n균형 잡힌 능력을 지녔다.
MJID_AxKnight	액스 나이트
MJID_H_AxKnight	말을 몰며 이동력이 뛰어난 도끼 기사.\n균형 잡힌 능력을 지녔다.
MJID_Paladin	팔라딘
MJID_H_Paladin	경험을 쌓은 고위 기사.\n뛰어난 이동력을 자랑하며 마법에도 강하다.
MJID_WolfKnight	울프 나이트
MJID_H_WolfKnight	늑대를 몰며 전장을 질주하는 기사.\n단검을 사용하며 적진을 교란한다.
MJID_SwordPegasus	소드 페가수스
MJID_H_SwordPegasus	페가수스를 타고 하늘을 누비는 검 기사.\n마법에는 강하지만 활에는 약하다.
MJID_LancePegasus	랜스 페가수스
MJID_H_LancePegasus	페가수스를 타고 하늘을 누비는 창 기사.\n마법에는 강하지만 활에는 약하다.
MJID_AxPegasus	액스 페가수스
MJID_H_AxPegasus	페가수스를 타고 하늘을 누비는 도끼 기사.\n마법에는 강하지만 활에는 약하다.
MJID_GriffonKnight	그리폰 나이트
MJID_H_GriffonKnight	그리폰을 몰며 하늘을 나는 상급 기사.\n능력이 매우 균형 잡혔으며 지팡이도 사용한다.
MJID_DragonKnight	드래곤 나이트
MJID_H_DragonKnight	드래곤을 몰며 하늘을 나는 상급 기사.\n능력은 뛰어나지만 활과 마법에 약하다.
MJID_Mage	메이지
MJID_H_Mage	마도서로 마법을 사용하는 마도사.\n마법은 수비가 높은 적에게 유효하다.
MJID_Sage	세이지
MJID_H_Sage	강력한 마력을 지닌 고위 마도사.\n마도서는 물론 지팡이도 잘 다룬다.
MJID_MageKnight	메이지 나이트
MJID_H_MageKnight	마상에서 마법을 사용하는 마법 기사.\n무기를 갖췄기에 백병전에서도 활약할 수 있다.
MJID_Monk	몽크
MJID_H_Monk	지팡이로 다친 동료를 치료하는 승병.\n기공을 사용하는 호신술도 체득했다.
MJID_MasterMonk	마스터 몽크
MJID_H_MasterMonk	기공의 극의를 깨우친 고위 승려.\n치료술은 물론 체술까지 뛰어나다.
MJID_HighPriest	하이 프리스트
MJID_H_HighPriest	경험을 쌓아 지팡이에 통달한 사제.\n위대한 치유의 힘으로 아군의 목숨을 구한다.
MJID_Thief	시프
MJID_H_Thief	자물쇠 열기가 특기인 도적.\n움직임이 재빠르며 단검을 잘 다룬다.
MJID_Dancer	댄서
MJID_H_Dancer	매혹적인 춤을 추는 무용가.\n동료를 응원해 재행동하게 할 수 있다.
MJID_Villager	마을 사람
MJID_H_Villager	마을의 주민. 싸울 수 있는 능력이 없다.
MJID_Melusine	멜리진
MJID_H_Melusine	마룡을 부리는 매혹적인 마도 기사.\n강력한 마법과 검술로 전장을 지배한다.
MJID_Barbarian	야만족
MJID_H_Barbarian	건장한 체격을 지닌 불량배.\n힘과 속도가 뛰어나지만 수비가 약하다.
MJID_MorphDragon	이형룡
MJID_H_MorphDragon	세계를 파멸로 이끄는 사룡의 종.\n어둠의 브레스로 모든 것을 파괴한다.
MJID_PhantomDragon	환영룡
MJID_H_PhantomDragon	거구를 자랑하는 용의 권속. 둔중하지만\n브레스로 멀리 있는 적도 공격할 수 있다.
MJID_Emblem	문장사
MJID_H_Emblem	반지에 깃든 이계의 영웅.\n상상을 뛰어넘는 힘을 지녔다.
