MID_WU_C_1_IN_#001	진짜 들어가도 되나?
MID_WU_S_1_SOON_#003	왜냐니…
MID_WU_S_1_SOON_#004	이 이상 파트너의 잠자는 얼굴을 보면
MID_WU_S_1_SOON_#005	심장이 쿵쿵대고…
MID_WU_S_1_SOON_#006	아파진단 말이야.
MID_WU_S_1_WAKEUP_#001	안심하고 자고 있네.
MID_WU_S_1_WAKEUP_#002	사실은 현실에서 도망쳐서
MID_WU_S_1_WAKEUP_#003	자는 당신 얼굴을 계속 보고 있고 싶지만…
MID_WU_S_1_WAKEUP_#004	이 세계에 온 이상은
MID_WU_S_1_WAKEUP_#005	싸우고 싸워서…
MID_WU_S_1_WAKEUP_#006	얼마든지 이 몸을 내던져 주겠어.
MID_WU_S_1_WAKEUP_#007	나는 이 앞으로
MID_WU_S_1_WAKEUP_#008	얼마나 상처받든…
MID_WU_S_1_WAKEUP_#009	당신만 무사하다면 그걸로 상관없어.
MID_WU_S_1_HELLO_#001	일어났네,
MID_WU_S_1_HELLO_#002	오늘도 서로 무사할 수 있도록 열심히 하자고.
MID_WU_S_1_HELLO_#003	…위험하다고 생각되면
MID_WU_S_1_HELLO_#004	내가 있는 곳으로 도망쳐 와.
MID_WU_S_1_HELLO_#005	반드시 지켜 줄게.
MID_WU_S_2_IN_#001	깨우러 왔어, 파트너.
MID_WU_S_2_IN_#002	…왠지 쑥스럽네.
MID_WU_S_2_SOON_#001	안심시키려고 바로 일어나 준 거야?
MID_WU_S_2_SOON_#002	고마워…
MID_WU_S_2_SOON_#003	그렇게 해 주면
MID_WU_S_2_SOON_#004	나도 당신 응석을 받아 주고
MID_WU_S_2_SOON_#005	행복하게 해 주고 싶어지잖아.
MID_WU_S_2_WAKEUP_#001	신룡 님,
MID_WU_S_2_WAKEUP_#002	나한테 반지와…
MID_WU_S_2_WAKEUP_#003	이렇게 행복한 시간을 줘서 고마워.
MID_WU_S_2_WAKEUP_#004	그날부터 마음이 들뜨고
MID_WU_S_2_WAKEUP_#005	신이 나서 큰일이야.
MID_WU_S_2_WAKEUP_#006	당신도 나랑 있을 땐 안심했으면 좋겠는데…
MID_WU_S_2_WAKEUP_#007	당신을 향한 내 마음이 더 커지고 있다는 건
MID_WU_S_2_WAKEUP_#008	언젠가 잘 알려 줄게.
MID_WU_S_2_HELLO_#001	좋은 아침.
MID_WU_S_2_HELLO_#002	자, 오늘도 도망치지 말고 싸우러 가 볼까.
MID_WU_S_2_HELLO_#003	그 전에…
MID_WU_S_2_HELLO_#004	잠깐만 이렇게 안고 있게 해 줘.
MID_WU_S_2_HELLO_#005	당신이 품 안에 있으면
MID_WU_S_2_HELLO_#006	엄청… 안심되거든.
