MID_MENU_YES	예
MID_CONFIG_OVERALLINFORMATION_TOGGLE	토글
MID_CONFIG_H_OVERALLINFORMATION_TOGGLE	\x0E\x08\x02\x06\x04ZL을 누를 때마다 표시와 비표시를 전환할 수 있습니다
MID_CONFIG_OVERALLINFORMATION_PUSH	홀드
MID_CONFIG_H_OVERALLINFORMATION_PUSH	\x0E\x08\x02\x06\x04ZL을 누르고 있을 때만 표시합니다
MID_CONFIG_COMBATANIME	전투 애니메이션
MID_CONFIG_COMBATANIME_ON	ON
MID_CONFIG_H_COMBATANIME_ON	전투 애니메이션을 표시합니다
MID_CONFIG_COMBATANIME_OFF	OFF
MID_CONFIG_H_COMBATANIME_OFF	전투 애니메이션을 표시하지 않습니다
MID_CONFIG_COMBATANIME_MYUNIT	아군 유닛
MID_CONFIG_H_COMBATANIME_MYUNIT	아군 유닛이 전투에 참가할 때만 전투 애니메이션을 표시합니다
MID_CONFIG_COMBATANIME_MYTURN	아군 페이즈
MID_CONFIG_H_COMBATANIME_MYTURN	아군 페이즈에만 전투 애니메이션을 표시합니다
MID_CONFIG_ROD_DANCE	지팡이·춤추기 애니메이션
MID_CONFIG_ROD_DANCE_ON	ON
MID_CONFIG_H_ROD_DANCE_ON	지팡이·춤추기 애니메이션을 표시합니다
MID_CONFIG_ROD_DANCE_OFF	OFF
MID_CONFIG_H_ROD_DANCE_OFF	지팡이·춤추기 애니메이션을 표시하지 않습니다
MID_CONFIG_ROD_DANCE_MYUNIT	아군 유닛
MID_CONFIG_H_ROD_DANCE_MYUNIT	아군 유닛이 전투에 참가할 때만 지팡이·춤추기 애니메이션을 표시합니다
MID_CONFIG_ROD_DANCE_MYTURN	아군 페이즈
MID_CONFIG_H_ROD_DANCE_MYTURN	아군 페이즈에만 지팡이·춤추기 애니메이션을 표시합니다
MID_CONFIG_ENGAGE	인게이지 연출
MID_CONFIG_ENGAGE_ON	ON
MID_CONFIG_H_ENGAGE_ON	인게이지 연출을 재생합니다
MID_CONFIG_ENGAGE_OFF	OFF
MID_CONFIG_H_ENGAGE_OFF	인게이지 연출을 재생하지 않습니다
MID_CONFIG_ENGAGE_ONCE	첫 번째만
MID_CONFIG_H_ENGAGE_ONCE	각 턴마다 첫 번째에만 인게이지 연출을 재생합니다
MID_CONFIG_AI_SKIP	AI 스킵
MID_CONFIG_AI_SKIP_ON	ON
MID_CONFIG_H_AI_SKIP_ON	적군 페이즈와 ｢위임｣ 시의 행동을 결과까지 스킵합니다
MID_CONFIG_AI_SKIP_OFF	OFF
MID_CONFIG_H_AI_SKIP_OFF	적군 페이즈와 ｢위임｣ 시의 행동을 결과까지 스킵하지 않습니다
MID_CONFIG_UNITHELP_PAGE	유닛 보조 정보
MID_CONFIG_UNITHELP_PAGE_H_STYLE	유닛 보조 정보에 전투 스타일을 표시합니다
MID_CONFIG_UNITHELP_PAGE_H_ATTACK_DEFENSE	유닛 보조 정보에 물공/수비를 표시합니다
MID_CONFIG_UNITHELP_PAGE_H_MAGIC_ATTACK_DEFENSE	유닛 보조 정보에 마공/마방을 표시합니다
MID_CONFIG_UNITHELP_PAGE_H_HIT_AVOIDANCE	유닛 보조 정보에 명중/회피를 표시합니다
MID_CONFIG_UNITHELP_PAGE_H_CRITICAL_SECURE	유닛 보조 정보에 필살/필살 회피를 표시합니다
MID_CONFIG_UNITHELP_PAGE_H_TECHNIQUE_SPEED	유닛 보조 정보에 기술/속도를 표시합니다
MID_CONFIG_UNITHELP_PAGE_H_MOVE_PHYSIQUE	유닛 보조 정보에 이동/체격을 표시합니다
MID_CONFIG_BATTLE_MINIMAP	전투 미니맵
MID_CONFIG_H_BATTLE_MINIMAP_BIG	전투 미니맵을 크게 표시합니다
MID_CONFIG_H_BATTLE_MINIMAP_SMALL	전투 미니맵을 작게 표시합니다
MID_CONFIG_H_BATTLE_MINIMAP_OFF	전투 미니맵을 표시하지 않습니다
MID_CONFIG_MAPUNIT	유닛 조작 방법
MID_CONFIG_MAPUNIT_DIRECT	직접 조작
MID_CONFIG_H_MAPUNIT_DIRECT	유닛을 선택해 직접 조작합니다
MID_CONFIG_MAPUNIT_INDIRECT	간접 조작
MID_CONFIG_H_MAPUNIT_INDIRECT	커서로 이동할 곳을 지정해 간접적으로 조작합니다
MID_CONFIG_MINIMAP_ROTATION	거점·산책 미니맵 회전
MID_CONFIG_MINIMAP_ROTATION_ON	ON
MID_CONFIG_H_MINIMAP_ROTATION_ON	거점·산책 중 카메라의 움직임에 따라 미니맵이 회전합니다
MID_CONFIG_MINIMAP_ROTATION_OFF	OFF
MID_CONFIG_H_MINIMAP_ROTATION_OFF	거점·산책 중 미니맵이 회전하지 않습니다
MID_CONFIG_CAMERA_SPEED	카메라 감도
MID_CONFIG_H_CAMERA_SPEED	거점·산책 중의 카메라 감도를 조정합니다
MID_CONFIG_COMBATCAMERA_HORIZON	전투 카메라 수평 방향 회전
MID_CONFIG_COMBATCAMERA_HORIZON_NOMAL	노멀
MID_CONFIG_H_COMBATCAMERA_HORIZON_NOMAL	전투 카메라의 수평 조작을 표준으로 설정합니다
MID_CONFIG_COMBATCAMERA_HORIZON_REVERSE	리버스
MID_CONFIG_H_COMBATCAMERA_HORIZON_REVERSE	전투 카메라의 수평 조작을 반대로 설정합니다
MID_CONFIG_COMBATCAMERA_VERTICAL	전투 카메라 수직 방향 회전
MID_CONFIG_COMBATCAMERA_VERTICAL_NOMAL	노멀
MID_CONFIG_H_COMBATCAMERA_VERTICAL_NOMAL	전투 카메라의 수직 조작을 표준으로 설정합니다
MID_CONFIG_COMBATCAMERA_VERTICAL_REVERSE	리버스
MID_CONFIG_H_COMBATCAMERA_VERTICAL_REVERSE	전투 카메라의 수직 조작을 반대로 설정합니다
MID_CONFIG_HABCAMERA_HORIZON	거점·산책 카메라 수평 방향 회전
MID_CONFIG_HABCAMERA_HORIZON_NOMAL	노멀
MID_CONFIG_H_HABCAMERA_HORIZON_NOMAL	거점·산책 카메라의 수평 조작을 표준으로 설정합니다
MID_CONFIG_HABCAMERA_HORIZON_REVERSE	리버스
MID_CONFIG_H_HABCAMERA_HORIZON_REVERSE	거점·산책 카메라의 수평 조작을 반대로 설정합니다
MID_CONFIG_HABCAMERA_VERTICAL	거점·산책 카메라 수직 방향 회전
MID_CONFIG_HABCAMERA_VERTICAL_NOMAL	노멀
MID_CONFIG_H_HABCAMERA_VERTICAL_NOMAL	거점·산책 카메라의 수직 조작을 표준으로 설정합니다
MID_CONFIG_HABCAMERA_VERTICAL_REVERSE	리버스
MID_CONFIG_H_HABCAMERA_VERTICAL_REVERSE	거점·산책 카메라의 수직 조작을 반대로 설정합니다
MID_CONFIG_GAMESPEED	게임 속도
MID_CONFIG_GAMESPEED_FAST	빠름
MID_CONFIG_H_GAMESPEED_FAST	이동 등의 게임 진행 속도를 빠르게 설정합니다
MID_CONFIG_GAMESPEED_NOMAL	보통
MID_CONFIG_H_GAMESPEED_NOMAL	이동 등의 게임 진행 속도를 보통으로 설정합니다
MID_CONFIG_GAMESPEED_SLOW	느림
MID_CONFIG_H_GAMESPEED_SLOW	이동 등의 게임 진행 속도를 느리게 설정합니다
MID_CONFIG_HPGAGE	HP 게이지
MID_CONFIG_HPGAGE_ON	ON
MID_CONFIG_H_HPGAGE_ON	HP 게이지를 표시합니다
MID_CONFIG_HPGAGE_OFF	OFF
MID_CONFIG_H_HPGAGE_OFF	HP 게이지를 표시하지 않습니다
MID_CONFIG_SPEAKMODE	대화 재생 모드
MID_CONFIG_SPEAKMODE_MANUAL	수동
MID_CONFIG_H_SPEAKMODE_MANUAL	대화를 수동으로 넘깁니다
MID_CONFIG_SPEAKMODE_AUTOMATIC	자동
MID_CONFIG_H_SPEAKMODE_AUTOMATIC	대화가 자동으로 넘어갑니다
MID_CONFIG_BGM	BGM 음량
MID_CONFIG_H_BGM	BGM 음량을 조절합니다
MID_CONFIG_SE	SE 음량
MID_CONFIG_H_SE	SE 음량을 조절합니다
MID_CONFIG_VOICE	보이스 음량
MID_CONFIG_H_VOICE	보이스 음량을 조절합니다
MID_CONFIG_BGM_CHANGE_MYTURN	BGM 설정(아군 페이즈)
MID_CONFIG_H_BGM_CHANGE_MYTURN	스토리 외 아군 페이즈 BGM을 변경합니다: ｢\x0E\x01\x00\x00｣
MID_CONFIG_H_BGM_CHANGE_MYTURN_NONE	스토리 외 아군 페이즈 BGM을 변경하지 않습니다
MID_CONFIG_BGM_CHANGE_ENEMYTURN	BGM 설정(적군 페이즈)
MID_CONFIG_H_BGM_CHANGE_ENEMYTURN	스토리 외 적군 페이즈 BGM을 변경합니다: ｢\x0E\x01\x00\x00｣
MID_CONFIG_H_BGM_CHANGE_ENEMYTURN_NONE	스토리 외 적군 페이즈 BGM을 변경하지 않습니다
MID_CONFIG_BGM_CHANGE_DECIDE	설정 변경
MID_CONFIG_BGM_CHANGE_NOSELECT	미선택
MID_CONFIG_TUTORIAL	튜토리얼 표시
MID_CONFIG_TUTORIAL_ON	ON
MID_CONFIG_H_TUTORIAL_ON	게임 중 튜토리얼을 표시합니다
MID_CONFIG_TUTORIAL_OFF	OFF
MID_CONFIG_H_TUTORIAL_OFF	게임 중 튜토리얼을 표시하지 않습니다(일부 제외)
MID_CONFIG_NETWORK	통신
MID_CONFIG_NETWORK_ON	ON
MID_CONFIG_H_NETWORK_ON	통신 기능을 켭니다
MID_CONFIG_NETWORK_OFF	OFF
MID_CONFIG_H_NETWORK_OFF	통신 기능을 끕니다
MID_MENU_TITLE_GMAP	월드 맵 메뉴
MID_MENU_TITLE_KIZUNA	산책 메뉴
MID_MENU_TITLE_HUB	거점 메뉴
MID_MENU_TITLE_FASTTRAVEL	빠른 이동
MID_MENU_TITLE_FASTTRAVEL_HELP	목적지를 선택해 주십시오
MID_MENU_ENTER_CHAPTER	장 시작
MID_MENU_ENTER_CHAPTER_HELP	이 맵의 스토리를 시작한다
MID_MENU_ENTER_ENCOUNTER	조우전 시작
MID_MENU_ENTER_ENCOUNTER_HELP	이 맵의 적과 전투한다
MID_MENU_ENTER_TRAINING	훈련 시작
MID_MENU_ENTER_TRAINING_HELP	이 맵의 병사와 훈련한다
MID_MENU_ENTER_CHAPTER_CONFIRM	이 장을 시작하겠습니까?
MID_MENU_ENTER_CHAPTER_CONFIRM_M010	이 장을 시작하겠습니까?\n(다음 장이 끝날 때까지 연전을 치릅니다)
MID_MENU_ENTER_ENCOUNTER_CONFIRM	조우전을 시작하겠습니까?
MID_MENU_ENTER_TRAINING_CONFIRM	훈련을 시작하겠습니까?
MID_MENU_ENTER_YES	시작하기
MID_MENU_ENTER_CHAPTER_OPEN_M026	솔라넬의 카페테라스 2층에 있는\n발코니를 통해 사룡 솜브르와의\n최종 결전 장소로 갈 수 있습니다
MID_MENU_FRIEND	동료
MID_MENU_FRIEND_HELP	회화 및 동료의 정보를 확인한다
MID_MENU_FRIEND_LIST	동료 수첩
MID_MENU_FRIEND_LIST_HELP	동료의 정보를 확인한다
MID_MENU_FRIEND_LIST_SELECT_HELP	정보를 확인할 유닛을 선택해 주십시오
MID_MENU_FRIEND_LIST_NONE	아직 정보가 없습니다\n거점에서 동료에게 말을 걸어 봅시다
MID_MENU_RING_LIST	반지\x0E\x01\x08\x00 도감
MID_MENU_RING_LIST_HELP	문장사의 반지와 인연의 반지 정보를 확인한다
MID_MENU_RING_LIST_SELECT_HELP	정보를 확인할 반지\x0E\x01\x08\x00를 선택해 주십시오
MID_MENU_HUB_MATERIAL	소지품
MID_MENU_HUB_MATERIAL_HELP	소재와 귀중품을 확인한다
MID_MENU_HUB_MAP_CHECK	거점 정보
MID_MENU_HUB_MAP_CHECK_HELP	시설 정보를 확인하거나 빠르게 이동한다
MID_MENU_KIZUNA_DEPART	다음으로 넘어가기
MID_MENU_KIZUNA_DEPART_HELP	이곳을 떠나 다음 목적지로 향한다
MID_MENU_TO_SOLANEL	솔라넬로
MID_MENU_TO_SOLANEL_HELP	거점인 솔라넬로 이동한다
MID_MENU_TO_SOLANEL_CONFIRM	솔라넬로 이동하겠습니까?
MID_MENU_TO_GMAP	월드 맵으로
MID_MENU_TO_GMAP_HELP	월드 맵으로 이동한다
MID_MENU_SHOPPING	상점
MID_MENU_SHOPPING_HELP	무기나 도구를 거래한다
MID_MENU_Recall_Reliance	지원 회화
MID_MENU_H_Recall_Reliance	동료와 지원 회화를 한다
MID_MENU_Recall_Reliance_Unit	지원 상대 목록
MID_MENU_Recall_GodReliance	인연 회화
MID_MENU_H_Recall_GodReliance	문장사와 인연 회화를 한다
MID_MENU_Recall_GodReliance_Unit	문장사 목록
MID_MENU_SoundList	음악 목록
MID_GMAP_MapDetails_TRAINING	훈련 참가 가능!
MID_GMAP_MapDetails_ENCOUNTER	조우전 발생 중!
MID_GMAP_MapDetails_RarEnemy_EXP	은의 이형병 출현 중!
MID_GMAP_MapDetails_RarEnemy_Gold	금의 이형병 출현 중!
MID_GMAP_MapDetails_Position	추천
MID_GMAP_MapDetails_PositionLv	\x0E\x01\x00\x00 Lv.\x0E\x01\x01\x00
MID_GMAP_MapDetails_Investment	투자 Lv.\x0E\x01\x00\x00
MID_GMAP_MapDetails_Material	소재
MID_GMAP_MapDetails_Food	식재료
MID_GMAP_MapDetails_Animal	동물
MID_GMAP_MapDetails_Animal_Capture_OK	보호 가능
MID_GMAP_MapDetails_Animal_Capture_NG	보호 불가
MID_GMAP_MapDetails_Animal_Capture_Verification	｢\x0E\x01\x00\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를\n솔라넬로 데리고 돌아가 보호하겠습니까?
MID_GMAP_MapDetails_Animal_Capture_Yes	보호하기
MID_GMAP_MapDetails_Animal_Capture_Attention	｢\x0E\x01\x00\x00｣의 사육 방법을 알 수 없어\n보호할 수 없습니다\n카페테라스의 게시판에서 ｢왕국 투자｣를\n실시하면 사육 방법을 배울 수 있습니다
MID_GMAP_MapDetails_Animal_Capture_Get	보호하기
MID_GMAP_MapDetails_Animal_Capture_Got	보호했습니다
MID_MENU_ORDER_ADVANCE	진군
MID_MENU_ORDER_ADVANCE_HELP	상황에 맞춰서 행동한다
MID_MENU_ORDER_RUSH	돌격
MID_MENU_ORDER_RUSH_HELP	공격을 최우선으로 행동한다
MID_MENU_ORDER_ESCORT	호위
MID_MENU_ORDER_ESCORT_HELP	\x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 보호하면서 행동한다
MID_MENU_ORDER_WITHDRAW	후퇴
MID_MENU_ORDER_WITHDRAW_HELP	적으로부터 거리를 두고 행동한다
MID_MENU_BREAK_DOWN	제압
MID_MENU_HELP_BREAK_DOWN	맵을 클리어한다
MID_MENU_ESCAPE	이탈
MID_MENU_HELP_ESCAPE	맵에서 이탈한다
MID_MENU_ATTACK	공격
MID_MENU_HELP_ATTACK	적과 싸운다
MID_MENU_ENGAGE_COMMAND	인게이지
MID_MENU_ENGAGE_COMMAND_RELEASE	인게이지 해제
MID_MENU_HELP_ENGAGE_COMMAND	문장사와 일체화한다
MID_MENU_ENGAGE_HELP_TITLE	개방되는 능력
MID_MENU_ALTERNATE_HELP_TITLE	변화하는 능력
MID_MENU_ENGAGE_LINK	인게이지+
MID_MENU_HELP_ENGAGE_LINK	대상과 동시에 인게이지한다
MID_MENU_ENGAGE_LINK_OUT_OF_MOVE_RANGE	이동 범위가 축소되므로 이 위치에서는 실행할 수 없습니다
MID_MENU_CANNON	포격
MID_MENU_HELP_CANNON	포대를 이용해 적을 공격한다
MID_MENU_CANNON_NO_AVAILABLE_BOW	현재 사용할 수 있는 활이 없습니다
MID_MENU_CANNON_NO_AVAILABLE_MAGIC	현재 사용할 수 있는 마도서가 없습니다
MID_MENU_CANNON_OUT_OF_AMMO	더 이상 사용할 수 없습니다
MID_MENU_CANNON_OUT_OF_RANGE	포격 가능한 범위에 적이 없습니다
MID_MENU_DESTROY	파괴
MID_MENU_HELP_DESTROY	벽이나 장애물을 파괴한다
MID_MENU_ROD	지팡이
MID_MENU_HELP_ROD	아군을 회복시키거나 적을 방해한다
MID_MENU_VISIT	방문
MID_MENU_HELP_VISIT	민가를 방문한다
MID_MENU_TREASURE_BOX	보물 상자
MID_MENU_HELP_TREASURE_BOX	아이템을 획득한다
MID_MENU_TORCH_ON	화톳불
MID_MENU_HELP_TORCH_ON	주위를 밝힌다
MID_MENU_DOOR	문 열쇠
MID_MENU_HELP_DOOR	문을 연다
MID_MENU_ITEM	소지품
MID_MENU_HELP_ITEM	아이템을 사용하거나 장비한다
MID_MENU_TRADE	소지품 교환
MID_MENU_HELP_TRADE	아군과 아이템을 교환한다
MID_MENU_TRANSPORTER	수송대
MID_MENU_HELP_TRANSPORTER	아이템을 맡기거나 가져간다
MID_MENU_TITLEHELP_TRANSPORTER	아이템을 맡기거나 가져간다
MID_MENU_TALK	대화
MID_MENU_HELP_TALK	유닛과 대화한다
MID_MENU_GUARD	체인 가드
MID_MENU_HELP_GUARD	인접한 아군이 받는 공격을 무효화한다
MID_MENU_GUARD_FULL_HP	HP가 100%일 때만 사용할 수 있습니다
MID_MENU_DANCE	춤추기
MID_MENU_HELP_DANCE	특별한 춤을 춰 아군을 재행동시킨다
MID_MENU_WAIT	대기
MID_MENU_HELP_WAIT	행동을 마친다
MID_MENU_ITEM_EQUIP	장비
MID_MENU_ITEM_REMOVE	해제
MID_MENU_ITEM_ARRANGE	재정렬
MID_MENU_ITEM_USE	사용
MID_MENU_ITEM_USE_CONFIRM	｢\x0E\x01\x00\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를 사용하겠습니까?
MID_MENU_ITEM_USE_DOPING_FOREVER	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 \x0E\x01\x01\x00 상승했다
MID_MENU_ITEM_USE_DOPING_TEMPORARY	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 \x0E\x01\x01\x00 상승했다(전투 맵 종료까지)
MID_MENU_ITEM_TRADE	교환
MID_MENU_ITEM_DISCARD	버리기
MID_MENU_ITEM_DISCARD_NOTIFY	소지품이 가득 찼습니다.\n버릴 소지품을 1개 선택해 주십시오.
MID_MENU_ITEM_SEND_NOTIFY	소지품이 가득 찼습니다.\n수송대로 보낼 소지품을\n1개 선택해 주십시오.
MID_MENU_ITEM_SEND_EQUIP	장비 중인 무기는 보낼 수 없습니다.
MID_MENU_ITEM_DISCARD_CONFIRM	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 정말 버리겠습니까?
MID_MENU_ITEM_DISCARD_CONFIRM_YES	버리기
MID_MENU_ITEM_SEND_CONFIRM	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 수송대로 보내겠습니까?
MID_MENU_ITEM_SEND_YES	보내기
MID_MENU_ITEM_CASH_ANNOUNCE	수송대에 넣을 수 있는 아이템 수의 상한을 초과했으므로\n가격이 낮은 것부터 판매했습니다
MID_ITEMMENU_TITLE_ITEM	소지품
MID_ITEMMENU_TITLE_ATTACK	무기 선택
MID_ITEMMENU_TITLE_ROD	지팡이 선택
MID_ITEMMENU_TITLE_TRANSPORTER	수송대
MID_ITEMMENU_ITEM_COUNT	소지 수
MID_ITEMMENU_ITEM_ALL	ALL
MID_MENU_REWIND_INFO_TURN	턴
MID_MENU_REWIND_INFO_TURNS	턴
MID_MENU_REWIND_INFO_REST_UNIT	미행동
MID_MENU_REWIND_INFO_TIMES	남은 횟수
MID_MENU_REWIND_CONFIRM	아군 페이즈가 아닙니다만\n이 상황으로 되돌리겠습니까?
MID_MENU_REWIND_DECIDE_YES	되돌리기
MID_MENU_SHOP_HELP	행동을 선택해 주십시오
MID_MENU_SHOP_BUY	구입
MID_MENU_SHOP_BUY_EMPTY	판매 상품이 없습니다
MID_MENU_SHOP_BUY_CONFIRM	아이템을 구입하겠습니까?
MID_MENU_SHOP_PurchasedItem	구입품
MID_MENU_SHOP_BUY_CONFIRM_YES	구입하기
MID_MENU_SHOP_BUY_NOTICE_FULL	소지품이 가득 차\n구입할 수 없습니다.
MID_MENU_SHOP_SELL	판매
MID_MENU_SHOP_SELL_EMPTY	가진 것이 없습니다
MID_MENU_SHOP_SELL_CANNOT	판매 불가
MID_MENU_SHOP_SELL_CONFIRM	아이템을 판매하겠습니까?
MID_MENU_SHOP_SELL_CONFIRM_Multiple	선택한 아이템을 판매하겠습니까?
MID_MENU_SHOP_SELL_CONFIRM_Other	그 외: \x0E\x01\x00\x00가지
MID_MENU_SHOP_SaleItem	판매품
MID_MENU_SHOP_SELL_CONFIRM_YES	판매하기
MID_MENU_SHOP_ITEM	아이템
MID_MENU_SHOP_STOCK	재고
MID_MENU_SHOP_USABLE_COUNT	횟수
MID_MENU_SHOP_PRICE	가격
MID_MENU_SHOP_SELLING_COUNT	판매 수
MID_MENU_SHOP_SELLING_TOTAL	판매 가격
MID_MENU_WEAPON_SHOP	무기점
MID_MENU_WEAPON_SHOP_BUY_HELP	구입할 무기를 선택해 주십시오
MID_MENU_WEAPON_SHOP_HOLDING_COUNT	같은 무기 소지 수
MID_MENU_WEAPON_SHOP_EQUIPPED_POSSIBLE	장비 가능한 무기 레벨
MID_MENU_ITEM_SHOP	도구점
MID_MENU_ITEM_SHOP_BUY_HELP	구입할 아이템을 선택해 주십시오
MID_MENU_ITEM_SHOP_SELL_HELP	판매할 아이템을 선택해 주십시오
MID_MENU_ITEM_SHOP_HOLDING_COUNT	같은 아이템 소지 수
MID_MENU_ACCESSORY_SHOP	액세서리점
MID_MENU_ACCESSORY_SHOP_CHANGE	갈아입기
MID_MENU_ACCESSORY_SHOP_BUY_HELP	구입할 액세서리를 선택해 주십시오
MID_MENU_ACCESSORY_SHOP_BUY_CONFIRM	액세서리를 구입하겠습니까?
MID_MENU_ACCESSORY_SHOP_ACCESSORY	액세서리 목록
MID_MENU_ACCESSORY_SHOP_PART_BODY	몸
MID_MENU_ACCESSORY_SHOP_PART_HEAD	머리
MID_MENU_ACCESSORY_SHOP_PART_FACE	얼굴
MID_MENU_ACCESSORY_SHOP_PART_BACK	등
MID_MENU_ACCESSORY_SHOP_CHANGE_HELP	착용할 액세서리를 선택해 주십시오
MID_MENU_ACCESSORY_SHOP_CHANGE_EMPTY	가진 것이 없습니다
MID_MENU_REFINE_SHOP	연성점
MID_MENU_REFINE_SHOP_REFINE	연성·진화
MID_MENU_REFINE_SHOP_REFINE_WEAPONS	무기 목록
MID_MENU_REFINE_SHOP_REFINE_GODSYMBOL	문장 목록
MID_MENU_REFINE_SHOP_ENGRAVE	문장 각인
MID_MENU_REFINE_SHOP_EXCHANGE	소재 교환
MID_MENU_REFINE_SHOP_REFINE_BASE_HELP	연성·진화 대상 무기를 선택해 주십시오
MID_MENU_REFINE_SHOP_REFINE_BASE_EMPTY	적합한 무기가 없습니다
MID_MENU_REFINE_SHOP_REFINE_TARGET_HELP	연성·진화 결과 무기를 선택해 주십시오
MID_MENU_REFINE_SHOP_REFINE_TARGET_UNKNOWN	???
MID_MENU_REFINE_SHOP_REFINE_CONFIRM	무기를 연성하겠습니까?
MID_MENU_REFINE_SHOP_REFINE_CONTENTS	연성 내용
MID_MENU_REFINE_SHOP_REFINE_CONFIRM_YES	연성하기
MID_MENU_REFINE_SHOP_EVOLVE_CONFIRM	무기를 진화시키겠습니까?
MID_MENU_REFINE_SHOP_EVOLVE_CONTENTS	진화 내용
MID_MENU_REFINE_SHOP_EVOLVE_CONFIRM_YES	진화시키기
MID_MENU_REFINE_SHOP_ENGRAVE_ITEM_HELP	문장을 새길 무기를 선택해 주십시오
MID_MENU_REFINE_SHOP_ENGRAVE_ITEM_EMPTY	무기가 없습니다
MID_MENU_REFINE_SHOP_ENGRAVE_GOD_HELP	무기에 새길 문장을 선택해 주십시오
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM	문장을 각인하겠습니까?
MID_MENU_REFINE_SHOP_ENGRAVE_CONTENTS	각인 내용
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM_YES	각인하기
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM_TO_REPLACE	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02은\x02는 \x0E\x01\x01\x00에 각인되어 있습니다\n선택한 무기에 다시 각인하겠습니까?
MID_MENU_REFINE_SHOP_ENGRAVE_EMPTY	선택할 수 있는 문장이 없습니다
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_TARGET	원하는 정석을 선택해 주십시오
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_SOURCE	소비할 정석을 선택해 주십시오
