MID_Hub_ThisTime	현재 시간
MID_Hub_Bed_Sleep_Yes	휴식하기
MID_Hub_Bed_Recall	추억
MID_Hub_Bed_Recall_Wakeup	기상 회화
MID_Hub_Bed_Recall_Wakeup_List	기상 회화 목록
MID_Hub_Bed_Recall_Movie	무비 감상
MID_Hub_Bed_Recall_MovieList	무비 목록
MID_Hub_Bed_Recall_Music	음악 감상
MID_Hub_Bed_Difficulty_Change	난이도 변경
MID_Hub_Bed_Difficulty_Change_Confirm	게임의 난이도를 변경하겠습니까?\n(낮은 난이도로만 변경할 수 있습니다\n 변경 후에는 원래대로 되돌릴 수 없습니다)
MID_Hub_Bed_Difficulty_Change_Before	현재 난이도
MID_Hub_Bed_Difficulty_Change_After	변경 후 난이도
MID_Hub_Bed_Difficulty_Change_Yes	변경하기
MID_Hub_Bed_Difficulty_Change_Dialog	난이도를 ｢\x0E\x01\x00\x00\x0E\x0A\x05\x0E\x06｣으로\x04｣로 변경했습니다
MID_Hub_Bed_Difficulty_Change_NG	난이도 노멀에서는 변경할 수 없습니다
MID_Hub_MyRoom_Piano	마이 피아노
MID_Hub_MyRoom_Piano_Release	거점의 마이 룸에 있는\n마이 피아노를 이용할 수 있게 되었습니다!
MID_Hub_MyRoom_Piano_Confirmation	스태프 크레디트를 볼 수 있습니다
MID_Hub_MyRoom_Piano_Confirmation_Yes	보기
MID_Hub_Talk_Gift	선물
MID_Hub_Talk_PromisedRing	약속의 반지
MID_Hub_Talk_Fishing	낚시
MID_Hub_Talk_DragonRide	드래곤 슈터
MID_Hub_Talk_MuscleExercises	근육 체조
MID_Hub_Talk_Gift_PickUp	선물을 선택해 주십시오
MID_Hub_Talk_Gift_Confirmation	｢\x0E\x01\x00\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를 건네겠습니까?
MID_Hub_Talk_Gift_Yes	건네기
MID_Hub_Mascot_Where	무언가의 제단이 있다…
MID_Hub_Mascot_Spot	\x0E\x06\x05\x00
MID_Hub_H_Mascot_Spot	돌봐 줄 내용을 선택해 주십시오
MID_Hub_Mascot_Name	솔라넬 수호신의 이름을 정해 주십시오
MID_Hub_Mascot_Feeding	먹이 주기
MID_Hub_Mascot_FoodChoice	줄 먹이를 선택해 주십시오
MID_Hub_Mascot_FoodChoice_Nothing	가진 것이 없습니다
MID_Hub_Mascot_Gift_Confirmation	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02을\x02를 주겠습니까?
MID_Hub_Mascot_Stroking	쓰다듬기
MID_Hub_Mascot_Accessories	갈아입히기
MID_Hub_Mascot_Accessories_Help	변경 대상을 선택해 주십시오
MID_Hub_Mascot_Accessories_Choice	착용할 액세서리를 선택해 주십시오
MID_Hub_Mascot_Accessories_Parts	액세서리
MID_Hub_Mascot_Accessories_Head	머리
MID_Hub_Mascot_Accessories_Tail	꼬리
MID_Hub_Mascot_Accessories_Color	색 변경
MID_Hub_Mascot_Accessories_Color_Choice	스카프 색을 선택해 주십시오
MID_Hub_Mascot_Accessories_None	장비 없음
MID_Hub_Pedestal	대좌
MID_Hub_Skill_Inheritance	스킬 계승
MID_Hub_Ring_Gacha	인연의 반지 정제
MID_Hub_Ring_Merge	인연의 반지 합성
MID_Hub_Ring_Cleaning	반지\x0E\x01\x08\x00 닦기
MID_Hub_RefineGodWeapon	인게이지 무기 강화
MID_Hub_Inheritance_End	계승 완료
MID_Hub_Inheritance_Level	Lv.\x0E\x01\x00\x00에 개방
MID_Hub_Inheritance_Invalid	문장사 \x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 싱크로 중에는\n장비해도 효과가 중복되지 않는다
MID_Hub_Inheritance_Skill	계승 스킬
MID_Hub_Inheritance_Skill_HELP	계승할 스킬을 선택해 주십시오
MID_Hub_Inheritance_LevelHelp	인연 Lv.\x0E\x01\x00\x00에 계승 가능
MID_Hub_GodBodLevel	문장사와의 인연 레벨
MID_Hub_Inheritance_Skill_Confirmation	스킬을 계승하겠습니까?
MID_Hub_Inheritance_Skill_Yes	계승하기
MID_Hub_Inheritance_Skill_Finish	\x0E\x01\x00\x00\x0E\x01\x01\x00\x0E\x0A\x04\x08\x02을\x02를 계승했습니다
MID_Hub_Ring_Common_God_Empty	반지\x0E\x01\x08\x00가 없습니다
MID_Hub_H_Ring_Gacha	반지를 정제할 문장사를 선택해 주십시오
MID_Hub_Ring_Gacha_TotalRefinedCount	지금까지 정제한 수
MID_Hub_Ring_Gacha_RingList	획득한 적 있는 인연의 반지
MID_Hub_Ring_Gacha_1_Time_TitleHelp	한 번에 정제할 수를 선택해 주십시오
MID_Hub_Ring_Gacha_1_Time	1회 정제하기
MID_Hub_Ring_Gacha_10_Times	10회 정제하기
MID_Hub_Ring_Gacha_New	NEW!
MID_Hub_Ring_Merge_Help	합성에 사용할 인연의 반지를 선택해 주십시오
MID_Hub_Ring_Merge_Empty	인연의 반지가 없습니다
MID_Hub_Ring_Merge_Needed_Count	필요 수
MID_Hub_Ring_Merge_Failed_Full	합성하려는 인연의 반지는 더 이상 소지할 수 없습니다
MID_Hub_Ring_Merge_Confirm	｢인연의 반지｣를 합성하겠습니까?
MID_Hub_Ring_Merge_Yes	합성하기
MID_Hub_Ring_Cleaning_GodSelect	닦을 반지\x0E\x01\x08\x00를 선택해 주십시오
MID_Hub_Ring_Cleaning_Help	반지\x0E\x01\x08\x00를 닦을 사람을 선택해 주십시오
MID_Hub_Ring_Cleaning_Confirm	｢\x0E\x01\x00\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를\n｢\x0E\x01\x01\x00\x0E\x0A\x04\x0C\x04｣이\x04｣가 닦겠습니까?
MID_Hub_Ring_Cleaning_Yes	닦기
MID_Hub_Ring_Cleaning_Finish	Cleanup
MID_Hub_Ring_Cleaning_Finish_Confirm	닦는 작업을 종료하겠습니까?
MID_Hub_RefineGodWeapon_Refine	강화
MID_Hub_RefineGodWeapon_Refine_Help	강화할 인게이지 무기를 선택해 주십시오
MID_Hub_RefineGodWeapon_RefineCapacity	강화 한계치
MID_Hub_RefineGodWeapon_RefineStatus	강화 상태
MID_Hub_RefineGodWeapon_Empty	인게이지 무기가 없습니다
MID_Hub_RefineGodWeapon_Nothing	아무것도 강화되지 않았습니다
MID_Hub_RefineGodWeapon_SelectParam_Help	강화할 항목을 선택해 주십시오
MID_Hub_RefineGodWeapon_Comfirm	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를 강화하겠습니까?
MID_Hub_RefineGodWeapon_Contents	강화 항목
MID_Hub_RefineGodWeapon_Comfirm_Skill	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00｣에\n특효를 부여하겠습니까?
MID_Hub_RefineGodWeapon_Comfirm_Skill_Yes	부여하기
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00｣의\n특효를 교체하겠습니까?
MID_Hub_RefineGodWeapon_Comfirm_Skill_Change_Yes	교체하기
MID_Hub_RefineGodWeapon_Comfirm_Yes	강화하기
MID_Hub_RefineGodWeapon_Comfirm2	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를\n｢\x0E\x01\x02\x00 Lv.\x0E\x01\x03\x00\x0E\x0A\x05\x0E\x06｣으로\x04｣로 강화했습니다
MID_Hub_RefineGodWeapon_Comfirm2_Skill	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00｣에\n｢\x0E\x01\x02\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를 부여했습니다
MID_Hub_RefineGodWeapon_PowerUpValue	강화치
MID_Hub_RefineGodWeapon_Reset	리셋
MID_Hub_RefineGodWeapon_Reset_Help	리셋할 인게이지 무기를 선택해 주십시오
MID_Hub_RefineGodWeapon_ResetParam_Help	리셋할 항목을 선택해 주십시오
MID_Hub_RefineGodWeapon_Reset_Comfirm	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를\n｢\x0E\x01\x02\x00 Lv.\x0E\x01\x03\x00\x0E\x0A\x05\x0E\x06｣으로\x04｣로 리셋하겠습니까?
MID_Hub_RefineGodWeapon_Reset_Comfirm_Skill	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00｣에 부여된\n｢\x0E\x01\x02\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를 리셋하겠습니까?
MID_Hub_RefineGodWeapon_Reset_Comfirm_Yes	리셋하기
MID_Hub_RefineGodWeapon_Reset_Comfirm2	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를\n｢\x0E\x01\x02\x00 Lv.\x0E\x01\x03\x00\x0E\x0A\x05\x0E\x06｣으로\x04｣로 리셋했습니다
MID_Hub_RefineGodWeapon_Reset_Comfirm2_Skill	｢\x0E\x01\x00\x00의 \x0E\x01\x01\x00｣에 부여된\n｢\x0E\x01\x02\x00\x0E\x0A\x04\x0C\x04｣을\x04｣를 리셋했습니다
MID_Hub_Arena_Gate	단련의 불꽃
MID_Hub_Arena_Limit	남은 횟수
MID_Hub_Arena_Lv_MAX	인연 레벨이 최대입니다
MID_Hub_Arena_Lv_Cap	인연 회화를 보면 인연 레벨을\n추가로 상승시킬 수 있습니다
MID_Hub_Arena_Lv_Cap_Look	인연 회화를 본다
MID_Hub_Arena_Lv_Once	한 번에 상승시킬 수 있는\n인연 레벨은 최대 5입니다.
MID_Hub_Arena_Help	행동을 선택해 주십시오
MID_Hub_Arena_Start	일반 단련
MID_Hub_Arena_Start_Help	단련할 유닛을 선택해 주십시오
MID_Hub_Arena_GodRelianceUp_Start	특별 지명 단련
MID_Hub_Arena_GodRelianceUp_Start_Got_Select_Help	상대 문장사를 선택해 주십시오
MID_Hub_Arena_GodRelianceUp_Lv_Select	인연 레벨을 선택해 주십시오
MID_Hub_Arena_GodRelianceUp_Help	임의의 유닛과 문장사의\n인연 레벨이 상승합니다\n목표에 따라 ｢인연의 조각｣의\n소비량이 달라집니다
MID_Hub_Arena_GodRelianceUp_Start_Confirm	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00의 지명 단련을 시작하겠습니까?
MID_Hub_Arena_NoWeapon	장비 가능한 무기가 없어\n단련을 시작할 수 없습니다
MID_Hub_Arena_Start_Confirm	\x0E\x01\x00\x00의 단련을 시작하겠습니까?
MID_Hub_Arena_Win	WIN
MID_Hub_Arena_Lose	LOSE
MID_Hub_Arena_Draw	DRAW
MID_Hub_Arena_BattleStart	VS
MID_Hub_Level_Choice	난이도를 선택해 주십시오
MID_Hub_NewLevel_Open	스토리를 진행하면 개방됩니다
MID_Hub_MiniGame_Expert	엑스퍼트
MID_Hub_MiniGame_Start	START!
MID_Hub_MiniGame_Finish	FINISH!
MID_Hub_MiniGame_Stop	STOP!
MID_Hub_Mascot_Take_MuscleExercises	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02과\x02와 함께 체조하겠습니까?\n(｢친밀도｣가 높으면 서포트해 줍니다)
MID_Hub_Mascot_Take_MuscleExercises_Yes	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02과\x02와 체조하기
MID_Hub_Mascot_NoTake_MuscleExercises	혼자서 체조하기
MID_Hub_Mascot_Take_Fishing	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02과\x02와 함께 낚시하겠습니까?\n(｢친밀도｣가 높으면 서포트해 줍니다)
MID_Hub_Mascot_Take_Fishing_Yes	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02과\x02와 낚시하기
MID_Hub_Mascot_NoTake_Fishing	혼자서 낚시하기
MID_Hub_Mascot_Take_DragonRide	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02과\x02와 함께 타겠습니까?\n(｢친밀도｣가 높으면 서포트해 줍니다)
MID_Hub_Mascot_Take_DragonRide_Yes	\x0E\x06\x05\x00\x0E\x0A\x04\x08\x02과\x02와 타기
MID_Hub_Mascot_NoTake_DragonRide	혼자 타기
MID_Hub_MiniGame_AddDifficulty	\x0E\x01\x00\x00 난이도가 추가되었습니다
MID_Hub_MiniGame_AddDifficulty_Muscle	머슬 난이도가 추가되었습니다\n(기록의 한계에 도전하기 위한 난이도입니다\n 능력 상승 및 보수는 발생하지 않습니다)
MID_Hub_MiniGame_MascotHelp	도와주기
MID_Hub_MiniGame_MascotHelp_Count	도와준 횟수
MID_Hub_MiniGame_ThisTimeScore	스코어
MID_Hub_MiniGame_BestScore	베스트 스코어
MID_Hub_MiniGame_NoScore	기록 없음
MID_Hub_MiniGame_TryResult	도전 결과
MID_Hub_MiniGame_DifficultyTipe	난이도: \x0E\x01\x00\x00
MID_Hub_MiniGame_NewRecord	기록 경신!
MID_Hub_MiniGame_Result_SSS	SSS
MID_Hub_MiniGame_Result_SS	SS
MID_Hub_MiniGame_Result_S	S
MID_Hub_MiniGame_Result_A	A
MID_Hub_MiniGame_Result_B	B
MID_Hub_MiniGame_Result_C	C
MID_Hub_MiniGame_Result_D	D
MID_Hub_MiniGame_Result_E	E
MID_Hub_MiniGame_Result_F	F
MID_Hub_MuscleExercises_Menu_Choice	종목을 선택해 주십시오
MID_Hub_MuscleExercises_Rule	규칙
MID_Hub_MuscleExercises_Effect	효과
MID_Hub_MuscleExercises_Continuity	추가 효과 및 보상은 발생하지 않습니다만\n근육 체조를 계속해서 진행하겠습니까?
MID_Hub_MuscleExercises_Continuity_Unacquired	근육 체조를 계속해서 진행하겠습니까?
MID_Hub_MuscleExercises_Continuity_Yes	도전하기
MID_Hub_MuscleExercises_Muscle	머슬
MID_Hub_MuscleExercises_Perfect	Perfect
MID_Hub_MuscleExercises_Good	Good
MID_Hub_MuscleExercises_Bad	Bad
MID_Hub_MuscleExercises_Assist	Assist
MID_Hub_MuscleExercises_SpeedUp	Speed Up!!
MID_Hub_MuscleExercises_Record	현재 기록
MID_Hub_MuscleExercises_SuccessCount	성공 횟수
MID_Hub_MuscleExercises_ErrorCount	실패 횟수
MID_Hub_MuscleExercises_Result	성적
MID_Hub_MuscleExercises_StatusUp	다음 출격 중에 \x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 \x0E\x01\x01\x00 상승합니다
MID_Hub_MuscleExercises_PushUps	팔 굽혀 펴기
MID_Hub_MuscleExercises_PushUps_Rule_0	바를 최적의 위치에서 멈추자!\n타이밍이 생명인 근육 체조!
MID_Hub_MuscleExercises_PushUps_Rule_1	속도와 판정이 서서히 어려워진다\n세 번 실패하면 즉시 종료
MID_Hub_MuscleExercises_PushUps_Rule_2	결과에 따라 다음 출격 중\n\x0E\x06\x03\x00의 힘이 상승!
MID_Hub_MuscleExercises_Ads	복근 트레이닝
MID_Hub_MuscleExercises_Ads_Rule_0	버튼을 연타해 게이지를 모으자!\n체력이 생명인 근육 체조!
MID_Hub_MuscleExercises_Ads_Rule_1	게이지를 빠르게 채울수록 고득점\n바닥나 버리면 즉시 종료
MID_Hub_MuscleExercises_Ads_Rule_2	결과에 따라 다음 출격 중\n\x0E\x06\x03\x00의 HP가 상승!
MID_Hub_MuscleExercises_Squat	스쿼트
MID_Hub_MuscleExercises_Squat_Rule_0	좌우 양쪽 스틱을 조작!\n리듬감이 생명인 근육 체조!
MID_Hub_MuscleExercises_Squat_Rule_1	나오는 지시에 맞춰서 입력\n세 번 실패하면 즉시 종료
MID_Hub_MuscleExercises_Squat_Rule_2	결과에 따라 다음 출격 중\n\x0E\x06\x03\x00의 기술이 상승!
MID_Hub_Fishing_Continue_RodSelect	낚싯대를 선택해 주십시오
MID_Hub_Fishing_Continue	낚시를 계속하겠습니까?
MID_Hub_Fish_Pcture_Book	낚시 도감
MID_Hub_Fishing_BonusFish	보너스 대상
MID_Hub_Fishing_Rod	낚싯대
MID_Hub_Fishing_Fish	낚이는 물고기
MID_Hub_Fishing_Limit	낚시 가능 횟수
MID_Hub_Fishing_Count	낚아 올린 횟수
MID_Hub_Fishing_Success	Success
MID_Hub_Fishing_Perfect	Perfect
MID_Hub_Fishing_Escaped_Fast	너무 빨리 당긴 모양이다…
MID_Hub_Fishing_Escaped_Late	너무 늦게 당긴 모양이다…
MID_Hub_Fishing_Escaped	도망쳐 버렸다…
MID_Hub_Fishing_BestSize	최고 기록
MID_Hub_Fishing_Centimeter	cm
MID_Hub_Fishing_Size	크기
MID_Hub_Fishing_TinySize	타이니 사이즈
MID_Hub_Fishing_SmallSize	스몰 사이즈
MID_Hub_Fishing_MiddleSize	미들 사이즈
MID_Hub_Fishing_LargeSize	라지 사이즈
MID_Hub_Fishing_BigSize	빅 사이즈
MID_Hub_Fishing_GiantSize	자이언트 사이즈
MID_Hub_Fishing_Shadow_Small	작은 그림자
MID_Hub_Fishing_Shadow_Big	큰 그림자
MID_Hub_Fishing_Shadow_Giant	거대 그림자
MID_Hub_Fishing_GetItem	획득 아이템
MID_Hub_Fishing_Conditions	낚기 위한 조건
MID_Hub_Fishing_TimeZone	시간대
MID_Hub_Fishing_TimeZone_Night	\x0E\x08\x02\x10\x0EEvening저녁/\x0E\x08\x02\x0C\nNight밤
MID_Hub_Fishing_FishType	낚아 올린 물고기 종류
MID_Hub_Fishing_Continue_Yes	계속하기
MID_Hub_Fishing_End	그만두기
MID_Hub_Fishing_Bonus	BONUS!
MID_Hub_Fishing_Hit	HIT!
MID_Hub_Fishing_UnicornChar	외뿔 곤들매기
MID_Hub_H_Fishing_UnicornChar	머리에 있는 커다란 뿔은\n낚을 때 충격으로 부러지기도 한다.\n잔뼈가 많아 대부분 다져서 사용한다.
MID_Hub_Fishing_PonYamame	방울 산천어
MID_Hub_H_Fishing_PonYamame	방울방울 몸 측면에 도드라진\n둥근 모양은 성장하면서 점차 연해진다.\n담백한 맛의 어육으로 만들 수 있다.
MID_Hub_Fishing_HellKoi	헤루루 잉어
MID_Hub_H_Fishing_HellKoi	뭐든 먹는 물고기로 선명한 색채를\n지닌 것도 있어 관상용으로도 인기 있다.\n영양가가 풍부해 튀김류에 적합하다.
MID_Hub_Fishing_RavanaTrout	라바나 송어
MID_Hub_H_Fishing_RavanaTrout	요령만 알면 간단하게 낚을 수 있다.\n이르시온 왕국에서는 양식도 하고 있으며\n일반적으로 건어물을 만드는 데 쓰인다.
MID_Hub_Fishing_SlitFinSalmon	슬릿핀 연어
MID_Hub_H_Fishing_SlitFinSalmon	브로디아에서 가장 많이 잡히는 물고기.\n하늘거리는 지느러미가 특이하고 예쁘다.\n흰 살은 먹이에 의해 붉게 변하기도 한다.
MID_Hub_Fishing_MandCobbBass	만드 혹 농어
MID_Hub_H_Fishing_MandCobbBass	낚시 실력을 시험하는 중량급 몬스터.\n솔룸에서는 농어 낚시 대회도 열린다.\n잘 손질하면 풍미 있는 횟감이 된다.
MID_Hub_Fishing_BanganHerring	방간 청어
MID_Hub_H_Fishing_BanganHerring	시기에 따라 무리 지어 행동하기 때문에\n너무 많이 낚여 골칫거리가 되기도 한다.\n담백한 맛은 다양한 식재료에 어울린다.
MID_Hub_Fishing_TeoteSquid	테오테 오징어
MID_Hub_H_Fishing_TeoteSquid	반짝이는 작은 것을 먹이로 착각해\n달려드는 습성을 이용해 낚기도 한다.\n으깨서 다양한 요리에 사용할 수 있다.
MID_Hub_Fishing_BlosEel	브로스 장어
MID_Hub_H_Fishing_BlosEel	몸이 미끈거려 잡기 힘들기 때문에\n낚싯바늘을 제거할 때 주의해야 한다.\n맛이 응축돼 있으며 잔뼈도 먹을 수 있다.
MID_Hub_Fishing_LogerOctopus	로거 문어
MID_Hub_H_Fishing_LogerOctopus	다리의 빨판으로 바위 등에 달라붙기\n전에 힘껏 낚아 올리는 것이 중요하다.\n통째로 으깨서 사용할 수 있다.
MID_Hub_Fishing_HegeBeardCatfish	헨지 수염 매기
MID_Hub_H_Fishing_HegeBeardCatfish	수염처럼 보이는 길고 두꺼운 피부로\n주위를 더듬으며 상황을 파악한다.\n삶고, 굽는 것 외에 말려서 먹기도 한다.
MID_Hub_Fishing_SarriaDogMorayEel	사리아 개 곰치
MID_Hub_H_Fishing_SarriaDogMorayEel	흉포하고 거칠어서 위험한 물고기로\n예리한 이빨에 물리면 큰일 난다.\n기름지고 농후한 맛의 회를 뜰 수 있다.
MID_Hub_Fishing_OmemeSardine	큰 눈 정어리
MID_Hub_H_Fishing_OmemeSardine	피레네에서 잘 낚이며 눈이 특이하다.\n몸을 보호하기 위해 무리 지어 다닌다.\n손으로도 간단하게 손질할 수 있다.
MID_Hub_Fishing_AvidCrab	아비도 게
MID_Hub_H_Fishing_AvidCrab	낮에는 모래에 숨어 지내고 있어\n행동이 활발해지는 새벽에 낚기 쉽다.\n껍질째로 으깨서 게살로 가공할 수 있다.
MID_Hub_Fishing_MunonTailHorseMackerel	멤논 꼬리 전갱이
MID_Hub_H_Fishing_MunonTailHorseMackerel	낚시의 재미를 느끼는 데 최적인 물고기.\n크기가 적당해서 손질 연습에 적합하다.\n건어물로 많은 사람에게 사랑받고 있다.
MID_Hub_Fishing_DosmaRay	도스마 가오리
MID_Hub_H_Fishing_DosmaRay	배 부분이 웃는 얼굴처럼 보여서\n귀엽다고 하지만 꼬리 끝에 독이 있다.\n말리면 배 부분이 무섭게 일그러진다.
MID_Hub_Fishing_DemonFangCod	왕엄니 대구
MID_Hub_H_Fishing_DemonFangCod	피레네, 브로디아에서 인기인 고급 생선.\n추운 지역에서는 내장도 식재료로 쓰며\n모든 부위를 식용으로 이용할 수 있다.
MID_Hub_Fishing_TephraSkipjack	테프라 가다랑어
MID_Hub_H_Fishing_TephraSkipjack	엄청난 근육으로 헤엄치며 난폭하다.\n계절을 타지 않는 고급 붉은 살 물고기로\n촉촉한 살은 횟감으로 인기를 끌고 있다.
