MID_WU_C_1_IN_#001	실례하겠습니다…!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	네, 아무리 신룡 님께서 존귀하시다고 해도 여기선 안 떠들죠.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	저번에는 단련 중에 떠들어서 죄송해요.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	폐를 끼쳐 드리지 않겠다고 마음먹었는데\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	신룡 님을 좋아하는 마음이 흘러넘쳐서…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	꺅, 신룡 님께서 깨어나셨…\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	크흠, 좋은 아침이네요. 안 떠들었어요, 정말\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	아슬아슬할 때 억눌렀거든요.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	신룡 님, 일에 대해 보고드립니다~! 아, 주무시네…\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	그만 깨웠네요, 죄송해요.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	방금 솔라넬 청소를 하고 왔어요!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	일어나실 때까지 기다려야 하나…?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	그래, 이 방도 청소해야지.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	쓰레기를 줍고, 먼지를 닦고\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	앗, 꽃병이!!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	죄송해요!!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	꽃병은 나중에 어떻게든 할게요.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	아, 저, 솔라넬 청소 끝냈거든요!\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	실례하겠습니다, 신룡 님의 팬클럽 명예 회장이 왔답니다!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	꺅~! 좋은 아침이에요!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	역시 신룡 님, 수면 습관이 엄청 좋으시네요.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	그야말로 엘레오스 대륙 최고!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	다시금 활동을 인정해 주셔서 기뻐요.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	그럼 지금부터 회장이 직접, 전력으로 응원하며 깨우겠습니다!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	꺄~ 신룡 님, 일, 어, 나, 세, 요!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	꺅~! 깨어나시는 모습도 멋져요!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	팬 서비스로는 이것만 한 게 없죠!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	아침부터 감사합니다!!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	좋은 아침이에요…\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	응, 잘 주무시네…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	정말, 왜 일어나시는 거예요?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	지금부터 깜짝 놀래 주려고 했는데…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	앗, 아, 아니, 아무것도 아니에요!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	지금부터 신룡 님을 놀래 줄 거예요.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	…우선 이걸로 코를 간질간질…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	응? 어라?! 이상하다…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	어, 어째서 신룡 님, 재채기를 안 하시나요?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	간지럽지 않으신가요? 보통 코를 이러면…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	에, 에, 에취!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	신룡 님의 프랑이 깨우러 왔답니다~\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	벌써 일어나시다니.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	아, 제가 오기를 기다리신 거죠?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	에헤헤… 귀여우시네요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	신룡 님. 정말, 안 일어나시면 곤란하다고요!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	큰 소리 낼 거예요!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	…농담이에요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	실은 어떻게 깨워야 하는지…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	이미 알고 있어요.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	좀 더 곁에서 이렇게 있고 싶었거든요…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침이에요, 저의 신룡 님.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	이대로 둘이서만 있고 싶은데…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	그건 나중으로 해야겠네요.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	여기 계실 줄 알았어요…!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	신룡 님에 대한 건 다 알고 있답니다.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	어머나, 잠든 모습을 보여 주시는 게 부끄러우셨나요?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	정말…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	저에게는 전부 보여 주셔도 돼요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	잘 주무시네.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	이러고 있으니 솔라넬에서 시중들고 있었을 때 같아요.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	…저기, 알고 계셨나요?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	주무시고 계실 때부터 계속\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	저… 신룡 님이 좋았어요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	에헤헤… 좋은 아침이에요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	좀 더 자는 모습을 보고 싶었어요. 하지만…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	이렇게 시선을 독점할 수 있는 시간도\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	엄청 좋아한답니다.\x0E\x04\x00\x00
