MID_SYS_Difficulty_Normal	노멀
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_NETWORK	｢용의 시간석｣을 사용하지 않으면\n패배하여 시련이 종료됩니다\n괜찮겠습니까?
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_YES	예(게임 오버)
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_YES_NETWORK	예(패배)
MID_MSG_GAMEOVER_TIMECRYSTAL_ATTENTION_NO	아니요(용의 시간석을 사용)
MID_MSG_GAMEOVER_CONFIRM	맵의 처음부터 다시 시작하겠습니까?\n(전투에서 획득한 경험치 등을 유지한 채\n 맵을 다시 시작할 수 있습니다)
MID_MSG_GAMEOVER_YES_EXP_ON	경험치를 유지하고 다시 시작하기
MID_MSG_GAMEOVER_YES_EXP_OFF	경험치를 포기하고 다시 시작하기
MID_MSG_GAMEOVER_NO	타이틀로 돌아가기
MID_MSG_BGM_CHANGE	환경 설정에 ｢BGM 설정｣ 항목이 추가되었습니다\n스토리 맵 이외의 아군 페이즈와 적군 페이즈 BGM을\n각각 변경할 수 있습니다
MID_MSG_ENGAGE_PLUS_ATTENTION	문장사 \x0E\x06\x03\x00의 ｢인게이지+｣는\n｢계전의 시련｣, ｢이계의 시련｣에서 사용할 수 없습니다
MID_MSG_STORY_COMPLETE_REWARD	스토리 클리어 보상
MID_MSG_PLAYER_PHASE	PLAYER PHASE
MID_MSG_ENEMY_PHASE	ENEMY PHASE
MID_MSG_ALLY_PHASE	ALLY PHASE
MID_MSG_OFFENSE_PHASE	OFFENSE PHASE
MID_MSG_DEFENSE_PHASE	DEFENSE PHASE
MID_MSG_PHASE_TURN	앞으로 \x0E\x01\x00\x00턴
MID_MSG_AUTO_TROPE	위임 중…
MID_MSG_SKIP_TROPE	스킵 중…
MID_MSG_LEVEL_UP	LEVEL UP!
MID_MSG_CLASS_CHANGE	CLASS CHANGE!
MID_MSG_STAGE_CLEAR	STAGE CLEAR!
MID_MSG_GAME_OVER	GAME OVER
MID_MSG_POPUP_CRITICAL	Critical!
MID_MSG_POPUP_BREAK	Break!
MID_MSG_POPUP_MISS	Miss!
MID_MSG_POPUP_NO_DAMAGE	No Damage!
MID_MSG_POPUP_SMASH	Smash!
MID_MSG_POPUP_CHAINATTACK	Chain Attack!
MID_MSG_POPUP_CHAINGUARD	Chain Guard!
MID_MSG_POPUP_DUALGUARD	Dual Guard!
MID_KEYHELP_MYFACE_SELECT	모습 변경
MID_KEYHELP_BIRTHDAY_SELECT	월/일 전환
MID_KEYHELP_MAP_HELP	상세 정보
MID_KEYHELP_MINIGAME_OPERATION_HELP	조작 설명
MID_KEYHELP_MAP_NOT_ACTION	유닛 변경
MID_KEYHELP_MAP_UNIT_VIEWER	유닛 상세
MID_KEYHELP_MAP_CANCEL_ORDERS	위임 해제
MID_KEYHELP_MAP_SKIP	스킵
MID_KEYHELP_GMAP_LOOK_OVER	지도
MID_KEYHELP_GMAP_MOVE_NEWEST	최신 장으로
MID_KEYHELP_GMAP_FREE_CAMERA	프리 카메라
MID_KEYHELP_MAP_ACTION	맵 표시 변경
MID_KEYHELP_DASH	대시
MID_KEYHELP_MENU	메뉴
MID_KEYHELP_MENU_ACTION	메뉴 변경
MID_KEYHELP_CATEGORY_ACTION	카테고리 변경
MID_KEYHELP_TALK_AUTOPLAY	자동 재생
MID_KEYHELP_TALK_AUTOPLAY_CANCEL	자동 재생 종료
MID_KEYHELP_TALK_LOG	로그
MID_KEYHELP_TALK_LOG_VOICE	보이스 재생
MID_KEYHELP_MENU_DECIDE	결정
MID_KEYHELP_MENU_SELECT	선택
MID_KEYHELP_MENU_RETURN	뒤로
MID_KEYHELP_MENU_AUTO	일괄 정리
MID_KEYHELP_MENU_TROOPLIST_CHANGE	표시 전환
MID_KEYHELP_MENU_HELP	상세 정보
MID_KEYHELP_MENU_ASSISTINFO_CHANGE	보조 정보
MID_KEYHELP_MENU_WEAPON_CHANGE	무기 변경
MID_KEYHELP_MENU_UNIT_CHANGE	유닛 변경
MID_KEYHELP_MENU_CHARACTER_CHANGE	동료 변경
MID_KEYHELP_MENU_GOD_CHANGE	문장사 변경
MID_KEYHELP_MENU_HELP_CHANGE	표시 정보 변경
MID_KEYHELP_MENU_ABILITY	능력 목록
MID_KEYHELP_MENU_BATTLE_START	전투 개시
MID_KEYHELP_MENU_TUTORIAL	튜토리얼
MID_KEYHELP_MENU_COUNTRY_CHANGE	나라 변경
MID_KEYHELP_MENU_ZOOM_PICTURE	사진 확대
MID_KEYHELP_MENU_UNIT_SELECT	리스트
MID_KEYHELP_MENU_LOOK_UNIT	자세히 보기
MID_KEYHELP_MENU_CAMERA_CHANGE	카메라 시점 전환
MID_KEYHELP_MENU_CAMERA_IN_OUT	카메라 상하
MID_KEYHELP_MENU_CAMERA_OPERATION	카메라 조작
MID_KEYHELP_MENU_BACK_CHANGE	배경 변경
MID_KEYHELP_MENU_UI_HIDE	메뉴 ON/OFF
MID_KEYHELP_MENU_EYES	시선 ON/OFF
MID_KEYHELP_MENU_RESET	설정 초기화
MID_KEYHELP_MENU_SORT	정렬
MID_KEYHELP_MENU_FISHING_CAST	던지기
MID_KEYHELP_MENU_FISHING_CAST_STOP	취소
MID_KEYHELP_MENU_ACHIEVEMENT	달성 보상 획득
MID_KEYHELP_MENU_ACHIEVEMENT_ALL	일괄 획득
MID_KEYHELP_MOVIE_CAPTION	자막 ON/OFF
MID_KEYHELP_EDIT_TURN	회전
MID_KEYHELP_EDIT_PUT	배치
MID_KEYHELP_EDIT_DELETE	삭제
MID_KEYHELP_EDIT_TACTICS_CHANGE	전술 변경
MID_KEYHELP_EDIT_LIST	지형 리스트
MID_KEYHELP_EDIT_OBJCHANGE	지형 변경
MID_KEYHELP_EDIT_UNDO	되돌리기
MID_KEYHELP_NEXT	다음
MID_KEYHELP_ANIMAL_VIEW	카메라 조작
MID_KEYHELP_ANIMAL_ACTION	액션
MID_KEYHELP_REWIND_TURN	다음 턴
MID_KEYHELP_REWIND_ACTION	선택
MID_WEAPON_NAME_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00\x0E\x01\x02\x00
MID_RING_RANK_S	S
MID_RING_RANK_A	A
MID_RING_RANK_B	B
MID_RING_RANK_C	C
MID_LOCALIZE_COLON	
MID_LOCALIZE_HYPHEN	 
MID_LOCALIZE_CN_THIRD_M	他
MID_LOCALIZE_CN_THIRD_F	她
MID_LOCALIZE_TW_THIRD_M	他
MID_LOCALIZE_TW_THIRD_F	她
MID_LANGUAGE_JP_JAPANESE	일본어
MID_LANGUAGE_US_ENGLISH	영어(북아메리카)
MID_LANGUAGE_US_FRENCH	프랑스어(캐나다)
MID_LANGUAGE_US_SPANISH	스페인어(라틴 아메리카)
MID_LANGUAGE_EU_ENGLISH	영어(유럽)
MID_LANGUAGE_EU_FRENCH	프랑스어
MID_LANGUAGE_EU_SPANISH	스페인어(유럽)
MID_LANGUAGE_EU_GERMAN	독일어
MID_LANGUAGE_EU_ITALIAN	이탈리아어
MID_LANGUAGE_CN_TRADITIONAL	중국어(번체자)
MID_LANGUAGE_CN_SIMPLIFIED	중국어(간체자)
MID_LANGUAGE_KR_KOREAN	한국어
MID_LANGUAGE_VOICE_JAPANESE	일본어
MID_LANGUAGE_VOICE_ENGLISH	영어
MID_MSG_GET_ITEM_FEH	특전을 받았습니다
