MID_PLACE_Filene	피레네
MCID_M018_PLACE	이르시온 항로
MCID_M018_OUTLINE	베일에 대한 진실을 알게 된 신룡군은\n사룡이 기다리는 이르시온을 향해 떠난다
MCID_M019_PREFIX	제19장
MCID_M019	죽음의 항구 마을
MCID_M019_PLACE	지브르 항구
MCID_M019_OUTLINE	항해 도중에 만난 자객을 물리친 신룡군은\n이르시온의 지브르 항구에 도착한다
MCID_M020_PREFIX	제20장
MCID_M020	왕이 없는 성
MCID_M020_PLACE	이르시온성
MCID_M020_OUTLINE	마론과 모브에게 승리하고 반지를 탈환한\n신룡군은 마침내 이르시온성으로 향한다
MCID_M021_PREFIX	제21장
MCID_M021	귀환
MCID_M021_PLACE	신룡왕성
MCID_M021_OUTLINE	그리로부터 진실을 듣게 된 일행이었지만\n사룡을 쫓아 리토스의 신룡왕성으로 향한다
MCID_M022_PREFIX	제22장
MCID_M022	신룡과 사룡
MCID_M022_PLACE	신룡왕성
MCID_M023_PREFIX	제23장
MCID_M023	사구
MCID_M023_PLACE	용암 지대
MCID_M023_OUTLINE	엘레오스 상공의 결계를 해제하기 위해\n신룡군은 사룡문이 있는 곳을 찾아간다
MCID_M024_PREFIX	제24장
MCID_M024	추억
MCID_M024_PLACE	고산 지대
MCID_M024_OUTLINE	세피아로부터 마법 도구를 받은 신룡군은\n2번째 사룡문이 잠겨 있는 호수로 향한다
MCID_M025_PREFIX	제25장
MCID_M025	최후의 문지기
MCID_M025_PLACE	그라드론 신전
MCID_M025_OUTLINE	천 년 전의 자신과 만난 신룡\n이제 마지막 사룡문만 남았으나 그곳에는…
MCID_M026_PREFIX	제26장
MCID_M026	라스트 인게이지
MCID_M026_PLACE	이계의 문
MCID_S001_PREFIX	외전
MCID_S001	대기만성
MCID_S001_PLACE	다원 마을
MCID_S001_OUTLINE	평화로운 다원 마을을 습격한 이형병\n신룡군은 마을 사람을 구조하기 위해 나선다
MCID_S002_PREFIX	외전
MCID_S002	비밀의 행상인
MCID_S002_PLACE	도적단 아지트
MCID_S002_OUTLINE	도적단의 근거지를 발견한 신룡군\n그곳에는 보물을 노리는 작은 손님이 있었다
MCID_S003_PREFIX	외전
MCID_S003	성왕녀
MCID_S003_PLACE	신들의 투기장
MCID_S003_OUTLINE	문장사 루키나와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S004_PREFIX	외전
MCID_S004	초원의 공녀
MCID_S004_PLACE	질풍의 초원
MCID_S004_OUTLINE	문장사 린과 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S005_PREFIX	외전
MCID_S005	창염의 용사
MCID_S005_PLACE	희망의 요새
MCID_S005_OUTLINE	문장사 아이크와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S006_PREFIX	외전
MCID_S006	인도자
MCID_S006_PLACE	신성한 묘소
MCID_S006_OUTLINE	문장사 벨레트와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S007_PREFIX	외전
MCID_S007	미래를 선택하는 자
MCID_S007_PLACE	운명의 갈림길
MCID_S007_OUTLINE	문장사 카무이와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S008_PREFIX	외전
MCID_S008	푸른 풍공
MCID_S008_PLACE	마의 유적
MCID_S008_OUTLINE	문장사 에이리카와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S009_PREFIX	외전
MCID_S009	성기사
MCID_S009_PLACE	빛과 어둠의 대하
MCID_S009_OUTLINE	문장사 시구르드와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S010_PREFIX	외전
MCID_S010	현왕
MCID_S010_PLACE	늘어선 다리
MCID_S010_OUTLINE	문장사 리프와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S011_PREFIX	외전
MCID_S011	새벽의 무녀
MCID_S011_PLACE	얼어붙은 요새
MCID_S011_OUTLINE	문장사 미카야와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S012_PREFIX	외전
MCID_S012	젊은 사자
MCID_S012_PLACE	봉인의 대지
MCID_S012_OUTLINE	문장사 로이와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S013_PREFIX	외전
MCID_S013	자애의 왕녀
MCID_S013_PLACE	망각의 사당
MCID_S013_OUTLINE	문장사 세리카와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S014_PREFIX	외전
MCID_S014	영웅왕
MCID_S014_PLACE	영웅의 성터
MCID_S014_OUTLINE	문장사 마르스와 인연이 깊은 땅\n그곳에서 어떤 시련에 도전하게 된다
MCID_S015_PREFIX	외전
MCID_S015	연결하는 자
MCID_S015_PLACE	추억의 정원
MCID_S015_OUTLINE	신룡왕성의 정원이 떠오르는 땅\n그곳에는 수수께끼의 반지가 안치되어 있었다
MID_ENCOUNT	조우전
MID_ENCOUNT_TRAINING	훈련
MID_RULE_Title	승리 조건
MID_RULE_Title_LOSE	패배 조건
MID_RULE_ANNIHILATE	적 전멸
MID_RULE_DESTROY_BOSS	적장 격파
MID_RULE_DESTROY_BOSS_TURN	\x0E\x01\x00\x00턴 이내에 적장 격파
MID_RULE_SURVIVE_TURN	\x0E\x01\x00\x00턴 동안 생존
MID_RULE_COMMON_LOSE	\x0E\x06\x03\x00 패배
MID_RULE_WANNIHILATION_LOSE	아군 전멸
MID_RULE_M000_WIN	적 격파
MID_RULE_M001_WIN	적 전멸
MID_RULE_M002_WIN	뤼미에르 격파
MID_RULE_M003_WIN	적 전멸
MID_RULE_M004_WIN	로단 격파
MID_RULE_M005_WIN	네르케 격파
MID_RULE_M006_WIN	테란다 격파
MID_RULE_M006_LOSE	\x0E\x06\x03\x00, 혹은 유나카 패배
MID_RULE_M007_WIN	오르텐시아 격파
MID_RULE_M008_WIN	아이비 격파
MID_RULE_M008_LOSE	\x0E\x06\x03\x00 패배, 혹은 방어 지점 함락
MID_RULE_M009_WIN	아이비 격파
MID_RULE_M010_WIN	하이아신스, 이형의 모리온 격파
MID_RULE_M011_WIN	\x0E\x06\x03\x00 이탈
MID_RULE_M012_WIN	적 전멸
MID_RULE_M013_WIN	테시, 토시 격파
MID_RULE_M014_WIN	오르텐시아, 세피아, 마론, 모브 격파
MID_RULE_M015_WIN	세아다스 이탈
MID_RULE_M015_LOSE	\x0E\x06\x03\x00, 혹은 세아다스 패배
MID_RULE_M016_WIN	마론, 모브 격파
MID_RULE_M017_WIN	적장 6명을 모두 격파
MID_RULE_M018_WIN	아비움 격파
MID_RULE_M019_WIN	마론, 모브 격파
MID_RULE_M020_WIN	그리 격파
MID_RULE_M021_WIN	베일 격파
MID_RULE_M022_WIN	모든 문장사의 반지 회수
MID_RULE_M023_WIN	세피아, 그리 격파
MID_RULE_M024_WIN	과거의 \x0E\x06\x03\x00 격파
MID_RULE_M024_LOSE	\x0E\x06\x03\x00 패배, 혹은 \x0E\x01\x00\x00턴 경과
MID_RULE_M025_WIN	이형의 뤼미에르 격파
MID_RULE_M026_WIN	솜브르 격파
MID_RULE_S001_WIN	적 전멸
MID_RULE_S002_WIN	미탄 격파
MID_RULE_S003_WIN	문장사 루키나에게 승리
MID_RULE_S004_WIN	문장사 린에게 승리
MID_RULE_S005_WIN	문장사 아이크에게 승리
MID_RULE_S006_WIN	문장사 벨레트에게 승리
MID_RULE_S007_WIN	문장사 카무이에게 승리
MID_RULE_S008_WIN	문장사 에이리카에게 승리
MID_RULE_S009_WIN	문장사 시구르드에게 승리
MID_RULE_S010_WIN	문장사 리프에게 승리
MID_RULE_S011_WIN	문장사 미카야에게 승리
MID_RULE_S011_LOSE	\x0E\x06\x03\x00 패배, 혹은 방어 지점 함락
MID_RULE_S012_WIN	문장사 로이에게 승리
MID_RULE_S013_WIN	문장사 세리카에게 승리
MID_RULE_S014_WIN	문장사 마르스에게 승리
MID_RULE_S015_WIN	반지 탈환
MID_RULE_S015_LOSE	\x0E\x06\x03\x00 패배, 혹은 적이 반지를 가지고 도주
MID_RULE_TURN_LOSE	\x0E\x06\x03\x00 패배, 혹은 \x0E\x01\x00\x00턴 경과
MID_RULE_VERSUS_LOSE	아군 전멸, 혹은 \x0E\x01\x00\x00턴 경과
MTID_Nothing	없음
MTID_Engage	문장의 기운
MTID_SoulOfDead	전사자의 영혼
MTID_GuardFence	방호책
MTID_BreakableWall	약한 벽
MTID_Cargo	짐 더미
MTID_Crystal	수정
MTID_Pedestal	대좌
MTID_Rock	바위
MTID_RockLarge	큰 바위
MTID_Sandbag	흙 부대
MTID_Chair	의자
MTID_Paling	방책
MTID_Barrier	방벽
MTID_ObstacleLow	낮은 장애물
MTID_Altar	제단
MTID_Rubble	잔해
MTID_Pier	선착장
MTID_Ground	지면
MTID_Forest	삼림
MTID_Grove	숲
MTID_Desert	사막
MTID_Quicksand	유사
MTID_Shallow	여울
MTID_River	강
MTID_Waterway	수로
MTID_Mountain	산
MTID_Sky	하늘
MTID_Bridge	다리
MTID_BridgeBroken	부서진 다리
MTID_BridgeRise	올라간 다리
MTID_Ruin	부서진 건물
MTID_Windmill	풍차
MTID_PrivateHouse	민가
MTID_House	건물
MTID_StoneStatue	석상
MTID_Building	건축물
MTID_Hull	선체
MTID_Sarcophagus	관
MTID_Object	장애물
MTID_Bush	수풀
MTID_Sea	바다
MTID_Tile	바닥
MTID_Lava	용암
MTID_Wall	벽
MTID_Stairs	계단
MTID_SummonCircle	마법진
MTID_WallLow	낮은 벽
MTID_Door	문
MTID_Chest	보물 상자
MTID_Chest_Empty	빈 보물 상자
MTID_Roof	지붕
MTID_TileCollapsed	부서진 바닥
MTID_TileRecovery	회복 바닥
MTID_TileDefense	방어 바닥
MTID_Fort	요새
MTID_Pillar	기둥
MTID_PillarLarge	큰 기둥
MTID_Cliff	벼랑
MTID_Bonfire	화톳불
MTID_Candlestick	촛대
MTID_Beach	모래사장
MTID_Shrubbery	관목
MTID_Deck	갑판
MTID_Mast	돛대
MTID_EvilDragonVein	사룡문
MTID_BowCannon	활 포대
MTID_MagicCannon	마법 포대
MTID_FireCannon	화염 포대
MTID_Ring_Siglud	성기사의 반지
MTID_Ring_Celica	자애의 왕녀의 반지
MTID_Ring_Micaiah	새벽의 무녀의 반지
MTID_Ring_Roy	젊은 사자의 반지
MTID_Ring_Leaf	현왕의 반지
MTID_Ring_Lucina	성왕녀의 반지
MTID_Ring_Lin	초원의 공녀의 반지
MTID_Ring_Ike	창염의 용사의 반지
MTID_Ring_Byleth	인도자의 반지
MTID_Ring_Kamui	미래를 선택하는 자의 반지
MTID_Ring_Eirik	푸른 풍공의 반지
MTID_NoEntry	구역 외
MTID_HelpSpot	엔트리 패널
MTID_Sandbox	모래밭
MTID_GoldMountain	금화의 산
MTID_Spring	샘
MTID_IceFloor	얼음 바닥
MTID_Snowman	눈사람
MTID_Hay	건초 더미
MTID_Cactus	선인장
MTID_RoseArch	로즈 아치
MTID_Remains	유적
MTID_Cart	짐마차
MTID_Well	우물
MTID_Loading	짐 더미
MTID_Fence	목책
MTID_AnimalStatue	동물 조각상
MTID_SoraStatue	수호신 조각상
MTID_EarthPillar	흙기둥
MTID_Fog	안개
MTID_Fire	화염
MTID_Miasma	독기
MTID_Aroma	아로마
MTID_Block	얼음 기둥
MTID_Water	웅덩이
MTID_Ivy	덩굴
MTID_Light	샤인
MID_TE_Avoid	회피
MID_TE_Heal	턴 회복
MID_TE_Damage	턴 대미지
MID_TE_Def	수비
MID_TE_MDef	마방
MID_TE_PlayerDamage	아군의 수비, 마방
MID_TE_EnemyDamage	적의 수비, 마방
MID_TE_Break	브레이크 무효
MID_TE_FlightOnly	보행 불가
MID_TE_NoEntry	진입 불가
MID_TE_Destroy	파괴 가능
MID_TE_Shine	주위 칸을 밝힌다
MID_TE_HelpSpot	추가 유닛 배치 가능
MID_TE_Cannon_Attack	공격
MID_TE_Cannon_Hit	명중
MID_TE_Cannon_Stock	\x0E\x01\x00\x00/\x0E\x01\x01\x00
MID_TE_Skill_Effect	스킬 효과
MID_TE_Move	이동
