MID_WU_C_1_IN_#001	아침이야, 신룡 님…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	난 또 당신에게 구원받는구나…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	마중 나왔어, 나의 신…\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	후후, 왠지 신혼 같지 않아?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	내 목소리를 듣고 일어나 줘서 기뻐…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	잠깐 이야기 좀 해도 될까?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…응, 미안해. 빨리 보고 싶어서\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	좀 일찍 와 버렸어…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	나에겐 『약속의 반지』가 있지만…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	당신이 깃드는 문장사의 반지는\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	다른 사람들도 낄 수 있으니까…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	조금 질투가 날 때도 있어.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	이런 생각은 하면 안 되는데 자꾸 생각하게 돼.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	저기… 어떻게 하면 당신이\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	나만의 신이 되어 줄 수 있을까…?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침. 저기, 가까이 와.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	좀 더 제대로 얼굴을 보여 줘.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	후후, 행복해…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	지금 이 시간만큼은, 당신은 나만의 사람.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	나만의… 파트너야.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	…몇 번을 봐도 예뻐.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	당신은 계속 이렇게 자고 있었겠구나.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	지금은 내 목소리를 듣고 일어나니까 기뻐.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	하지만 가끔 생각해…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	당신이 천 년간의 잠에서 깨어났을 때도\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	내가 곁에 있었으면 좋았을 텐데.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	이상한 기분이야…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	난 당신 덕분에 강해졌어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	악몽을 꾸더라도, 전장에서 무슨 일이 있더라도 견딜 수 있어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	당신이 나를 선택해 줬으니까\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	그것만으로 전부 괜찮아져…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	좋아해, 정말 좋아해.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	몇 번을 말해도 부족할 정도로…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	난 당신을 아주 좋아해.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침. 어머, 얼굴이 새빨개…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	이제 내 마음을 알겠지?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	앞으로도 몇 번이고 전해 줄 테니까…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	각오하고 있어.\x0E\x04\x00\x00
