MID_WU_C_1_IN_#001	아침이올시다, 신룡 공!!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	호오, 이 큰 소리에도 일어나지 않는다니 신룡 공…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	끝내 익숙해져 버린 것이구려.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	설마 죽어 버린 것이오이까?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	오오, 다행이외다. 무사했구려!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	정말 좋아하는 신룡 공이 더 이상 일어나지 않는다면\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	어떻게 해야 하나 고민했소~!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	친우를 깨우러 왔소이다~!\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	…신룡 공과 친우라니 좋은 기분이구려.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	조기 취침, 조기 기상은 좋은 일 아니겠소!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	그대가 건강하니\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	나도 기뻐졌소이다!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	신룡 공은 내 가족 이야기를 듣고 날 도와주겠다 했잖소.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	난 그 마음에 보답하고 싶소만…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	얼굴을 보고 말하니 부끄러울 따름이구려.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	서, 설마 지금 이야기 듣고 있었소?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	부끄럽소만 사실이니 어쩔 수 없구려…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	나는 신룡 공을 위해 노력을 아끼지 않을 것이외다!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	파트너가 깨우러 왔소~!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	…파트너, 참으로 어감이 좋구려.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	오오, 목소리가 너무 컸소? 미안하오.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	기뻐서 그만.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	…그럼 오늘 아침은 분위기를 바꿔서\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	조용히 인사를 하겠소…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	좋은 아침이오.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	완전히 내 목소리에 익숙해져 일어나지 않다니!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	그것조차 나는 기쁘구려.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	여하튼 신룡 공과 난 가장 각별한 사이지 않소.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	내게도 신룡 공이 가장 소중한 사람이라오.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	서로 마음이 같으면 이리도 좋다니.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	그래… 『약속의 반지』를 볼 때마다 난 행복한 마음이 든다오.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	정말 좋아하오, 신룡 공…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	오오, 파트너가 일어났구려.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	아침은 분위기가 중요하오.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	…좋은 아침이오. 오늘도 온종일\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	난 그대만을 생각하고 힘을 바칠 것을 맹세하겠소.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	만나고 싶어서 빨리 와 버렸소…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	들어가도 괜찮겠소?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	! 오오, 바로 일어나 준 것이오이까?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	역시 내 파트너답구려!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	이대로 붙어서 떨어지기 싫소만…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	오늘은 참아야겠소.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	잘 자는구려…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	가능하면 소중한 그대를 전장에 세우기 싫소.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	내가 모든 아픔과 괴로움을 대신하고 싶소만…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	상냥한 그대는 그걸 호의적으로 생각하지 않을 것이외다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	…안타깝구려. 상처를 받으면서 강해지는 모습을\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	곁에서 바라볼 수밖에 없다니.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침이오. 오늘도 전투가 있소만…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	무슨 일이 있더라도 괜찮소!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	내겐 보인다오!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	둘이서 영원히 행복하게 지내는\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	걷잡을 수 없는 미래의 모습이 말이오.\x0E\x04\x00\x00
