MID_WU_C_1_IN_#001	부온조르노! 신룡 님, 아침이야!\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	반지를 받은 것만으로도 기쁜데…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	이번엔, 너의 시간을 잔뜩\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	가지고 싶다고 생각했어.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	파트너를 깨우러 오는 시간만큼 행복한 일은 없단 말씀.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	좋은 아침. 바로 일어났다는 건\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	날 기다린 거야?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	…고마워.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	그런 점도 그렇고, 다른 점도 전부\x0E\x04\x00\x00
MID_WU_S_2_SOON_#005	정~말 좋아…!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	신룡 님…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	또 그때 그 가게에서 식사하자.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	난 모두를 좋아하고\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	누구에게나 좋아한다고 말하지만, 그때…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	진심으로 함께하자고 말한 건 네가 처음이야.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…지금까지도, 앞으로도 계속\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	가장 좋아하는 건 너뿐이야.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	정말 좋아해.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	듣고 있었어?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	언제 죽을지 모르니까\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	마음은 바로바로 전해야 해.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	…앞으로도 매일\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	네게 좋아한다고 말하게 해 줘.\x0E\x04\x00\x00
