MID_WU_C_1_IN_#001	아침이야!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	좋은 아침!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	나, 연인의 날에 팔 상품 말고도\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	이것저것 고민 중이야.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	여유 있으면 또 도와줘!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	우리 고향은 눈 축제 마을…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	1년 내내 축제를 벌이고 1년 내내 상품을 고민하는 곳…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	거기에 신룡 님이 있어 준다면…!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	신룡 님, 이르시온에 있는 마을로 이주할 생각 없어?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	제안을 몇 가지 생각해 봤는데,\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	이게 특히 가격이 싸서…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	히잉~ 안 돼~?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	신룡 님, 희귀한 물건을 구했어!\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	마시면 목소리가 변하는 약이래! 어서 일어나 봐!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	좋은 아침이야!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	신룡 님 이거 마셔 봐. 자!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	…목소리가 변한 건 딱히 모르겠네.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	나도 참, 가짜 상품에 속아 버렸나~\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	안 일어나면 내가 마셔 봐야겠네… 꿀꺽.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	어?! 이, 이게 뭐야. 목소리뿐 아니라, 나…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	모습도 어른으로 변했어! 굉장해~!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	어라… 원래대로 돌아왔네.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	방금 그 모습을 못 보여 줘서 아쉽다.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	또 구하게 되면 보여 주러 올게!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	에헤헤~ 연인의 날 기념 목걸이는 순조로워!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	그렇지, 의견을 냈으니\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	당연히 관심 있겠지?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	음, 지금은 공예품을 만드는 법을 떠올리면서\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	계속해서 개량을 거듭하고 있어!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	덕분에 괜찮은 물건이 완성될 것 같아…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	우리 덕분에\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	새로운 연인들이 잔뜩 생겨날지도 모른다는 건\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	진짜 근사하지 않아?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	목걸이 아이디어,\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	정말 고마워~!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	응? 상품 이름은 안 바꿀 거야.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	무조건 신룡 목걸이로 할 거라니까!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	안녕~!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	일찍 일어나는 새가 3골드를 번다니까! 빨리 일어나.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	역시 안나 씨의 파트너다워.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	3골드의 가치를 잘 이해하고 있구나! 에헤헤…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	오늘 하루도 잘 부탁할게.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	안 일어나? 뭐 됐어.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	안나 씨는 이 시간이 좋거든.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	그리고 전에 준 이 반지도 좋아…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	가장 사이좋다는 증거잖아.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	그리고 또, 이건 비밀인데…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	난 네 이 빨간 머리카락도 좋아.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	왜냐하면, 나랑 똑같으니까.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	아, 안녕.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	자, 오늘도 열심히 상품을 팔아 보자.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	우리 둘이 함께라면 대박은\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	이미 보장된 거나 마찬가지잖아?\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	연인의 날도 끝났으니까…\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	어서 일어나서 다음 상품 생각해 보자, 파트너.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	오, 의욕이 넘치는걸.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	너와 함께라면\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	또 근사한 게 만들어질 것 같아.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	그렇게 돈하고 추억을 잔뜩 늘려 나가자.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	아, 그날은 정말로 재밌었어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	목걸이가 날개 돋친 듯이 팔리고…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	연인들은 다들 손을 잡고 행복해 보였어.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	…나도 언젠가 어른이 되면\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	저런 식으로 물건을 사러 다니게 될까?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	그때는… 내 옆에 네가 있었으면 좋겠어.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침. 뭐…? 어른인 내가 나오는 꿈을 꿨어? 그렇구나…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	그럼 난 그 꿈을 뛰어넘을 만큼\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	근사한 안나 씨가 되어 줄게.\x0E\x04\x00\x00
