MID_TUT_CATEGORY_TITLE_Battle	전투
MID_TUT_BMAP_BREAK_0	｢상성이 유리한 무기｣를 장비하고 적을 직접 공격했을 때,\n공격이 명중하면 ｢브레이크｣시킬 수 있습니다
MID_TUT_BMAP_BREAK_1	｢브레이크｣ 상태인 적은\n다음 전투까지 반격할 수 없어\n유리하게 싸울 수 있습니다
MID_TUT_BMAP_BREAK_2	무기의 상성은 다음과 같습니다\n·검은 도끼에, 도끼는 창에, 창은 검에 강하다\n·체술은 활과 마도서, 그리고 단검에 강하다
MID_TUT_BMAP_WAND_TITLE	지팡이
MID_TUT_BMAP_WAND_0	몽크 등이 사용할 수 있는 ｢지팡이｣는\n동료를 지원하는 다양한 효과를 지닌 아이템입니다
MID_TUT_BMAP_WAND_1	예를 들어 ｢라이브｣는 아군의\nHP를 회복시킬 수 있습니다
MID_TUT_BMAP_WAND_2	편리하지만 사용 횟수가 제한되어 있으므로 주의합시다
MID_TUT_STYLE_PRANA_TITLE	전투 스타일 [기공]
MID_TUT_STYLE_PRANA_0	전투 스타일 [기공] 유닛은\n인접한 아군을 적의 공격으로부터 보호하는\n｢체인 가드｣를 사용할 수 있습니다
MID_TUT_STYLE_PRANA_1	발동하면 최대 HP 20%만큼의 대미지를 받는 대신\n아군이 받는 대미지를 0으로 만듭니다
MID_TUT_STYLE_PRANA_2	｢체인 가드｣는 자신의 HP가\n100%일 때만 사용할 수 있습니다\n(조금이라도 감소한 상태라면 사용할 수 없습니다)
MID_TUT_BMAP_MAGIC_TITLE	마법
MID_TUT_BMAP_MAGIC_0	｢마법｣은 사정거리가 길고\n인접한 적도 공격할 수 있습니다
MID_TUT_BMAP_MAGIC_1	또한, 검이나 도끼 같은 물리 공격으로\n큰 대미지를 입히기 힘든 적에게 매우 유용합니다
MID_TUT_STYLE_MAGIC_TITLE	전투 스타일 [마도]
MID_TUT_STYLE_MAGIC_0	전투 스타일 [마도] 유닛은\n마법으로 공격했을 때 지형 효과에 의한\n적의 회피 상승 보정을 무효화합니다
MID_TUT_STYLE_MAGIC_1	일반적으로 공격을 명중시키기 어려운 상황이라도\n거리낌 없이 원거리에서 공격할 수 있습니다
MID_TUT_BMAP_GOD_ENERGY_TITLE	문장의 기운
MID_TUT_BMAP_GOD_ENERGY_0	맵상에 ｢문장의 기운｣이라고 불리는\n에너지가 등장하는 경우가 있습니다
MID_TUT_BMAP_GOD_ENERGY_1	싱크로 중인 아군이 ｢문장의 기운｣ 위에서\n행동을 마치거나, 대기하면\n인게이지 카운트가 최대까지 차오릅니다
MID_TUT_OVERALLINFORMATION_TITLE	위험 범위
MID_TUT_OVERALLINFORMATION_0	적에게 커서를 올리면 그 적의 공격 범위인\n｢위험 범위｣가 표시됩니다. \x0E\x08\x02\x04\x02A를 누르면\n선택한 적의 ｢위험 범위｣를 표시 상태로 둘 수 있습니다
MID_TUT_OVERALLINFORMATION_1	\x0E\x08\x02\x06\x04ZL을 누르면 모든 적의 ｢위험 범위｣를\n한 번에 표시할 수 있습니다
MID_TUT_BMAP_SPECIALATTACK_TITLE	특효
MID_TUT_BMAP_SPECIALATTACK_0	무기의 상세 정보에 있는 ｢특효 아이콘｣은\n특정 적에 대해 ｢특효｣를 발휘한다는 것을 의미합니다
MID_TUT_BMAP_SPECIALATTACK_1	무기의 특효 아이콘과 같은 아이콘을 지닌 적을 공격하면\n｢특효｣가 발생해 평소보다 큰 대미지를 입힐 수 있습니다
MID_TUT_STYLE_COOP_TITLE	전투 스타일 [연계]
MID_TUT_STYLE_COOP_0	전투 스타일 [연계] 유닛은\n다른 아군이 공격했을 때\n원호 공격인 ｢체인 어택｣을 해 줍니다
MID_TUT_STYLE_COOP_1	적을 공격했을 때 [연계] 스타일인\n아군 유닛이 같은 적을 공격할 수 있다면\n함께 전투에 참가해 줍니다
MID_TUT_STYLE_HORSE_TITLE	전투 스타일 [기마]
MID_TUT_STYLE_HORSE_0	전투 스타일 [기마] 유닛은\n다른 스타일 유닛보다\n높은 이동력을 가지고 있습니다
MID_TUT_STYLE_HORSE_1	적진에 쳐들어가 선제공격을 하거나\n동료가 위기에 처했을 때 멀리서 달려오는 등\n기동력을 활용한 싸움이 특기입니다
MID_TUT_STYLE_COVERT_TITLE	전투 스타일 [은밀]
MID_TUT_STYLE_COVERT_0	전투 스타일 [은밀] 유닛은\n지형 효과로 얻는 상승 보정이 2배가 됩니다
MID_TUT_STYLE_COVERT_1	｢수풀｣ 등, 지형이 많은 곳에서 지형 효과를\n적절히 활용하면 싸움이 유리해집니다
MID_TUT_STYLE_HEAVY_TITLE	전투 스타일 [중갑]
MID_TUT_STYLE_HEAVY_0	전투 스타일 [중갑] 유닛은\n｢상성이 불리한 무기｣로 공격받아도\n브레이크되지 않습니다
MID_TUT_STYLE_HEAVY_1	또한, HP와 수비가 높아\n전선에서 방패 역할로 매우 든든한 존재입니다\n하지만 ｢마방｣이 낮아 마법 공격에 주의해야 합니다
MID_TUT_STYLE_FLY_TITLE	전투 스타일 [비행]
MID_TUT_STYLE_FLY_0	전투 스타일 [비행] 유닛은\n지형 효과 및 지형 이동 시 영향을 받지 않습니다\n또한, ｢보행 불가｣ 지역에 들어갈 수 있습니다
MID_TUT_STYLE_FLY_1	높은 이동 능력을 지니고 있지만\n활처럼 ｢비행 특효｣를 지닌\n무기에 약하니 주의해야 합니다
MID_TUT_STYLE_DRAGON_TITLE	전투 스타일 [용족]
MID_TUT_STYLE_DRAGON_0	전투 스타일 [용족] 유닛은\n인게이지 스킬 또는 인게이지 기술에\n반드시 추가 효과를 얻습니다
MID_TUT_STYLE_DRAGON_1	문장사의 능력을 살려 싸울 수 있으므로\n다양한 문장사와 인연을 높여 두면\n전략의 폭이 한층 넓어집니다
MID_TUT_STYLE_BATTLE_TITLE	전투 스타일
MID_TUT_STYLE_BATTLE_0	유닛은 [기마], [기공], [마도]처럼\n각각 특징을 지닌 다양한 ｢전투 스타일｣을 가지고 있습니다
MID_TUT_STYLE_BATTLE_1	각 유닛이 어떤 ｢전투 스타일｣인지는\n스테이터스에서 확인할 수 있습니다
MID_TUT_BMAP_ITEMDROP_TITLE	아이템 드롭
MID_TUT_BMAP_ITEMDROP_0	｢드롭 아이콘｣이 표시된 적을 쓰러뜨리면\n가지고 있던 아이템을 획득할 수 있습니다
MID_TUT_BMAP_ITEMDROP_1	획득할 수 있는 아이템은\n적 스테이터스에 ｢녹색｣으로 표시됩니다
MID_TUT_BMAP_XHELP_TITLE	상세 정보
MID_TUT_BMAP_XHELP_0	유닛에 커서를 올리고 \x0E\x08\x02\x04\x02X를 누르면\n그 유닛의 ｢상세 정보｣를 볼 수 있습니다
MID_TUT_BMAP_XHELP_1	커서를 움직여 ｢무기｣나 ｢스킬｣ 등의\n보고 싶은 항목의 ｢상세 정보｣를 확인할 수 있습니다
MID_TUT_BMAP_XHELP_2	다시 한번 \x0E\x08\x02\x04\x02X를 누르거나\n\x0E\x08\x02\x04\x02B를 누르면 원래 상태로 되돌아갑니다
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	인연 회화
MID_TUT_BMAP_BONDSSUPPORTTALK_0	아군과 문장사의 인연 레벨이 상승하면\n｢인연 회화｣라는 회화 이벤트를 볼 수 있습니다
MID_TUT_BMAP_BONDSSUPPORTTALK_1	｢인연 회화｣는 월드 맵이나\n거점 솔라넬에 있을 때 볼 수 있습니다
MID_TUT_BMAP_BONDSSUPPORTTALK_2	｢인연 회화｣를 보면 인연 레벨을\n추가로 더 올릴 수 있습니다
MID_TUT_BMAP_SUPPORT_TITLE	지원 효과
MID_TUT_BMAP_SUPPORT_0	아군과 인접한 상태로 전투하거나\n회복을 하면 지원도가 상승해\n｢지원 회화｣를 볼 수 있습니다
MID_TUT_BMAP_SUPPORT_1	｢지원 회화｣는 월드 맵이나\n거점 솔라넬에서 볼 수 있으며\n내용을 모두 확인하면 ｢지원 레벨｣이 상승합니다
MID_TUT_BMAP_SUPPORT_2	｢지원 레벨｣이 높아질수록\n높은 ｢지원 효과｣를 받을 수 있어\n인접해 있을 때 능력이 상승합니다
MID_TUT_BMAP_VISIT_TITLE	방문
MID_TUT_BMAP_VISIT_0	민가에 ｢방문｣해서 위험을 알리면\n보상으로 아이템이나 골드 등을 받을 수 있습니다
MID_TUT_BMAP_VISIT_1	민가 앞에 빛나는 곳까지 아군을 이동시키면\n｢방문｣을 선택할 수 있습니다
MID_TUT_BMAP_VISIT_2	민가에 적이 도달하면\n파괴되어 버리므로 주의합시다
MID_TUT_BMAP_TIMECRYSTAL_TITLE	용의 시간석
MID_TUT_BMAP_TIMECRYSTAL_0	｢용의 시간석｣을 사용하면 출격 중에 행동하기\n이전 시점으로 되돌아가 다시 행동할 수 있습니다
MID_TUT_BMAP_TIMECRYSTAL_1	메뉴의 ｢용의 시간석｣에서 사용할 수 있습니다\n\x0E\x08\x02\x06\x04Up\x0E\x08\x02\x0A\x08Down로 되돌리려는 시점을 선택해\n\x0E\x08\x02\x04\x02A로 결정합니다
MID_TUT_BMAP_REINFORCEMENT_TITLE	증원
MID_TUT_BMAP_REINFORCEMENT_0	출격 중, 적의 ｢증원｣이\n출현하는 경우가 있습니다
MID_TUT_BMAP_REINFORCEMENT_1	｢증원｣은 ｢요새｣나 ｢맵 끝부분｣에서\n출현하는 경우가 많으므로\n만일을 대비해 조심하도록 합시다
MID_TUT_BMAP_TRANSPORTER_TITLE	수송대
MID_TUT_BMAP_TRANSPORTER_0	｢수송대｣를 사용하면\n더 가질 수 없는 무기나 아이템을 맡기거나\n아이템이 필요할 때 찾을 수 있습니다
MID_TUT_BMAP_TRANSPORTER_1	출격 중에는 \x0E\x06\x03\x00,\n그리고 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02과\x02와 인접한\n아군이 사용할 수 있습니다
MID_TUT_BMAP_DEADSOUL_TITLE	전사자의 영혼
MID_TUT_BMAP_DEADSOUL_0	네트워크에 접속하면 그 맵을 플레이한\n전 세계 플레이어의 이력을 바탕으로\n｢전사자의 영혼｣이 출현하는 경우가 있습니다
MID_TUT_BMAP_DEADSOUL_1	｢노란색 영혼｣은 다양한 플레이어의 맵에서 아군 유닛이\n다수 격파된 칸에 출현하며, 그곳에 대기하면\n경험치 및 인연 경험치를 획득할 수 있습니다
MID_TUT_BMAP_DEADSOUL_2	｢보라색 영혼｣은 다양한 플레이어의 맵에서\n적 유닛이 다수 격파된 장소에 출현하며\n그곳에 대기하면 아이템을 획득할 수 있습니다
MID_TUT_BMAP_DOOR_TITLE	문
MID_TUT_BMAP_DOOR_0	｢문｣은 공격해서 파괴하면\n통행할 수 있습니다
MID_TUT_BMAP_DOOR_1	아군에 ｢시프｣가 있으면\n｢문 열쇠｣ 커맨드를 사용할 수 있으며\n문을 파괴하지 않고 열 수 있습니다
MID_TUT_BMAP_TREASUREBOX_TITLE	보물 상자
MID_TUT_BMAP_TREASUREBOX_0	｢보물 상자｣ 안에는 아이템이 들어 있어\n인접한 상태로 ｢보물 상자｣ 커맨드를 사용하면\n내용물을 획득할 수 있습니다
MID_TUT_BMAP_TREASUREBOX_1	적이 먼저 내용물을 가져간 상황이라도\n도망치기 전에 그 적을 쓰러뜨리면 획득할 수 있습니다
MID_TUT_BMAP_BREAKINGWALL_TITLE	지형 파괴
MID_TUT_BMAP_BREAKINGWALL_0	지형 정보에 ｢파괴 가능｣이라고 표시된 지형은\n공격해서 파괴할 수 있습니다
MID_TUT_BMAP_BREAKINGWALL_1	파괴하고 나면 그곳을 통행할 수 있습니다
MID_TUT_BMAP_HPSTOCK_TITLE	부활의 돌
MID_TUT_BMAP_HPSTOCK_0	일부 강력한 적은\n｢부활의 돌｣을 지니고 있습니다
MID_TUT_BMAP_HPSTOCK_1	HP가 0이 되어도 돌을 사용해\n부활 및 회복을 합니다
MID_TUT_BMAP_HPSTOCK_2	｢부활의 돌｣이 남아 있는 상태에선\n쓰러뜨릴 수 없으므로\n소진될 때까지 계속 공격합시다
MID_TUT_BMAP_INTERFERINGCANE_TITLE	방해 지팡이
MID_TUT_BMAP_INTERFERINGCANE_0	지팡이 중에는 장애물을 설치하는 등\n적의 움직임을 방해할 수 있는 것이 있습니다
MID_TUT_BMAP_SEARCH_TITLE	어둠
MID_TUT_BMAP_SEARCH_0	｢어둠｣ 맵에서는 아군의 주위와\n｢화톳불｣, ｢횃불｣의 빛이 닿는 범위 내의\n맵만 볼 수 있습니다
MID_TUT_BMAP_SEARCH_1	적이 숨어 있어도\n위치를 알 수 없으므로\n조심스럽게 전진합시다
MID_TUT_BMAP_POISON_TITLE	상태 이상 ｢독｣
MID_TUT_BMAP_POISON_0	시프의 특기인 ｢단검｣ 공격은\n적에게 대미지를 입히면\n｢독｣ 상태로 만들 수 있습니다
MID_TUT_BMAP_POISON_1	｢독｣ 상태인 적을 공격하면\n평소보다 큰 대미지를 입힐 수 있습니다
MID_TUT_BMAP_POISON_2	또한, ｢독｣ 상태인 적에게\n단검 공격을 추가로 명중시키면\n독의 위력이 점차 강해집니다
MID_TUT_BMAP_POISON_3	｢독｣은 ｢해독제｣나 ｢레스트｣ 지팡이를\n사용하지 않는 한 맵이 종료될 때까지 효과가 지속됩니다
MID_TUT_BMAP_TORCH_TITLE	화톳불
MID_TUT_BMAP_TORCH_0	불이 꺼진 ｢화톳불｣은 근처로 이동하면\n｢화톳불｣ 커맨드를 사용해 불을 붙일 수 있습니다
MID_TUT_BMAP_TORCH_1	화톳불을 붙이면\n주위의 어둠을 밝힐 수 있어\n숨어 있는 적을 찾을 수 있습니다
MID_TUT_BMAP_SMASH_TITLE	스매시
MID_TUT_BMAP_SMASH_0	｢철의 대검｣과 ｢철의 큰 창｣ 등의 커다란 무기는\n직접 공격 시, 항상 후공이 되는 대신\n｢스매시｣가 발생하여 적을 1칸 밀어낼 수 있습니다
MID_TUT_BMAP_SMASH_1	밀려난 곳에 다른 유닛이 있거나\n벽 등의 장애물이 있는 경우에는\n브레이크시킬 수 있습니다
MID_TUT_BMAP_SMASH_2	이와 같은 무기는 위력도 높고 편리하지만\n무거워서 추격이 불가능하므로 주의가 필요합니다
MID_TUT_BMAP_DARKSYNCHRO_TITLE	암흑 싱크로
MID_TUT_BMAP_DARKSYNCHRO_0	적 중에는 문장사와 ｢암흑 싱크로｣ 상태로\n싸우는 유닛이 있습니다
MID_TUT_BMAP_DARKSYNCHRO_1	암흑의 힘으로 싱크로하고 있어\n인게이지할 수 없지만\n인게이지 기술을 사용할 수 있습니다
MID_TUT_BMAP_DARKSYNCHRO_2	적이 인게이지 기술을 사용할 수 있는 상태가 되면\n이곳이 빛나므로 주의합시다
MID_TUT_BMAP_BOWTURRET_TITLE	활 포대
MID_TUT_BMAP_BOWTURRET_0	공격 가능한 활을 소지한 유닛이\n｢활 포대｣가 있는 곳까지 이동하면\n｢포격｣ 커맨드를 사용할 수 있습니다
MID_TUT_BMAP_BOWTURRET_1	｢포격｣은 위력이 높고 사정거리도 매우 길어서\n멀리 있는 적에게 큰 대미지를 입힐 수 있습니다
MID_TUT_BMAP_BOWTURRET_2	단, 발사 횟수에 제한이 있으므로\n신중하게 사용합시다
MID_TUT_BMAP_CONVERSATION_TITLE	대화
MID_TUT_BMAP_CONVERSATION_0	｢대화 아이콘｣이 표시되는 유닛은\n인접해서 ｢대화｣ 커맨드를 사용하면\n대화를 나눌 수 있습니다
MID_TUT_BMAP_CONVERSATION_1	대화하면 아군이 되는 유닛도 있으므로\n적극적으로 ｢대화｣를 해 봅시다
MID_TUT_BMAP_CONVERSATION_2	특정 아군만 말을 걸 수 있는 유닛도 있습니다
MID_TUT_BMAP_MAGICTURRET_TITLE	마법 포대
MID_TUT_BMAP_MAGICTURRET_0	사용 가능한 마도서를 소지한 유닛이\n｢마법 포대｣가 있는 곳까지 이동하면\n｢포격｣ 커맨드를 사용할 수 있습니다
MID_TUT_BMAP_MAGICTURRET_1	｢포격｣은 위력이 높고 사정거리도 매우 길어서\n멀리 있는 적에게 큰 대미지를 입힐 수 있습니다
MID_TUT_BMAP_MAGICTURRET_2	활 포대와 마찬가지로 사용 횟수가 제한되어 있으므로\n신중하게 사용합시다
MID_TUT_BMAP_QUICKSAND_TITLE	유사
MID_TUT_BMAP_QUICKSAND_0	｢유사｣는 빠져나올 때\n이동력을 크게 필요로 하는\n특수한 지형입니다
MID_TUT_BMAP_QUICKSAND_1	섣불리 진입하면 움직이기 어려워지므로\n불리한 상황에 부딪히지 않도록 조심합시다
MID_TUT_BMAP_RECKLESS_TITLE	폭주
MID_TUT_BMAP_RECKLESS_0	｢암흑 싱크로｣ 중인 적은\n｢부활의 돌｣을 사용해서 부활할 때\n｢폭주｣ 상태가 되기도 합니다
MID_TUT_BMAP_RECKLESS_1	문장사의 힘이 폭주해\n능력이 강화되므로 주의합시다
MID_TUT_BMAP_DANCE_TITLE	춤추기
MID_TUT_BMAP_DANCE_0	댄서는 행동을 마친 아군과 인접하면\n｢춤추기｣ 커맨드를 사용할 수 있습니다
MID_TUT_BMAP_DANCE_1	｢춤추기｣ 커맨드를 사용하면\n아군이 미행동 상태로 되돌아가\n다시 한번 행동을 취할 수 있습니다
MID_TUT_BMAP_FLAMETURRET_TITLE	화염 포대
MID_TUT_BMAP_FLAMETURRET_0	유닛이 ｢화염 포대｣가 있는 곳까지 이동하면\n｢포격｣ 커맨드를 사용할 수 있습니다
MID_TUT_BMAP_FLAMETURRET_1	화염 포대의 ｢포격｣은 착탄 지점 주변을\n광범위하게 공격하며, 추가로 지형을\n｢화염｣ 상태로 만듭니다
MID_TUT_BMAP_FLAMETURRET_2	매우 편리한 공격이지만\n아군도 말려들 수 있다는 점과\nHP를 0으로 만들 수 없다는 점에 주의합시다
MID_TUT_BMAP_PICKUPARING_TITLE	반지 수집
MID_TUT_BMAP_PICKUPARING_0	떨어져 있는 반지 근처에서\n\x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 대기시키면\n문장사를 현현시킬 수 있습니다
MID_TUT_BMAP_LINKINGUP_TITLE	출격 중의 싱크로
MID_TUT_BMAP_LINKINGUP_0	현현한 문장사에게 반지\x0E\x01\x08\x00를 지니지 않은 아군으로\n인접해 ｢대화｣하면 그곳에서 싱크로 상태가 됩니다
MID_TUT_BMAP_DRAGONCREST_TITLE	사룡문
MID_TUT_BMAP_DRAGONCREST_0	｢사룡문｣을 파괴하려면 사룡문의 권속인 적장\n｢세피아｣와 ｢그리｣를 격파해야 합니다
MID_TUT_BMAP_DRAGONCREST_1	두 사람은 사룡문의 힘을 이용해\n｢화산탄｣을 흩뿌립니다
MID_TUT_BMAP_VOLCANICBOMB_TITLE	화산탄
MID_TUT_BMAP_VOLCANICBOMB_0	｢화산탄｣은 일정 턴마다 떨어집니다
MID_TUT_BMAP_VOLCANICBOMB_1	화산탄에 맞은 아군은 큰 대미지를 입으며\n착탄 지점에 있는 장애물(큰 바위)은 파괴됩니다
MID_TUT_BMAP_VOLCANICBOMB_2	착탄 지점은 미리 표시되므로\n말려들지 않도록 주의합시다
MID_TUT_BMAP_AVALANCHE_TITLE	눈사태
MID_TUT_BMAP_AVALANCHE_0	적 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02은\x02는\n사룡문의 힘을 사용해 ｢눈사태｣를 일으켜\n아군을 휩쓸리게 합니다
MID_TUT_BMAP_AVALANCHE_1	｢눈사태｣가 일어날 곳은 미리 표시되므로\n가능한 한 주의 깊게 행동합시다
MID_TUT_BMAP_AVALANCHE_2	휩쓸려 가는 도중에 바위가 있거나,\n적이 있는 경우에는 멈추게 됩니다
MID_TUT_BMAP_TURNLIMIT_TITLE	턴 제한
MID_TUT_BMAP_TURNLIMIT_0	일부 전투 맵에는 제한된 턴 수로\n클리어해야 하는 곳도 있습니다
MID_TUT_BMAP_TURNLIMIT_1	정해진 턴 수를 넘기면 패배하므로\n그 전에 승리 조건을 달성합시다
MID_TUT_BMAP_DRAGONBEAM_TITLE	사룡문포
MID_TUT_BMAP_DRAGONBEAM_0	이형의 뤼미에르는 사룡문의 힘을 사용해\n광범위 공격 ｢사룡문포｣를 발사합니다
MID_TUT_BMAP_DRAGONBEAM_1	｢사룡문포｣가 명중하는 범위는\n미리 표시됩니다\n맞지 않도록 주의합시다
MID_TUT_BMAP_DARKHERALDIC_TITLE	어둠의 문장사
MID_TUT_BMAP_DARKHERALDIC_0	｢어둠의 문장사｣는 강력한 적이지만\n그들과 같은 세계 출신인 문장사와 싱크로·인게이지 중인\n아군이 공격하면 큰 대미지를 입힐 수 있습니다
MID_TUT_BMAP_BARRIER_TITLE	어둠의 결계
MID_TUT_BMAP_BARRIER_0	대사룡 솜브르는 어둠의 문장사가 만드는\n｢어둠의 결계｣를 통해 보호받으며\n받는 대미지가 감소한 상태입니다
MID_TUT_BMAP_BARRIER_1	｢어둠의 결계｣는 ｢어둠의 문장사｣를 쓰러뜨리면\n효과를 약화시킬 수 있습니다
MID_TUT_BMAP_ENGAGERING_TITLE	약속의 반지
MID_TUT_BMAP_ENGAGERING_0	｢약속의 반지｣는 지원 A가 된 동료에게\n건넬 수 있으며 그 상대와 강한 인연을\n맺을 수 있는 아이템입니다
MID_TUT_BMAP_ENGAGERING_1	｢마이 룸｣의 ｢마이 체스트｣에\n보관되어 있으니 필요할 때 꺼내서\n선택한 상대에게 건넵시다
MID_TUT_BMAP_ENGAGERING_2	건네줄 상대와 솔라넬에서 만날 수 없을 때\n마이 베드에서 휴식을 취하면\n만나게 될지도 모릅니다
MID_TUT_GOD_MARTH_TITLE	문장사 마르스
MID_TUT_GOD_MARTH_0	｢문장사 마르스｣는 화려한 연속 공격과\n적을 농락하는 경쾌한 움직임이 특징입니다
MID_TUT_GOD_MARTH_1	싱크로 스킬 ｢간파｣는 공격할 때\n적의 반격을 피할 확률이 상승합니다
MID_TUT_GOD_MARTH_2	인게이지 무기 ｢레이피어｣는\n기마인 적과 중갑병에게 큰 대미지를 입힙니다
MID_TUT_GOD_MARTH_3	인게이지 스킬 ｢신속｣은\n항상 공격 횟수가 1회 많아집니다
MID_TUT_GOD_MARTH_4	인게이지 기술 ｢스타 러시｣는\n보이지도 않을 만큼 빠른 연격으로\n적에게 큰 대미지를 입힙니다
MID_TUT_GOD_SIGLUD_TITLE	문장사 시구르드
MID_TUT_GOD_SIGLUD_0	｢문장사 시구르드｣는 높은 기동력을 지녀\n전장을 종횡무진 누빌 수 있습니다
MID_TUT_GOD_SIGLUD_1	싱크로 스킬 ｢재이동｣은\n공격한 후에 이어서\n1번 더 이동할 수 있습니다
