MID_WU_C_1_IN_#001	사익의 리더 셀레스티아,
MID_WU_B_1_WAKEUP_#003	우후후… 오늘은 나눠 드리는 건 포기해야겠네요.
MID_WU_B_1_HELLO_#001	우물우물…
MID_WU_B_1_HELLO_#002	앗, 신룡 님?
MID_WU_B_1_HELLO_#003	죄송해요, 마침 다 먹어 버렸네요…
MID_WU_B_1_HELLO_#004	오늘도 신룡 님께
MID_WU_B_1_HELLO_#005	수프를 직접 떠먹여 드리고 싶었는데요.
MID_WU_B_2_IN_#001	신룡 님을 깨우는 것도 사익의 의무.
MID_WU_B_2_IN_#002	소홀히 하지 않겠어요.
MID_WU_B_2_SOON_#001	어머, 제가 올 필요는 없었을까요?
MID_WU_B_2_SOON_#002	여기에 조금 더 있고 싶었거든요,
MID_WU_B_2_SOON_#003	다음에는 주무시는 척을 해 주세요.
MID_WU_B_2_WAKEUP_#001	자 그럼, 이 셀레스티아가 깨워 드리는 이상
MID_WU_B_2_WAKEUP_#002	최고의 기상을 약속드릴게요.
MID_WU_B_2_WAKEUP_#003	신룡 님, 신룡 님, 깨어나실 시간이랍니다…?
MID_WU_B_2_HELLO_#001	좋은 아침이에요.
MID_WU_B_2_HELLO_#002	조금만 더 늦게 일어나셨으면 귀에 바람을 불려고 했답니다.
MID_WU_B_2_HELLO_#003	네? 그게 더 좋으셨나요…?
MID_WU_A_1_IN_#001	신룡 님, 죄송합니다…
MID_WU_A_1_IN_#002	또 식사하는 걸 깜빡 잊어버렸어요.
MID_WU_A_1_SOON_#001	문득 생각나서 와 버렸는데
MID_WU_A_1_SOON_#002	휴식 중에 갑자기 찾아와서 죄송해요.
MID_WU_A_1_SOON_#003	지금부터 뭐라도 먹고 올게요!
MID_WU_A_1_WAKEUP_#001	잊어버린 만큼 지금부터 함께 먹으려고 했는데
MID_WU_A_1_WAKEUP_#002	이건 이거대로 재미있네요.
MID_WU_A_1_WAKEUP_#003	신룡 님께서 사랑스럽게 주무시는 모습을 보니까 저까지…
MID_WU_A_1_WAKEUP_#004	후아암~
MID_WU_A_1_HELLO_#001	쿨…쿨…
MID_WU_A_1_HELLO_#002	앗… 저까지 잠들어 버렸네요.
MID_WU_A_1_HELLO_#003	그렇지, 지금부터 잠도 깰 겸 산책이라도 어떠세요?
MID_WU_A_1_HELLO_#004	뭔가 잊어버린 느낌도 들지만…
MID_WU_A_1_HELLO_#005	기분 탓이겠죠.
MID_WU_A_2_IN_#001	이렇게 또 신룡 님을 깨울 수 있어서 행복해요.
MID_WU_A_2_IN_#002	마치 원래 세계에 있는 듯해요.
MID_WU_A_2_SOON_#001	좋은 아침이에요.
MID_WU_A_2_SOON_#002	다른 세계의 당신이셔도
MID_WU_A_2_SOON_#003	막 일어나신 얼굴은 역시 똑같네요.
MID_WU_A_2_SOON_#004	왠지 그리운 기분이에요.
MID_WU_A_2_WAKEUP_#001	저쪽 세계의 뤼미에르 님께서 살아계셨을 때는
MID_WU_A_2_WAKEUP_#002	제가 당신을 깨워 드렸답니다.
MID_WU_A_2_WAKEUP_#003	왕이 되신 후로는 그럴 기회도 없었지만요…
MID_WU_A_2_HELLO_#001	깨어나셨군요, 신룡 님.
MID_WU_A_2_HELLO_#002	조금만 더 못 일어나시는 채로 계셔 주세요.
MID_WU_A_2_HELLO_#003	당신께서 혼자 일어나시게 되면
MID_WU_A_2_HELLO_#004	쓸쓸할 테니까요.
MID_WU_S_1_IN_#001	깨워 드리러 왔답니다,
MID_WU_S_1_IN_#002	제가 가장 좋아하는 신룡 님.
MID_WU_S_1_SOON_#001	후훗, 당신을 부르러 오면
MID_WU_S_1_SOON_#002	당신께서 일어나 주시죠.
MID_WU_S_1_SOON_#003	그것만으로도 행복하답니다.
MID_WU_S_1_SOON_#004	…가족은 참 좋네요.
MID_WU_S_1_SOON_#005	계속 이대로 함께해요.
MID_WU_S_1_WAKEUP_#001	음, 사랑하는 파트너가 마중을 왔는데 반응이 없으시다니,
MID_WU_S_1_WAKEUP_#002	섭섭하네요.
MID_WU_S_1_WAKEUP_#003	이대로 일어나시지 않으면
MID_WU_S_1_WAKEUP_#004	셀레스티아는 다른 용에게 한눈을 팔 거랍니다~?
MID_WU_S_1_WAKEUP_#005	…물론, 방금 건 거짓말이에요.
MID_WU_S_1_WAKEUP_#006	다른 데로는 눈길조차 돌릴 수 없을 정도로, 저는…
MID_WU_S_1_WAKEUP_#007	당신을 가장 사랑하니까요.
MID_WU_S_1_HELLO_#001	애정에 둘러싸여 깨어나시니 어떠세요?
MID_WU_S_1_HELLO_#002	네, 굉장히 행복하시다고요?
MID_WU_S_1_HELLO_#003	…곤란하네요.
MID_WU_S_1_HELLO_#004	새삼스럽게 그런 말씀을 들으면…
MID_WU_S_1_HELLO_#005	부끄러워지잖아요…
MID_WU_S_2_IN_#001	제 파트너는 오늘도 잠꾸러기셔서
MID_WU_S_2_IN_#002	손이 많이 가네요.
MID_WU_S_2_SOON_#001	어머, 바로 일어나 주시다니 상냥하시네요.
MID_WU_S_2_SOON_#002	하지만…
MID_WU_S_2_SOON_#003	저한테만은 좀 더 응석 부리셔도 된답니다.
MID_WU_S_2_SOON_#004	다른 누구에게도 하지 않을 행동을
MID_WU_S_2_SOON_#005	저한테만은 해 주셨으면 좋겠어요.
MID_WU_S_2_WAKEUP_#001	안심하고 주무시네요.
MID_WU_S_2_WAKEUP_#002	앞으로 분명 저도
MID_WU_S_2_WAKEUP_#003	당신께 많은 신세를 지겠지만…
MID_WU_S_2_WAKEUP_#004	용서해 주세요, 가족이니까요.
MID_WU_S_2_WAKEUP_#005	설마 신룡족과 마룡족이
MID_WU_S_2_WAKEUP_#006	이렇게 깊은 인연을 맺을 수 있다니.
MID_WU_S_2_WAKEUP_#007	제 진짜 가족이 되어 주셔서 감사해요.
MID_WU_S_2_WAKEUP_#008	당신께서 사랑해 주셔서…
MID_WU_S_2_WAKEUP_#009	행복하답니다.
MID_WU_S_2_HELLO_#001	좋은 아침이에요.
MID_WU_S_2_HELLO_#002	오늘도 정말 좋아해요.
MID_WU_S_2_HELLO_#003	어머, 부끄러워하지 마세요.
MID_WU_S_2_HELLO_#004	앞으로 몇 번이고 좋아한다고 말씀드릴 건데…
MID_WU_S_2_HELLO_#005	계속 그러시면 못 버티실 걸요?
