MID_WU_C_1_IN_#001	신룡 님, 실례하지.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	내가 어릴 때였군.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	그때와 조금도 다르지 않아…\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	잠든 모습이 아름다워.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	일어났나.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	과연, 신룡 님은 일어날 때의 용모도 아름답군.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	…아니, 빈말이 아니야.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	이건 정말로 진심이다만.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	마중 나왔어, 신룡 님. …조금 일찍 도착했나?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	미안하다, 일어나기에는 조금 이르군.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	부디 천천히 준비하도록 해.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	신기한걸…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	신룡 님 앞에서는 뭐든 말하게 돼.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	아버님께 받은 훈장에 관해서 이야기한 것도…\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	신룡 님이 처음이었지.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	좋은 아침. 저번에 약한 모습을 보여서 미안했어.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	덕분에, 오늘은 여느 때처럼 나답게 지낼 수 있겠는걸.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	신룡 님. 비축품에 관해 확인이… 자고 있군.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	바로 일어난 걸 보니, 아까는 자는 척이었나?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	…훗. 이거 보기 좋게 당했군.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	솔라넬은 기분 좋은 장소야.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	무심결에 잠드는 것도 이해가 돼.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	특히 이곳은 공기가 맑아서… 눈꺼풀이 쉽게……\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	…! 신룡 님, 언제 일어난 거지?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	실수했어, 내가 잠들어 버리다니.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	깨워 줘서 고맙다.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	들어갈게, 신룡 님.\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	…음? 오늘은 조금 꿈자리가 사나운 건가?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	다행이다, 일어났군.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	꿈자리가 사나운 듯해 걱정했어.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	이전에 신룡 님이라도 약해질 때가 있다고 했지…?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	그때는 친근감이 들었지만, 지금은 걱정이 들어…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	신룡 님, 일어나.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	좋은 아침. 기분은 어때?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	혹시 뭔가 고민거리가 있다면 말해 줘.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	이곳에는 지금 나밖에 없으니까.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	…나야. 신룡 님, 평소처럼 마중 나왔어.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	좋은 아침.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	빨리 일어나 준 덕분에, 잠깐 이야기할 수 있겠어.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	난 너와의 이 시간이…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	무엇보다 귀중하고 애틋해.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	잘 자고 있군.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	나를 신뢰하고 있는 거 같아 기쁘지만\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	다른 사람들 앞에서도 이렇다고 생각하니 조금 걱정이야.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	게다가, 이대로 깨어나지 못할 것 같다는 생각도 들어.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	…그런 걱정이 머릿속에 떠오를 정도로\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	난 너와 떨어지고 싶지 않은 거겠지.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	좋은 아침. 일어나서 안심했어.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	뭐, 늦잠 자도 괜찮지만 말이야.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	그랬다면, 그 아름다운 모습을 좀 더 볼 수 있었을 테니까.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	역시, 아직도 자고 있군.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	넌 정각이 되기 전까지는 일어나지 않겠지.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	힘내서 일어난 건가?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	하지만, 기억해 줘.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	네가 바로 일어나든, 깨울 때까지 자든\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	내게는 모두 행복한 일이야.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	이건… 내가 준 반지?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	잘 때 끼고 있었구나.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	나도 잘 때는 『약속의 반지』를 끼고 있지만\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	전장에서 낄 수 없으니 아쉬워.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	빨리 평화로워지기를 바랄 정도야.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	…무력의 나라의 왕자가 이런 말까지 하게 하다니, 넌 굉장해.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	일어났군.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	그래, 아직 조금 시간이 있어. 그러니까…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	방을 나서기 전에 잠시만\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	내 반지를… 빼지 말아 줘.\x0E\x04\x00\x00
