MID_WU_C_1_IN_#001	실례하겠습니다.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	저번에 내 곁에 있어 주셨던 걸 보더라도\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	그건 명백해… 언젠가 이 은혜를 갚아야 해…\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	오늘 기분은 어떠십니까…?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	동료뿐만이 아니라\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	본인도 소중히 하시기를 바랍니다… 그럼…\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	설마, 솔라넬에서 이렇게 유쾌한 일이 일어나다니…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	신룡 님, 들어 보십시오.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	여기에 오기 전에 과일 껍질을 밟아 넘어졌지 뭡니까…\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	신룡 님께서도 조심하시길…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	이곳으로 오면서 있었던 재밌는 일이\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	머리에서 떠나지 않아…\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	훗… 후후후… 안 돼. 신룡 님 앞에서, 하지만, 후후후…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	죄송합니다, 웃음소리 때문에 깨시다니 이런 불찰을…\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	아까 과일 껍질 때문에 넘어졌는데\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	그게 제가 생각해도 웃기게 넘어져서 말이죠… 후후후.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	정각까지 문을 지키고 있었습니다. 이상 없습니다…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	! 깨어 계셨습니까?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	그럼 이제 돌아가라고 말씀해 주셨어도…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	그렇군요. 저와 이야기하고 싶으셨군요…\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	아뇨, 영광입니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	저번에는 걱정을 끼쳐서 죄송했습니다.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	과거의 인연에 끌어들여도 괜찮으시다는…\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	그 말씀, 기뻤습니다…\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	신룡 님께서도 무슨 일이 있으시다면 저를 의지하십시오.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	이 철벽의 제이데… 반드시 힘이…\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	기사는 사랑하는 파트너가 잠든 방에 발을 들였다…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	사랑하는 파트너는 바로 눈을 떴다…\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	후후, 발소리로 저를 알아보셨습니까?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	혹시 그런 거라면 정말 기쁩니다… 좋은 아침입니다.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	익숙한 제단에는 역시 익숙한 파트너가 누워 있었다…\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	후후, 난 이 광경이 좋아.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	몇 번을 봐도 질리지 않고\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	어떤 미사여구를 붙이더라도 이 아름다움은 표현이 안 돼.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	…하지만, 괜찮아. 계속 같이 지내면서\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	언젠가 최고의 표현을 찾아낼 수만 있다면, 충분해.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	후후, 죄송합니다.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	저도 모르게 웃음이. 아뇨, 유쾌한 이야기는 아닙니다.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	단지 행복하다고 생각했거든요…\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	제가 당신의 파트너가 된 게 말이죠.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	이곳에 오면… 입꼬리가 저절로 올라가는 듯해…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	…아아, 당신의 얼굴을 보니\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	더는 속일 수 없겠군요…\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	사람은 유쾌한 이야기가 아니더라도\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	행복하면… 이렇게 미소 지을 수 있는 거군요…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	요즘 제가 이상합니다…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	웃긴 이야기를 구상할 때 말고도, 특히…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	『약속의 반지』를 보면 웃음이 끊이지 않습니다.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	아무리 명상을 해도 냉정해지지 않아요…\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	당신을 생각하면\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	제가… 마치 세계에서 제일 행복한 사람인 듯한 기분입니다.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	좋은 아침입니다. 후후, 방금 전 이야기…\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	혹시 들으셨다면 부끄럽군요.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	제가 얼마나 당신을 사모하는지\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	더는 숨길 수 없을 테니까요…\x0E\x04\x00\x00
