MID_WU_C_1_IN_#001	이봐, 게으름피우지 마, 신룡.
MID_WU_B_2_WAKEUP_#003	이번에는 네 녀석이 기다리게 하다니,
MID_WU_B_2_WAKEUP_#004	배짱도 좋군.
MID_WU_B_2_HELLO_#001	좋은 아침이다.
MID_WU_B_2_HELLO_#002	이 녀석이고 저 녀석이고…
MID_WU_B_2_HELLO_#003	내 시간을 뭐라고 생각하는 거냐.
MID_WU_B_2_HELLO_#004	뭐, 천 년 기다린 것을 생각하면
MID_WU_B_2_HELLO_#005	눈 깜짝할 시간이었지만.
MID_WU_A_1_IN_#001	칠칠치 못하군, 신룡.
MID_WU_A_1_IN_#002	가끔은 나처럼 정해진 시간에 깨어나라.
MID_WU_A_1_SOON_#001	좋은 아침이라고 해 주지.
MID_WU_A_1_SOON_#002	완전히 늦잠을 잤지만…
MID_WU_A_1_SOON_#003	뭐, 네 녀석도 가끔은 피곤한 날이 있겠지.
MID_WU_A_1_SOON_#004	너그럽게 봐주겠어.
MID_WU_A_1_WAKEUP_#001	안 일어나는군…
MID_WU_A_1_WAKEUP_#002	그렇다면 이건 어떨까?
MID_WU_A_1_WAKEUP_#003	크흠.
MID_WU_A_1_WAKEUP_#004	…신룡 님, 늦잠 자면 안 돼.
MID_WU_A_1_WAKEUP_#005	빨리 안 일어나면 모두 화낼 거라고~!
MID_WU_A_1_HELLO_#001	깨어났나.
MID_WU_A_1_HELLO_#002	뭐? 그리운 누군가의 꿈을 꿨다고?
MID_WU_A_1_HELLO_#003	네 녀석의 꿈 따위에는 관심 없어.
MID_WU_A_1_HELLO_#004	빨리 방을 나서서 세수나 하고 와.
MID_WU_A_2_IN_#001	아직 일어날 시간은 아니지만…
MID_WU_A_2_IN_#002	내가 왔다, 기뻐하도록.
MID_WU_A_2_SOON_#001	네 녀석, 왜 일어나지 않았으면 할 때만
MID_WU_A_2_SOON_#002	쉽게 일어나는 거지.
MID_WU_A_2_SOON_#003	내가 모처럼 일부러 머리맡에 과자를…
MID_WU_A_2_SOON_#004	아무것도 아냐.
MID_WU_A_2_WAKEUP_#001	후후후…
MID_WU_A_2_WAKEUP_#002	저번에 과자를 받고 기뻐하길래
MID_WU_A_2_WAKEUP_#003	또 연한 맛으로 만들어 왔다.
MID_WU_A_2_WAKEUP_#004	이렇게 몰래 머리맡에 두고…
MID_WU_A_2_WAKEUP_#005	으악?!
MID_WU_A_2_HELLO_#001	오, 신룡!
MID_WU_A_2_HELLO_#002	오늘은 아직 일어나기 일러.
MID_WU_A_2_HELLO_#003	조금 더 자는 게 좋지 않겠나?
MID_WU_A_2_HELLO_#004	뭐? 그만 일어나겠다고?
MID_WU_A_2_HELLO_#005	그럼 이건 다음에 해야겠군…
MID_WU_S_1_IN_#001	내가 매일 깨워 주다니,
MID_WU_S_1_IN_#002	너는 정말 행복한 사람이군.
MID_WU_S_1_SOON_#001	좋은 아침이다.
MID_WU_S_1_SOON_#002	네가 잘 못 일어나는 것도
MID_WU_S_1_SOON_#003	이제는 귀엽게 느껴져.
MID_WU_S_1_SOON_#004	…오늘도 그 눈동자가 가장 먼저 비추는 것이 나라서
MID_WU_S_1_SOON_#005	기쁘다.
MID_WU_S_1_WAKEUP_#001	오늘은 어떤 꿈을 꾸고 있지?
MID_WU_S_1_WAKEUP_#002	여기서 보면
MID_WU_S_1_WAKEUP_#003	내가 있던 세계도 꿈과 구분할 수 없는 것.
MID_WU_S_1_WAKEUP_#004	어쩌면…
MID_WU_S_1_WAKEUP_#005	수많은 세계 중에는
MID_WU_S_1_WAKEUP_#006	내가 네 녀석을 주문으로 현현시켜서
MID_WU_S_1_WAKEUP_#007	싸우는 세계도 있을지도 모르겠어.
MID_WU_S_1_WAKEUP_#008	하지만 나는…
MID_WU_S_1_WAKEUP_#009	너와 단 하나의 반지로 맺어진 이 세계가
MID_WU_S_1_WAKEUP_#010	무엇보다 사랑스럽다.
MID_WU_S_1_HELLO_#001	들렸나?
MID_WU_S_1_HELLO_#002	두 번은 안 말할 거야.
MID_WU_S_1_HELLO_#003	오늘은 시간이 있으니까
MID_WU_S_1_HELLO_#004	…내가 네 녀석을 얼마나 소중하게 생각하는지
MID_WU_S_1_HELLO_#005	네 곁에서 이해시켜 주지.
MID_WU_S_2_IN_#001	파트너인 내가 와 줬다.
MID_WU_S_2_IN_#002	기쁘다면 지금 당장 일어나.
MID_WU_S_2_SOON_#001	훗… 일어났군.
MID_WU_S_2_SOON_#002	그렇다면 이쪽도 순순히 맞이해 주지.
MID_WU_S_2_SOON_#003	…좋은 아침이다.
MID_WU_S_2_SOON_#004	나는 너의 그…
MID_WU_S_2_SOON_#005	바보처럼 솔직하고 순수한 점이…
MID_WU_S_2_SOON_#006	무엇보다 마음에 들어.
MID_WU_S_2_WAKEUP_#001	안 일어나는군.
MID_WU_S_2_WAKEUP_#002	…가끔 그런 생각이 든다.
MID_WU_S_2_WAKEUP_#003	만약 이대로 깨어나지 않으면 어쩌지 하는 생각이.
MID_WU_S_2_WAKEUP_#004	과거의 너와, 과거의 누나처럼…
MID_WU_S_2_WAKEUP_#005	또 천 년 동안 잠든다면
MID_WU_S_2_WAKEUP_#006	이번에야말로 나는 고독으로 무너져 버릴지도 몰라.
MID_WU_S_2_WAKEUP_#007	나는 내가 무섭다.
MID_WU_S_2_WAKEUP_#008	소중한 너를 잃었을 때
MID_WU_S_2_WAKEUP_#009	제정신으로 있을 자신이 없어…
MID_WU_S_2_HELLO_#001	일어났나.
MID_WU_S_2_HELLO_#002	아니… 딱히 아무 말도 안 했다.
MID_WU_S_2_HELLO_#003	깨어났다면 그걸로 됐어.
MID_WU_S_2_HELLO_#004	…잘 들어라.
MID_WU_S_2_HELLO_#005	언젠가 영원히 잠들 때
MID_WU_S_2_HELLO_#006	나보다 먼저 잠들면 용서하지 않겠다.
