MID_FRIENDLIST_Vandre_TextD	[초기 병과]팔라딘\n[생일]11월 26일\n[비고]제32대 용의 수호자.\n부유섬에 있는 별궁 솔라넬에\n잠든 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를\n보살피고 있었다.
MID_FRIENDLIST_Fram_TextC	[좋아하는 것]\n신룡, 꽃, 치장, 운동,\n비트, 다른 사람 응원\n[싫어하는 것]\n청소, 공부, 괴담, 어려운 책,\n잔소리, 혼자 넘어졌을 때의 무안함
MID_FRIENDLIST_Fram_TextB	[취미]신룡 님 관찰하기\n[특기]좋은 비트 구별하기, 백 덤블링\n[내력]성지 리토스 출신.\n성직자 집안에서 태어나\n어렸을 때부터 솔라넬을 드나들었다.\n반드레의 먼 친척이며\n신룡 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 향한\n열정을 보고 차기 수호자로 지명됐다.
MID_FRIENDLIST_Fram_TextA	[키]160cm\n[약지 반지 사이즈]7호\n[성격]승부욕이 강하고 활기차다.\n수호자 일을 적극적으로 하지만\n덜렁대는 성격이라 실수가 잦다.\n클랜과 함께 신룡 팬클럽을 결성해\n명예 회장을 맡고 있다.\n동료들 중 가장 돌려 차기가 멋지다.
MID_FRIENDLIST_Fram_TextS	[파트너로서의 일상]\n파트너의 모습을 볼 때마다 크게\n기뻐하며 평소처럼 응원하고 있지만\n둘만 있을 때는 약간 소극적으로\n변한다. 약속의 반지를 잃어버리지\n않게 자기 보물 상자 속에 넣어 두고\n있지만, 언젠가 성숙한 어른이 되면\n항상 착용하려고 생각하고 있다.
MID_FRIENDLIST_Alfred_TextD	[초기 병과]노블\n[생일]8월 8일\n[비고]피레네 왕국 제1왕자.\n신룡왕성이 습격당한 그날 밤\n부셰론, 에티에라는 두 신하와 함께\n원군으로서 달려왔다.
MID_FRIENDLIST_Alfred_TextC	[좋아하는 것]\n단련, 운동, 음악, 꽃, 근육,\n아침 해, 네잎클로버, 타인의 행복\n[싫어하는 것]\n섬세한 작업, 바느질, 매운 음식,\n잠이 안 오는 밤, 후회하는 것
MID_FRIENDLIST_Alfred_TextB	[취미]근육 단련, 타인과 대화하기\n[특기]조기 취침 조기 기상, 화관 제작\n[내력]피레네의 왕자로 태어나\n제1 왕위 계승자로 자랐다.\n어렸을 무렵엔 자주 아팠지만\n튼튼한 몸을 만들기 위해 단련에 힘써\n건강한 몸을 얻었다. 세상을 떠난\n아버지에게 배운 창 실력은 달인급.
MID_FRIENDLIST_Alfred_TextA	[키]177cm\n[약지 반지 사이즈]12호\n[성격]다정하고 겸손하여\n얼핏 보면 모범적인 왕족 같지만\n사실은 호방하고 주관이 뚜렷하다.\n소소한 행복을 찾는 것을 좋아하며\n가끔은 혼자 있고 싶어 한다.\n동료들 중 가장 꽃향기가 나는 사람.
MID_FRIENDLIST_Alfred_TextS	[파트너로서의 일상]\n매일 행복하다고 동료들에게 말하며\n파트너에게는 화관을 만들어 준다.\n장수하는 파트너와 조금이라도\n오랫동안 함께 있기 위해 전보다\n더 운동과 단련에 힘쓰고 있다.\n약속의 반지는 꽃무늬 자수 주머니에\n넣어 항상 옷 어딘가에 숨기고 있다.
MID_FRIENDLIST_Boucheron_TextD	[초기 병과]액스 파이터\n[생일]5월 11일\n[비고]피레네 왕국의 왕성 기사.\n신룡왕성이 습격당한 그날 밤\n주군 알프레드 왕자 그리고\n동료 에티에와 함께\n원군으로서 달려왔다.
MID_FRIENDLIST_Boucheron_TextC	[좋아하는 것]\n독서, 낚시, 산책, 자연, 익숙한 길,\n행복한 결말로 끝나는 이야기\n[싫어하는 것]\n섬세한 작업, 괴담, 처음 가는 길,\n슬픈 결말로 끝나는 이야기
MID_FRIENDLIST_Boucheron_TextB	[취미]자연 속에서 독서하기\n[특기]힘 쓰는 일, 물 구별하기\n[내력]피레네 왕국 출신.\n물이 맑은 지역에 있는 백작가의 차남.\n체격이 큰 형이 한 명 있다.\n부모 모두 왕족과 교류가 있어\n알프레드 왕자와는 소꿉친구 사이.\n유소년 시절부터 신하로 지명되었다.
MID_FRIENDLIST_Boucheron_TextA	[키]190cm\n[약지 반지 사이즈]21호\n[성격]다정하고 감수성이 풍부하며\n감동하면 곧잘 울음을 터뜨린다.\n다른 사람을 상담해 주는 일이 많다.\n귀족 출신이라 마차를 타고 다녀서\n방향을 파악하는 게 서투르다.\n동료들 중 가장 포용력이 있다.
MID_FRIENDLIST_Boucheron_TextS	[파트너로서의 일상]\n하루 일과가 끝날 때는 곁에서\n파트너의 이야기를 다정하게 듣는다.\n다른 사람들 앞에서는 변한 게 없지만\n둘만 있을 때는 꽤 정열적이게 되었다.\n약속의 반지를 볼 때마다 감동해서\n울기 때문에 특별한 날에만\n소중하게 끼고 다니기로 했다.
MID_FRIENDLIST_Etie_TextD	[초기 병과]아처\n[생일]10월 1일\n[비고]피레네 왕국의 왕성 기사.\n신룡왕성이 습격당한 그날 밤\n주군 알프레드 왕자 그리고\n동료 부셰론과 함께\n원군으로서 달려왔다.
MID_FRIENDLIST_Etie_TextC	[좋아하는 것]\n단련, 다과회, 꽃, 고기,\n재밌는 맛을 가진 근육 증강제\n[싫어하는 것]\n섬세한 작업, 청소, 바느질,\n힘으로 해결할 수 없는 일
MID_FRIENDLIST_Etie_TextB	[취미]몸을 움직이는 일\n[특기]꺾은 꽃 싱싱하게 유지하기\n[내력]피레네 왕국 출신.\n꽃밭 마을로 유명한 후작가의 딸.\n나이 차이가 나는 오빠 언니가 있다.\n셀린과는 아기 때부터 친구였으며\n일과인 근육 단련은 셀린에게\n배우면서 관심을 갖게 되었다.
MID_FRIENDLIST_Etie_TextA	[키]154cm\n[약지 반지 사이즈]13호\n[성격]기품이 있고 자존심이 강할 것\n같지만 매우 긍정적이며 활동적이다.\n매일 강인한 몸을 만드는 데 여념이\n없으며, 그를 위한 연구도 게을리하지\n않는다. 고민이 생기면 몸을 움직인다.\n동료들 중 가장 다리가 튼튼하다.
MID_FRIENDLIST_Etie_TextS	[파트너로서의 일상]\n파트너의 건강을 누구보다 많이\n걱정하고 피곤할 때면 병을 대신\n따 주는 등 힘이 필요한 일을 해 주고\n있다. 전투 중에 파트너와 함께 뛰는\n그 순간이 제일 행복하다고 한다.\n약속의 반지는 절대 망가지지 않도록\n꽃 모양 수납함에 담아 두고 있다.
MID_FRIENDLIST_Celine_TextD	[초기 병과]노블\n[생일]12월 18일\n[비고]피레네 왕국 제1왕녀.\n알프레드의 동생.\n루이, 클로에를 신하로 두고 있다.\n플뢰르 풍차 마을에서\n『자애의 왕녀의 반지』를 가지고\n신룡군에 합류했다.
MID_FRIENDLIST_Celine_TextC	[좋아하는 것]\n다과회, 꽃, 독서, 치장,\n홍차, 작은 새, 동료의 행복\n[싫어하는 것]\n매운 음식, 무기, 전쟁,\n너무 큰 행복,\n억지로 긍정적인 척하는 것
MID_FRIENDLIST_Celine_TextB	[취미]다과회에 초대하기\n[특기]찻잎 종류 맞히기\n[내력]피레네의 왕녀로 태어나 가족과\n백성들의 사랑을 받으며 자랐다.\n어렸을 때는 엄청난 울보였지만\n선왕인 아버지가 세상을 떠난 후로\n어머니와 오빠를 돕기 위해 단련과\n공부에 힘써 강한 마음을 갖게 되었다.
MID_FRIENDLIST_Celine_TextA	[키]155cm\n[약지 반지 사이즈]6호\n[성격]밝고 친화력이 좋다.\n공부나 교양은 뭐가 됐든 잘 해내며\n평화를 위해서라면 서슴없이 싸운다.\n오빠인 알프레드에게는 꽤 독설가지만\n누구보다도 오빠의 안전을 염려한다.\n동료들 중 가장 설전에 강하다.
MID_FRIENDLIST_Celine_TextS	[파트너로서의 일상]\n매일 한 번은 같이 차를 마시며\n편안한 시간을 보내는 것이 일과.\n전투 중에 괴로운 일이 생겨도\n서로 아픔을 나누며 지지하고 있다.\n약속의 반지는 셀린이 아주 좋아하는\n작약을 본뜬 대좌에 보관 중이며\n둘만 있을 때 반드시 착용하고 있다.
MID_FRIENDLIST_Louis_TextD	[초기 병과]랜스 아머\n[생일]11월 4일\n[비고]피레네 왕국의 왕성 기사.\n플뢰르 풍차 마을에서\n주군 셀린을 도망치게 하기 위해\n동료 클로에와 공투했으며\n그 후 신룡군에 합류했다.
MID_FRIENDLIST_Louis_TextC	[좋아하는 것]\n다과회, 요리, 꽃, 망상,\n사이좋은 동료, 포도\n[싫어하는 것]\n공작, 엄청 매운 음식, 바다포도,\n속내를 알 수 없는 사람,\n기척에 예민한 사람
MID_FRIENDLIST_Louis_TextB	[취미]동료 관찰하기\n[특기]참견, 차 준비하기\n[내력]피레네 왕국 출신.\n포도 마을 출신 평민으로 동생이\n셋 있다. 가족의 생계를 위해 기사가\n되었고, 능력을 인정받아 셀린의\n신하가 되었다. 피레네에서는 평민이\n왕족의 신하가 되는 일이 드물다.
MID_FRIENDLIST_Louis_TextA	[키]178cm\n[약지 반지 사이즈]18호\n[성격]예의 바르고 온화하며\n기사와 집사의 자질을 모두 가졌다.\n언제나 동료의 상태를 살피며\n서로 사이좋게 지내면 행복해한다.\n정서가 불안정해지면 표정이 굳는다.\n동료들 중 가장 날씨를 잘 맞힌다.
MID_FRIENDLIST_Louis_TextS	[파트너로서의 일상]\n전보다 태도가 더 부드러워졌으며,\n굉장히 세심하게 보살펴 주고 있다.\n동료들을 관찰하는 시간보다\n파트너를 보는 시간이 더 길어졌다.\n약속의 반지는 항상 깨끗하게 닦고\n있으며 언젠가는 이 반지와 한 쌍을\n이룰 반지를 직접 만들어 줄 생각이다.
MID_FRIENDLIST_Chloe_TextD	[초기 병과]랜스 페가수스\n[생일]4월 27일\n[비고]피레네 왕국의 왕성 기사.\n플뢰르 풍차 마을에서\n주군 셀린을 도망치게 하기 위해\n동료 루이와 공투했으며\n그 후 신룡군에 합류했다.
MID_FRIENDLIST_Chloe_TextC	[좋아하는 것]\n동화, 별미, 망상, 동물,\n하늘에서 바라본 풍경, 간이 센 음식\n[싫어하는 것]\n요리, 청소, 뙤약볕,\n밍밍한 음식, 양이 적은 식사,\n귀족 영애로서의 행동 양식
MID_FRIENDLIST_Chloe_TextB	[취미]노점 순회, 하늘 산책\n[특기]멀리 던지기, 많이 먹기\n[내력]피레네 왕국 출신.\n연안 마을에 있는 후작가의 딸.\n가문을 이을 오빠가 있어 본인은\n좋은 가문의 남성과 결혼하기 위한\n교육을 받았지만 셀린과의 우연한\n만남으로 왕성 기사를 지망하게 됐다.
MID_FRIENDLIST_Chloe_TextA	[키]167cm\n[약지 반지 사이즈]11호\n[성격]느긋한 기질의 여성.\n동화나 아름다운 풍경을 좋아해 항상\n그림이 되는 조합을 찾아다니고 있다.\n별미를 좋아해 정체 모를 음식을\n자주 먹는데 탈이 나진 않는다.\n동료들 중 가장 물건을 멀리 던진다.
MID_FRIENDLIST_Chloe_TextS	[파트너로서의 일상]\n여전히 그림이 되는 조합을 찾느라\n여념이 없긴 하지만 그래도 최고의\n조합은 우리들이라 말하게 되었다.\n파트너가 피곤해하면 무릎에 눕히고\n아껴 뒀던 별미를 나눠 준다.\n약속의 반지는 페가수스의 깃털로 된\n아름다운 수납함에 보관하고 있다.
MID_FRIENDLIST_Diamand_TextD	[초기 병과]로드\n[생일]4월 6일\n[비고]브로디아 왕국 제1왕자.\n앰버, 제이데를 신하로 두고 있다.\n브로디아에 맡겨진\n문장사의 반지를 찾아온\n신룡 일행을 성문에서 맞이했다.
MID_FRIENDLIST_Diamand_TextC	[좋아하는 것]\n무기, 단련, 낚시, 고기,\n공부, 가족, 한적한 장소\n[싫어하는 것]\n연회, 귀여운 것, 화염 마법,\n향이 강한 것, 과도한 기대
MID_FRIENDLIST_Diamand_TextB	[취미]웃긴 이야기 읽기\n[특기]남 칭찬하기, 속독\n[내력]제1왕자로 태어나\n차기 국왕이 되기 위한 교육을 받았다.\n유소년 시절부터 모리온에게 직접\n무술을 배웠으며, 아버지를 진심으로\n존경하고 있지만 영토 확장보다는\n부국이 되기 위한 통치를 지향한다.
MID_FRIENDLIST_Diamand_TextA	[키]188cm\n[약지 반지 사이즈]21호\n[성격]성실하고 굳센 성격.\n자신의 능력 향상에 기쁨을 느낀다.\n모두가 인정하는 브로디아 차기 국왕.\n당당한 분위기와 위엄을 지녔으며\n꾸밈 없이 솔직하게 상대를 칭찬한다.\n한번 웃으면 동료들 중 가장 길다.
MID_FRIENDLIST_Diamand_TextS	[파트너로서의 일상]\n태도가 크게 변한 건 없지만\n솔라넬에서든 전장에서든 파트너를\n가장 신경 쓰고 걱정하게 되었다.\n파트너가 종종 브로디아의 반지를\n껴 준다는 사실이 제일 기쁘다고 한다.\n약속의 반지는 비단 주머니에 넣어서\n전투가 있을 때도 품에 간직하고 있다.
MID_FRIENDLIST_Umber_TextD	[초기 병과]랜스 나이트\n[생일]2월 3일\n[비고]브로디아 왕국의 왕성병.\n브로디아왕성이 습격당했을 당시,\n애마의 돌발 행동으로 국경에서\n귀환해 신룡과 주군 디아만드의\n원군으로서 활약했다.
MID_FRIENDLIST_Umber_TextC	[좋아하는 것]\n유제품, 감자, 동물, 요리,\n멋있는 것, 전설, 알파카\n[싫어하는 것]\n바느질, 청소, 별미, 어려운 책,\n낭만이 없는 일, 거짓말
MID_FRIENDLIST_Umber_TextB	[취미]전설과 낭만을 찾아다니기\n[특기]알파카어, 동물 돌보기\n[내력]브로디아 왕국 출신.\n알파카 마을에 있는 목장 출신으로\n시골 생활에 염증을 느껴 특훈한 끝에\n국가 무술 대회에서 좋은 성적을 거둬\n왕족의 신하가 되었다. 고향에선\n｢알파카 마을의 기적｣이라 여겨진다.
MID_FRIENDLIST_Umber_TextA	[키]185cm\n[약지 반지 사이즈]17호\n[성격]뜨겁고 순수한 마음을 지녔다.\n세계 각국의 전승과 전설을 좋아해서\n신빙성과 무관하게 잘 알고 있다.\n뭔가 하면 묘하게 난리가 나면서\n｢재밌는 결과가 되는｣ 운을 지녔다.\n동료들 중 가장 휘파람을 잘 분다.
MID_FRIENDLIST_Umber_TextS	[파트너로서의 일상]\n파트너를 볼 때마다 기쁜 미소를\n짓는다. 익살스러우면서도 착실하게\n받쳐 주는 믿음직한 파트너가 됐다.\n가끔 둘이서 알파카어로 대화하여\n다른 동료들을 놀라게 하기도 한다.\n약속의 반지는 수제 나무 상자에\n담아 전설의 보물처럼 보관 중이다.
MID_FRIENDLIST_Jade_TextD	[초기 병과]액스 아머\n[생일]12월 7일\n[비고]브로디아 왕국의 왕성병.\n국경 경비 임무를 수행하던 중에\n이르시온과의 전투가 벌어졌고\n전장에서 주군 디아만드 그리고\n신룡 일행과 합류했다.
MID_FRIENDLIST_Jade_TextC	[좋아하는 것]\n글쓰기, 망상, 산책, 독서, 동물,\n광석, 유쾌한 이야기, 밝은 사람\n[싫어하는 것]\n연회, 치장, 억지로 미소 짓기,\n글이 안 써지는 시간
MID_FRIENDLIST_Jade_TextB	[취미]소설 쓰기\n[특기]광석 감별, 명상\n[내력]브로디아 왕국 출신.\n광석으로 유명한 광산 마을에서\n태어나 5형제 중 셋째로 자랐다.\n마을에서는 광산의 경비로 일하며\n｢철벽의 제이데｣라 불렸고, 무술 대회\n우승으로 왕족의 신하가 되었다.
MID_FRIENDLIST_Jade_TextA	[키]170cm\n[약지 반지 사이즈]12호\n[성격]냉정하며 임무에 충실하다.\n전장에서는 냉혹하다고 평가받지만\n의외로 성격이 밝고 재밌는 이야기를\n좋아한다. 완전히 실없는 내용으로\n쓴 소설이 주군에게 호평을 받았다.\n동료들 중 가장 자각몽을 잘 꾼다.
MID_FRIENDLIST_Jade_TextS	[파트너로서의 일상]\n서투른 미소가 단둘이 있을 때는\n자연스러워진다. 파트너에게는\n비밀이지만 신룡과 기사의 즐겁고\n행복한 이야기를 몰래 집필하고\n있다. 약속의 반지는 광석으로 된\n튼튼한 상자에 담아 흠집이 나지\n않도록 보관하고 있다.
MID_FRIENDLIST_Staluke_TextD	[초기 병과]로드\n[생일]10월 15일\n[비고]브로디아 왕국 제2왕자.\n라피스, 시트리니카를 신하로\n두고 있다. 피레네와 브로디아의\n국경에서 신룡 일행을 도적으로\n착각해 오인 사격했지만\n금방 엎드려 절하며 사죄했다.
MID_FRIENDLIST_Staluke_TextC	[좋아하는 것]\n독서, 산책, 물고기, 공부, 낚시,\n적과 자신을 제외한 모든 사람\n[싫어하는 것]\n연회, 치장, 뙤약볕,\n겉치레, 칭찬, 자기 자신
MID_FRIENDLIST_Staluke_TextB	[취미]어두운 곳에 숨기\n[특기]다른 사람의 장점 찾기\n[내력]제2왕자로 태어나 여러모로\n뛰어난 형을 칭찬하는 말을 들으며\n자라서 상대적으로 자기가 못났다고\n생각해 자존감 낮은 인격이 되었다.\n부모나 백성들은 그 실력을 인정하고\n있지만 본인은 깨닫지 못하고 있다.
MID_FRIENDLIST_Staluke_TextA	[키]172cm\n[약지 반지 사이즈]16호\n[성격]비관적이며 자학이 일과.\n다른 사람이 전부 자기보다 나은 줄\n알고 사는 성가신 면이 있지만 남에게\n상처를 주지 않는 배려심과 사교성을\n갖췄으며 왕족다운 각오도 있다.\n동료들 중 가장 머릿결이 좋다.
MID_FRIENDLIST_Staluke_TextS	[파트너로서의 일상]\n파트너를 보면 쑥스럽게 웃으며\n살며시 손을 흔들어 준다.\n둘만 있을 때는 자기 비하도 안 하고\n솔직하게 호의를 전달한다.\n약속의 반지는 분에 넘친다고 생각해\n끼기가 무섭다고 말하고 있지만\n실은 매일 밤 몰래 끼고 자고 있다.
MID_FRIENDLIST_Lapis_TextD	[초기 병과]소드 파이터\n[생일]5월 25일\n[비고]브로디아 왕국 왕성병.\n주군 스타루크 그리고\n동료 시트리니카와 함께\n피레네 방면 국경을 경비하고 있었다.\n거기에 나타난 신룡 일행을\n적대시했으나 금방 오해를 풀었다.
MID_FRIENDLIST_Lapis_TextC	[좋아하는 것]\n감자, 공작, 바느질, 단련, 동물,\n식용 풀, 쓸 만한 목재\n[싫어하는 것]\n고급품, 치장, 분위기 낸 장소,\n신분 높은 사람들 모임
MID_FRIENDLIST_Lapis_TextB	[취미]사냥, 식물 관찰과 재배\n[특기]힘 쓰는 일, 물건 제작\n[내력]브로디아 왕국 출신.\n땅이 척박한 감자 마을에서 자라\n음식이 귀했기 때문에 급여가 높은\n왕성병을 목표로 특훈했다. 사냥으로\n기른 완력으로 무술 대회에서 우승을\n차지해 왕족의 신하가 되었다.
MID_FRIENDLIST_Lapis_TextA	[키]160cm\n[약지 반지 사이즈]7호\n[성격]사람 좋고 부드러운 성격.\n가냘픈 외모지만 괴력을 지녔다.\n돌이나 나뭇가지로 무엇이든 만들고\n식용 들풀을 묘하게 잘 안다.\n늘 집에 돈을 부친다. 동료들 중\n가장 가위바위보를 잘한다.
MID_FRIENDLIST_Lapis_TextS	[파트너로서의 일상]\n둘이서 솔라넬 구석에 식물을 심고\n그 성장을 지켜보고 있다.\n시간이 나면 함께 물건을 만들며\n노는데 쉴 때마다 나오는 고급 과자에\n아직 익숙해지지 못했다.\n약속의 반지는 아껴뒀던 예쁜 돌로\n만든 작은 상자에 보관 중이다.
MID_FRIENDLIST_Citrinica_TextD	[초기 병과]메이지\n[생일]11월 9일\n[비고]브로디아 왕국의 왕성병.\n주군 스타루크 그리고 동료 라피스와\n함께 피레네 방면 국경을\n경비하고 있었다. 거기에 나타난\n신룡 일행을 처음에는 적대시했으나\n금방 오해를 풀었다.
MID_FRIENDLIST_Citrinica_TextC	[좋아하는 것]\n다과회, 고급품, 동화, 공부,\n꽃, 느긋한 시간, 무도회,\n동료들이 기뻐하는 모습\n[싫어하는 것]\n바느질, 공작, 요리,\n성과가 느껴지지 않는 단련
MID_FRIENDLIST_Citrinica_TextB	[취미]친구에게 선물하기\n[특기]물건 구매, 교섭, 꾸준한 노력\n[내력]브로디아 왕국 출신.\n왕족의 친척인 대공의 딸로\n오빠가 둘 있다. 디아만드,\n스타루크와는 사촌 관계.\n친척 연줄로 신하가 되었기 때문에\n실력이 부족한 것을 신경 쓰고 있다.
MID_FRIENDLIST_Citrinica_TextA	[키]163cm\n[약지 반지 사이즈]8호\n[성격]다정하고 친구를 잘 배려한다.\n주변의 사랑을 받으며 부족함 없이\n자라, 자기도 타인을 기쁘게 하고자\n가진 재력으로 씀씀이 크게 베푼다.\n안심하면 눈매가 살짝 날카로워진다.\n동료들 중 가장 자기 땅이 많다.
MID_FRIENDLIST_Citrinica_TextS	[파트너로서의 일상]\n파트너에게 비싼 선물을 하는 대신\n소중하게 생각한다는 말을\n자주 하게 되었다. 언젠가 둘이서\n무도회에 가는 게 꿈이라고 한다.\n화려한 대좌에 약속의 반지와\n반지를 받은 날 주웠던 돌을\n같이 보관하고 있다.
MID_FRIENDLIST_Ivy_TextD	[초기 병과]테이머\n[생일]11월 17일\n[비고]이르시온 왕국 제1왕녀.\n젤코바, 카게츠를 신하로 두고 있다.\n아버지인 하이아신스 왕의 명령으로\n한때 신룡과 대적했으나 그림자\n벌판에서 문장사의 반지를 가지고\n신룡군을 찾아가 휘하에 합류했다.
MID_FRIENDLIST_Ivy_TextC	[좋아하는 것]\n신룡, 다과회, 독서, 공부, 허브,\n조용한 장소, 기분 좋은 바람\n[싫어하는 것]\n괴담, 동물, 벌레, 연회, 뙤약볕,\n향이 강한 것, 유령,\n소란스러운 장소, 끈질긴 사람
MID_FRIENDLIST_Ivy_TextB	[취미]특별히 없음\n[특기]본심을 숨기는 것\n[내력]하이아신스 왕의 정실 소생.\n제1왕녀로서, 그리고 차기 국왕으로서\n권력 투쟁에 휘말려 아이다운 감정을\n표출하지 못한 채 자랐다. 수년 전까지\n학원을 다녔으며 졸업 후에는 성에서\n왕녀로서 책임을 다했다.
MID_FRIENDLIST_Ivy_TextA	[키]172cm\n[약지 반지 사이즈]8호\n[성격]성실하고 차분한 여성.\n남을 못 믿고 쉽게 마음을 열지 않지만\n좋아하는 상대에게는 집착을 보인다.\n신룡에게 동경 비슷한 감정을 품었다.\n실은 겁이 많고 괴담을 싫어한다.\n동료들 중 가장 피부가 좋다.
MID_FRIENDLIST_Ivy_TextS	[파트너로서의 일상]\n파트너를 향한 호의를 솔직하게\n표현하며 미소 짓는 날이 늘었다.\n둘만 있는 시간을 무엇보다도 소중히\n생각하며 헤어질 때마다 아쉬워한다.\n약속의 반지는 절대 잃어버리지 않게\n금 상자에 담아 방에 보관 중이며\n바라볼 때마다 행복을 느낀다.
MID_FRIENDLIST_Zelkova_TextD	[초기 병과]시프\n[생일]8월 2일\n[비고]이르시온 왕국의 왕성병.\n주군 아이비 왕녀를 따라\n동료 카게츠와 함께 일시적으로\n신룡을 적대했으나 그림자 벌판에서\n문장사의 반지를 가지고 신룡군을\n찾아가 휘하에 합류했다.
MID_FRIENDLIST_Zelkova_TextC	[좋아하는 것]\n공작, 바느질, 독서, 요리,\n섬세한 작업, 묘지, 바쁜 시간,\n활기찬 아이\n[싫어하는 것]\n향이 강한 것, 연회, 동화,\n지루함, 정열이 식는 순간
MID_FRIENDLIST_Zelkova_TextB	[취미]다양함\n[특기]의미심장한 발언, 약 조합\n[내력]이르시온 왕국 출신.\n숲 마을의 유복한 가정에서 태어났다.\n부모와 쌍둥이 동생은 도적에게\n살해당했으며 복수를 위해 암살자가\n되었다. 복수를 끝마친 뒤에 그 실력을\n인정받아 왕성병으로 발탁되었다.
MID_FRIENDLIST_Zelkova_TextA	[키]185cm\n[약지 반지 사이즈]15호\n[성격]철두철미하고 취미가 많다.\n항상 의미심장하게 말한다.\n몰입할 만한 것을 정하고선 열정을\n쏟는 것에 쾌감을 느낀다. 아이들을\n좋아하지만 아이들은 그를 싫어한다.\n동료들 중 가장 잠이 적다.
MID_FRIENDLIST_Zelkova_TextS	[파트너로서의 일상]\n여전히 취미는 많지만 최고로 열정을\n쏟는 건 파트너라고 공언하고 있다.\n둘만 있을 때는 의미심장한 발언을\n줄이고 꾸밈없이 말하고 있다.\n약속의 반지는 자물쇠가 달린 상자에\n보관했으며, 열쇠는 또 다른 자물쇠\n상자에 철두철미하게 보관하고 있다.
MID_FRIENDLIST_Kagetsu_TextD	[초기 병과]소드 마스터\n[생일]12월 22일\n[비고]이르시온 왕국의 왕성병.\n주군 아이비 왕녀를 따라\n동료 젤코바와 함께 일시적으로\n신룡을 적대했으나 그림자 벌판에서\n문장사의 반지를 가지고\n신룡군을 찾아가 휘하에 합류했다.
