MID_OP1_#001	キャラ配置(PID_グリ, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\n章タイトル(CID_E003)\n\nウェイト(3)\n\nフェードイン()
MID_OP2_#007	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise2,0,0.5)
MID_OP2_#008	キャラモーション再生(PID_E003_エル, Normal, EmoTalk2,0,0.5)
MID_OP2_#009	キャラモーション再生(PID_E003_エル, Normal, IdleNormal,0,1)\n\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise,0,0.5)\nキャラモーション再生(PID_リュール, Sad, EmoTalk,1.5,1)
MID_OP2_#010	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E003_エル, cam_anim_track_r_slow)\nキャラモーション再生(PID_E003_エル, Normal, EmoTalk,0,0.5)
MID_OP2_#011	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Sad, EmoSad2,0,0.5)\nキャラモーション再生(PID_E003_イル,Shy)\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\n\n*\nウェイト(1)\n\nキャラモーション再生(PID_E003_セレスティア, Angry, EmoLook,0,0.5)
MID_OP2_#012	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E003_セレスティア, cam_anim_track_l_slow)\n\nキャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラ視線(PID_E003_イル, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラ視線(PID_E003_エル, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E003_イル, Surprise)\nキャラモーション再生(PID_E003_エル, Surprise)
MID_OP2_#013	キャラ視線リセット(PID_リュール)\nキャラモーション再生(PID_E003_エル, Angry, EmoSurprise2,0, 0.5)\n\nキャラ回転(PID_リュール,135,0,0)\nキャラ回転(PID_E003_イル,225,0,0)\n\nキャラ表示切替(PID_リュール,False)\nキャラ武器装備(PID_リュール,鉄の剣)\nキャラアニメーター切替(PID_リュール, Unit/Anim/UnitAnims/UAS_Drg0AM, Unit/Anim/UnitAnims/UAS_Drg0AF)
MID_OP2_#014	キャラ表示切替(PID_リュール,True)\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_zoom_in_fast)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Angry, IdleNormal_None)\nキャラモーション再生(PID_E003_イル, Surprise)\nキャラモーション再生(PID_E003_セレスティア, Angry, IdleNormal,0,1)
MID_OP2_#015	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_イル, cam_anim_zoom_in_fast)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_E003_イル, Surprise, EmoSurprise2,0,0.5)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー,2)\nウェイト(0.5)
MID_OP2_#016	キャラ表示切替(PID_E003_グレゴリー,True)\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E003_グレゴリー, cam_anim_zoom_out_fast)\nキャラモーション再生(PID_E003_グレゴリー, Pain, EmoSurprise,0,0.5)\n\nキャラモーション再生(PID_E003_イル, Surprise)
MID_OP2_#017	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_セレスティア, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E003_セレスティア, Smile, EmoTalk,0,0.5)\nキャラモーション再生(PID_E003_イル, Smile)\nキャラモーション再生(PID_E003_エル, Smile)\n\n*\nパペット会話中断()\nキャラ削除(PID_リュール)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E003_グレゴリー, cam_anim_waisttoface)\nウェイト(5)\n\nキャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_セレスティア)
MID_OP2_#018	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\n\nキャラ回転(PID_リュール, 30, 0.5,0)\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)\n\n*\nウェイト(0.5)
MID_OP2_#019	キャラモーション再生(PID_E003_セレスティア, Smile, EmoTalk,0,0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\n\n*\nパペット会話中断()\nウェイト(1)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E003_グレゴリー, cam_anim_zoom_in_slow)
MID_OP2_#020	キャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラモーション再生(PID_E003_セレスティア, Normal, IdleNormal,0,1)\n\nキャラ表示切替(PID_E003_グレゴリー,False)\n\nキャラカメラ(CharaCam_Side_Left3_Mid, PID_リュール, cam_anim_pan_l_normal)
MID_OP2_#021	キャラモーション再生(PID_E003_セレスティア, Smile, EmoRelax,0,0.5)
MID_OP2_#022	キャラモーション再生(PID_E003_セレスティア, Smile, EmoNod,0,1)
MID_OP2_#023	
MID_OP2_#024	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_エル, cam_anim_track_r_slow)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_セレスティア,Smile,IdleNormal)\nキャラモーション再生(PID_E003_エル,Normal)\n\nキャラ表示切替(PID_E003_グレゴリー,True)
MID_OP2_#025	キャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_エル, Shy)\nキャラモーション再生(PID_E003_エル, Normal, IdleNormal, 2.3,1)
MID_OP2_#026	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_グレゴリー, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Sad, EmoSad2,0, 0.5)\n\nキャラ配置調整(PID_E003_イル,-0.35,0,0,5)\nキャラ配置調整(PID_E003_エル,-0.05,0,0.9,15)\nキャラ配置調整(PID_E003_セレスティア,-0.2,0.2,0,5)\n\nキャラ回転(PID_リュール,-35,0,0)
MID_OP2_#027	
MID_OP2_#028	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E003_エル, cam_anim_pan_l_normal)\n\nキャラモーション再生(PID_E003_イル, Normal)\nキャラモーション再生(PID_E003_エル, Angry, WalkIn2)\nキャラモーション再生(PID_リュール, Sad)\n\nキャラ視線(PID_リュール, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラ表示切替(PID_E003_グレゴリー,False)
MID_OP2_#029	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk,0,1)
MID_OP2_#030	キャラ表示切替(PID_E003_グレゴリー,True)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E003_グレゴリー, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Sad, EmoDeny2,0, 0.5)
MID_OP2_#031	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_zoom_out_fast)\n\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_エル, Surprise, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E003_セレスティア, Surprise)\nキャラモーション再生(PID_E003_イル, Surprise)\n*\nウェイト(0.5)
MID_OP2_#032	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\nキャラ配置調整(PID_E003_イル,0,0, 0.1)\n\nキャラモーション再生(PID_E003_グレゴリー, Normal, EmoThink,0, 0.5)
MID_OP2_#033	キャラモーション再生(PID_E003_エル, Normal, EmoNod,0, 0.5)
MID_OP2_#034	キャラモーション再生(PID_E003_イル, Smile, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E003_エル, Normal, IdleNormal,0,1)
MID_OP2_#035	キャラカメラ(CharaCam_Front_Center_Top, PID_E003_グレゴリー, cam_anim_zoom_out_slow)\nキャラ配置調整(PID_E003_イル,0,0, -0.1)\n\nキャラ視線リセット(PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_グレゴリー, Sad, EmoSad2,0, 0.5)\nキャラモーション再生(PID_E003_イル, Smile, IdleNormal,0,1)
MID_OP2_#036	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_リュール, Sad, EmoRelax, 2.5, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Shy, IdleNormal)\nキャラモーション再生(PID_E003_イル, Normal)
MID_OP2_#037	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_グレゴリー, Sad, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)
MID_OP2_#038	キャラモーション再生(PID_E003_グレゴリー, Serious, EmoSad, 3.5, 0.5)
MID_OP2_#039	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E003_セレスティア, cam_anim_pan_d_slow)\nキャラ表示切替(PID_リュール, False)\nキャラ表示切替(PID_E003_エル, False)\n\nキャラモーション再生(PID_E003_セレスティア, Shy, EmoTalk2,0, 0.5)\n\nキャラ配置調整(PID_リュール,0,0, -0.1)\nキャラ配置調整(PID_E003_エル,0,0, 0.08)
MID_OP2_#040	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_normal)\nキャラ表示切替(PID_リュール, True)\nキャラ表示切替(PID_E003_エル, True)\n\nキャラモーション再生(PID_E003_セレスティア, Shy, IdleNormal,0,1)
MID_OP2_#041	キャラカメラ(CharaCam_Side_Right_Mid, PID_E003_グレゴリー, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Smile, EmoTalk,0, 0.5)
MID_OP2_#042	キャラモーション再生(PID_E003_グレゴリー, Shy, EmoRelax,0,1)
MID_OP2_#043	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Normal, IdleNormal,0,1)
MID_OP2_#044	キャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Smile, EmoJoy,0, 0.5)\nキャラモーション再生(PID_リュール, Shy, IdleNormal,0,1)
MID_OP2_#045	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\n\nキャラ表示切替(PID_E003_セレスティア, False)
MID_OP2_#046	キャラモーション再生(PID_リュール, Smile, EmoRelax,0, 1)
MID_OP2_#047	キャラモーション再生(PID_E003_エル, Serious)\n*\nウェイト(0.5)
MID_OP2_#048	キャラモーション再生(PID_リュール, Normal, EmoTalk,0, 0.5)
MID_OP2_#049	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_エル, Normal)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\n\nキャラ配置調整(PID_E003_セレスティア, -0.5,0, 2.3)\nキャラ配置調整(PID_E003_グレゴリー,0,0, 0.2)
MID_OP2_#050	キャラモーション再生(PID_E003_エル, Normal, EmoTalk,0, 0.5)
MID_OP2_#051	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_グレゴリー, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_E003_セレスティア, True)\nキャラ配置調整(PID_リュール,0,0, 0.1)\nキャラ配置調整(PID_E003_エル,0,0, -0.08)\n\nキャラモーション再生(PID_E003_セレスティア, Normal, WalkIn2)\nキャラ視線(PID_E003_グレゴリー, PID_E003_セレスティア, PID_E003_セレスティア)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E003_セレスティア)\nキャラ回転(PID_E003_セレスティア,165, 0.7,0)\nキャラモーション再生(PID_E003_セレスティア, Smile, TurnL,0,0.5)\n\nウェイト(1)
MID_OP2_#052	キャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラ視線(PID_E003_エル, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラ視線(PID_E003_イル, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_E003_セレスティア, Smile, EmoProud,0,1)
MID_OP2_#053	キャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_グレゴリー, Shy, EmoDeny2,0, 0.5)
MID_OP2_#054	キャラモーション再生(PID_E003_セレスティア, Angry, EmoJoy2,0, 0.5)
MID_OP2_#055	キャラモーション再生(PID_E003_グレゴリー, Surprise, EmoSurprise,0, 0.5)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_normal, 1.5)\n\n*\nパペット会話中断()\nウェイト(2)\nフェードアウト()\nウェイト(3)\n\nキャラ視線リセット(PID_リュール)\nキャラ視線リセット(PID_E003_イル)\nキャラ視線リセット(PID_E003_エル)\nキャラ視線リセット(PID_E003_セレスティア)\nキャラ視線リセット(PID_E003_グレゴリー)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_shake_loop)\n\nフェードイン()
MID_OP2_#056	サウンドイベント(SE_DLC_Evt_E003_OP2_CannonShot)\nウェイト(2)\nサウンドイベント(SE_DLC_Evt_E003_OP2_CannonHit)\nキャラモーション再生(PID_リュール, Surprise, EmoLook,0,0.5)
MID_OP2_#057	キャラカメラ(CharaCam_Side_Left2_Top, PID_E003_イル, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E003_イル, Angry)\nキャラモーション再生(PID_E003_エル, Angry)\n\nキャラ回転(PID_E003_グレゴリー,180,0,0)\nキャラ回転(PID_E003_セレスティア,180,0,0)\nキャラアニメーター切替(PID_E003_グレゴリー, Unit/Anim/Demo/AOC_Demo_c001)
MID_OP2_#058	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E003_グレゴリー, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Shy, EmoShy)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)
MID_OP2_#059	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E003_エル, cam_anim_track_r_slow)\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk2,0, 0.5)\n\nキャラ回転(PID_E003_セレスティア, 90,1,0)\nキャラモーション再生(PID_E003_セレスティア, Angry, TurnL,0,0.5)\nキャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)
MID_OP2_#060	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラ回転(PID_E003_グレゴリー, 90, 1.5,0)\nキャラモーション再生(PID_E003_グレゴリー, Sad, TurnR,0,1)\nキャラ視線(PID_E003_グレゴリー, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E003_グレゴリー, Shy, EmoDeny2, 1.5, 0.5)
MID_OP2_#061	キャラカメラ(CharaCam_Front_Center_Top, PID_E003_イル, cam_anim_fix)\nキャラ視線リセット(PID_E003_イル)\nキャラモーション再生(PID_E003_イル, Angry, EmoThink,1,0.5)\n\n*\nキャラモーション待ち(PID_E003_イル)
MID_OP2_#062	キャラカメラ(CharaCam_Front_Center_Top, PID_E003_イル, cam_anim_zoom_in_fast)
MID_OP2_#063	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_pan_r_slow)\n\nキャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E003_イル, Angry, IdleNormal,0,1)
MID_OP2_#064	キャラモーション再生(PID_リュール, Angry, IdleNormal,0, 1)\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk,0, 0.5)
MID_OP2_#065	キャラモーション再生(PID_E003_エル, Angry, EmoDeny2,0,1)
MID_OP2_#066	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\n*\nパペット会話中断()\n\nキャラ視線リセット(PID_E003_セレスティア)\nキャラ視線リセット(PID_リュール)\nキャラ視線リセット(PID_E003_イル)\nキャラ視線リセット(PID_E003_エル)\n\nキャラ回転(PID_リュール, 70,1,0)\nキャラ回転(PID_E003_イル, 30,1,0)\nキャラ回転(PID_E003_エル, 45,1,0)\n\nキャラモーション再生(PID_リュール, Angry, TurnR,0,0.5)\nキャラモーション再生(PID_E003_イル, Angry, TurnR,0,0.5)\nキャラモーション再生(PID_E003_エル, Angry, TurnR,0,0.5)\n\nキャラモーション再生(PID_E003_グレゴリー, Angry, RunOut,0,1)\nキャラモーション再生(PID_E003_セレスティア, Angry, RunOut, 0.5, 0.5)\nキャラモーション再生(PID_リュール, Angry, RunOut,1,0.5)\nキャラモーション再生(PID_E003_イル, Angry, RunOut, 1.5, 0.5)\nキャラモーション再生(PID_E003_エル, Angry, RunOut, 1.3, 0.5)\n\nウェイト(1.5)\nサウンドイベント(Env_Evt_Filene_Rock_End)\nフェードアウト()
MID_OP3_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Angry, IdleNormal, -30)\nキャラ配置(PID_E003_イル, ME_IN_B, [服装], Angry, IdleNormal, 30)\nキャラ配置(PID_E003_セレスティア, ME_MID_BC, [服装], Angry, IdleNormal, 0)\n\nキャラ配置調整(PID_E003_イル,-0.15,0,0,5)\nキャラ配置調整(PID_E003_セレスティア,-0.05,0,0,5)\n\nキャラ配置(PID_E003_エル, YOU_IN_B, [服装], Angry, IdleNormal, 180)\nキャラ配置(PID_E003_グレゴリー, YOU_IN_C, [服装], Angry, IdleNormal, 180)\n\nキャラ配置調整(PID_E003_エル,-0.1,0,0)\n\n背景(Map_Event_E003_01)\nライト(CharaLight_E003, 0, 0, 0)\nエフェクト表示(Effect01, Effects/Event/M011_MID_ED3/Prefabs/M011_MID_ED3_03)\n\nサウンドイベント(:Env_Evt_Rain_Small_Start)\n\nキャラモーション再生(PID_リュール, Normal, RunIn, 0.2,0)\nキャラモーション再生(PID_E003_セレスティア, Normal, RunIn, 0.2,0)\nキャラモーション再生(PID_E003_イル, Normal, RunIn, 0.2,0)\nキャラモーション再生(PID_E003_エル, Normal, RunIn, 0.2,0)\nキャラモーション再生(PID_E003_グレゴリー, Normal, RunIn)\n\nウェイト(0.3)\nフェードイン(0.5)\n\nキャラ回転(PID_E003_エル,135,1,3.5)\nキャラモーション再生(PID_E003_エル, Normal, TurnR, 3.5, 0.5)\n\nキャラ回転(PID_E003_グレゴリー,-179, 1.5, 3)\nキャラモーション再生(PID_E003_グレゴリー, Normal, TurnL, 3, 0.5)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)\nウェイト(4.5)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_グレゴリー, Normal, EmoTalk,0,1)
MID_OP3_#002	キャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_グレゴリー, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Shy, EmoTired,0,0.5)\nキャラモーション再生(PID_E003_グレゴリー, Shy, IdleNormal,0,1)
MID_OP3_#003	キャラモーション再生(PID_E003_イル, Shy, EmoTalk2,1,1)
MID_OP3_#004	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Normal, EmoThink,0,0.5)\nキャラモーション再生(PID_E003_イル, Shy, IdleNormal,0,1)
MID_OP3_#005	キャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_グレゴリー, Shy, EmoTalk2,0,0.5)
MID_OP3_#006	キャラカメラ(CharaCam_Side_Right_Mid, PID_E003_グレゴリー, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Shy, EmoDeny,0,1)\nキャラモーション再生(PID_E003_エル, Die)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_OP3_#007	キャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_E003_エル, Normal, EmoSad2,0,1)\nキャラモーション再生(PID_E003_グレゴリー, Shy, IdleNormal,0,1)
MID_OP3_#008	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E003_セレスティア, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E003_イル, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_E003_セレスティア, Sad, EmoDeny2,0,1)\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E003_エル, Shy, IdleNormal)
MID_OP3_#009	キャラモーション再生(PID_E003_セレスティア, Sad, EmoSad2,0, 0.5)
MID_OP3_#010	キャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Angry, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise)
MID_OP3_#011	キャラモーション再生(PID_E003_イル, Smile, EmoTalk,0,1)\nキャラモーション再生(PID_リュール, Smile)
MID_OP3_#012	キャラモーション再生(PID_E003_セレスティア, Smile, EmoRelax,0,1)\n\nキャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\n*\nパペット会話中断()\nウェイト(0.5)
