MID_OP1_#001	キャラ配置(GID_アイク, ME_IN_BC, [服装], Normal, IdleNormal, 20)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 345)\n\nキャラ配置調整(GID_アイク, 0, 0, -0.4)\n\n背景(Map_Event_S005_01)\nライト(CharaLight_S005, 0, 0, 0)\n\n章タイトル(CID_S005)\n\nサウンドイベント(BGM_Evt_Ring)\n\nキャラ表示切替(GID_アイク,False)\n\nウェイト(2)\nフェードアウト()\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow) \nキャラモーション再生(PID_リュール, Normal, EmoLook)\nキャラモーション再生(GID_アイク, Normal, WalkIn)\n\nフェードイン()
MID_OP1_#015	キャラモーション再生(GID_アイク, Smile, EmoNod)\nキャラモーション再生(PID_リュール, Surprise)\n\nキャラ視線(PID_リュール, GID_アイク, GID_アイク)\n\nキャラカメラ(CharaCam_Side_Left_Mid, GID_アイク, cam_anim_track_r_slow)\n
MID_OP1_#016	キャラモーション再生(GID_アイク, Normal, EmoDeny2, 0.5, 0.5)
MID_OP1_#017	キャラモーション再生(PID_リュール, StandBy, EmoTalk2, 1, 0.5)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_l_slow)
MID_OP1_#018	キャラモーション再生(GID_アイク, Normal, EmoAngry, 2.5, 0.5)
MID_OP1_#019	キャラモーション再生(PID_リュール, StandBy,　EmoJoy, 2, 0.5)
MID_OP1_#020	キャラモーション再生(GID_アイク, Angry,　EmoJoy, 0.3, 0.3)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, GID_アイク, cam_anim_zoom_in_fast)\n\n*\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_BT1_#001	
MID_BT1_#002	
MID_BT1_#003	
MID_BT1_#004	
MID_BT2_#001	
MID_BT2_#002	
MID_BT2_#003	
MID_BT2_#004	
MID_BT3_#001	
MID_BT3_#002	
MID_BT3_#003	
MID_BT3_#004	
MID_ED1_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(GID_アイク, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0, 0, 0)\nキャラ配置調整(GID_アイク,0, 0, 0)\n\n背景(Map_Event_S005_01)\nライト(CharaLight_S005, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nキャラモーション再生(GID_アイク, StatusE, EmoTalk)\nキャラモーション再生(PID_リュール, StatusE, EmoTired)\n\nキャラ視線(GID_アイク, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, GID_アイク, GID_アイク)\n\nサウンドイベント(BGM_Evt_Brave)\nフェードイン()
MID_ED1_#002	
MID_ED1_#003	キャラモーション再生(GID_アイク, Normal, EmoNod)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_アイク, cam_anim_track_l_slow)
MID_ED1_#004	キャラモーション再生(GID_アイク, Normal, EmoJoy, 3.5, 0.5)
MID_ED1_#005	キャラモーション再生(GID_アイク, Normal)
MID_ED1_#006	キャラモーション再生(PID_リュール, Normal )\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Top, GID_アイク, cam_anim_zoom_in_slow)
MID_ED1_#007	キャラモーション再生(PID_リュール, Serious, EmoSad, 1, 0.5)
MID_ED1_#008	キャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(GID_アイク, Smile, EmoDeny, 0.3, 0.3)\n\nキャラカメラ(CharaCam_Front_Center_Mid, GID_アイク, cam_anim_zoom_in_slow, 4)
MID_ED1_#009	キャラモーション再生(GID_アイク, Normal )
MID_ED1_#010	キャラモーション再生(PID_リュール, Die, EmoPray, 1, 0.5)\n\nキャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)
MID_ED1_#011	キャラモーション再生(GID_アイク, Smile, EmoProud)\n\nキャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_リュール, cam_anim_track_l_slow)
MID_ED1_#012	キャラモーション再生(PID_リュール, Smile, EmoTalk2, 0.3, 0.3)
MID_ED1_#013	キャラモーション再生(GID_アイク, Smile, EmoNod)\n\nキャラカメラ(CharaCam_Front_Center_Bot, GID_アイク, cam_anim_zoom_in_normal)
MID_ED1_#014	キャラモーション再生(PID_リュール, Smile, EmoJoy, 1, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)\n\n*\nフェードアウト()
MID_LC1_#001	キャラ配置(PID_リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(GID_アイク, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S005_01)\nライト(CharaLight_S005, 0, 0, 0)\n\nキャラ配置調整(PID_リュール, 0.4, 0.0, -0.2)\n\nキャラモーション再生(GID_アイク, Relax, EmoJoy, 1.0, 1.0)\nキャラ視線(GID_アイク, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, GID_アイク, cam_anim_track_l_normal)\n\n*\nパペット会話中断()\n白フェードイン(1.0)\nウェイト(1.3)\nテロップエフェクト表示(LevelCap)\nウェイト(0.8)\nフェードアウト()
